timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
710;-398.36;8.829;-36.952;-176.664;-126.423;37.848;-184.502;-288.116;-252.537;-146.576;-121.142;-145.871;-371.292;-86.527;-168.103
720;-387.037;14.94;-45.317;-167.672;-109.992;43.705;-179.207;-276.463;-249.349;-135.083;-116.676;-135.554;-362.564;-82.29;-158.492
730;-374.747;21.44;-52.907;-160.053;-95.533;48.187;-174.6;-264.107;-243.693;-126.08;-112.64;-126.2;-355.147;-77.027;-150.133
740;-362.168;26.401;-59.53;-151.688;-79.497;51.214;-170.148;-253.276;-238.01;-118.98;-107.27;-117.247;-344.303;-72.487;-142.181
750;-351.613;29.794;-65.253;-144.351;-65.506;53.924;-166.235;-243.725;-232.144;-111.815;-102.368;-108.707;-334.879;-68.697;-134.707
760;-340.778;33.397;-71.137;-137.406;-53.88;56.329;-162.436;-235.017;-227.056;-104.88;-94.598;-101.214;-325.427;-65.385;-128.406
770;-331.342;38.561;-74.132;-131.25;-43.724;56.089;-158.97;-227.027;-221.237;-94.871;-87.499;-93.827;-317.101;-62.704;-122.591
780;-322.8;43.275;-77.238;-126.087;-34.5;56.325;-155.725;-219.825;-215.65;-85.275;-81.225;-87.825;-310.087;-60.3;-117.35
790;-314.37;49.136;-78.513;-121.464;-21.034;56.974;-151.245;-210.661;-208.289;-73.921;-73.205;-81.929;-304.924;-57.536;-111.928
800;-306.777;54.839;-80.034;-117.17;-8.705;57.613;-147.154;-202.333;-201.487;-63.721;-66.035;-76.322;-299.585;-55.004;-107.001
810;-298.233;59.71;-81.849;-112.976;1.718;58.123;-143.378;-194.73;-194.041;-53.2;-58.805;-71.002;-294.776;-51.438;-101.5
820;-291.083;63.887;-83.292;-109.161;11.798;60.625;-137.315;-185.637;-187.161;-45.125;-52.405;-64.232;-290.202;-48.155;-96.554
830;-284.198;67.746;-84.882;-105.412;21.165;63.16;-131.511;-177.268;-180.944;-37.685;-47.108;-57.746;-284.318;-44.362;-91.744
840;-264.249;76.593;-85.961;-88.763;38.068;71.669;-117.395;-156.413;-168.312;-14.507;-31.738;-40.203;-266.82;-32.681;-81.349
850;-243.978;85.731;-88.847;-72.163;54.937;80.16;-103.291;-135.282;-155.949;8.662;-15.989;-22.677;-248.858;-21.406;-70.962
860;-226.039;93.014;-94.049;-55.075;74.015;88.726;-89.288;-114.16;-139.196;25.706;-0.205;-7.83;-230.578;-16.084;-60.228
870;-207.768;98.726;-100.337;-48.043;90.164;94.554;-78.093;-98.684;-123.962;42.736;12.039;6.844;-216.243;-11.503;-49.502
880;-191.442;101.998;-106.022;-40.28;106.276;100.198;-67.14;-83.004;-108.769;52.849;24.262;22.084;-201.893;-7.676;-37.436
890;-177.886;104.762;-111.362;-34.865;114.463;104.668;-57.069;-67.336;-94.792;62.952;30.929;33.037;-189.323;-4.591;-25.378
900;-164.354;107.111;-114.911;-29.269;122.62;109.126;-47;-51.439;-79.737;70.797;37.583;43.2;-176.747;-2.78;-17.132
910;-152.178;108.081;-117.771;-23.659;129.744;112.043;-36.625;-35.703;-65.333;78.55;39.3;50.8;-164.862;-0.916;-8.602
920;-139.049;107.694;-119.96;-19.826;131.763;110.154;-27.458;-19.974;-49.821;83.208;41.009;57.932;-152.98;0.668;-0.996
930;-128.764;107.343;-124.128;-15.901;133.52;108.154;-18.099;-6.676;-33.362;88.072;42.415;63.558;-141.996;2.558;6.467
940;-117.129;106.83;-128.047;-12.525;132.814;105.269;-10.351;6.622;-16.577;91.877;43.812;69.122;-131.02;3.082;13.927
950;-105.196;105.263;-131.04;-8.496;132.081;102.38;-2.615;16.358;-0.932;95.932;47.337;74.199;-119.108;3.661;20.466
960;-93.249;102.409;-132.587;-5.017;134.456;100.638;5.278;26.124;14.712;100.243;52.69;79.087;-106.254;2.914;26.999
970;-80.84;99.398;-133.176;-1.467;136.802;100.612;13.042;35.888;31.696;104.634;60.711;83.166;-94.416;1.918;32.868
980;-69.33;95.39;-134;2.69;136.48;100.71;20.57;47.13;47.04;106.8;69.52;85.98;-77.04;0.96;39.41
990;-60.052;91.215;-135.061;5.785;133.913;98.841;31.255;58.608;61.603;108.924;77.614;88.23;-62.845;-0.099;45.725
1000;-50.287;87.115;-137.518;8.487;131.324;96.925;42.222;70.08;75.724;109.065;86.692;88.856;-44.788;-0.437;50.994
