timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-1-.1;41: wc-1-.2;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
880;-118.996;-152.111;-33.316;-304.651;58.619;-121.785;-67.85;-49.271;-70.74;-69.997;-180.837;-0.836;-95.124;-90.045;-63.406
890;-107.369;-151.378;-26.799;-286.697;59.971;-115.848;-60.185;-46.469;-65.514;-66.05;-178.925;-7.033;-94.286;-86.05;-55.448
900;-97.453;-149.293;-21.48;-270.093;62.08;-111.493;-53.52;-43.72;-61.053;-63.747;-175.56;-4.48;-92.867;-82.653;-48.88
910;-88.089;-148.092;-12.155;-254.75;65.911;-104.924;-48.47;-40.237;-57.247;-61.257;-171.497;-4.204;-91.655;-81.704;-44.842
920;-74.353;-145.826;-3.956;-239.956;69.561;-98.388;-42.38;-37.148;-53.745;-59.004;-167.604;-3.675;-90.468;-81.537;-41.28
930;-61.927;-143.962;-2.855;-224.859;72.15;-95.449;-36.966;-34;-50.607;-60.389;-164.44;-3.688;-89.641;-81.825;-37.368
940;-50.626;-141.294;-1.822;-211.265;74.688;-88.458;-32.815;-31.548;-47.357;-62.05;-162.302;-2.265;-89.111;-82.606;-33.568
950;-36.825;-138.65;0.75;-196.838;77.175;-82;-29.088;-29.4;-44.875;-64.087;-161.013;0.15;-88.6;-83.113;-31.613
960;-24.409;-137.166;3.095;-180.954;78.28;-72.46;-26.189;-27.173;-42.437;-66.446;-158.464;1.654;-88.637;-84.256;-30.339
970;-16.532;-135.463;5.543;-164.56;79.394;-66.258;-23.563;-25.389;-41.14;-68.267;-155.861;-0.371;-87.967;-86.081;-27.945
980;-9.517;-135.698;7.755;-149.778;80.172;-60.087;-20.325;-23.69;-39.496;-69.118;-153.053;-3.969;-87.461;-87.395;-25.922
990;-1.613;-135.929;8.238;-134.875;80.75;-54.363;-17.708;-21.548;-38.107;-69.143;-148.952;-6.673;-86.065;-87.821;-25.244
1000;5.231;-135.616;8.652;-122.099;81.348;-46.628;-15.313;-19.675;-36.325;-69.179;-144.774;-9.393;-75.847;-88.245;-25.722
1010;24.528;-132.729;15.118;-85.386;80.683;-30.946;-4.68;-12.417;-23.793;-51.859;-124.256;-0.75;-55.143;-88.919;-18.611
1020;43.803;-128.012;21.6;-48.931;80.11;-16.325;5.961;-5.84;-11.314;-34.569;-104.909;6.422;-34.477;-88.984;-10.007
1030;62.532;-122.077;26.32;-32.02;79.512;-3.646;10.744;-2.211;-3.748;-28.934;-96.735;11.57;-30.032;-88.585;-4.375
1040;71.731;-115.309;27.058;-7.96;79.311;2.57;15.537;0.268;0.12;-26.386;-93.485;15.583;-26.368;-86.514;0.654
1050;80.976;-110.716;28.016;15.922;77.404;6.842;17.86;3.233;3.949;-28.287;-104.478;19.06;-22.28;-81.891;4.538
1060;85.49;-106.755;25.709;38.679;75.474;11.767;19.273;6.126;5.684;-34.995;-105.971;16.913;-19.593;-76.36;6.414
1070;90.015;-105.539;23.423;61.371;74.16;15.936;19.174;6.819;5.786;-42.97;-100.663;8.195;-17.614;-69.893;8.799
1080;91.21;-104.249;18.3;81.962;71.956;20.226;19.31;9.56;6.073;-48.381;-93.297;-12.756;-14.674;-69.148;9.756
1090;91.821;-103.904;13.194;102.231;69.744;26.961;19.532;11.597;6.492;-52.964;-88.806;-31.4;-11.693;-65.565;9.289
1100;92.114;-102.36;7.785;116.876;68.482;37.067;20.232;14.124;7.034;-58.173;-85.291;-37.307;-8.263;-61.223;10.133
1110;90.929;-100.839;2.388;128.893;67.234;42.808;20.934;14.975;7.142;-63.425;-81.339;-36.398;-4.889;-55.976;10.486
1120;89.117;-97.853;-3.024;140.429;65.72;48.306;20.13;16.146;6.794;-70.898;-76.376;-35.176;-1.407;-52.548;10.257
1130;86.96;-94.566;-8.427;150.676;65.386;53.5;19.329;17.424;6.641;-80.526;-71.859;-35.852;1.879;-50.605;9.355
1140;84.657;-91.668;-13.843;161.024;65.069;57.915;18.799;18.472;6.373;-88.28;-66.327;-37.439;4.655;-46.798;7.267
1150;83.61;-89.78;-19.25;170.75;65.26;61.42;19.03;18.84;6.15;-96.38;-61.36;-43.95;7.06;-45.94;4.38
1160;82.808;-89.164;-25.779;180.967;61.498;62.227;19.742;18.638;6.022;-104.778;-57.281;-46.274;9.364;-46.686;2.326
1170;79.098;-89.776;-32.298;191.873;57.744;64.654;18.207;18.327;6.138;-112.43;-53.187;-48.574;11.438;-44.248;0.143
1180;75.777;-91.018;-33.61;197.845;55.451;69.519;16.675;17.737;6.557;-115.631;-49.294;-52.313;13.276;-42.201;-0.521
1190;72.461;-92.563;-34.913;203.412;52.99;69.816;15.17;17.309;6.671;-117.032;-45.787;-57.504;15.211;-43.236;-1.938
1200;65.949;-93.39;-38.552;207.61;50.52;67.684;13.67;16.766;6.712;-117.423;-41.558;-65.392;17.236;-45.008;-3.046
1210;59.874;-93.165;-42.178;212.02;48.814;62.977;12.886;16.185;6.279;-117.215;-38.797;-71.48;19.594;-43.074;-4.937
1220;57.434;-90.751;-47.133;214.846;48.572;59.557;12.198;15.681;5.593;-116.524;-36.557;-73.957;21.528;-40.558;-8.337
1230;55.11;-86.584;-52.074;219.574;48.313;57.286;10.752;15.263;4.967;-116.739;-34.79;-75.214;23.49;-34.196;-11.394
1240;52.62;-84.673;-55.674;220.528;48.992;55.182;9.09;13.927;4.89;-116.917;-34.16;-77.036;24.685;-31.048;-12.645
1250;50.06;-83.24;-59.267;220.589;49.655;51.165;7.427;13.144;4.658;-116.244;-33.949;-79.156;17.251;-28.6;-11.973
1260;47.775;-81.906;-59.78;220.657;50.301;48.751;6.57;12.2;4.191;-114.693;-32.684;-80.22;0.001;-28.281;-10.974
1270;45.485;-82.567;-60.293;217.504;49.189;47.713;5.713;12.221;3.729;-113.333;-29.608;-79.918;-17.12;-28.454;-11.283
1280;43.163;-82.805;-59.213;209.394;48.061;42.204;4.657;11.487;3.032;-112.727;-25.334;-81.025;-17.593;-31.421;-11.834
1290;42.438;-83.943;-58.132;199.82;46.971;38.44;4.526;10.774;2.433;-111.906;-21.785;-82.372;-17.056;-33.649;-12.823
1300;41.795;-81.417;-57.071;188.791;43.264;33.482;4.391;9.426;1.55;-111.29;-20.487;-82.934;-16.722;-35.456;-14.05
1310;42.867;-78.249;-56.003;174.616;39.543;30.409;4.867;7.956;1.089;-110.197;-19.588;-80.898;-15.758;-37.637;-15.92
1320;43.557;-58.576;-54.484;160.407;35.798;28.185;5.349;6.49;0.912;-108.764;-17.331;-78.082;-14.338;-40.295;-18.949
1330;45.849;-38.94;-53.716;146.215;33.718;24.7;4.973;3.826;0.403;-106.941;-13.607;-73.323;-13.952;-43.157;-16.344
1340;48.015;-34.32;-52.22;131.366;31.624;19.214;4.601;1.364;-0.093;-105.587;-9.301;-71.009;-13.349;-45.242;-13.658
1350;49.545;-31.088;-50.818;116.363;28.228;18.098;3.677;-1.037;-1.145;-103.483;-6.285;-71.43;-13.255;-45.867;-13.45
1360;51.078;-31.19;-49.412;102.738;27.059;19.069;2.753;-1.594;-2.063;-99.256;-2.721;-73.626;-12.971;-47.231;-13.825
1370;52.655;-32.632;-45.816;90.962;25.877;13.436;2.175;-2.636;-2.41;-92.957;0.263;-75.009;-13.256;-47.49;-15.304
1380;52.714;-32.608;-42.217;83.794;22.931;6.793;1.971;-3.814;-2.819;-84.501;4.606;-74.43;-13.596;-48.088;-15.245
1390;52.954;-31.725;-34.922;75.181;20.812;-0.942;1.328;-4.629;-2.823;-75.848;9.189;-72.132;-14.164;-49.995;-13.058
1400;52.032;-32.024;-27.616;66.568;18.68;-7.144;0.488;-5.056;-2.912;-68.272;12.12;-70.368;-14.248;-49.608;-11.24
1410;51.261;-30.581;-27.099;55.031;15.776;-15.67;-0.349;-5.472;-2.949;-61.653;15.681;-72.153;-14.29;-46.424;-9.341
1420;49.086;-27.047;-26.571;42.132;12.859;-20.74;-0.917;-5.646;-2.998;-55.936;18.099;-74.174;-12.539;-45.058;-7.568
1430;47.12;-22.619;-23.379;32.753;9.93;-22.155;-1.48;-5.923;-3.044;-53.325;19.932;-73.602;-9.978;-42.514;-5.893
1440;44.028;-16.625;-20.179;23.391;6.775;-21.083;-2.942;-6.386;-2.972;-50.996;23.391;-71.301;-8.051;-36.848;-2.634
1450;41.369;-10.562;-17.492;12.34;3.608;-18.985;-4.1;-7.04;-2.888;-48.805;27.511;-69.417;-6.137;-30.445;-0.598
1460;38.445;-4.49;-14.793;0.585;0.621;-19.609;-5.615;-7.732;-2.599;-49.328;31.086;-69.461;-5.052;-27.281;0.925
1470;33.36;-0.07;-15.286;-11.172;-6.38;-18.525;-7.161;-8.373;-2.037;-52.18;33.288;-68.952;-3.995;-25.51;2.971
