timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
690;9.898;-204.134;-131.762;-204.441;-210.295;-184.231;-126.248;-164.156;-158.777;-161.964;-183.161;-214.945;-174.877;-278.524;-219.348
700;20.778;-188.919;-111.135;-189.008;-199.091;-166.606;-120.552;-155.994;-151.481;-152.253;-176.324;-204.946;-164.237;-263.052;-199.06
710;29.373;-172.627;-92.387;-174.48;-189.067;-151.107;-115.667;-147.947;-145.107;-143.867;-171;-195.133;-152.68;-249.373;-179.133
720;37.063;-158.188;-75.872;-161.586;-179.582;-136.441;-111.237;-141.092;-138.158;-137.184;-166.566;-186.388;-139.079;-235.895;-161.257
730;44.949;-145.051;-61.313;-149.976;-171.332;-122.95;-107.368;-134.502;-132.007;-131.296;-162.086;-177.95;-126.655;-220.416;-144.794
740;52.94;-132.239;-48.927;-139.714;-164.056;-110.321;-103.35;-128.466;-125.427;-126.188;-158.009;-170.436;-117.363;-205.637;-128.491
750;60.175;-120.666;-39.622;-130.694;-156.324;-98.113;-99.653;-122.726;-119.56;-121.63;-153.053;-163.169;-108.486;-191.673;-111.454
760;65.888;-108.737;-31.462;-122.525;-148.638;-86.825;-95.988;-117.287;-114.025;-118.25;-148.362;-156.225;-96.788;-176.537;-97.325
770;70.252;-97.781;-26.002;-114.924;-142.176;-76.995;-92.646;-111.901;-108.903;-115.22;-143.347;-149.852;-83.363;-162.631;-86.062
780;74.314;-86.72;-20.644;-107.186;-135.809;-67.619;-89.433;-106.105;-104.327;-112.492;-135.568;-142.572;-70.272;-147.017;-75.578
790;77.18;-75.874;-15.46;-99.986;-129.221;-58.624;-86.448;-100.71;-100.139;-110.025;-128.665;-136.298;-58.054;-130.854;-64.833
800;78.613;-65.679;-10.06;-92.839;-124.101;-50.274;-83.881;-95.22;-95.875;-105.649;-122.47;-130.637;-46.256;-114.917;-51.911
810;80.035;-56.329;-6.424;-84.475;-119.304;-44.393;-81.511;-90.094;-92.155;-101.638;-116.344;-125.958;-35.226;-98.868;-39.092
820;98.87;-29.435;20.368;-54.596;-101.769;-18.267;-69.829;-74.497;-78.582;-88.687;-98.886;-106.529;-12.585;-67.605;-10.993
830;113.773;-2.432;47.671;-24.557;-84.079;7.215;-57.472;-58.835;-64.551;-75.73;-81.136;-86.69;11.919;-36.691;16.864
840;120.826;16.37;63.302;-5.75;-71.775;27.54;-49.997;-47.912;-52.916;-62.702;-69.359;-71.227;33.614;-6.274;40.654
850;124.063;35.569;74.855;9.386;-61.525;42.618;-42.022;-36.904;-40.892;-53.786;-57.596;-55.695;51.08;19.055;61.088
860;128.511;52;86.516;21.78;-52.373;53.931;-36.611;-26.556;-33.467;-44.06;-47.604;-44.88;66.58;40.982;79.791
870;130.745;66.174;96.102;34.333;-42.336;66.142;-30.517;-16.225;-26.356;-36.906;-37.691;-36.597;83.012;62.322;96.904
880;130.268;79.755;103.766;45.411;-32.147;74.654;-26.411;-5.472;-21.911;-29.748;-29.509;-28.229;99.922;82.658;114.035
890;128.226;91.205;111.573;53.578;-23.545;81.331;-21.026;5.414;-17.265;-24.087;-21.261;-20.912;118.392;102.932;130.77
900;125.08;102.563;116.394;62.44;-14.29;86.803;-16.534;14.841;-12.352;-18.426;-14.104;-14.089;137.76;122.14;145.358
910;119.895;112.674;115.291;71.227;-4.707;89.568;-11.762;24.364;-6.444;-15.008;-6.821;-7.269;157.371;140.392;157.697
920;114.774;122.801;114.218;78.977;4.918;91.918;-7.38;31.587;-0.731;-11.589;1.408;-0.443;176.463;157.676;169.819
930;108.717;131.997;110.439;84.712;13.194;93.643;-3.719;38.861;6.134;-7.565;9.738;6.57;195.653;174.213;181.885
