timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
710;-346.054;-367.843;-280.007;-58.057;-292.385;;-137.975;-101.575;16.06;132.897;-298.496;-119.54;-301.918;-197.45;-307.688
720;-331.365;-367.622;-284.614;-52.201;-277.905;;-130.875;-94.622;17.446;142.907;-282.313;-98.404;-293.724;-201.693;-297.598
730;-315.293;-366.08;-289.467;-45.507;-265.36;;-124.24;-84.987;17.027;150.48;-268.253;-85.293;-281.64;-204.067;-289.96
740;-301.674;-365.454;-293.865;-39.207;-254.424;;-118.441;-76.609;16.661;157.339;-253.822;-73.987;-271.309;-206.533;-283.599
750;-288.29;-364.208;-298.393;-37.145;-244.748;;-112.834;-69.458;15.729;160.622;-241.087;-64.031;-260.253;-206.257;-280.175
760;-276.551;-364.923;-302.329;-35.03;-235.564;;-107.624;-63.162;15.085;162.385;-227.291;-59.701;-250.671;-207.671;-277.368
770;-265.322;-365.993;-306.394;-30.767;-227.373;;-102.933;-60.11;14.522;166.452;-214.907;-55.502;-245.438;-209.462;-277.88
780;-254.825;-366.537;-310.412;-29.112;-219.463;;-98.063;-57.413;14.788;167.163;-200.663;-52.762;-241.037;-212.013;-278.575
790;-244.713;-367.393;-314.508;-26.224;-212.309;;-93.538;-54.956;15.217;165.178;-187.713;-49.979;-236.993;-215.388;-273.035
800;-236.246;-367.961;-317.43;-23.018;-205.808;;-89.611;-52.397;15.124;164.36;-174.615;-47.42;-233.531;-216.027;-268.149
810;-227.979;-368.848;-320.491;-20.536;-198.195;;-83.86;-50.095;15.055;163.644;-162.63;-45.963;-228.779;-216.498;-265.145
820;-221.458;-369.375;-323.565;-18.601;-191.202;;-78.286;-47.994;15.869;163.274;-150.685;-44.56;-224.536;-212.786;-262.476
830;-215.492;-368.555;-326.642;-14.906;-184.744;;-73.054;-46.089;17.285;163.151;-139.664;-43.125;-220.115;-207.689;-258.539
840;-197.932;-361.803;-328.753;0.077;-166.384;;-54.112;-36.332;21.073;170.726;-106.093;-22.678;-196.912;-193.401;-251.023
850;-180.8;-354.33;-331.024;8.164;-148.029;;-34.173;-26.563;23.498;178.085;-72.528;-0.711;-172.57;-178.452;-238.459
860;-166.2;-349.81;-333.927;13.716;-129.612;;-22.313;-16.874;22.084;182.543;-38.782;22.284;-158.289;-168.835;-225.603
870;-151.415;-345.788;-335.65;18.039;-111.482;;-13.256;-7.373;23.069;183.778;-17.721;36.618;-142.811;-159.182;-214.306
880;-138.316;-342.416;-337.096;21.187;-93.358;;-2.524;-4.14;24.049;183.56;2.216;51.871;-132.762;-150.944;-202.862
890;-126.59;-338.952;-337.777;25.21;-73.461;;7.243;-0.961;25.558;182.058;14.82;58.705;-122.294;-142.686;-191.901
900;-118.023;-332.907;-339.788;31.88;-63.573;;18.373;2.23;26.31;179.57;26.218;65.08;-113.497;-144.288;-178.31
910;-109.602;-327.41;-341.29;38.848;-53.735;;29.662;3.394;26.28;174.446;35.32;65.11;-104.767;-145.881;-165.252
920;-100.546;-320.715;-342.085;42.699;-42.584;;40.292;4.569;25.922;167.446;45.79;65.849;-98.233;-148.976;-152.86
930;-94.672;-314.474;-341.32;45.036;-32.68;;51.539;5.819;24.886;157.503;53.92;67.063;-91.537;-150.192;-139.562
940;-85.974;-306.287;-340.772;46.394;-22.834;;63.425;7.639;24.315;145.626;62.961;64.858;-83.04;-146.65;-126.419
950;-79.165;-294.302;-337.493;46.823;-14.193;;75.366;8.188;23.742;134.136;71.663;63.245;-74.678;-142.799;-120.134
960;-70.375;-283.465;-335.057;48.036;-5.558;;86.983;8.879;21.74;121.645;80.795;60.744;-67.231;-134.242;-112.2
970;-62.24;-272.097;-331.325;48.956;2.636;;97.239;9.537;19.394;107.417;89.221;57.675;-60.055;-126.213;-106.209
980;-56.37;-261.72;-326.89;48.94;10.78;;107.38;8;19.25;93.83;98.16;58.06;-57.47;-119.43;-98.84
990;-50.552;-252.298;-323.455;48.745;18.916;;115.713;6.469;19.102;80.911;105.743;57.353;-55.204;-111.772;-92.017
1000;-45.437;-244.078;-318.523;49.742;29;;121.353;5.131;19.48;69.327;113.36;56.096;-53.083;-106.519;-83.125
1010;-40.682;-235.103;-314.085;49.901;38.632;;126.686;3.234;19.092;58.268;118.822;58.04;-50.938;-96.982;-74.409
1020;-36.383;-225.029;-308.132;47.693;48.186;;129.259;3.259;18.7;45.754;124.221;60.8;-45.272;-88.056;-63.939
1030;-29.964;-214.699;-302.276;46.996;56.21;;130.4;3.162;18.025;35.88;126.507;64.36;-39.604;-77.143;-46.96
1040;-22.213;-202.486;-295.419;45.999;64.224;;131.514;2.509;16.611;26.822;128.959;68.522;-32.638;-66.21;-34.764
1050;-13.216;-186.836;-289.621;44.407;73.367;;131.582;1.54;15.747;15.837;130.776;73.544;-25.677;-58.107;-23.352
1060;-4.097;-171.195;-280.992;42.37;81.222;;128.51;0.297;14.88;4.891;132.56;76.552;-19.484;-49.99;-10.088
1070;5.49;-156.339;-272.317;41.481;89.067;;125.301;-0.937;14.058;-6.18;133.737;79.977;-13.298;-42.938;3.344
1080;16.393;-142.505;-260.044;40.549;96.607;;122.165;-1.522;12.922;-18.238;134.885;83.264;-9.425;-35.869;15.185
1090;28.881;-128.209;-246.345;40.022;103.338;;117.916;-1.979;11.783;-30.018;134.503;86.059;-5.564;-27.617;26.989
1100;41.954;-114.408;-229.772;40.593;109.943;;112.581;-2.356;11.309;-40.119;134.1;87.242;-2.982;-21.597;33.715
1110;55.731;-96.308;-212.107;40.35;116.98;;107.445;-3.087;9.625;-49.772;132.771;90.936;-0.417;-13.533;39.485
1120;69.697;-75.767;-196.862;40.231;123.331;;102.297;-3.611;7.181;-58.552;131.423;94.52;1.216;-6.112;48.979
1130;84.391;-55.169;-181.32;40.414;129.536;;94.763;-3.981;4.736;-68.388;132.318;99.777;2.831;-0.725;56.757
1140;100.07;-32.616;-165.803;39.606;132.736;;86.628;-4.347;2.435;-77.397;133.189;105.403;6.43;5.289;64.681
1150;116.19;-12.004;-149.299;35.022;135.933;;76.953;-4.47;0.044;-86.062;136.982;111.378;10.004;13.259;70.448
1160;131.332;8.755;-133.423;30.367;139.04;;67.139;-4.749;-2.343;-93.573;140.744;116.963;19.171;23.08;79.041
1170;145.863;28.366;-115.284;25.644;140.82;;57.083;-5.194;-5.032;-99.874;142.372;121.733;27.587;34.04;88.357
1180;160.233;47.965;-98.7;20.05;142.593;;46.538;-4.512;-6.335;-104.83;143.968;126.17;36.175;41.03;101.088
1190;171.912;66.591;-79.761;16.081;144.114;;35.863;-4.384;-8.29;-110.359;143.603;130.539;42.615;48.244;114.15
1200;183.005;81.451;-63.725;13.376;143.711;;29.987;-4.283;-10.238;-113.754;143.208;132.778;54.799;53.62;128.641
1210;192.454;97.415;-46.958;11.997;142.98;;24.493;-4.176;-11.809;-117.997;139.951;134.757;67.833;58.952;141.748
1220;200.212;112.627;-31.377;9.1;142.889;;15.073;-4.543;-12.231;-122.29;137.314;137.212;78.06;69.683;158.646
1230;208.608;127.824;-14.704;6.016;142.8;;4.856;-4.904;-13.968;-126.664;135.504;137.88;89.784;80.368;174.12
1240;216.938;143.381;3.273;1.211;142.31;;-3.78;-5.101;-15.653;-131.471;133.476;139.552;101.778;87.226;187.692
1250;225.775;159.723;23.684;-3.186;140.059;;-9.169;-5.334;-17.255;-136.21;131.835;141.99;112.063;94.042;200.736
1260;235.206;175.829;44.122;-4.945;137.804;;-15.239;-5.005;-17.833;-140.656;130.853;144.222;123.696;100.778;211.998
1270;244.449;191.757;63.594;-8.564;133.925;;-18.38;-4.773;-18.406;-145.299;129.464;145.584;132.056;107.474;223.347
1280;251.729;207.425;83.083;-10.663;131.323;;-21.142;-3.777;-19.088;-149.517;129.008;146.863;140.362;115.592;228.632
1290;257.935;222.66;101.604;-13.804;128.598;;-23.708;-2.216;-18.971;-152.698;126.938;147.474;146.556;124.352;234.025
1300;262.775;234.475;121.852;-16.663;123.792;;-25.056;-0.652;-18.802;-154.405;123.965;146.651;152.864;133.982;240.473
1310;268.491;246.555;139.887;-17.569;118.987;;-25.46;0.872;-18.15;-156.548;120.587;149.286;159.06;143.412;243.558
1320;273.895;258.99;159.308;-19.708;114.271;;-25.586;2.2;-17.953;-158.89;116.833;152.34;165.359;149.659;246.696
1330;278.092;270.994;175.514;-23.727;109.994;;-25.87;2.893;-18.714;-159.711;113.634;155.114;173.747;156.305;252.594
1340;282.887;283.371;191.535;-26.369;105.716;;-26.037;3.37;-19.472;-160.977;111.411;158.551;182.073;164.93;258.901
1350;285.794;295.715;204.704;-28.645;101.258;;-26.448;4.455;-21.044;-163.294;108.954;162.081;192.929;175.993;264.658
1360;288.132;305.153;217.796;-30.012;96.359;;-27.069;5.907;-20.448;-164.755;105.597;163.034;203.863;186.964;271.297
1370;289.6;312.965;232.402;-31.142;91.43;;-27.679;7.366;-19.419;-167.28;102.502;163.343;219.305;199.012;278.885
1380;290.417;320.861;247.201;-33.15;85.66;;-26.61;8.833;-17.793;-169.583;97.704;161.029;234.716;211.024;288.127
1390;288.943;326.466;261.494;-36.677;81.159;;-24.901;10.085;-16.441;-171.631;92.636;158.171;246.108;224.835;294.945
1400;287.25;332.741;275.39;-39.315;76.658;;-22.529;11.104;-15.732;-173.97;87.79;155.285;257.47;238.614;301.738
1410;283.347;339.112;289.274;-43.113;71.407;;-21.519;12.208;-15.027;-175.118;83.275;150.669;259.857;249.342;304.067
1420;281.24;345.486;301.25;-46.049;66.156;;-20.084;13.237;-14.066;-176.319;79.378;146.024;262.215;260.037;306.266
1430;279.032;351.447;313.303;-47.983;60.928;;-19.243;13.172;-13.588;-178.186;75.515;141.818;262.444;266.411;304.673
1440;273.953;352.988;319.018;-52.71;52.651;;-21.561;11.251;-13.266;-180.821;69.16;132.694;258.247;269.701;298.153
1450;269.143;354.516;325.732;-55.61;44.429;;-28.728;9.212;-12.945;-184.269;62.606;124.643;247.179;271.781;289.953
1460;263.375;355.908;331.887;-56.923;35.967;;-34.054;7.494;-11.32;-186.124;58.451;112.832;237.85;276.407;280.932
1470;256.441;357.899;337.713;-56.968;27.167;;-34.509;6.268;-10.519;-186.861;56.579;102.138;229.983;276.243;267.699
1480;249.117;359.593;342.992;-56.982;18.367;;-34.233;6.124;-9.766;-186.577;52.588;92.404;223.055;274.752;253.946
1490;243.055;361.887;348.327;-55.4;9.743;;-33.771;6.297;-9.328;-186.501;49.851;84.16;215.852;276.123;241.825
1500;237.53;363.052;350.814;-53.232;3.099;;-33.378;6.509;-9.182;-186.639;46.154;75.116;208.939;277.644;227.672
1510;231.2;365.292;354.181;-52.811;-3.385;;-32.119;7.308;-9.392;-186.636;42.72;66.593;200.308;275.846;215.368
1520;225.092;367.677;357.276;-48.514;-8;;-30.367;8.106;-9.56;-186.073;39.406;58.19;193.779;272.214;202.368
1530;219.469;368.981;361.137;-44.637;-12.401;;-28.287;8.077;-9.377;-185.433;36.546;47.594;186.568;265.542;189.61
1540;213.125;368.774;365.108;-40.963;-16.741;;-26.366;8.069;-9.167;-184.581;34.927;37.578;180.892;255.261;176.349
1550;208.495;366.91;368.759;-37.165;-19.582;;-24.771;8.281;-8.957;-184.354;33.521;30.146;175.64;244.979;164.743
1560;202.407;365.855;372.019;-34.498;-22.237;;-23.113;7.946;-9.658;-182.763;30.356;22.859;170.714;235.057;155.578
1570;197.106;364.48;374.182;-31.612;-25.692;;-22.194;7.811;-11.513;-180.102;27.294;15.091;166.91;225.134;146.55
1580;192.552;363.545;374.058;-28.968;-29.31;;-21.823;8.083;-12.146;-179.023;22.072;5.265;164.037;215.513;135.354
1590;187.392;361.839;374.32;-27.381;-32.928;;-21.748;8.354;-12.779;-177.865;16.175;-3.855;162.512;205.892;126.279
1600;184.374;358.789;372.764;-26.106;-37.277;;-20.55;7.314;-11.877;-175.241;9.999;-10.983;159.665;197.977;118.153
1610;180.156;354.415;371.171;-24.863;-41.447;;-18.476;6.274;-12.353;-173.083;5.378;-18.67;156.778;189.847;110.708
1620;176.885;347.35;369.698;-23.503;-45.337;;-16.399;4.883;-12.912;-169.917;0.877;-25.603;147.161;183.557;101.116
1630;170.821;336.546;368.156;-20.932;-48.248;;-16.197;4.011;-13.779;-167.073;-2.076;-32.68;137.545;178.421;87.748
1640;167.076;325.804;366.714;-17.083;-51.16;;-16.422;3.291;-14.101;-164.488;-5.869;-39.183;128.223;170.684;77.52
1650;160.41;311.692;365.306;-14.596;-54.159;;-17.272;2.626;-13.692;-161.006;-10.829;-49.527;118.902;162.119;66.16
1660;152.134;297.31;361.459;-12.331;-55.977;;-17.407;3.292;-13.388;-157.103;-15.789;-57.949;113.299;154.833;56.924
1670;142.048;282.752;357.926;-9.735;-57.857;;-18.134;4.039;-12.912;-150.201;-19.523;-68.411;107.697;148.939;46.488
1680;131.001;267.159;352.995;-7.297;-59.977;;-18.52;4.902;-12.674;-139.96;-23.257;-78.949;101.743;149.486;36.211
1690;119.604;251.565;347.363;-5.724;-61.89;;-18.314;5.745;-12.557;-129.559;-26.346;-86.047;95.79;147.348;27.294
1700;107.272;234.65;340.697;-4.131;-63.283;;-17.577;6.247;-11.923;-121.234;-29.436;-93.372;90.731;147.37;19.135
1710;96.539;217.254;330.953;-3.228;-64.367;;-17.301;6.429;-10.687;-113.113;-32.106;-96.938;85.672;142.579;11.935
1720;86.279;199.087;321.848;-2.63;-65.189;;-16.459;6.659;-9.846;-104.236;-34.777;-100.886;81.166;137.996;3.741
1730;75.109;181.666;311.526;-1.281;-65.371;;-15.408;5.996;-9.004;-94.366;-38.71;-104.321;76.659;133.534;-4.134
1740;62.56;165.646;301.298;0.07;-64.807;;-14.295;5.092;-8.166;-85.975;-42.644;-109.912;70.012;129.396;-12.848
1750;48.749;151.567;290.61;1.657;-64.243;;-13.428;4.32;-5.742;-77.366;-48.604;-115.571;63.366;122.132;-19.517
1760;36.259;137.012;279.152;3.97;-64.841;;-12.266;3.575;-3.47;-69.33;-54.564;-123.11;55.691;114.635;-26.583
1770;23.48;122.531;265.741;5.204;-65.212;;-11.563;3.699;-0.574;-63.331;-60.441;-130.519;48.141;102.684;-33.381
1780;11.681;109.592;252.192;6.309;-65.735;;-10.494;4.063;2.007;-56.614;-66.319;-135.934;41.177;90.417;-38.926
1790;1.023;96.935;242.363;8.248;-65.658;;-9.281;4.476;4.778;-48.199;-72.281;-141.269;34.578;78.669;-44.175
1800;-7.919;85.328;231.938;9.12;-65.008;;-7.549;5.048;7.39;-39.621;-78.244;-147.992;26.592;69.167;-48.345
1810;-15.065;73.721;221.495;9.276;-62.759;;-6.316;6.148;9.903;-32.19;-80.113;-153.674;18.454;59.025;-51.218
1820;-22.24;62.218;211.315;9.963;-59.806;;-3.017;7.24;12.575;-23.946;-82.092;-159.164;10.805;47.435;-53.971
1830;-29.823;50.999;200.614;10.589;-56.852;;0.803;8.326;14.714;-15.534;-81.214;-161.014;2.895;35.364;-56.241
1840;-37.094;39.679;186.862;14.822;-55.175;;5.563;8.611;16.986;-6.378;-80.301;-162.946;-8.215;23.655;-60.859
1850;-46.261;29.661;175.087;19.436;-52.45;;6.87;9.477;19.103;2.622;-80.092;-167.208;-18.932;9.988;-65.661
1860;-54.393;18.44;163.152;21.779;-49.724;;7.418;10.247;22.095;14.167;-80.001;-170.59;-31.53;-2.908;-71.252
1870;-62.606;8.677;151.29;23.237;-47.234;;6.679;11.447;25.087;27.051;-83.204;-173.337;-41.509;-18.28;-77.721
1880;-67.81;2.706;138.274;24.16;-44.966;;6.48;12.127;27.334;38.735;-86.572;-175.803;-51.368;-34.843;-79.538
1890;-74.541;-3.301;125.386;24.76;-42.05;;6.521;12.793;28.491;49.377;-87.211;-178.09;-59.474;-51.24;-82.552
1900;-78.392;-5.814;110.938;25.343;-38.861;;5.403;13.459;29.72;57.506;-87.698;-174.817;-68.341;-67.601;-84.392
1910;-80;-11.691;99.156;24.735;-35.954;;5.233;13.165;30.949;64.299;-86.593;-172.164;-77.102;-83.963;-87.866
1920;-82.142;-17.841;86.004;23.84;-33.528;;5.703;12.92;33.077;68.873;-86.186;-167.472;-86.583;-101.945;-89.851
1930;-83.212;-22.112;74.964;24.015;-30.926;;6.629;12.785;35.114;70.058;-88.797;-162.028;-95.247;-120.003;-93.276
1940;-85.368;-27.612;65.303;24.45;-28.323;;6.497;13.912;37.048;70.52;-92.956;-157.658;-103.75;-136.985;-94.863
1950;-86.617;-32.04;56.126;24.479;-26.353;;5.949;15.359;37.286;71.241;-96.148;-154.454;-111.043;-154.622;-99.291
1960;-89.047;-37.186;52.159;24.363;-24.404;;5.476;16.737;36.072;68.69;-99.923;-150.808;-118.935;-169.423;-104.47
1970;-91.477;-42.116;47.93;23.953;-22.295;;5.343;18.114;34.883;65.524;-105.21;-150.321;-126.477;-182.975;-106.379
1980;-93.116;-47.17;45.001;23.25;-20.806;;5.05;20.076;33.797;60.755;-108.314;-149.386;-134.019;-194.066;-108.578
1990;-95.298;-53.749;41.637;22.476;-19.263;;4.412;22.157;32.579;60.515;-110.143;-149.308;-139.607;-204.327;-109.772
2000;-96.639;-61.349;36.985;21.928;-17.777;;3.83;24.17;30.098;60.435;-109.779;-149.229;-145.195;-209.674;-111.174
2010;-97.979;-69.681;32.257;21.317;-15.018;;3.361;25.742;27.617;60.094;-111.484;-148.021;-147.47;-215.498;-115.739
2020;-99.799;-78.087;28.23;20.454;-12.652;;1.771;26.473;24.232;60.552;-112.542;-146.812;-149.746;-215.05;-119.979
2030;-102.775;-87.292;22.044;19.079;-10.647;;1.832;27.277;20.491;60.69;-114.106;-147.008;-151.621;-215.593;-125.051
2040;-105.752;-97.251;11.872;16.975;-9.793;;2.301;28.15;16.185;59.488;-116.076;-147.284;-153.495;-215.003;-130.607
2050;-110.692;-103.85;1.83;15.05;-9.259;;3.877;29.543;11.879;60.269;-117.127;-148.154;-154.07;-216.152;-136.994
2060;-116.56;-110.497;-6.982;12.841;-10.332;;5.112;30.937;7.914;60.539;-120.898;-150.065;-154.646;-217.383;-144.422
2070;-122.247;-117.735;-16.674;10.247;-8.486;;3.794;32.4;4.332;58.639;-125.229;-149.29;-156.817;-215.968;-151.585
2080;-127.872;-126.919;-23.594;7.754;-6.825;;2.691;33.746;0.817;56.841;-129.948;-150.717;-158.953;-214.753;-159.313
2090;-134.073;-136.326;-28.223;2.236;-3.874;;0.348;35.459;-2.652;57.276;-134.626;-152.425;-159.023;-214.652;-165.445
2100;-139.167;-145.847;-34.026;-4.571;-2.404;;0.754;37.166;-6.223;56.23;-138.21;-154.284;-158.997;-216.232;-170.894
2110;-144.268;-155.068;-39.834;-9.059;-1.423;;1.141;37.775;-10.397;52.909;-141.033;-151.103;-157.119;-217.239;-176.646
2120;-149.876;-164.13;-47.662;-14.102;-2.399;;3.087;37.865;-14.811;48.128;-141.028;-148.095;-155.474;-216.126;-179.855
2130;-155.414;-173.233;-55.338;-19.206;-3.615;;4.997;37.017;-18.874;42.643;-141.342;-144.247;-153.47;-214.086;-182.568
2140;-159.232;-181.219;-63.334;-23.578;-4.672;;6.88;36.048;-22.11;35.379;-143.629;-140.447;-151.728;-209.888;-186.561
2150;-163.781;-189.113;-69.618;-27.53;-5.956;;8.683;34.983;-25.61;29.185;-146.836;-139.393;-148.666;-204.677;-193.128
2160;-167.699;-195.277;-76.6;-29.923;-8.32;;8.579;33.839;-29.026;23.811;-152.166;-138.677;-145.577;-201.814;-198.723
2170;-171.16;-200.881;-82.462;-32.159;-10.301;;8.572;32.701;-32.694;19.153;-158.055;-137.646;-142.007;-197.432;-203.211
2180;-175.439;-206.897;-88.579;-35.055;-11.748;;8.566;31.403;-36.545;16.068;-161.154;-138.655;-138.368;-193.374;-208.258
2190;-178.942;-210.811;-97.51;-38.008;-13.463;;9.512;28.946;-40.458;13.925;-163.549;-146.462;-135.05;-188.197;-213.305
2200;-183.603;-214.486;-106.746;-41.479;-14.389;;10.375;26.313;-43.56;14.041;-167.09;-153.21;-131.723;-181.797;-216.539
2210;-187.447;-216.876;-119.127;-45.095;-15.914;;10.652;23.639;-45.68;17.406;-169.885;-159.957;-127.796;-175.397;-219.788
2220;-190.52;-218.946;-131.756;-48.03;-17.662;;10.103;21.084;-46.68;21.623;-171.101;-164.752;-123.728;-170.088;-224.327
2230;-192.993;-221.575;-145.123;-50.873;-20.114;;9.727;18.309;-47.625;26.048;-171.743;-169.546;-119.661;-166.419;-227.692
2240;-195.233;-224.204;-158.05;-53.861;-22.709;;10.695;15.659;-48.117;28.901;-173.635;-169.697;-114.975;-163.305;-231.898
2250;-197.557;-226.543;-169.117;-56.498;-25.263;;11.381;12.782;-49.03;31.801;-174.931;-169.847;-110.29;-159.71;-237.789
2260;-201.073;-227.71;-180.528;-58.055;-27.887;;12.557;9.502;-49.343;35.474;-174.297;-168.034;-106.032;-155.537;-240.274
2270;-203.572;-229.131;-190.441;-59.189;-30.15;;14.814;6.208;-49.971;39.01;-172.905;-166.222;-101.774;-149.203;-243.32
2280;-206.044;-230.714;-197.563;-60.022;-31.73;;15.335;2.348;-50.077;43.574;-170.931;-162.52;-92.888;-143.291;-245.312
2290;-208.652;-231.855;-203.79;-60.8;-33.709;;15.057;-1.513;-49.946;48.11;-167.379;-159.232;-84.003;-136.899;-248.274
2300;-210.981;-235.433;-209.914;-61.276;-35.175;;14.56;-6.258;-50.695;51.79;-164.636;-152.724;-79.985;-131.379;-250.597
2310;-213.451;-239.052;-217.279;-62.28;-37.083;;14.892;-10.948;-51.594;55.539;-161.566;-146.748;-75.76;-127.081;-251.233
2320;-216.272;-241.352;-224.128;-63.457;-42.612;;15.342;-16.194;-52.881;60.021;-157.942;-139.051;-72.454;-124.334;-251.909
2330;-218.692;-241.865;-231.297;-64.883;-48.211;;15.371;-20.201;-54.634;65.859;-154.199;-131.279;-68.968;-121.655;-251.356
2340;-220.277;-241.273;-238.095;-66.55;-55.032;;15.16;-23.734;-55.902;69.196;-150.502;-121.866;-62.978;-120.497;-252.812
2350;-220.415;-241.71;-243.014;-68.117;-60.49;;14.854;-28.026;-57.964;73.743;-143.777;-112.64;-56.953;-117.817;-254.313
2360;-220.993;-240.799;-248.091;-69.746;-65.44;;14.589;-31.015;-60.272;78.788;-137.866;-110.411;-52.099;-113.777;-256.632
2370;-221.211;-238.771;-251.058;-69.982;-68.651;;13.326;-34.404;-62.774;84.109;-131.421;-108.099;-47.287;-111.932;-261.16
2380;-221.654;-237.379;-252.956;-70.835;-70.982;;11.84;-36.786;-65.472;91.538;-124.614;-107.212;-42.978;-106.368;-264.368
2390;-222;-236.76;-254.486;-71.706;-74.03;;10.628;-38.768;-67.839;98.407;-114.774;-106.146;-38.69;-103.341;-263.106
2400;-222.386;-235.404;-256.356;-72.716;-78.479;;10.29;-41.095;-69.286;104.779;-103.924;-102.846;-34.712;-100.953;-259.084
2410;-222.461;-232.972;-257.888;-74.084;-82.04;;11.272;-43.712;-70.65;110.774;-93.458;-99.214;-30.748;-96.287;-254.752
2420;-222.781;-230.906;-259.381;-74.535;-85.819;;12.051;-46.79;-71.458;117.106;-82.473;-97.462;-26.877;-90.701;-251.65
2430;-222.679;-229.708;-261.639;-75.055;-90.098;;12.472;-49.628;-72.172;123.434;-72.661;-95.752;-23.241;-84.721;-247.908
2440;-222.501;-228.989;-262.321;-75.08;-93.647;;11.812;-52.465;-73.887;129.715;-63.339;-87.721;-19.218;-77.059;-242.535
2450;-221.793;-229.034;-262.568;-74.868;-97.774;;11.239;-53.948;-76.406;135.977;-54.386;-77.781;-15.534;-69.287;-236.163
2460;-220.931;-228.724;-262.039;-74.486;-101.204;;11.28;-55.43;-78.499;142.239;-46.247;-67.84;-11.857;-62.008;-229.123
2470;-220.349;-227.819;-261.356;-73.657;-104.146;;11.401;-56.748;-81.542;148.872;-36.847;-56.177;-7.948;-54.768;-221.586
2480;-220.506;-226.697;-260.113;-73.423;-106.211;;11.465;-57.975;-83.197;155.45;-28.281;-44.513;-4.039;-45.937;-215.244
2490;-220.575;-225.241;-258.77;-73.108;-108.316;;10.43;-60.259;-85.349;160.83;-21.541;-35.559;-0.374;-38.065;-205.716
2500;-220.781;-224.567;-257.447;-71.269;-110.343;;9.85;-62.543;-87.294;168.582;-15.063;-27.266;3.291;-30.783;-195.137
2510;-220.953;-225.324;-255.406;-70.379;-110.731;;8.35;-63.943;-90.211;176.305;-5.986;-20.374;6.229;-23.502;-184.077
2520;-221.314;-226.41;-252.884;-69.768;-111.472;;6.61;-65.623;-93.443;181.167;2.451;-13.833;9.167;-17.946;-174.406
2530;-221.794;-227.463;-251.484;-69.541;-112.021;;4.687;-66.989;-97.334;185.106;10.528;-3.666;6.801;-11.95;-165.374
2540;-222.841;-228.537;-250.323;-70.015;-111.997;;3.527;-68.714;-100.625;189.766;17.579;6.68;4.436;-6.593;-156.709
2550;-224.183;-229.734;-249.321;-70.379;-111.8;;2.79;-71.153;-103.388;192.247;25.75;17.495;7.697;0.29;-148.636
2560;-225.566;-230.331;-247.735;-69.815;-110.643;;1.694;-73.552;-106.201;195.897;33.995;27.538;10.95;10.116;-137.363
2570;-227.356;-231.309;-246.301;-69.113;-108.652;;0.284;-75.677;-109.097;199.261;41.959;35.869;13.548;21.073;-124.258
2580;-228.887;-231.629;-244.73;-68.286;-106.672;;-0.659;-78.6;-112.592;199.469;49.568;44.159;16.11;31.49;-112.292
2590;-229.942;-233.04;-243.599;-67.27;-104.041;;-1.512;-81.771;-116.621;199.353;57.898;52.477;14.921;43.897;-98.872
2600;-231.564;-233.422;-242.753;-66.383;-101.091;;-2.83;-83.542;-120.01;197.124;62.737;61.43;13.705;54.37;-84.866
2610;-232.754;-234.148;-241.819;-64.828;-98.634;;-4.135;-85.761;-122.905;195.123;67.975;70.068;13.99;63.586;-70.463
2620;-232.535;-233.717;-240.863;-63.279;-93.898;;-5.115;-87.748;-125.563;193.648;72.499;79.153;14.269;71.993;-54.439
2630;-231.284;-231.65;-240.23;-60.775;-90.124;;-5.281;-89.734;-127.459;192.243;78.103;89.799;14.428;76.611;-39.43
2640;-230.102;-228.942;-239.196;-55.989;-84.252;;-7.761;-92.759;-129.468;192.688;81.192;100.61;14.662;82.081;-26.502
2650;-228.906;-227.581;-238.967;-51.099;-77.05;;-10.703;-95.756;-132.037;193.217;85.68;112.861;14.512;88.709;-13.072
2660;-226.51;-224.578;-238.349;-43.764;-69.531;;-13.501;-98.913;-134.643;193.708;90.726;125.381;14.43;95.817;-0.441
2670;-224.103;-223.043;-237.411;-37.194;-62.008;;-16.428;-102.07;-137.239;194.543;95.771;136.261;16.564;101.839;13.891
2680;-221.477;-219.948;-236.276;-29.217;-53.488;;-19.516;-104.65;-138.594;194.021;101.563;146.777;18.353;109.069;33.386
2690;-219.161;-217.022;-235.284;-20.714;-43.295;;-22.21;-107.407;-139.164;194.04;107.354;157.852;19.818;113.149;51.561
2700;-216.583;-213.566;-234.775;-12.215;-33.484;;-25.29;-111.011;-138.334;194.339;113.208;168.563;21.24;116.412;71.759
2710;-213.982;-210.777;-233.396;-3.448;-20.833;;-29.426;-115.215;-137.142;193.647;119.062;179.425;22.331;118.55;91.04
2720;-210;-207.561;-231.914;4.934;-8.608;;-33.473;-119.532;-135.95;192.063;122.903;190.99;23.64;121.368;106.865
2730;-205.978;-204.309;-230.513;13.557;5.017;;-37.855;-123.45;-134.899;188.818;126.745;202.604;24.97;124.777;120.003
2740;-202.382;-200.095;-228.823;22.153;18.606;;-41.919;-126.377;-133.952;186.149;133.581;215.091;25.837;129.276;130.023
