timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
6730;-28.804;-14.898;92.257;-61.378;-46.297;;-1.577;-26.153;-56.706;-190.069;-179.566;-217.24;-24.472;-81.836;-190.554
6740;-47.836;-32.92;75.862;-60.53;-43.374;;-11.408;-30.208;-60.28;-188.93;-181.777;-220.461;-23.501;-86.103;-188.057
6750;-63.382;-48.059;59.324;-59.292;-42.295;;-18.081;-34.208;-65.094;-187.818;-183.861;-223.661;-22.53;-89.794;-185.269
6760;-79.945;-63.095;43.466;-57.695;-41.337;;-25.634;-38.128;-70.432;-187.68;-185.117;-223.881;-20.996;-90.726;-181.281
6770;-95.188;-76.756;27.608;-56.788;-40.119;;-30.739;-41.986;-75.669;-187.411;-185.45;-224.302;-19.462;-90.721;-176.797
6780;-107.863;-90.281;12.429;-56.473;-39.461;;-34.978;-46.644;-81.228;-185.906;-185.091;-222.873;-17.079;-90.957;-171.789
6790;-121.713;-103.807;-1.67;-56.418;-37.888;;-38.079;-51.199;-86.63;-184.332;-184.061;-222.439;-14.695;-90.812;-167.126
6800;-132.203;-115.426;-15.908;-57.043;-36.836;;-41.746;-54.433;-92.21;-183.039;-183.11;-221.663;-12.234;-91.556;-165.27
6810;-142.43;-124.248;-28.366;-58.047;-37.272;;-45.455;-57.647;-97.65;-182.007;-182.215;-221.017;-9.835;-92.023;-163.532
6820;-148.211;-133.07;-39.855;-58.977;-36.908;;-50.577;-62.501;-103.203;-181.291;-180.639;-219.767;-7.586;-93.905;-163.32
6830;-150.352;-141.361;-51.338;-59.906;-38.074;;-55.698;-67.272;-108.302;-180.982;-179.062;-217.408;-5.672;-95.786;-162.977
6840;-152.531;-148.317;-62.621;-61.47;-39.441;;-61.292;-72.243;-114.314;-180.553;-178.258;-214.498;-3.861;-97.808;-162.269
6850;-153.138;-156.033;-74.672;-63.034;-41.251;;-66.887;-77.608;-119.345;-179.903;-177.44;-212.741;-2.043;-99.83;-161.713
6860;-153.783;-159.872;-85.506;-65.549;-43.181;;-73.692;-83.014;-124.688;-180.214;-178.381;-210.823;-0.17;-98.938;-160.021
6870;-153.957;-163.586;-93.594;-68.16;-45.542;;-80.498;-88.17;-128.839;-180.607;-179.556;-209.674;1.28;-98.046;-158.266
6880;-154.12;-165.065;-101.993;-71.833;-47.783;;-86.218;-92.99;-133.985;-179.44;-181.999;-208.525;3.17;-95.91;-155.992
6890;-154.262;-167.018;-108.473;-75.555;-49.709;;-91.938;-96.806;-138.407;-178.494;-184.186;-207.865;5.059;-93.865;-153.117
6900;-154.945;-168.854;-114.161;-78.618;-51.354;;-97.808;-100.538;-142.317;-176.948;-186.607;-207.225;7.316;-92.266;-150.643
6910;-156.015;-170.381;-120.16;-81.716;-53.568;;-103.719;-104.937;-146.188;-175.705;-188.848;-206.806;9.572;-91.986;-147.589
6920;-157.683;-172.379;-125.284;-84.917;-55.622;;-109.648;-109.149;-149.257;-176.222;-189.84;-205.279;12.814;-92.222;-144.095
6930;-160.839;-174.026;-130.121;-87.891;-58.666;;-115.418;-113.145;-151.206;-176.725;-190.112;-203.077;16.055;-92.637;-140.732
6940;-164.695;-176.669;-134.614;-91.127;-61.71;;-118.335;-117.148;-153.639;-175.861;-190.265;-198.796;19.702;-92.337;-136.85
6950;-169.684;-180.022;-139.306;-94.284;-64.086;;-121.452;-120.39;-154.592;-175.086;-188.618;-193.834;23.349;-89.505;-132.994
6960;-175.658;-183.596;-144.302;-96.368;-67.621;;-124.145;-123.006;-155.469;-172.712;-186.083;-189.068;26.161;-84.778;-128.097
6970;-181.404;-187.622;-149.353;-98.252;-70.084;;-127.517;-125.301;-156.866;-170.352;-181.948;-185.301;28.487;-81.731;-123.13
6980;-187.45;-191.372;-155.884;-100.295;-72.268;;-130.71;-127.175;-157.658;-167.029;-177.812;-183.497;30.737;-79.077;-117.028
6990;-192.354;-195.808;-162.56;-102.338;-74.502;;-132.983;-127.97;-157.05;-163.651;-171.477;-181.892;31.997;-76.183;-110.822
7000;-197.313;-201.659;-168.498;-104.643;-75.617;;-135.139;-128.881;-156.149;-160.085;-165.266;-179.277;33.258;-73.738;-105.676
7010;-200.832;-207.531;-173.196;-107.548;-76.048;;-136.055;-129.273;-154.648;-155.32;-158.455;-178.422;33.095;-71.652;-101.977
7020;-203.412;-213.964;-178.19;-110.956;-77.36;;-137.178;-129.761;-152.935;-149.923;-151.686;-176.086;32.932;-69.367;-98.254
7030;-205.654;-218.644;-182.331;-114.586;-78.996;;-138.434;-129.672;-150.949;-143.989;-143.423;-174.508;31.91;-66.193;-95.601
7040;-207.295;-223.324;-186.832;-118.217;-82.312;;-139.691;-129.458;-149.414;-138.575;-135.161;-171.21;31.207;-63.019;-93.269
7050;-209.083;-226.785;-191.505;-121.179;-85.439;;-140.905;-128.815;-147.868;-134.301;-126.914;-167.739;30.503;-60.255;-88.834
