timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1120;-1.061;57.126;5.344;-10.615;49.985;-1.075;-7.976;37.591;12.281;32.844;-5.385;-40.299;6.242;3.034;21.537
1130;-0.677;57.602;7.037;-8.687;52.52;-1.339;-2.967;35.901;14.148;31.577;-4.598;-38.195;7.257;1.113;22.616
1140;-0.283;58.08;10.421;-6.477;54.801;-1.636;1.727;34.464;16.014;30.632;-3.935;-36.087;7.953;-0.794;22.862
1150;-0.16;58.562;13.794;-4.264;54.972;-1.649;5.292;32.713;17.334;30.891;-3.272;-33.975;8.768;-0.818;24.595
1160;0.489;58.166;17.155;-2.05;55.153;-1.515;8.926;31.01;18.655;31.154;-2.61;-31.223;9.943;-0.111;23.772
1170;-0.412;56.888;19.266;0.166;55.945;-1.261;12.933;28.646;19.206;31.422;-1.708;-28.464;10.517;-0.46;22.916
1180;-3.065;55.612;21.158;2.167;50.313;0.193;18.128;26.25;19.758;31.693;-0.807;-25.698;11.025;-0.39;22.705
1190;-5.742;54.337;22.804;4.613;44.698;1.508;22.567;24.019;20.462;31.706;0.615;-22.926;12.134;2.145;22.062
1200;-9.01;52.503;24.442;7.064;40.137;3.945;28.669;22.176;21.166;31.722;2.011;-19.573;13.251;4.376;21.409
1210;-11.935;50.139;22.339;9.521;37.497;6.125;32.88;20.066;21.597;31.742;3.407;-16.213;14.569;6.353;23.285
1220;-14.377;47.779;21.557;11.982;34.87;8.151;37.313;18.086;21.51;31.765;4.804;-12.846;16.041;8.059;25.167
1230;-15.528;45.424;20.776;14.328;31.136;9.68;41.088;16.112;21.392;31.792;6.04;-6.168;17.992;8.776;26.016
1240;-16.357;43.153;19.717;17.601;27.676;10.935;44.854;13.982;20.795;31.487;7.277;0.513;19.111;9.703;26.873
1250;-16.503;41.244;20.579;20.88;27.504;12.717;49.789;12.345;20.247;31.187;8.433;7.196;19.953;10.773;27.912
