timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
710;-223.648;-350.875;-303.057;-364.951;-243.386;-224.614;-103.63;-115.021;-115.013;-132.246;-92.925;-107.466;-349.761;137.192;-235.477
720;-205.122;-348.878;-290.728;-368.483;-249.983;-203.371;-101.981;-111.12;-115.201;-131.131;-85.707;-105.039;-337.465;153.571;-213.089
730;-188.987;-349.333;-286.52;-371.107;-257.56;-187.52;-98.707;-107.56;-115.32;-130.173;-79.547;-103.693;-324.387;168.213;-193.547
740;-175.549;-350.102;-282.974;-373.253;-265.816;-172.484;-95.625;-104.52;-115.632;-129.566;-76.22;-102.612;-312.934;180.086;-182.132
750;-163.229;-350.866;-279.128;-375.747;-273.854;-158.099;-91.255;-101.827;-115.497;-128.586;-73.286;-101.498;-296.773;187.39;-173.342
760;-151.658;-351.641;-275.786;-377.709;-281.671;-144.85;-87.265;-95.043;-115.496;-127.983;-72.679;-100.449;-277.748;193.291;-164.59
770;-139.673;-350.708;-272.244;-378.963;-288.272;-132.809;-83.684;-89.111;-115.185;-125.748;-72.111;-98.773;-260.099;200.768;-153.514
780;-128.05;-349.95;-268.05;-380.55;-295.438;-119.788;-80.5;-84.475;-115.075;-123.775;-72.238;-96.25;-244.1;207.462;-140.9
790;-117.524;-348.859;-264.372;-382.986;-302.455;-107.099;-77.363;-80.353;-114.344;-121.938;-72.346;-92.508;-230.081;214.894;-129.702
800;-108.756;-347.904;-261.095;-385.303;-310.506;-94.952;-74.441;-78.742;-113.863;-118.204;-72.572;-89.2;-217.474;220.008;-115.264
810;-101.546;-347.191;-258.2;-387.732;-317.867;-83.777;-71.642;-76.891;-113.031;-114.542;-72.521;-88.421;-205.056;224.607;-101.948
