timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
710;-135.017;-297.028;-281.842;-144.645;-173.867;-95.391;-87.958;-101.818;-131.454;-1.602;-35.22;-225.766;17.285;-183.02;-64.863
720;-139.008;-301.929;-284.763;-128.442;-159.637;-82.78;-74.61;-95.533;-125.328;3.042;-40.187;-209.261;24.378;-157.214;-42.218
730;-142.267;-307.32;-289.827;-114.267;-144.893;-74.533;-62.987;-86.747;-120.027;10.173;-48.787;-192.613;31.413;-133.973;-21.533
740;-146.145;-312.674;-295.016;-99.783;-131.724;-67.211;-52.635;-78.704;-115.171;16.569;-56.572;-177.75;38.605;-113.599;-7.911
750;-150.602;-318.445;-299.196;-86.898;-119.63;-60.536;-44.679;-71.522;-109.049;21.358;-62.503;-164.662;41.022;-93.541;4.494
760;-153.329;-324.038;-301.556;-75.316;-108.667;-53.115;-37.556;-65.393;-103.812;25.308;-67.312;-154.731;41.389;-84.227;16.628
770;-156.261;-329.656;-304.189;-64.833;-97.126;-46.387;-29.977;-60.054;-97.763;28.05;-71.523;-145.868;44.658;-76.21;28.24
780;-161.163;-333.913;-307.337;-52.562;-86.525;-39.15;-23.112;-55.2;-92.325;30.975;-74.362;-137.95;47.762;-72.188;34.35
790;-166.035;-336.328;-310.617;-41.379;-71.801;-32.513;-16.875;-50.014;-87.347;32.924;-77.266;-130.797;50.958;-67.764;40.469
800;-172.272;-338.952;-315.297;-28.941;-58.305;-26.101;-11.214;-45.282;-82.686;34.579;-79.591;-122.42;56.252;-63.139;51.867
810;-178.639;-341.585;-320.205;-17.523;-46.045;-20.169;-5.711;-40.944;-78.973;36.191;-82.661;-114.751;60.333;-58.935;62.562
820;-183.869;-344.315;-324.655;-7.065;-34.702;-13.78;-2.244;-36.143;-77.101;39.464;-87.393;-105.726;60.637;-54.786;70.107
830;-188.588;-346.732;-328.224;2.612;-24.348;-7.842;0.991;-31.704;-75.409;43.289;-91.301;-97.734;61.609;-50.139;82.226
840;-183.516;-344.688;-327.714;22.891;-0.702;12.436;15.812;-22.487;-65.9;56.38;-89.694;-70.571;66.89;-14.264;104.329
