timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
710;-122.546;-122.034;-133.202;-44.268;-13.803;-58.739;-34.49;-172.079;-182.868;-135.435;-230.217;241.8;-61.333;-115.074;-136.674
720;-117.405;-121.672;-117.691;-21.139;-5.054;-54.722;-33.716;-163.43;-179.315;-127.546;-218.691;232.654;-58.212;-112.838;-126.577
730;-112.587;-125.693;-104.16;-0.88;3.36;-51.213;-32.6;-156.867;-174.12;-121.44;-205.933;224.573;-55.28;-107.373;-115.613
740;-108.632;-129.332;-93.816;17.039;10.819;-47.763;-31.289;-150.786;-167.342;-116.125;-194.859;215.671;-52.753;-101.507;-106.036
750;-102.17;-129.379;-84.334;27.628;10.9;-45.429;-30.167;-145.541;-159.928;-110.747;-184.894;207.821;-50.697;-96.41;-96.01
760;-96.538;-129.509;-79.094;37.18;10.974;-43.303;-29.308;-139.962;-153.893;-106.004;-174.419;200.812;-47.368;-92.521;-87.141
770;-91.097;-129.641;-74.375;45.853;11.107;-41.356;-28.7;-135.4;-147.32;-98.626;-165.091;194.651;-43.176;-89.109;-79.032
780;-86.25;-126.525;-69.712;52.263;9.038;-38.825;-28.188;-131.337;-141.462;-92.012;-156.587;188.525;-39.513;-85.113;-71.75
790;-82.864;-123.312;-66.25;58.132;6.122;-33.873;-27.698;-127.476;-136.4;-85.291;-148.064;182.996;-36.034;-81.533;-65.176
800;-80.244;-120.377;-63.054;63.533;3.449;-29.288;-27.111;-122.045;-130.835;-78.8;-140.339;175.753;-32.492;-78.111;-59.19
810;-77.917;-116.727;-59.802;67.629;4.684;-25.026;-26.48;-116.174;-125.093;-72.87;-133.31;169.166;-30.169;-75.01;-53.734
820;-74.917;-113.619;-55.97;71.429;5.679;-20.893;-26.185;-110.685;-119.44;-67.339;-126.524;162.548;-28.012;-72.488;-48.929
830;-72.184;-108.802;-52.391;74.967;6.569;-16.016;-25.986;-105.671;-114.452;-62.24;-120.296;156.572;-26.304;-70.405;-44.544
840;-63.582;-99.538;-36.128;92.271;16.043;-5.683;-23.731;-87.604;-102.207;-49.891;-100.32;142.431;-19.2;-61.068;-28.628
850;-54.964;-90.282;-18.767;109.122;25.756;4.621;-21.413;-69.396;-89.691;-37.541;-80.314;128.329;-11.764;-51.495;-12.696
860;-47.002;-76.395;-1.427;125.961;35.473;14.58;-20.069;-58.776;-80.057;-27.258;-60.262;114.089;-6.935;-42.868;3.166
870;-39.099;-65.529;7.144;141.609;44.594;25.278;-19.189;-50.357;-70.203;-16.97;-40.206;99.764;-2.021;-34.866;12.917
880;-30.909;-54.68;16.656;147.351;50.049;30.838;-18.329;-41.529;-60.562;-6.416;-30.691;84.262;1.364;-28.616;21.931
890;-27.255;-42.608;26.148;153.108;55.476;36.379;-17.668;-33.212;-54.52;0.582;-21.17;71.112;4.622;-23.245;28.232
900;-23.58;-32.76;33.545;157.825;59.877;41.478;-17.817;-24.933;-47.051;7.584;-11.643;58.63;6.314;-19.667;34.54
910;-21.313;-26.569;40.923;156.778;62.246;47.689;-17.959;-16.666;-39.376;12.029;-5.554;47.606;8.002;-15.865;37.049
920;-19.022;-20.985;48.326;155.766;64.579;51.653;-18.499;-9.717;-31.821;16.477;0.224;36.331;9.405;-12.896;39.576
930;-17.762;-15.413;49.029;154.787;64.318;55.608;-18.718;-4.341;-25.196;19.347;6.013;27.459;10.297;-9.507;39.653
940;-16.47;-8.851;49.715;147.816;60.144;59.505;-18.93;1.017;-18.048;22.221;9.21;19.172;10.517;-7.354;39.747
950;-14.955;-0.534;49.363;140.88;55.134;61.755;-19.047;4.885;-11.736;24.232;12.469;12.52;10.701;-5.133;39.428
960;-15.163;7.782;44.495;133.978;49.27;64.919;-19.436;8.862;-6.67;25.69;16.415;5.901;10.798;-1.38;38.373
970;-14.42;16.057;39.631;122.096;44.472;68.077;-19.817;12.817;-1.781;29.164;20.369;-0.278;11.901;1.857;37.32
980;-14.37;26.34;34.93;110.25;39.5;71.44;-19.86;18.08;1.99;32.97;22.77;-6.34;13.22;2.94;34.93
990;-14.294;35.353;32.95;98.439;35.078;73.873;-19.999;21.884;4.825;36.787;26.055;-11.411;14.941;2.587;32.561
1000;-15.502;41.932;30.97;90.211;35.126;76.817;-20.136;25.668;5.924;38.113;29.344;-17.079;16.849;4.146;30.227
1010;-16.695;48.526;32.029;82.003;35.447;79.752;-19.952;29.027;6.755;39.45;31.31;-22.703;17.315;6.107;27.908
1020;-19.434;53.655;34.794;73.817;37.192;83.159;-19.368;34.074;7.377;39.185;33.003;-28.884;16.517;7.43;25.006
1030;-22.154;56.474;37.547;65.021;40.724;83.869;-18.585;39.027;9.962;38.93;34.701;-34.465;15.707;8.196;22.114
1040;-24.236;59.302;40.985;56.221;43.675;82.401;-17.796;43.813;13.588;37.313;35.685;-38.324;15.053;8.976;17.766
1050;-26.315;61.619;44.331;47.419;46.944;80.916;-17.272;46.61;16.202;35.705;36.215;-40.097;14.416;9.678;13.434
1060;-28.899;63.665;47.831;38.099;46.81;79.601;-17.071;48.629;19.681;33.542;36.747;-42.91;14.815;11.174;10.01
1070;-31.867;65.909;50.797;28.763;46.6;75.466;-16.927;50.989;23.584;31.426;37.002;-45.673;15.23;12.669;6.329
1080;-34.298;66.598;53.747;19.413;46.389;70.313;-16.382;53.173;27.658;29.798;37.142;-48.785;15.682;14.351;3.551
1090;-36.207;67.277;56.711;10.057;43.257;65.141;-15.116;55.732;30.442;27.53;37.326;-51.85;16.094;14.715;1.154
1100;-38.113;68.347;56.74;2.646;40.775;59.729;-13.876;58.123;30.817;25.272;37.515;-54.709;16.785;14.52;-1.227
1110;-38.955;64.731;56.755;-4.778;38.28;55.223;-12.213;60.858;31.45;24.904;37.456;-56.039;16.926;13.383;-4.574
1120;-39.804;61.106;56.309;-12.225;34.813;49.945;-11.572;63.78;31.869;24.546;37.605;-56.997;17.101;12.97;-7.908
1130;-40.784;57.433;56.057;-19.165;31.569;44.654;-10.93;66.682;32.139;24.23;37.762;-56.539;17.073;12.725;-10.557
1140;-41.761;52.167;55.801;-26.118;28.309;39.014;-10.415;69.24;33.943;23.922;37.866;-56.953;17.112;13.8;-13.192
1150;-41.967;47.258;54.734;-32.775;24.553;36.969;-8.463;70.813;35.775;23.902;38.298;-57.945;17.708;15.087;-12.395
1160;-41.687;45.588;54.625;-40.73;20.647;33.797;-6.51;72.369;38.507;22.574;38.739;-59.892;18.376;16.133;-10.663
