timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
600;-311.348;-200.748;-195.764
610;-294.293;-189.334;-195.338
620;-279.187;-179.52;-189.28
630;-266.059;-167.438;-184.089
640;-252.676;-156.834;-179.607
650;-240.97;-147.462;-175.714
660;-230.574;-138.528;-172.312
670;-221.288;-130.538;-169.325
680;-211.388;-123.355;-164.356
690;-202.465;-117.307;-159.921
700;-194.387;-111.832;-155.948
710;-186.637;-106.857;-152.375
720;-179.574;-102.819;-149.153
730;-161.193;-90.753;-143.047
740;-142.139;-78.67;-136.915
750;-123.061;-66.633;-126.617
760;-103.96;-55.376;-116.3
770;-87.236;-44.1;-105.964
780;-70.446;-33.068;-95.611
790;-53.636;-25.895;-85.239
800;-42.966;-18.702;-76.251
810;-32.267;-11.244;-67.246
820;-21.549;-7.168;-58.882
830;-16.215;-3.076;-50.504
840;-10.791;1.786;-42.113
850;-5.351;3.981;-33.708
860;-2.098;6.189;-25.29
870;2.55;8.63;-20.46
880;7.209;8.844;-14.707
890;10.598;9.072;-8.939
900;15.501;9.503;-3.157
910;20.415;9.428;2.638
920;25.341;9.366;8.446
930;28.574;9.328;12.066
940;31.823;9.582;15.699
950;35.087;9.849;20.234
960;36.726;9.612;24.779
970;38.135;9.829;29.336
980;39.561;10.061;33.904
990;40.526;10.453;38.483
1000;41.633;10.737;39.111
1010;42.754;11.035;39.75
1020;43.57;11.85;39.365
1030;44.919;12.798;38.992
1040;46.278;13.756;38.63
1050;47.927;15.114;38.279
1060;50.493;16.324;37.938
1070;53.068;17.545;38.328
1080;55.652;18.838;39.523
1090;57.907;19.503;40.726
1100;60.17;20.18;41.937
1110;62.441;20.284;43.156
1120;62.44;20.12;44.384
1130;62.478;19.969;44.579
1140;62.524;20.028;44.782
1150;61.496;19.859;44.08
1160;60.529;19.7;43.384
1170;59.568;19.188;42.694
1180;58.692;18.649;42.01
1190;57.875;18.125;41.333
1200;57.062;17.471;39.782
1210;57.373;17.186;38.236
1220;56.271;16.8;37.284
1230;55.173;16.225;36.339
1240;53.959;15.54;35.4
1250;53.195;14.772;34.467
1260;52.433;14.295;33.54
1270;51.674;13.35;33.539
1280;51.539;12.473;34.491
1290;51.405;12.005;35.449
1300;51.27;11.108;36.412
1310;50.736;10.22;37.38
1320;50.201;9.542;38.353
1330;46.185;6.403;36.815
1340;42.452;3.263;35.277
1350;38.72;0.764;33.099
1360;34.988;-1.077;30.921
1370;32.764;-2.919;28.854
1380;30.381;-4.164;26.786
1390;27.997;-4.901;24.719
1400;25.659;-5.637;23.852
1410;23.281;-6.694;22.986
1420;20.903;-7.084;21.88
1430;19.297;-7.468;20.774
1440;17.41;-8.291;19.668
1450;15.523;-8.252;18.575
1460;13.622;-8.214;17.483
1470;12.601;-7.935;16.371
1480;11.581;-7.126;15.779
1490;10.781;-6.316;15.188
1500;10.021;-5.306;14.596
1510;9.261;-4.487;14.004
1520;8.321;-3.668;13.412
1530;7.964;-3.039;12.204
1540;7.607;-2.858;10.996
1550;7.25;-2.677;9.748
1560;6.542;-1.817;8.499
1570;6.914;-1.232;7.251
1580;7.197;-0.661;6.003
1590;7.743;-0.21;4.754
1600;7.73;-0.378;4.829
1610;7.716;-0.546;4.786
1620;7.757;-0.835;5.263
1630;7.039;-1.719;5.741
1640;6.086;-2.603;6.218
1650;5.084;-3.247;6.695
1660;3.803;-3.543;7.172
1670;2.521;-4.433;7.766
1680;1.24;-4.843;7.999
1690;0.319;-4.702;8.177
1700;-1.237;-4.561;8.354
1710;-2.793;-4.101;8.532
1720;-3.575;-4.273;8.71
1730;-4.517;-4.445;8.548
1740;-5.459;-4.818;8.385
1750;-6.526;-5.349;7.982
1760;-8.217;-5.88;7.579
1770;-9.908;-5.455;7.101
1780;-12.705;-5.143;6.622
1790;-15.782;-4.832;6.143
1800;-18.859;-5.88;5.857
1810;-22.13;-7.67;5.57
1820;-26.455;-9.564;5.563
1830;-30.781;-11.458;5.556
1840;-35.086;-13.211;5.549
1850;-39.31;-14.444;5.549
1860;-43.535;-15.677;5.549
1870;-47.76;-16.873;4.87
1880;-51.644;-18.389;4.032
1890;-55.528;-19.905;3.193
1900;-59.412;-21.585;2.354
1910;-62.832;-23.265;1.516
1920;-66.251;-24.29;0.677
1930;-69.539;-26.487;0.343
1940;-73.683;-28.684;0.01
1950;-77.826;-30.881;-0.324
1960;-81.97;-33.488;-0.658
1970;-86.292;-35.799;-1.632
1980;-90.455;-38.549;-2.606
1990;-94.59;-41.072;-3.579
2000;-96.036;-43.594;-4.479
2010;-97.201;-46.117;-5.378
2020;-98.367;-49.692;-6.284
2030;-99.505;-53.308;-7.19
2040;-100.363;-56.923;-8.097
2050;-101.386;-59.247;-9.083
2060;-100.13;-61.343;-10.069
2070;-99.001;-64.04;-11.225
2080;-97.873;-66.451;-12.381
2090;-96.745;-68.862;-13.537
2100;-95.075;-71.793;-14.748
2110;-93.452;-74.628;-15.959
2120;-90.79;-77.462;-17.17
2130;-87.19;-78.177;-17.622
2140;-83.59;-78.822;-18.074
2150;-79.99;-79.468;-18.527
2160;-76.315;-80.141;-18.979
2170;-72.349;-80.779;-19.432
2180;-67.863;-80.618;-19.939
2190;-62.685;-80.457;-20.447
2200;-57.508;-80.185;-21.065
2210;-52.33;-80.099;-21.003
2220;-47.152;-80.014;-20.301
2230;-41.65;-79.079;-19.599
2240;-34.788;-78.143;-18.897
2250;-30.526;-77.208;-18.194
2260;-26.27;-76.501;-17.596
2270;-22.015;-72.353;-17.039
2280;-17.76;-68.166;-16.481
2290;-13.574;-64.054;-15.604
2300;-5.708;-59.942;-14.647
2310;-0.121;-55.527;-13.69
2320;5.368;-48.51;-12.732
2330;10.858;-41.814;-11.686
2340;16.348;-35.117;-10.514
2350;21.679;-28.386;-9.343
2360;29.01;-21.586;-8.172
2370;35.301;-11.746;-6.561
2380;41.785;-3.685;-5.39
2390;48.269;4.375;-4.219
2400;54.753;12.436;-3.055
2410;61.161;19.979;-1.891
2420;66.916;31.603;-0.658
2430;72.15;43.146;0.575
2440;77.385;54.669;1.808
2450;82.523;65.612;3.001
2460;87.661;76.556;3.514
2470;92.461;88.439;4.117
2480;96.142;100.001;4.72
2490;98.463;111.564;5.323
2500;100.785;123.382;5.891
2510;103.051;135.2;6.459
2520;105.317;139.778;7.028
2530;106.203;144.439;7.414
2540;107.102;149.099;7.48
2550;104.321;153.663;7.546
2560;101.541;158.283;7.612
2570;98.76;158.622;7.679
2580;95.71;158.961;7.8
2590;92.501;159.266;7.921
2600;89.291;159.35;8.001
2610;84.033;159.435;8.081
2620;78.775;154.174;7.761
2630;73.517;148.913;7.441
2640;68.183;143.652;7.121
2650;63.81;138.337;6.801
2660;59.436;131.701;6.481
2670;55.881;121.088;6.292
2680;52.327;110.476;6.103
2690;48.772;99.863;5.914
2700;45.087;89.658;6.086
2710;41.681;79.172;6.257
2720;38.276;67.727;6.428
2730;35.692;56.226;6.571
2740;33.109;44.726;6.715
2750;30.526;33.859;6.872
2760;28.287;23.153;7.029
2770;24.368;16.247;7.186
2780;21.21;9.217;7.783
2790;17.927;2.186;8.381
2800;14.644;-4.858;8.978
2810;11.361;-10.822;9.575
2820;8.672;-15.066;10.062
2830;3.942;-19.386;10.452
2840;-0.628;-23.561;10.843
2850;-4.749;-27.737;11.233
2860;-8.87;-30.912;12.223
2870;-12.992;-31.527;13.174
2880;-17.072;-32.149;14.124
2890;-21.032;-32.771;15.074
2900;-25.952;-33.393;16.011
2910;-30.479;-34.455;16.782
2920;-35.006;-35.517;17.553
2930;-39.532;-36.524;18.324
2940;-44.087;-38.083;18.375
2950;-47.321;-39.641;18.106
2960;-50.836;-41.32;17.837
2970;-54.171;-42.999;17.568
2980;-57.506;-44.367;17.375
2990;-60.841;-45.873;17.141
