timepoints (min);16: frq7,+ -1;17: frq7,+ -2;18: frq7,+ -3;19: frq1,- -1;20: frq1,- -2;21: frq1,- -3;22: frq7,- -1;23: frq7,- -2;24: frq7,- -3;25: frq9,+ -1;26: frq9,+ -2;27: frq9,+ -3;28: frq10,+ -1;29: frq10,+ -2;30: frq10,+ -3
720;-185.984;-118.681;-183.648;-227.522;-258.056;-234.83;-291.085;-189.27;-113.645;-18.723;-213.592;-216.844;-281.713;-132.608;-268.852
730;-175.479;-121.612;-178.687;-220.965;-246.315;-223.929;-257.452;-185.591;-102.409;-4.496;-199.367;-207.425;-272.232;-123.467;-255.9
740;-166.573;-124.613;-174.453;-214.173;-233.973;-214.187;-240.013;-182.16;-92.4;8.187;-184.187;-199.2;-265.053;-114.867;-244.787
750;-159.306;-127.227;-169;-207.908;-222.954;-205.872;-224.928;-179.01;-86.605;18.451;-170.536;-191.22;-258.678;-107.345;-234.516
760;-153.334;-130.629;-164.44;-200.669;-212.393;-198.661;-216.901;-174.301;-81.291;27.514;-160.588;-183.209;-252.954;-99.824;-224.647
770;-148.179;-136.773;-160.808;-191.846;-202.085;-191.423;-209.624;-170.415;-76.329;35.291;-150.299;-174.521;-248.162;-93.209;-215.974
780;-144.107;-142.408;-157.645;-184.167;-192.884;-184.808;-203.931;-165.245;-71.963;39.012;-140.099;-166.362;-245.378;-87.304;-207.35
790;-141.15;-149.475;-154.412;-175.1;-183.763;-178.063;-200.025;-160.75;-70.125;42.325;-130.525;-159.575;-242.787;-82.95;-199.688
800;-138.852;-155.235;-151.882;-167.88;-176.577;-171.674;-197.044;-156.485;-68.571;43.993;-121.224;-152.88;-241.453;-79.27;-192.522
810;-136.671;-159.774;-150.667;-163.125;-169.302;-165.777;-192.676;-154.286;-68.392;45.481;-112.203;-146.549;-240.219;-75.943;-186.166
820;-134.493;-164.26;-150.666;-158.884;-162.579;-160.821;-189.772;-152.432;-67.417;48.932;-103.367;-139.482;-239.128;-72.816;-180.805
830;-132.506;-167.345;-150.869;-155.107;-155.94;-156.625;-187.643;-151.619;-67.089;51.798;-95.232;-131.435;-238.012;-69.911;-176.065
840;-130.784;-168.824;-150.927;-148.906;-150.066;-152.906;-185.612;-150.388;-66.106;54.424;-86.936;-124.12;-237.296;-67.249;-171.776
850;-120.176;-159.108;-140.392;-137.116;-130.275;-132.022;-170.503;-136.798;-58.982;76.337;-57.333;-94.698;-231.301;-59.005;-152.61
860;-110.233;-150.398;-129.819;-122.874;-110.528;-110.593;-155.409;-123.614;-52.027;97.194;-27.438;-67.252;-225.372;-50.674;-132.331
870;-100.24;-149.54;-119.228;-110.722;-94.498;-93.577;-138.412;-111.965;-44.938;113.494;-15.395;-49.304;-207.862;-42.342;-112.03
880;-92.531;-149.253;-113.375;-99.878;-81.48;-81.283;-119.783;-100.129;-38.787;127.631;-1.7;-40.347;-190.173;-33.925;-96.694
890;-84.127;-150.244;-106.224;-89.084;-68.473;-67.76;-100.791;-103.002;-32.602;128.444;10.067;-29.062;-172.384;-25.427;-82.424
900;-79.564;-151.71;-101.687;-78.27;-56.7;-58.987;-87.497;-105.283;-26.659;121.465;22.193;-21.544;-163.972;-18.048;-71.571
910;-76.7;-155.467;-98.34;-66.4;-45.46;-55.217;-74.54;-105.112;-25.279;114.881;32.255;-16.772;-159.541;-10.505;-63.387
920;-72.786;-159.262;-94.923;-54.159;-36.156;-51.099;-68.263;-104.223;-24.368;109.341;39.546;-12.687;-154.842;-3.21;-55.764
930;-70.369;-161.492;-93.137;-41.417;-24.888;-49.391;-65.72;-103.568;-25.681;105.433;47.068;-12.274;-150.266;-0.474;-49.765
940;-69.223;-163.103;-91.922;-28.263;-14.541;-45.987;-62.634;-102.857;-27.267;98.686;53.608;-10.693;-143.76;0.147;-46.074
950;-68.61;-161.56;-90.694;-14.533;-2.49;-41.677;-61.23;-102.601;-29.275;88.006;60.316;-10.061;-137.722;0.716;-43.658
960;-66.886;-160.192;-87.389;-1.054;9.277;-37.778;-60.463;-102.569;-32.974;77.745;64.826;-7.739;-129.678;0.597;-40.059
