timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
690;-151.72;-255.348;-289.351;-132.119;-192.801;-235.653;-124.377;-217.588;-154.9;-205.35;-180.714;-243.2;-125.234;-215.888;-118.045
700;-138.098;-233.195;-268.562;-119.164;-178.013;-217.122;-113.973;-205.739;-146.367;-193.72;-178.266;-232.629;-106.463;-202.415;-94.915
710;-125.707;-213.96;-250.2;-107.72;-164.733;-201.533;-104.947;-194.907;-138.987;-183.187;-175.907;-223.44;-87.733;-186.787;-73.427
720;-112.319;-196.964;-233.559;-97.155;-152.737;-187.711;-97.51;-184.842;-132.214;-173.674;-173.957;-212.615;-71.556;-172.609;-57.138
730;-98.565;-182.202;-216.251;-86.83;-141.774;-175.128;-90.853;-174.699;-126.243;-165.37;-172.545;-203.323;-56.959;-157.661;-41.317
740;-84.906;-168.427;-200.684;-76.526;-129.667;-162.432;-85.556;-165.915;-120.962;-158.432;-170.744;-194.338;-42.756;-143.816;-27.03
750;-72.27;-156.646;-183.528;-66.149;-118.31;-149.352;-80.736;-157.158;-116.246;-152.175;-168.648;-187.013;-27.789;-130.508;-13.943
760;-60.587;-145.838;-168.512;-54.775;-106.1;-136.538;-76.6;-149.063;-110.275;-146.337;-166.125;-180.612;-12.987;-117.1;-2.938
770;-50.033;-135.367;-155.261;-41.434;-94.76;-123.686;-72.822;-141.864;-104.871;-141.018;-163.608;-175.43;2.404;-104.674;8.028
780;-40.08;-125.309;-142.746;-28.929;-86.069;-111.7;-69.431;-135.078;-98.317;-136.376;-160.452;-170.461;16.557;-91.695;18.504
790;-30.112;-115.589;-129.583;-18.461;-78.99;-99.873;-66.274;-128.578;-92.317;-131.923;-156.928;-165.285;29.745;-78.255;30.127
800;-20.31;-106.512;-116.554;-8.589;-72.268;-89.851;-63.375;-121.298;-88;-127.327;-152.28;-160.065;40.089;-64.583;41.274
