timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.3;45: wc-2-.1
1080;-161.8;-136.076;-121.191;-29.564;-195.006;-149.483;-85.797;-25.507;-158.014;-174.358;-163.187;-156.793;-52.356;-58.537;-117.89
1090;-147.168;-131.131;-112.446;-24.299;-201.002;-141.902;-79.044;-26.297;-157.736;-164.898;-155.201;-145.544;-45.191;-59.347;-113.824
1100;-131.707;-126.267;-104.84;-18.973;-207.587;-134.627;-75.507;-27.12;-156.667;-157.107;-150;-134.96;-38.987;-60.027;-110.08
1110;-118.168;-122.664;-94.628;-14.484;-209.77;-122.056;-71.336;-27.961;-154.523;-151.865;-146.039;-121.464;-33.536;-61.477;-108.125
1120;-105.054;-119.057;-81.144;-10.796;-212.237;-110.997;-61.978;-28.792;-152.218;-145.921;-143.107;-107.629;-28.376;-63.465;-106.542
1130;-92.59;-114.761;-69.987;-9.624;-210.218;-100.782;-49.295;-29.487;-150.816;-139.103;-139.453;-92.004;-23.077;-65.487;-104.62
1140;-81.678;-108.77;-58.551;-8.806;-206.092;-91.373;-37.663;-30.076;-150.844;-132.732;-133.609;-83.219;-18.329;-66.2;-101.66
1150;-71.425;-103.425;-46.713;-1.938;-199.75;-81.975;-29.275;-30.65;-149.5;-127.175;-125.537;-79.313;-13.925;-65.137;-99.387
1160;-63.804;-97.182;-33.603;3.892;-194.499;-77.383;-14.316;-31.198;-147.039;-122.563;-117.815;-76.104;-10.374;-64.557;-97.162
1170;-57.629;-92.426;-21.88;6.079;-189.742;-73.268;7.031;-31.768;-144.771;-118.206;-112.965;-73.063;-7.731;-62.176;-95.84
1180;-52.709;-88.468;-13.842;7.228;-186.456;-72.331;18.203;-32.349;-142.934;-113.124;-109.271;-69.766;-5.455;-59.558;-93.726
1190;-47.423;-86.643;-5.232;7.446;-183.137;-68.024;28.613;-32.929;-141.065;-107.512;-104.173;-65.387;-3.369;-57.762;-91.893
1200;-43.595;-86.751;2.268;10.104;-178.946;-58.068;37.671;-33.588;-139.278;-104.273;-98.405;-59.84;-1.334;-55.995;-88.824
1210;-22.683;-79.707;19.99;15.124;-164.806;-37.924;55.586;-34.244;-135.305;-84.037;-74.617;-31.5;8.768;-51.427;-80.16
1220;-2.926;-72.621;33.99;17.685;-149.55;-17.791;75.553;-34.368;-131.376;-66.246;-58.998;-8.598;18.103;-46.087;-72.801
1230;9.525;-66.999;47.63;21.045;-133.914;1.598;96.889;-34.489;-128.803;-53.855;-46.964;9.88;23.321;-44.203;-67.819
1240;17.684;-61.771;59.958;28.167;-118.089;15.216;106.126;-34.753;-125.09;-45.92;-36.436;20.463;26.231;-45.2;-64.583
1250;25.304;-56.149;71.82;35.391;-102.876;23.069;119.091;-35.167;-121.351;-40.556;-25.969;29.709;29.027;-47.642;-61.5
