timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
880;-107.404;-144.702;-186.874;-253.976;-260.097;-238.839;56.945;-198.854;-91.064;-99.64;-82.941;-87.536;-27.128;-124.554;250.042
890;-105.264;-138.486;-168.481;-234.527;-253.878;-226.112;61.037;-184.786;-80.357;-94.151;-78.973;-80.479;-15.732;-116.417;250.971
900;-102.827;-133.64;-152.507;-219.733;-244.6;-214.747;65.333;-172.613;-69.093;-89.547;-76.32;-74.347;-5.68;-105.8;250.973
910;-98.694;-128.98;-136.609;-204.194;-234.49;-207.066;66.421;-161.655;-58.97;-85.319;-73.974;-71.095;4.076;-95.368;248.556
920;-95.735;-122.898;-121.734;-190.448;-224.305;-199.453;67.374;-151.935;-52.679;-81.944;-69.856;-68.197;13;-85.848;246.58
930;-92.517;-118.795;-108.406;-177.727;-214.585;-190.547;66.782;-143.637;-47.679;-78.936;-65.205;-65.722;22.769;-76.056;243.192
940;-89.775;-114.249;-96.185;-166.247;-203.459;-182.077;65.694;-136.493;-41.276;-75.807;-61.027;-61.494;32.719;-63.338;242.328
950;-86.6;-107.938;-85.487;-153.387;-195.637;-176.05;64.75;-130.075;-35.313;-71.313;-56.962;-57.588;41.85;-51.65;241.65
960;-83.4;-101.57;-75.704;-141.693;-189;-170.503;63.765;-124.307;-29.578;-67.235;-53.206;-54.019;50.324;-39.735;241.122
970;-80.092;-95.563;-65.603;-130.586;-183.448;-163.977;62.756;-118.484;-24.456;-62.208;-49.768;-50.774;59.541;-28.793;238.484
980;-75.728;-89.878;-56.066;-119.952;-177.962;-156.695;61.865;-113.19;-19.886;-57.437;-46.262;-48.632;68.183;-18.234;236.152
990;-69.327;-82.708;-46.506;-111.905;-172.351;-149.548;60.952;-107.327;-15.827;-53.065;-42.333;-46.673;78.321;-8.31;233.143
1000;-63.162;-75.056;-37.292;-103.946;-167.991;-143.445;59.515;-101.948;-12.442;-49.012;-38.699;-45.172;87.402;2.052;228.193
1010;-54.415;-59.052;-12.005;-79.647;-150.234;-121.981;65.466;-84.302;5.262;-46.518;-25.127;-37.248;113.492;29.025;230.418
1020;-44.411;-42.344;13.633;-55.998;-132.44;-99.982;71.386;-66.863;22.949;-44.23;-11.052;-29.188;138.413;56.002;231.777
1030;-34.332;-28.763;36.896;-33.284;-116.683;-82.038;70.737;-49.822;35.921;-34.034;-3.823;-21.533;154.002;75.692;226.429
1040;-24.857;-18.598;54.213;-13.441;-102.7;-69.564;64.552;-32.237;42.735;-23.841;3.233;-13.995;165.483;91.926;215.455
1050;-16.531;-8.704;71.813;4.271;-91.258;-57.629;57.527;-16.576;49.718;-11.378;9.751;-9.267;176.133;107.993;203.318
1060;-9.574;1.873;85.242;22.08;-80.051;-45.823;51.042;-6.956;51.482;-2.429;14.342;-4.532;183.134;119.561;187.74
1070;-2.442;11.257;94.707;36.949;-70.2;-37.297;45.107;2.658;54.448;6.514;18.49;-1.285;187.638;128.194;171.69
1080;4.864;19.359;103.72;49.205;-62.512;-31.923;38.405;8.871;55.51;10.983;22.545;2.451;192.065;136.657;154.113
1090;12.047;25.657;108.082;59.621;-55.693;-22.19;33.49;17.448;56.646;13.739;26.315;4.708;195.633;146.228;139.467
