timepoints (min);16: frq7,+ -1;17: frq7,+ -2;18: frq7,+ -3;19: frq1,- -1;20: frq1,- -2;21: frq1,- -3;22: frq7,- -1;23: frq7,- -2;24: frq7,- -3;25: frq9,+ -1;26: frq9,+ -2;27: frq9,+ -3;28: frq10,+ -1;29: frq10,+ -2;30: frq10,+ -3
720;-254.784;-151.783;-134.499;-188.639;-192.942;-326.851;-240.675;-224.019;-128.256;-282.045;-323.995;-203.712;-175.572;-283.82;-284.334
730;-251.228;-138.218;-123.187;-172.027;-191.355;-309.595;-231.612;-214.243;-120.961;-255.678;-309.915;-194.927;-166.925;-262.473;-268.477
740;-248.24;-128.56;-116.067;-157.413;-189.427;-291.947;-221.56;-204.533;-114.947;-232.56;-297.853;-187.067;-159.307;-243.707;-246.013
750;-246.115;-121.993;-111.711;-142.849;-187.135;-276.033;-212.717;-196.678;-109.789;-213.793;-288.125;-180.497;-153.155;-220.918;-225.546
760;-244.746;-120.032;-107.959;-130.038;-184.65;-262.305;-205.034;-190.149;-108.865;-197.786;-280.911;-173.459;-146.814;-197.138;-201.902
770;-243.363;-117.915;-104.256;-117.406;-181.462;-249.927;-198.962;-184.474;-108.205;-183.09;-274.658;-166.41;-141.043;-175.06;-180.346
780;-241.52;-118.105;-100.715;-105.842;-176.233;-237.151;-193.928;-180.42;-108.69;-168.624;-267.873;-160.217;-134.48;-154.979;-160.93
790;-239.588;-118.887;-102.063;-93.763;-170.925;-222.762;-189.938;-175.863;-109.3;-154.325;-261.512;-154.638;-128.175;-136.787;-136.137
800;-237.392;-119.432;-102.108;-81.453;-164.571;-209.815;-186.349;-174.148;-109.319;-141.039;-254.811;-147.261;-122.286;-121.727;-113.709
810;-235.257;-118.745;-102.081;-70.149;-157.956;-196.834;-183.096;-170.979;-109.437;-130.103;-248.1;-139.973;-116.684;-109.984;-93.227
820;-233.346;-117.586;-101.944;-58.497;-152.728;-184.882;-180.125;-167.404;-108.203;-120.793;-240.505;-133.697;-110.64;-99.07;-72.876
830;-230.976;-112.994;-103.554;-47.72;-147.262;-174.577;-176.22;-162.738;-107.119;-112.024;-233.423;-128.929;-104.202;-88.875;-54.167
840;-228.214;-104.598;-105.838;-35.758;-138.256;-165;-172.593;-157.981;-105.231;-103.776;-225.464;-122.887;-98.158;-77.76;-38.482
850;-218.417;-76.552;-97.03;-12.386;-120.765;-141.929;-157.511;-144.578;-100.418;-80.293;-200.064;-101.004;-73.629;-46.48;-12.562
860;-208.146;-46.466;-88.191;10.467;-103.488;-115.378;-142.452;-130.4;-94.701;-57.503;-174.46;-79.149;-45.11;-15.552;13.33
870;-197.568;-25.627;-84.334;32.709;-91.204;-88.832;-126.182;-115.669;-88.963;-34.886;-152.706;-62.767;-25.407;15.106;43.355
880;-186.804;-6.715;-81.609;57.041;-79.011;-60.868;-109.936;-100.87;-83.518;-11.973;-133.903;-47.301;-10.446;38.93;73.431
890;-176.087;8.916;-79;73.869;-66.044;-36.342;-95.367;-86.998;-78.053;10.193;-115.002;-31.54;4.482;60.136;103.48
900;-168.633;18.498;-76.068;90.664;-53.055;-12.625;-80.817;-73.533;-72.614;22.083;-100.137;-18.054;13.076;78.276;126.055
910;-160.891;26.686;-73.757;104.35;-40.329;7.257;-70.933;-67.063;-67.162;33.714;-89.097;-7.325;19.953;92.619;148.604
920;-153.184;30.123;-74.891;118.008;-27.514;25.802;-61.105;-60.585;-60.688;47.529;-80.206;-0.164;26.572;104.807;170.248
930;-145.827;30.642;-77.443;129.167;-15.681;43.603;-53.808;-55.38;-56.931;59.437;-71.347;6.965;34.531;114.535;191.93
940;-138.611;32.143;-81.956;140.299;-2.069;59.341;-46.524;-50.177;-52.295;71.082;-63.189;11.743;41.444;121.68;213.587
950;-130.206;34.389;-87.547;153.124;11.305;78.329;-38.11;-44.126;-48.458;83.82;-56.14;17.013;48.416;128.969;233.34
960;-121.592;36.555;-92.105;163.765;29.304;97.093;-28.408;-38.159;-45.24;92.723;-51.151;22.8;54.635;135.174;243.074
970;-110.327;37.769;-97.271;175.827;47.118;114.607;-19.338;-34.421;-44.501;99.135;-46.2;30.578;64.335;139.957;252.781
980;-97.543;39.497;-99.593;182.486;68.002;130.536;-7.745;-30.752;-42.829;102.52;-41.083;41.76;71.554;144.185;259.488
990;-85.11;41.44;-100.66;189.13;88.86;144.72;2.73;-29.59;-41.16;107.28;-35.28;51.62;79.22;146.6;260.96
1000;-73.108;44.821;-100.2;193.66;111.511;159.122;13.731;-27.725;-39.585;113.252;-28.701;61.031;87.499;146.098;260.159
1010;-61.229;51.481;-98.777;198.177;134.255;174.061;24.66;-25.766;-36.216;119.544;-21.953;68.317;95.089;143.228;255.92
1020;-49.674;57.699;-97.976;201.237;153.824;186.986;32.616;-24.727;-33.416;123.568;-14.603;73.859;100.063;139.761;251.643
1030;-39.241;65.69;-96.879;204.282;168.517;198.647;40.546;-22.941;-30.296;126.422;-7.473;79.741;104.042;135.438;246.571
1040;-29.2;75.457;-90.949;201.394;183.345;206.143;51.493;-21.865;-27.091;131.272;0.358;85.585;107.933;132.044;235.931
1050;-19.189;86.399;-84.34;197.451;197.574;213.98;62.414;-18.782;-23.889;135.543;7.687;90.734;110.63;129.288;224.894
1060;-9.404;97.313;-77.551;191.456;211.944;220.878;70.111;-13.127;-20.274;141.187;14.49;96.468;110.642;129.602;213.902
1070;0.427;108.961;-70.883;184.3;227.115;229.152;81.699;-7.53;-17.385;148.222;19.349;101.946;110.123;131.059;201.433
1080;8.934;118.001;-62.639;175.574;242.265;238.325;92.56;-1.439;-13.718;157.075;24.269;109.435;110.79;132.159;188.367
1090;16.033;124.727;-52.758;166.813;252.76;247.147;103.955;4.562;-11.298;166.364;27.411;115.784;112.425;129.911;176.847
1100;22.549;129.499;-42.836;158.04;262.058;252.671;113.312;9.858;-8.248;174.676;30.265;120.427;113.206;126.534;165.293
1110;29.361;131.325;-32.846;148.617;271.651;254.451;121.673;15.479;-6.006;181.317;35.099;125.045;110.634;122.165;153.384
1120;36.124;132.556;-21.258;139.184;280.167;250.958;128.41;22.43;-4.387;186.474;39.219;127.772;108.931;117.841;137.345
1130;42.514;132.916;-10.252;127.74;288.789;246.048;136.698;29.422;-2.498;191.874;44.944;132.533;108.595;112.992;121.193
1140;49.082;134.544;1.132;118.195;291.654;242.73;142.045;39.546;0.49;195.529;50.423;137.41;108.259;107.426;105.165
1150;56.012;138.771;13.51;109.277;294.509;240.159;149.308;49.753;3.788;197.304;56.07;143.423;108.345;104.01;96.583
1160;62.438;143.915;25.022;102.105;293.57;234.101;156.47;63.771;7.444;198.119;61.572;147.314;106.874;100.245;86.049
1170;68.035;149.501;36.912;95.043;292.579;226.986;164.594;77.887;10.487;196.651;68.128;150.364;105.583;95.921;76.556
1180;73.784;153.778;48.376;87.749;289.839;220.319;172.688;92.413;16.122;195.123;75.76;153.291;104.544;91.761;67.029
1190;80.333;156.788;61.24;80.447;284.665;213.105;179.707;106.927;20.983;190.562;83.307;157.638;103.998;88.075;56.668
