timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
660;-179.318;-238.529;-255.903;-130.7;-23.105;-136.443;-143.098;-128.784;-155.21;-179.433;51.848;-204.095;-134.665;-7.685;-63.863
670;-181.17;-230.863;-254.95;-124.477;-40.33;-132.813;-142.554;-127.591;-155.116;-163.085;49.896;-188.091;-130.122;-8.122;-61.16
680;-182.627;-225.76;-253.547;-117.48;-53.173;-127.947;-140.52;-126.96;-154.227;-139.827;48.373;-170.72;-128.12;-8.747;-59.107
690;-184.766;-223.039;-252.128;-113.513;-63.23;-124.063;-138.724;-126.53;-154.214;-118.944;43.872;-153.546;-126.266;-9.645;-58.845
700;-185.293;-220.633;-250.439;-109.868;-71.958;-120.552;-136.556;-127.236;-153.904;-104.696;41.895;-136.536;-122.974;-10.519;-58.471
710;-184.256;-217.513;-248.551;-106.526;-79.577;-113.748;-134.603;-127.812;-153.218;-88.53;40.35;-118.893;-119.868;-11.09;-58.654
720;-182.808;-211.019;-246.171;-103.621;-86.116;-110.95;-132.987;-128.397;-152.441;-77.874;39.321;-100.634;-116.943;-11.886;-59.344
730;-180.625;-205.675;-242.5;-99.087;-91.188;-108.05;-131.538;-128.25;-151.8;-65.45;38.287;-80.538;-113.375;-13.275;-58.313
740;-177.413;-200.804;-238.012;-94.908;-95.591;-105.143;-129.6;-128.15;-151.79;-53.914;33.691;-62.534;-109.575;-14.593;-57.459
750;-175.416;-198.484;-233.511;-88.752;-98.998;-102.442;-127.841;-128.139;-150.915;-43.896;27.477;-45.024;-106.174;-16.024;-55.425
760;-174.542;-193.464;-229.726;-82.628;-101.921;-97.279;-125.907;-127.131;-150.004;-31.817;25.18;-29.929;-103.129;-17.639;-53.614
770;-172.256;-188.256;-226.315;-76.982;-103.738;-91.25;-124.107;-127.339;-148.732;-18.464;22.137;-15.565;-100.018;-19.214;-52.411
780;-169.779;-186.233;-224.08;-70.838;-106.701;-85.586;-122.351;-127.546;-147.993;-8.151;18.48;-0.433;-97.894;-20.447;-51.031
790;-153.606;-169.823;-217.482;-59.41;-110.884;-76.944;-118.821;-124.347;-146.55;13.6;21.053;29.428;-92.727;-21.209;-45.225
800;-144.538;-154.397;-210.251;-48.563;-120.991;-68.323;-113.59;-120.222;-145.767;33.16;23.439;58.921;-86.541;-22.184;-40.423
