timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
1190;131.637;141.438;155.855;65.81;172.185;119.8;34.915;46.588;32.944;69.36;-11.629;73.063;-21.461;-5.52;57.52
1200;124.897;133.462;149.543;66.787;172.419;115.067;30.123;44.472;30.472;68.178;-10.699;70.956;-36.38;-16.603;51.644
1210;116.18;124.145;144.087;65.943;168.832;107.097;25.417;41.918;25.003;65.953;-9.772;71.41;-50.887;-26.675;43.197
1220;107.954;114.749;137.921;65.05;164.443;97.247;21.066;39.366;20.816;63.364;-9.165;73.039;-63.935;-34.955;34.141
1230;99.386;106.57;131.862;63.17;159.868;87.136;16.545;35.618;16.625;60.999;-8.562;74.767;-76.545;-42.676;24.351
1240;90.181;97.642;123.231;59.553;155.583;77.847;12.42;31.87;13.945;58.451;-8.443;74.45;-88.024;-50.551;14.643
1250;80.021;88.443;112.901;55.846;150.784;68.274;7.69;28.355;11.058;56.899;-8.327;71.398;-98.603;-58.373;4.215
1260;68.312;78.256;103.576;52.56;143.416;58.136;2.912;24.84;8.248;56.88;-8.576;68.344;-109.024;-67.296;-5.472
1270;55.534;66.967;93.68;50.145;137.541;48.18;-0.945;22.999;5.866;57.414;-8.83;65.617;-118.711;-76.6;-13.741
1280;42.974;54.674;83.933;48.014;130.723;37.673;-4.086;21.163;3.477;58.688;-10.928;62.275;-126.708;-85.912;-22.197
1290;31.425;42.203;75.878;46.802;122.844;26.26;-7.431;19.43;1.733;59.816;-13.031;59.293;-135.751;-94.831;-31.958
1300;17.872;29.66;67.022;44.222;114.532;15.652;-10.139;17.703;-0.352;61.143;-13.51;55.343;-143.281;-100.728;-42.192
1310;5.783;17.332;57.551;42.322;103.917;9.431;-13.686;14.437;-2.282;60.838;-13.995;51.912;-150.971;-106.408;-52.309
1320;-6.032;5.399;48.692;42.718;95.186;5.972;-16.948;11.176;-4.51;59.986;-14.207;49.637;-159.336;-112.136;-62.69
1330;-17.349;-7.02;39.793;42.742;86.93;-0.377;-20.711;6.514;-6.739;58.526;-14.424;45.366;-166.01;-117.684;-71.518
1340;-26.437;-19.547;30.59;44.49;76.134;-6.835;-24.032;1.863;-7.709;56.68;-13.869;40.883;-171.327;-122.847;-79.283
1350;-34.71;-32.138;20.531;46.577;66.649;-11.779;-26.003;-2.576;-8.747;54.872;-13.32;36.97;-176.734;-126.446;-88.002
1360;-44.016;-44.144;9.899;48.674;55.907;-16.287;-28.013;-7.003;-10.387;53.065;-11.816;33.095;-183.087;-130.683;-96.637
1370;-53.677;-54.181;-0.339;49.596;45.968;-21.762;-28.637;-12.941;-12.189;50.265;-10.317;30.031;-190.244;-134.145;-104.246
1380;-65.683;-62.528;-8.841;47.628;34.061;-26.692;-29.939;-18.869;-13.993;44.946;-8.686;26.964;-197.69;-136.822;-112.897
1390;-80.813;-72.75;-17.215;42.448;21.263;-28.847;-30.406;-24.149;-12.77;41.819;-7.057;23.015;-204.953;-140.354;-120.283
1400;-95.441;-82.582;-26.45;39.144;9.473;-30.471;-31.439;-29.413;-11.537;38.935;-5.992;18.363;-212.029;-143.469;-126.419
1410;-109.951;-92.834;-36.461;37.869;-4.003;-34.613;-32.23;-33.706;-9.383;37.17;-4.93;13.153;-218.334;-147.059;-134.24
1420;-122.795;-102.758;-46.766;33.487;-18.269;-39.779;-32.496;-37.979;-8.427;34.562;-4.262;8.285;-224.62;-149.572;-140.855
1430;-134.84;-111.089;-56.692;26.345;-31.815;-42.892;-31.677;-41.809;-7.469;31.313;-3.597;3.418;-229.96;-152.271;-146.759
1440;-147.598;-118.322;-65.66;27.665;-42.434;-44.22;-30.632;-45.623;-4.91;28.156;-3.736;-0.452;-234.748;-154.213;-153.369
1450;-159.088;-125.913;-73.699;25.864;-49.517;-45.441;-28.959;-48.389;-2.201;24.194;-5.78;-3.035;-239.512;-155.969;-160.709
1460;-168.397;-132.44;-82.087;24.022;-52.811;-44.735;-27.363;-51.143;1.109;21.15;-7.829;-5.738;-245.241;-157.902;-166.469
1470;-178.981;-140.686;-92.764;17.076;-57.395;-48.632;-26.519;-55.952;0.472;15.982;-9.806;-12.873;-253.578;-162.574;-173.422
1480;-189.806;-148.625;-102.428;10.552;-63.481;-53.761;-25.77;-59.891;-0.448;10.49;-11.782;-19.919;-261.115;-167.728;-180.577
1490;-199.881;-155.583;-108.743;5.859;-71.414;-58.966;-24.188;-63.99;-2.501;6.483;-13.423;-23.808;-268.321;-171.028;-186.774
1500;-208.841;-161.186;-113.519;1.772;-79.746;-62.572;-23.686;-67.101;-4.326;2.276;-15.389;-25.825;-274.139;-172.669;-191.599
1510;-216.343;-166.709;-118.466;-4.303;-86.783;-65.246;-22.988;-70.108;-5.012;-2.956;-17.742;-26.943;-276.964;-173.636;-195.135
1520;-221.728;-171.854;-123.854;-9.606;-93.059;-70.575;-23.236;-72.476;-7.183;-8.949;-19.833;-28.269;-279.07;-174.57;-198.714
1530;-224.356;-175.114;-129.036;-15.651;-98.292;-76.022;-23.476;-74.844;-9.375;-15.248;-20.084;-28.556;-281.095;-175.135;-201.335
1540;-226.15;-178.665;-134.81;-23.254;-104.756;-81.946;-23.909;-76.371;-10.723;-21.56;-20.514;-29.321;-282.302;-175.8;-202.819
1550;-227.097;-183.063;-139.057;-29.255;-110.095;-86.692;-25.687;-78.084;-12.07;-27.88;-20.194;-30.225;-283.011;-177.75;-203.699
1560;-228.926;-187.553;-142.84;-34.291;-114.87;-91.903;-26.396;-78.269;-13.268;-33.361;-19.874;-31.817;-282.97;-179.819;-203.225
