timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
2610;47.607;11.646;66.931;68.873;-43.164;205.153;80.488;-12.034;72.978;142.299;9.615;86.257;-275.197;-218.068;-303.742
2620;31.418;-11.618;52.989;58.44;-75.774;179.954;72.219;-19.902;68.16;137.974;3.695;78.081;-266.892;-214.604;-299.298
2630;17.246;-34.317;38.421;47.499;-108.012;154.964;64.792;-27.77;64.188;133.515;-2.327;70.975;-257.914;-209.899;-293.971
2640;4.41;-57.372;24.426;37.401;-139.6;131.372;57.95;-35.466;59.87;129.315;-7.498;63.419;-248.374;-203.862;-288.455
2650;-7.52;-82.121;12.392;25.072;-171.72;108.327;50.321;-41.996;55.359;125.429;-12.223;57.855;-238.137;-197.055;-282.666
2660;-20.068;-104.792;-1.908;13.316;-200.701;84.666;42.826;-48.67;50.966;121.927;-16.749;52.451;-227.274;-189.764;-276.298
2670;-32.109;-124.898;-15.561;0.483;-226.419;61.977;33.851;-55.665;47.297;118.036;-19.945;48.281;-215.36;-181.943;-268.834
2680;-44.51;-145.054;-29.865;-13.375;-250.501;38.85;24.179;-64.323;43.768;115.21;-23.894;44.61;-203.483;-172.218;-259.881
2690;-58.112;-163.065;-45.248;-24.771;-269.986;15.748;14.436;-68.983;40.781;111.908;-27.883;41.396;-189.841;-162.404;-249.41
2700;-70.396;-178.618;-61.102;-36.16;-287.876;-5.857;4.713;-73.672;38.737;107.141;-31.966;37.626;-174.577;-152.572;-239.592
2710;-80.633;-191.687;-75.908;-44.095;-301.154;-24.954;-3.499;-77.492;36.132;94.726;-34.517;33.817;-158.429;-141.491;-229.342
2720;-91.512;-204.112;-87.766;-50.359;-312.091;-43.96;-9.145;-81.589;30.083;82.87;-36.69;28.512;-141.749;-128.945;-218.658
2730;-104.662;-212.862;-95.389;-59.075;-322.543;-62.801;-13.872;-85.761;21.145;71.401;-37.742;22.726;-125.775;-114.967;-206.633
2740;-117.025;-219.168;-101.891;-69.261;-330.669;-80.455;-19.346;-89.37;10.948;66.051;-38.234;17.048;-111.168;-99.412;-193.076
2750;-125.974;-224.236;-108.258;-79.465;-334.859;-98.782;-24.607;-92.465;-2.852;58.309;-39.53;12.942;-96.49;-82.713;-178.767
2760;-132.368;-226.388;-114.713;-89.836;-339.537;-117.528;-30.406;-97.08;-14.132;49.89;-39.825;10.366;-80.29;-64.106;-163.287
2770;-135.044;-226.622;-120.057;-100.036;-343.279;-135.331;-35.077;-102.061;-20.39;41.443;-39.954;8.33;-63.461;-42.981;-145.862
2780;-137.966;-227.99;-126.607;-109.41;-344.233;-153.028;-39.079;-106.785;-25.815;33.069;-38.247;3.764;-45.03;-20.833;-127.806
2790;-140.87;-228.35;-132.541;-117.149;-346.189;-169.885;-42.68;-109.892;-32.725;25.154;-37.919;-0.76;-24.639;0.377;-107.655
2800;-144.019;-228.022;-136.553;-123.335;-348.092;-184.49;-45.832;-111.687;-42.286;19.36;-37.372;-5.353;-3.312;21.468;-84.141
2810;-148.604;-228.12;-141.676;-127.908;-350.323;-196.804;-49.588;-112.921;-50.246;13.31;-38.706;-10.761;19.377;43.386;-58.488
2820;-151.454;-229.146;-147.475;-133.182;-351.214;-207.232;-55.214;-113.188;-55.531;8.172;-40.247;-16.743;43.139;65.808;-32.041
2830;-152.743;-230.492;-153.178;-138.84;-349.586;-214.091;-59.465;-114.479;-60.159;5.433;-40.895;-22.124;67.132;89.303;-3.975
2840;-154.021;-230.542;-158.814;-142.899;-350.073;-220.192;-64.113;-115.335;-64.597;1.138;-41.183;-26.288;91.166;114.423;25.079
2850;-156.988;-230.815;-163.858;-150.382;-350.057;-226.428;-68.956;-116.112;-68.204;-4.535;-39.252;-31.872;115.05;139.477;54.154
2860;-160.804;-231.081;-169.676;-157.011;-349.262;-233.123;-73.35;-116.985;-70.891;-9.8;-36.41;-36.743;138.017;164.492;83.857
2870;-165.061;-231.228;-174.223;-161.964;-348.012;-240.663;-78.523;-118.568;-73.67;-13.44;-33.535;-38.241;159.923;188.996;114.348
2880;-169.51;-230.832;-177.183;-164.723;-347.055;-249.326;-84.295;-120.331;-76.309;-15.128;-31.491;-38.499;181.152;212.607;145.785
2890;-174.67;-229.863;-180.527;-165.919;-344.851;-258.33;-90.201;-118.753;-79.474;-16.548;-29.727;-37.378;202.683;234.383;178.552
2900;-178.943;-228.554;-183.799;-165.848;-341.005;-265.961;-95.914;-115.59;-82.825;-17.788;-28.273;-38.099;224.146;255.468;212.058
2910;-180.89;-227.037;-186.833;-164.11;-338.022;-273.829;-102.305;-112.31;-85.746;-18.687;-26.902;-39.29;245.208;276.261;245.709
2920;-184.452;-225.59;-188.756;-162.499;-334.812;-281.455;-108.092;-113.084;-90.568;-20.921;-25.644;-40.466;264.403;296.989;278.905
2930;-188.455;-223.48;-189.56;-159.974;-329.474;-286.175;-112.143;-114.488;-95.225;-25.912;-24.057;-41.972;283.628;316.247;311.589
2940;-190.361;-220.417;-189.607;-159.44;-323.018;-288.686;-115.21;-115.141;-99.767;-30.95;-23.884;-43.56;300.723;334.086;343.637
2950;-193.957;-218.534;-190.152;-157.637;-314.633;-291.919;-120.239;-115.731;-104.137;-36.637;-23.353;-44.863;315.295;351.669;374.63
2960;-199.906;-216.796;-189.6;-158.189;-306.432;-295.826;-124.99;-115.85;-110.146;-37.319;-23.812;-47.051;328.028;367.208;403.786
2970;-205.141;-215.123;-188.448;-160.243;-299.407;-299.771;-130.196;-115.25;-113.585;-36.879;-22.934;-48.859;340.301;380.106;431.181
2980;-208.822;-214.217;-186.124;-159.836;-290.961;-304.651;-134.406;-114.546;-117.753;-35.977;-23.434;-49.139;352.139;390.677;456.663
2990;-211.567;-211.872;-183.766;-159.665;-282.156;-309.679;-137.037;-114.12;-120.047;-37.223;-24.436;-49.308;363.819;398.59;479.582
3000;-215.273;-207.389;-180.961;-161.208;-275.455;-313.643;-141.506;-114.073;-121.021;-37.919;-25.527;-49.484;374.008;406.09;500.39
3010;-220.655;-203.421;-177.244;-163.378;-269.135;-318.523;-145.08;-113.092;-120.858;-39.552;-27.862;-52.01;381.156;411.261;517.662
3020;-226.913;-199.437;-174.452;-166.2;-259.777;-323.366;-148.019;-112.008;-120.967;-41.15;-29.041;-55.437;387.954;412.497;530.845
3030;-231.411;-195.483;-171.415;-167.759;-248.577;-325.567;-149.821;-111.026;-121.149;-45.234;-30.72;-57.641;393.6;412.556;541.516
3040;-234.314;-191.799;-167.092;-167.546;-236.796;-325.826;-152.517;-109.211;-121.117;-47.846;-31.381;-59.368;395.641;411.852;547.855
3050;-236.201;-187.64;-162.93;-166.477;-223.505;-326.33;-156.174;-107.513;-120.966;-50.826;-30.68;-59.17;394.994;408.149;548.193
3060;-236.903;-184.106;-158.698;-164.447;-207.926;-325.993;-158.326;-106.05;-121.972;-53.623;-29.622;-58.415;391.014;401.36;543.458
3070;-238.095;-180.812;-153.687;-161.11;-193.854;-325.371;-158.531;-105.204;-123.283;-57.012;-29.586;-59.218;387.186;390.927;534.797
3080;-237.879;-176.148;-146.943;-157.763;-181.106;-325.706;-158.297;-102.772;-124.644;-60.008;-30.432;-60.586;382.679;378.132;523.632
3090;-234.895;-171.371;-140.337;-156.486;-166.175;-323.861;-157.156;-99.927;-124.554;-61.495;-30.943;-60.767;377.644;360.219;510.873
3100;-230.876;-167.655;-135.239;-154.266;-150.072;-318.177;-155.883;-96.63;-123.585;-63.091;-31.32;-59.418;370.367;339.672;494.677
3110;-224.564;-162.684;-128.799;-151.981;-132.821;-311.353;-155.806;-93.392;-122.919;-64.652;-31.666;-57.957;360.119;315.926;472.803
3120;-218.668;-156.102;-122.324;-147.412;-117.441;-303.299;-154.279;-91.633;-121.901;-66.084;-32.364;-59.585;346.872;291.102;446.396
3130;-211.28;-145.241;-115.294;-142.47;-102.444;-295.932;-152.208;-89.73;-121.361;-67.606;-32.821;-61.81;330.157;263.777;415.967
3140;-202.894;-133.732;-109.195;-137.931;-86.67;-288.285;-150.259;-90.961;-119.834;-68.959;-31.777;-64.654;310.277;236.571;381.808
3150;-195.379;-121.851;-103.199;-134.597;-70.781;-280.563;-147.076;-92.888;-117.24;-69.877;-32.488;-66.477;289.572;208.643;345.539
3160;-188.03;-111.553;-94.317;-133.018;-54.161;-269.381;-142.888;-94.822;-114.841;-70.24;-33.6;-66.919;266.059;179.385;307.759
3170;-178.932;-103.172;-88.542;-131.943;-39.41;-259.926;-137.719;-91.114;-111.306;-68.095;-31.815;-67.243;241.532;149.556;269.321
3180;-169.844;-95.975;-84.585;-130.258;-23.928;-250.643;-134.303;-85.88;-108.615;-64.244;-29.954;-67.407;215.964;120.486;229.937
3190;-160.003;-89.575;-79.854;-127.619;-8.501;-239.514;-132.32;-81.165;-106.469;-60.379;-27.232;-67.036;189.692;91.716;189.527
3200;-150.314;-80.331;-72.983;-126.441;6.112;-227.383;-127.433;-76.692;-105.523;-56.545;-24.597;-66.207;163.516;62.32;149.742
3210;-140.8;-69.636;-65.916;-124.848;18.585;-214.912;-121.138;-71.423;-103.971;-54.611;-21.91;-64.032;136.327;33.401;111.328
3220;-129.8;-60.516;-58.836;-120.474;31.342;-201.204;-114.058;-64.785;-101.039;-57.543;-20.72;-61.676;107.76;6.477;73.092
3230;-119.857;-52.993;-52.869;-114.339;45.433;-186.532;-106.647;-57.898;-94.884;-60.607;-19.364;-60.484;78.866;-20.047;34.89
3240;-108.494;-46.411;-46.604;-106.93;60.822;-171.081;-99.268;-51.495;-88.397;-63.611;-18.766;-58.497;49.564;-45.488;-2.563
3250;-97.234;-40.755;-40.341;-97.306;78.354;-156.828;-88.898;-43.658;-82.919;-63.892;-19.017;-57.868;20.586;-72.447;-38.794
3260;-82.75;-34.4;-34.015;-86.552;97.494;-142.163;-78.248;-35.268;-78.138;-62.717;-18.51;-56.592;-6.29;-99.945;-73.366
3270;-69.069;-26.621;-26.739;-74.712;115.435;-126.819;-67.506;-26.974;-74.076;-60.873;-17.967;-54.342;-32.276;-126.484;-106.143
3280;-53.967;-15.51;-16.52;-63.766;131.513;-111.015;-58.932;-18.204;-69.868;-56.51;-15.143;-50.661;-58.301;-152.276;-137.487
3290;-40.194;-5.21;-6.516;-55.221;142.808;-95.348;-49.937;-10.09;-63.175;-50.539;-11.814;-47.903;-82.463;-176.348;-167.022
3300;-26.451;3.356;3.619;-48.13;148.83;-80.785;-40.164;-1.975;-54.777;-44.906;-9.71;-47.359;-106.408;-197.96;-194.026
3310;-11.197;11.695;14.455;-41.742;151.065;-67.313;-30.927;6.903;-44.81;-38.891;-7.683;-46.447;-128.846;-217.692;-218.583
3320;5.199;18.792;24.211;-36.426;153.018;-52.679;-20.846;15.646;-33.703;-32.717;-6.212;-42.332;-152.091;-235.154;-240.23
3330;22.327;27.468;33.052;-30.892;156.612;-38.603;-10.306;22.908;-22.108;-28.726;-2.077;-38.277;-174.988;-251.057;-260.557
3340;41.571;38.021;41.36;-22.818;159.475;-25.181;1.56;30.135;-11.785;-26.472;1.378;-36.331;-197.397;-263.741;-280.277
3350;62.026;47.901;50.919;-14.065;161.312;-12.128;12.982;36.521;-0.888;-22.756;5.75;-33.164;-217.197;-275.614;-297.263
3360;80.273;57.204;60.713;-5.301;160.043;2.215;24.897;45.836;9.185;-19.081;10.026;-29.761;-233.64;-283.898;-309.826
3370;99.142;66.695;70.494;4.913;159.257;17.139;35.392;58.927;20.074;-16.676;13.862;-25.237;-247.057;-290.899;-318.89
3380;116.847;71.782;78.563;13.775;158.302;33.526;44.861;72.032;32.574;-14.594;18.068;-19.058;-257.972;-295.739;-325.992
3390;135.21;76.985;87.433;21.839;156.666;48.292;54.274;81.295;47.641;-14.292;21.036;-12.801;-267.752;-300.183;-331.669
3400;153.367;83.459;96.083;33.239;154.891;63.538;65.298;90.404;63.628;-13.846;26.203;-6.745;-277.858;-304.287;-335.797
3410;170.697;91.326;103.399;46.127;154.077;77.022;77.812;99.603;79.208;-14.808;31.618;-2.193;-286.612;-306.832;-338.313
3420;187.244;101.24;112.281;60.407;155.971;92.028;89.69;106.422;92.492;-15.828;35.001;2.632;-294.611;-308.606;-339.803
3430;203.942;112.021;123.225;74.957;159.097;105.403;99.921;113.8;106.532;-18.971;36.764;7.429;-302.417;-310.388;-340.782
3440;216.935;122.942;134.11;89.928;161.005;117.826;110.474;119.786;121.793;-22.273;39.327;11.03;-309.622;-310.829;-341.408
3450;229.908;133.738;145.079;106.612;163.135;129.081;119.423;125.814;136.174;-25.182;40.248;13.174;-315.372;-310.046;-341.979
3460;242.742;143.783;155.713;122.881;167.556;141.779;126.67;132.237;150.837;-25.862;40.29;15.363;-318.844;-309.204;-342.386
3470;254.793;154.294;164.163;136.99;173.612;155.123;134.52;138.476;165.092;-23.346;39.931;16.755;-320.266;-308.71;-342.546
3480;267.312;166.335;170.852;148.872;180.415;169.069;141.436;144.721;173.4;-19.397;39.39;17.932;-321.116;-306.45;-342.561
3490;277.212;177.055;177.993;158.043;184.8;183.753;147.574;152.721;180.698;-15.323;39.741;19.273;-321.462;-303.764;-342.222
3500;286.52;187.121;185.03;164.034;186.819;200.909;151.935;159.542;187.844;-14.01;42.01;22.128;-320.919;-300.679;-341.223
3510;292.775;196.737;192.068;167.131;189.477;218.588;155.868;164.912;194.473;-12.652;45.953;24.23;-320.363;-296.99;-339.35
3520;300.154;203.444;199.519;167.814;190.034;233.755;159.703;170.143;201.328;-9.63;48.648;26.548;-320.663;-293.622;-337.137
3530;306.432;208.131;205.259;168.44;188.746;244.785;163.935;176.748;209.108;-6.719;49.648;28.328;-321.257;-290.684;-334.738
3540;312.321;212.972;209.996;169.025;190.079;253.473;168.994;183.172;214.085;-6.487;50.641;32.766;-321.604;-287.657;-331.75
3550;318.608;217.563;214.193;168.916;193.782;262.022;174.054;189.425;219.077;-4.709;51.127;35.291;-320.357;-283.91;-327.985
3560;324.203;222.55;217.319;169.183;198.639;269.197;178.731;192.051;224.297;-2.659;51.154;37.397;-318.175;-279.756;-323.737
3570;329.174;229.681;221.52;171.257;204.592;273.768;182.343;192.177;228.713;-0.154;53.582;38.094;-315.705;-274.574;-318.596
3580;332.879;236.484;225.303;175.658;210.161;279.079;184.243;191.359;232.164;2.51;54.937;38.866;-312.457;-269.273;-312.982
3590;333.599;240.168;227.872;182.148;216.346;285.183;185.092;190.354;233.79;4.746;56.457;39.963;-309.371;-263.483;-306.426
3600;333.885;243.39;229.462;189.708;223.429;291.408;187.407;189.407;234.349;6.407;57.394;39.876;-306.259;-256.068;-298.677
3610;333.749;246.281;230.938;195.53;230.079;296.406;188.79;186.263;232.948;7.895;58.01;39.512;-303.225;-247.077;-290.917
3620;330.501;248.542;229.948;198.8;234.655;300.408;190.794;180.36;229.76;10.583;59.895;38.361;-300.153;-236.337;-282.714
3630;326.488;251.149;227.281;200.833;237.036;301.766;193.535;174.422;225.585;12.914;61.319;34.916;-295.246;-224.065;-273.07
3640;320.36;253.697;222.061;202.51;238.836;302.479;196.596;170.825;217.571;15.087;62.356;31.069;-288.274;-211.85;-262.15
3650;313.014;255.967;217.149;202.378;240.101;301.324;197.6;166.959;207.297;17.818;62.113;29.217;-280.404;-199.022;-250.095
3660;304.272;258.036;208.73;201.308;239.948;298.211;195.957;163.189;196.37;20.869;62.281;28.65;-270.968;-184.917;-237.054
3670;293.372;260.57;199.128;199.16;238.059;293.062;192.84;163.239;189.037;23.808;61.236;29.018;-260.875;-169.855;-223.713
3680;281.255;261.192;188.978;196.199;231.981;286.854;191.203;163.812;184.201;31.137;62.861;30.463;-250.105;-154.294;-209.422
3690;268.041;259.735;179.941;192.319;225.148;278.326;190.211;163.179;179.28;38.023;64.557;32.752;-238.345;-137.781;-193.917
3700;255.254;257.081;170.313;187.72;217.284;270.168;190.552;162.56;175.354;45.25;67.356;35.629;-225.716;-119.681;-177.458
3710;241.545;251.614;160.196;182.808;208.738;261.036;191.654;158.571;169.382;49.582;71.534;39.149;-213.588;-101.574;-160.714
3720;226.069;244.688;151.508;176.291;197.434;251.621;190.418;153.687;159.712;54.577;75.585;43.799;-201.057;-82.512;-142.498
3730;209.997;234.743;143.592;170.364;185.374;241.874;189.182;148.526;153.828;58.276;79.928;48.058;-186.92;-62.743;-121.312
3740;193.491;223.6;137.131;164.643;175.004;228.954;187.436;143.103;147.819;63.044;82.142;51.897;-170.797;-42.4;-97.731
3750;177.832;210.051;130.225;158.179;164.327;212.943;185.543;137.41;141.789;66.541;81.436;54.149;-153.185;-20.71;-72.543
3760;163.97;195.727;123.014;152.252;149.583;195.73;182.477;132.601;136.007;72.313;79.421;55.516;-133.094;3.192;-46.549
3770;149.749;182.066;116.532;147.211;134.684;181.174;179.051;126.8;131.451;76.048;78.961;57.781;-109.673;28.732;-19.39
3780;134.524;168.345;109.843;142.011;123.15;170.04;175.601;118.814;127.486;80.113;78.582;60.046;-83.461;56.312;9.47
3790;119.829;155.214;103.084;138.473;113.84;160.309;171.894;110.727;125.599;85.349;77.374;63.401;-55.04;85.621;39.652
3800;104.206;141.971;94.873;137.694;104.433;149.731;165.292;102.88;123.988;89.64;76.338;69.68;-25.066;115.848;69.69
3810;88.177;129.399;87.141;136.091;94.509;137.799;159.953;98.668;122.306;94.597;77.218;76.657;6.367;146.81;98.246
3820;73.19;118.672;79.116;131.823;84.139;125.338;153.658;96.285;119.294;100.483;78.934;83.418;38.499;177.462;125.88
3830;57.822;108.421;70.594;124.565;72.346;113.014;148.075;92.96;116.753;107.199;79.506;89.858;70.531;207.201;154.766
3840;43.174;101;61.266;115.565;59.473;99.674;143.108;89.559;113.503;115.948;80.628;94.615;103.461;235.619;183.668
3850;27.452;95.604;52.692;107.163;46.521;83.89;135.753;84.349;111.263;125.11;80.469;100.659;136.652;262.681;211.414
3860;12.939;90.863;44.08;101.53;35.225;68.043;125.959;78.182;110.539;134.015;79.974;105.132;168.884;288.037;239.404
3870;1.607;86.731;36.857;97.941;27.337;50.902;116.61;72.494;110.095;141.937;79.43;110.226;200.251;311.212;267.276
3880;-8.837;82.054;29.912;94.01;22.768;36.269;107.324;66.785;109.447;149.617;78.817;114.619;231.084;332.079;294.243
3890;-17.018;78.225;24.519;90.706;18.168;25.266;98.24;62.079;108.606;157.665;77.068;119.636;261.796;352.175;320.866
3900;-23.083;71.888;18.193;87.927;13.859;16.45;87.436;56.754;107.44;164.88;76.742;124.022;291.691;371.712;346.052
3910;-27.692;63.603;13.593;83.501;10.068;9.145;76.262;50.945;104.596;168.993;75.839;127.666;319.156;389.683;368.919
3920;-31.062;52.501;10.234;78.731;6.564;4.142;66.204;44.509;99.19;172.226;75.312;129.752;345.357;405.513;389.759
3930;-34.91;40.163;6.337;74.084;2.89;1.185;56.106;37.116;90.714;172.971;71.56;130.583;371.968;418.997;409.528
3940;-37.705;28.028;1.768;68.005;-1.75;-2.215;45.006;31.243;81.367;173.364;67.799;131.16;397.27;428.777;427.734
3950;-41.69;15.662;-3.924;61.727;-4.957;-5.487;33.554;23.297;70.168;172.177;63.553;131.737;419.41;436.167;443.234
3960;-43.244;5.883;-9.954;57.491;-6.894;-10.524;21.728;16.175;60.439;172.183;59.028;132.448;441.057;442.663;456.524
3970;-43.993;-2.294;-15.568;53.294;-4.979;-17.084;11.561;9.061;53.538;172.033;54.126;132.572;460.251;446.266;466.837
3980;-43.919;-7.317;-19.812;49.87;-1.953;-23.745;1.411;1.961;46.148;171.53;48.622;130.817;475.106;446.913;471.546
3990;-43.988;-11.073;-24.807;49.548;-2.44;-28.492;-8.819;-4.894;38.767;170.199;44.181;128.09;488.028;446.73;471.132
4000;-45.374;-12.957;-29.008;51.805;-2.648;-32.836;-18.938;-10.874;31.457;169.968;41.606;125.726;499.623;444.57;467.099
4010;-48.041;-13.371;-33.03;53.869;-0.465;-35.688;-27.761;-17.291;24.228;168.461;39.141;125.705;506.604;437.109;460.604
4020;-50.487;-13.982;-38.252;54.786;3.954;-37.681;-36.801;-23.446;15.841;166.012;36.407;123.87;509.185;425.192;450.868
4030;-51.768;-14.639;-43.523;55.821;7.225;-40.153;-45.421;-29.93;6.019;162.876;33;119.661;507.451;408.582;437.116
4040;-53.852;-16.088;-49.113;56.681;13.141;-42.785;-53.443;-36.728;-4.323;160.513;29.629;112.931;500.112;386.679;420.099
4050;-56.229;-16.676;-54.321;56.288;17.956;-43.561;-58.943;-43.663;-15.262;155.099;27.841;103.895;488.029;363.226;401.513
4060;-58.905;-17.259;-60.36;57.175;23.575;-41.97;-64.945;-52.346;-27.943;147.145;23.854;95.266;472.001;337.644;382.988
4070;-62.537;-19.67;-67;58.139;28.277;-39.521;-70.726;-61.258;-39.72;138.276;19.32;87.139;451.84;311.677;364.017
4080;-66.694;-22.604;-73.004;58.725;31.763;-37.909;-76.793;-68.77;-51.582;128.498;13.47;79.372;429.745;283.826;343.419
4090;-72.488;-27.203;-77.855;59.972;35.614;-36.764;-83.459;-74.986;-60.406;117.596;6.77;72.4;404.44;255.395;320.738
4100;-78.306;-33.643;-84.17;59.354;38.226;-35.977;-89.313;-79.708;-69.97;106.139;0.781;63.545;375.945;226.639;296.623
4110;-84.725;-42.127;-90.229;54.997;40.045;-35.005;-92.196;-83.888;-78.334;94.761;-4.48;55.817;347.103;196.309;271.448
4120;-91.983;-52.247;-96.629;49.546;41.392;-32.375;-95.095;-88.342;-86.412;83.646;-10.062;48.109;317.039;167.125;245.455
4130;-101.228;-63.484;-101.714;43.068;39.852;-29.171;-98.451;-93.721;-95.571;73.594;-15.291;42.919;285.332;138.299;217.454
4140;-112.08;-77.287;-106.617;32.899;39.139;-28.435;-103.19;-99.32;-104.244;64.182;-19.35;36.844;252.029;109.732;188.469
4150;-122.543;-89.469;-111.087;20.521;36.714;-29.183;-106.299;-103.988;-114.488;56.417;-22.207;29.618;218.077;80.662;158.597
4160;-134.015;-100.063;-115.526;9.422;33.341;-29.315;-108.244;-107.77;-122.735;49.425;-24.263;22.272;184.386;50.967;127.378
4170;-145.175;-110.444;-119.673;-1.914;30.025;-30.342;-110.316;-113.428;-129.981;41.315;-28.56;15.639;150.309;21.498;95.881
4180;-153.662;-117.592;-122.832;-14.223;28.674;-33.083;-112.581;-119.487;-136.218;33.701;-30.985;9.523;115.892;-6.589;65.338
4190;-160.207;-122.622;-125.887;-26.761;27.454;-35.414;-114.674;-124.364;-141.647;26.552;-33.844;3.301;82.846;-33.261;35.434
4200;-165.822;-127.153;-127.938;-39.894;25.048;-38.186;-116.319;-128.699;-144.528;20.916;-37.157;-3.49;51.727;-59.364;5.913
4210;-170.876;-131.855;-129.334;-52.172;21.775;-40.23;-118.108;-132.254;-146.65;15.48;-40.745;-10.89;20.334;-85.738;-21.554
4220;-175.245;-136.603;-130.634;-62.128;15.175;-39.837;-120.495;-134.883;-149.732;8.353;-47.077;-17.927;-9.858;-109.546;-47.657
4230;-179.364;-142.109;-132.581;-71.963;5.785;-40.297;-122.982;-137.072;-153.608;2.523;-52.847;-23.257;-39.037;-131.665;-72.546
4240;-182.772;-147.509;-134.872;-84.662;-2.324;-42.812;-125.492;-140.295;-157.108;-4.701;-55.557;-27.37;-68.932;-154.909;-95.514
4250;-185.804;-152.381;-137.163;-98.015;-11.888;-44.73;-126.557;-143.359;-160.415;-12.204;-58.2;-31.517;-99.076;-177.225;-116.219
4260;-187.417;-158.286;-138.49;-110.379;-20.712;-47.019;-127.938;-146.019;-163.45;-20.269;-60.883;-36.298;-127.192;-196.063;-134.735
4270;-189.197;-163.165;-139.81;-120.843;-30.975;-50.865;-129.177;-149.163;-166.709;-28.234;-64.393;-42.068;-153.502;-213.014;-151.291
4280;-192.389;-167.607;-141.53;-130.783;-40.895;-54.374;-130.745;-151.433;-169.306;-38.241;-68.895;-46.087;-177.894;-226.759;-166.407
4290;-195.619;-172.335;-142.741;-141.345;-51.661;-54.138;-132.767;-153.349;-171.553;-49.448;-74.303;-50.099;-198.218;-236.953;-180.552
4300;-198.48;-177.284;-143.269;-151.681;-59.479;-55.25;-135.163;-155.149;-173.601;-61.214;-81.931;-52.581;-216.072;-247.026;-194.286
4310;-200.865;-182.71;-143.233;-160.543;-69.47;-56.643;-137.807;-155.941;-174.21;-69.841;-88.686;-56.073;-232.215;-256.439;-207.172
4320;-202.614;-188.959;-142.848;-166.777;-79.49;-57.662;-139.901;-155.491;-174.273;-77.655;-93.836;-61.134;-245.396;-266.171;-219.128
4330;-203.756;-196.055;-143.153;-172.008;-88.539;-58.811;-141.004;-153.983;-175.703;-83.901;-96.716;-66.714;-257.212;-274.17;-230.806
4340;-203.943;-203.252;-144.286;-179.368;-97.128;-59.768;-140.959;-154.029;-177.757;-89.372;-100.799;-71.352;-267.819;-280.611;-242.182
4350;-204.597;-207.966;-145.241;-187.259;-102.845;-58.473;-140.248;-153.086;-180.371;-94.783;-104.763;-74.881;-276.057;-286.057;-252.738
4360;-205.287;-213.2;-146.377;-194.313;-107.142;-54.513;-139.899;-152.819;-182.811;-100.775;-109.612;-78.432;-283.214;-289.759;-262.665
4370;-205.836;-217.6;-146.937;-203.575;-112.335;-51.873;-139.859;-152.89;-186.516;-106.741;-112.982;-82.357;-289.694;-293.977;-271.901
4380;-205.008;-220.37;-147.055;-212.771;-117.332;-50.732;-139.783;-151.819;-187.703;-114.302;-116.521;-86.683;-294.578;-297.214;-279.25
4390;-202.578;-221.735;-146.93;-219.172;-125.018;-49.043;-139.91;-150.841;-189.714;-121.277;-118.782;-91.214;-299.076;-300.028;-284.928
4400;-200.691;-222.007;-146.244;-222.556;-132.313;-48.364;-140.594;-150.629;-189.926;-128.404;-122.237;-96.295;-303.593;-302.779;-288.726
4410;-198.303;-221.272;-145.261;-224.668;-137.197;-51.174;-141.149;-150.872;-188.892;-134.592;-126.901;-102.25;-307.35;-304.579;-290.692
4420;-196.412;-219.546;-144.206;-224.189;-141.6;-54.805;-140.79;-150.41;-187.058;-140.142;-130.294;-108.177;-309.076;-305.444;-291.2
4430;-195.712;-217.782;-143.012;-222.83;-147.068;-57.574;-140.379;-149.201;-186.261;-144.295;-133.039;-114.188;-309.972;-305.706;-292.59
4440;-193.817;-217.665;-142.699;-220.137;-151.993;-60.681;-140.506;-148.821;-186.446;-149.299;-134.743;-120.212;-311.19;-304.788;-294.537
4450;-190.211;-216.885;-143.058;-216.408;-156.295;-64.211;-140.774;-147.074;-187.15;-154.372;-135.903;-126.077;-312.083;-303.39;-294.935
4460;-187.283;-214.469;-143.137;-214.123;-160.443;-66.385;-140.741;-144.887;-187.841;-160.487;-136.571;-131.608;-311.098;-301.072;-295.731
4470;-183.799;-210.803;-142.423;-212.799;-163.552;-69.443;-141.423;-143.861;-187.302;-167.534;-134.079;-137.032;-308.583;-298.594;-296.309
4480;-178.215;-206.323;-141.339;-210.779;-165.058;-72.698;-142.603;-143.017;-185.316;-175.255;-130.735;-140.713;-305.28;-295.692;-295.317
4490;-173.706;-200.396;-140.484;-206.739;-165.008;-75.37;-142.487;-141.506;-183.261;-180.97;-128.052;-143.935;-301.993;-291.287;-292.632
4500;-168.902;-194.025;-138.044;-204.663;-162.532;-77.433;-142.938;-140.639;-180.403;-183.985;-127.101;-146.167;-298.234;-286.554;-289.308
4510;-165.357;-186.972;-135.799;-204.92;-160.484;-79.428;-142.764;-139.432;-178.106;-187.561;-127.546;-148.401;-293.683;-281.659;-286.774
4520;-161.29;-180.887;-132.821;-206.063;-158.258;-81.294;-142.699;-136.759;-174.141;-189.834;-127.803;-149.648;-288.607;-275.873;-284.541
