timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
660;-264.691;-259.697;-282.106;-14.443;-119.429;-59.53;-154.754;-170.62;-106.918;-274.965;-269.965;21.566;-55.233;-94.09;-235.232
670;-264.243;-255.68;-281.292;-12.983;-111.61;-48.923;-155.413;-169.214;-106.892;-263.938;-252.529;43.687;-58.865;-89.855;-229.689
680;-263.8;-251.347;-282.16;-11.52;-102.813;-39.48;-155.373;-168;-107.413;-253.16;-237.867;60.453;-61.773;-85.853;-222.92
690;-264.454;-246.97;-285.52;-10.145;-91.329;-34.095;-155.424;-166.332;-107.964;-243.753;-226.563;77.056;-64.211;-83.168;-215.342
700;-265.551;-243.536;-290.431;-8.894;-79.354;-31.306;-155.566;-164.577;-108.579;-237.17;-215.869;92.248;-66.584;-82.525;-208.407
710;-265.902;-242.218;-294.919;-8.137;-68.573;-28.812;-155.769;-163.598;-109.09;-229.021;-207.868;102.923;-69.474;-81.359;-203.137
720;-264.702;-242.633;-298.045;-7.48;-56.362;-27.26;-155.692;-162.637;-109.13;-219.706;-201.065;111.929;-72.987;-79.704;-199.28
730;-263.925;-242.613;-300.875;-6.288;-45.9;-24.663;-155.462;-161.75;-109.112;-210.737;-196.675;124.462;-76.488;-78.287;-193.375
740;-263.243;-241.959;-302.122;-4.905;-36.829;-22.233;-155.287;-160.772;-109.171;-203.072;-193.7;137.376;-79.926;-77.002;-185.677
750;-262.595;-241.259;-302.513;-3.582;-30.135;-17.634;-154.982;-159.912;-108.901;-198.166;-193.876;144.806;-83.646;-74.767;-182.214
760;-260.786;-240.611;-303.392;-1.855;-23.873;-15.122;-153.279;-158.941;-108.689;-194.304;-195.543;151.675;-87.277;-71.925;-180.71
770;-258.5;-239.887;-303.321;0.28;-17.375;-11.208;-151.708;-158.268;-108.488;-189.179;-197.012;153.512;-90.952;-70.244;-179.732
780;-256.376;-237.998;-302.231;1.656;-10.986;-7.567;-149.508;-158.073;-108.04;-184.506;-196.635;152.741;-94.141;-67.242;-179.144
790;-249.119;-226.019;-295.68;5.459;3.587;6.069;-145.875;-154.12;-104.3;-163.764;-175.997;168.511;-97.733;-62.882;-163.873
800;-240.202;-213.275;-287.509;8.42;18.158;20.044;-141.892;-148.766;-101.419;-141.488;-153.241;186.342;-100.678;-58.678;-147.597
810;-231.814;-202.248;-280.173;10.762;31.362;30.838;-138.293;-145.235;-99.511;-126.557;-135.295;199.312;-103.557;-54.197;-134.521
820;-223.711;-191.577;-273.765;12.391;45.089;38.637;-135.33;-144.325;-98.667;-115.222;-120.939;203.346;-105.629;-49.64;-124.295
830;-215.629;-182.382;-265.687;14.336;56.918;45.9;-133.098;-143.407;-97.16;-105.14;-108.209;202.018;-107.933;-45.511;-118.587
840;-204.962;-176.621;-255.367;15.235;68.596;50.089;-131.109;-142.022;-95.902;-94.34;-95.765;197.844;-110.363;-41.911;-111.531
850;-195.029;-170.82;-245.47;16.446;78.907;54.373;-128.834;-140.58;-94.801;-83.651;-85.913;191.151;-112.717;-38.951;-105.924
860;-184.954;-165.261;-237.77;17.717;91.133;60.134;-125.852;-138.3;-93.732;-72.421;-76.329;182.406;-115.022;-36.153;-101.323
