timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
1140;30.045;83.8;36.499;112.988;12.854;65.207;66.798;111.882;17.139;100.683;58.296;32.923;6.682;6.682;45.73
1150;29.508;83.924;38.297;122.176;9.53;68.829;70.554;112.179;21.024;104.644;59.049;34.948;5.708;5.708;45.544
1160;28.218;85.218;42.07;125.038;6.711;71.803;74.833;112.257;24.911;108.837;60.076;35.882;6.224;6.224;45.801
1170;26.221;84.34;45.72;122.51;4.194;74.898;78.827;112.067;28.8;113.016;59.615;37.008;6.988;6.988;46.751
1180;25.307;85.346;49.562;117.312;2.596;79.343;84.227;112.791;31.169;117.142;57.344;38.142;8.158;8.158;47.145
1190;24.44;84.945;53.032;119.233;0.738;83.863;91.215;112.25;34.783;119.775;54.185;39.522;9.375;9.375;47.702
1200;25.497;84.638;56.022;120.932;-1.898;87.094;98.547;110.291;38.403;122.437;51.059;41.67;10.205;10.205;48.159
1210;26.825;83.363;59.047;122.993;-4.537;88.174;105.981;107.988;41.83;125.086;46.923;43.971;12.165;12.165;49.109
1220;28.04;81.991;62.718;126.92;-6.097;89.313;113.439;105.342;44.186;127.723;42.266;45.835;15.411;15.411;49.781
1230;29.156;79.822;65.875;130.238;-5.964;88.994;117.684;103.482;47.669;128.549;38.769;46.181;17.903;17.903;50.718
1240;29.952;77.888;69.008;131.36;-5.832;88.76;120.312;101.888;51.16;129.36;34.312;46.176;19.336;19.336;51.56
1250;28.353;76.004;72.304;132.659;-3.781;91.026;121.919;101.464;54.595;130.117;30.38;46.211;19.548;19.548;51.963
1260;26.879;72.633;74.365;132.119;-0.797;93.233;125.002;100.659;57.238;130.171;26.604;47.887;19.89;19.89;51.728
1270;27.369;68.999;76.911;131.743;2.247;96.901;125.831;99.835;59.889;130.211;22.871;50.865;19.825;19.825;51.253
1280;29.224;61.249;78.198;128.883;5.247;100.411;124.839;97.551;62.549;130.236;20.373;52.462;19.45;19.45;50.779
1290;32.983;51.543;79.175;124.978;8.288;104.225;121.251;95.226;65.38;130.168;17.378;54.055;18.442;18.442;50.398
1300;37.586;41.644;79.877;120.957;11.561;108.008;116.67;92.161;67.458;130.262;15.867;53.935;17.521;17.521;50.26
1310;42.095;33.072;80.354;115.573;13.633;111.896;111.678;89.402;69.542;130.35;16.558;53.059;16.203;16.203;50.121
1320;47.088;24.59;79.962;109.963;16.132;116.161;106.357;86.214;71.676;130.313;16.955;52.147;15.09;15.09;50.451
1330;50.056;20.414;79.741;105.288;18.514;120.886;102.781;84.123;73.536;131.456;18.55;51.996;13.987;13.987;51.101
1340;52.027;21.963;78.084;99.895;21.336;125.473;98.45;82.29;76.201;132.587;20.13;52.85;14.473;14.473;51.75
1350;51.868;23.333;76.321;94.689;23.746;128.162;94.958;79.644;78.871;132.426;24.189;53.926;15.962;15.962;52.724
1360;51.977;25.59;74.958;90.443;24.798;130.863;92.579;76.376;81.466;132.255;28.693;55.002;17.985;17.985;53.778
1370;49.645;27.667;73.639;86.277;25.37;132.787;90.495;73.253;84.266;131.625;33.869;55.266;21.48;21.48;54.662
1380;48.121;28.69;71.685;80.842;25.039;134.767;89.403;71.646;87.073;130.981;38.318;54.949;24.934;24.934;55.786
1390;47.597;29.406;70.256;74.167;24.567;134.769;88.397;69.669;89.884;128.363;40.493;54.57;28.866;28.866;56.406
1400;47.271;30.121;68.019;66.787;24.096;134.803;85.57;68.064;91.866;125.793;42.02;54.308;31.808;31.808;57.017
1410;48.985;28.453;66.988;59.888;23.773;133.46;81.176;68.084;93.894;123.21;43.545;53.384;33.672;33.672;56.548
1420;49.774;26.48;65.984;53.048;23.291;132.166;78.062;68.454;95.931;119.413;45.263;52.971;35.634;35.634;55.197
1430;49.325;21.578;65.697;49.543;22.768;130.157;73.894;68.348;98.12;115.72;47.098;52.636;37.208;37.208;53.844
1440;47.641;16.818;65.538;45.357;22.199;127.451;67.997;68.349;99.074;112.014;49.804;53.254;38.942;38.942;52.731
1450;42.154;7.817;59.103;39.828;20.434;123.044;58.458;65.313;97.554;105.941;48.538;50.414;36.916;36.916;47.11
1460;37.068;1.501;52.274;31.778;18.67;118.637;48.354;62.597;96.034;98.508;47.154;47.463;34.619;34.619;41.49
1470;32.139;-4.339;42.646;23.742;17.414;114.044;37.812;59.902;94.514;91.074;47.531;43.577;32.108;32.108;35.269
1480;28.131;-6.993;33.992;16.786;17.72;110.531;30.251;59.469;89.874;83.759;48.301;39.69;30.99;30.99;29.008
1490;24.441;-9.527;25.764;13.25;19.018;107.549;24.033;57.655;85.234;75.363;50.03;36.708;29.848;29.848;22.727
1500;23.152;-12.426;20.954;10.574;20.262;101.527;18.652;54.593;80.594;67.007;52.652;33.705;29.828;29.828;18.743
1510;22.819;-17.446;18.498;8.35;21.432;96.132;13.503;52.868;76.474;58.651;54.804;33.068;28.914;28.914;16.894
1520;22.168;-21.996;23.623;6.382;22.668;89.218;10.514;51.59;71.474;50.041;55.971;31.748;28.731;28.731;15.084
1530;20.222;-25.786;23.349;5.891;24.214;82.821;8.034;49.919;66.578;41.432;55.16;31.074;29.364;29.364;14.539
1540;18.724;-28.428;23.739;6.666;26.822;76.863;5.393;48.435;61.681;32.902;52.069;30.946;30.879;30.879;14.188
1550;12.746;-30.469;21.89;7.281;28.868;70.837;2.338;47.67;57.517;24.372;49.364;32.167;31.008;31.008;13.666
1560;7.371;-30.352;20.463;7.484;30.954;66.167;-1.004;46.676;52.97;17.029;44.618;33.612;31.313;31.313;13.421
1570;1.516;-30.166;19.037;7.604;31.985;61.428;-6.179;44.141;48.422;9.806;40.167;35.058;30.65;30.65;12.85
1580;-4.568;-29.459;17.829;7.185;34.055;55.572;-14.156;39.63;43.874;2.582;34.502;35.388;30.621;30.621;12.279
1590;-11.073;-32.164;16.445;8.977;35.967;49.634;-20.4;35.16;38.167;-2.566;30.317;34.604;30.514;30.514;11.639
1600;-15.677;-35.469;13.236;10.257;39.182;44.688;-26.443;31.058;32.894;-6.433;25.872;33.585;30.637;30.637;10.81
1610;-20.13;-40.185;9.502;8.459;42.597;39.763;-34.872;28.221;27.614;-10.397;21.772;32.759;30.553;30.553;9.679
1620;-22.469;-44.646;5.651;6.676;46.281;35.564;-43.135;24.99;21.694;-14.279;17.342;32.644;30.368;30.368;8.341
1630;-23.926;-49.171;2.233;1.532;48.302;31.531;-51.767;20.283;15.854;-18.96;13.597;32.793;30.063;30.063;6.863
1640;-26.423;-53.531;-0.203;-3.446;50.708;29.661;-60.039;14.647;10.324;-21.681;8.379;32.887;28.668;28.668;6.032
1650;-27.425;-56.884;-1.999;-8.143;53.113;27.779;-66.745;8.894;4.794;-24.396;3.801;32.72;27.057;27.057;5.188
1660;-29.734;-61.022;-4.203;-11.268;55.847;26.96;-73.268;2.541;-0.775;-27.142;-1.76;34.68;26.046;26.046;5.285
1670;-31.455;-65.112;-6.487;-14.219;58.097;25.301;-81.556;-3.17;-6.101;-28.688;-5.786;35.335;24.549;24.549;5.463
1680;-33.066;-65.808;-9.447;-16.697;59.666;23.759;-89.348;-9.199;-11.426;-30.234;-9.028;36.046;23.47;23.47;5.446
1690;-34.67;-66.47;-13.112;-18.463;60.451;21.302;-98.08;-15.537;-16.752;-31.917;-12.248;35.429;22.072;22.072;4.608
1700;-36.495;-67.139;-13.859;-21.75;59.803;18.873;-106.509;-21.985;-21.597;-33.434;-14.149;34.941;21.313;21.313;3.902
1710;-39.167;-71.265;-14.276;-25.196;58.543;17.403;-113.948;-28.105;-26.491;-33.592;-15.395;34.508;19.865;19.865;3.077
1720;-40.977;-75.501;-13.372;-28.738;57.463;15.76;-119.51;-34.081;-31.385;-33.749;-18.4;34.454;19.057;19.057;3.495
1730;-43.894;-80.937;-13.534;-34.177;54.65;14.826;-123.657;-40.714;-34.182;-35.223;-22.183;35.335;15.603;15.603;3.833
1740;-45.451;-86.359;-13.975;-39.484;50.597;14.127;-128.99;-47.121;-36.779;-35.673;-25.926;36.217;12.768;12.768;4.771
1750;-47.036;-85.701;-17.979;-44.934;46.641;12.268;-134.272;-53.982;-39.232;-36.123;-29.828;37.022;11.654;11.654;4.826
1760;-49.495;-82.777;-23.301;-49.243;42.439;10.65;-139.193;-61.452;-41.684;-36.461;-34.033;36.79;10.262;10.262;4.494
