timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
2610;62.383;99.444;-11.283;129.281;29.501;77.899;70.829;75.647;-24.89;23.098;11.494;-22.552;40.723;40.723;14.687
2620;55.786;102.063;-11.15;124.48;31.826;78.473;67.89;78.026;-26.757;25.072;14.619;-20.914;43.364;43.364;14.83
2630;49.712;103.599;-11.066;119.328;35.106;78.247;64.47;80.64;-28.459;25.686;19.109;-18.441;45.228;45.228;14.837
2640;43.087;104.007;-10.615;113.683;37.246;78.866;60.919;83.294;-29.881;26.499;23.599;-15.309;47.553;47.553;14.404
2650;35.142;102.572;-10.247;107.863;40.388;79.526;56.476;87.728;-31.303;27.451;28.054;-11.326;48.833;48.833;14.088
2660;26.141;98.818;-12.323;100.495;43.888;80.092;51.968;92.262;-32.56;28.403;34.499;-7.932;49.786;49.786;14.417
2670;18.179;93.541;-14.55;93.399;47.354;80.088;49.39;96.516;-33.803;29.354;41.379;-5.312;50.505;50.505;14.559
2680;10.069;86.182;-14.743;86.528;49.76;82.552;46.95;98.823;-35.206;30.048;48.23;-2.408;52.594;52.594;15.126
2690;3.537;78.481;-15.495;80.818;51.646;85.857;44.397;100.674;-36.608;30.905;55.081;0.146;56.473;56.473;15.796
2700;-3.265;70.332;-15.847;75.764;52.091;91.603;41.966;102.291;-37.796;31.761;61.719;0.746;60.51;60.51;16.026
2710;-8.895;62.101;-16.081;71.836;51.072;98.506;42.214;104.068;-38.983;32.556;68.295;-1.377;63.868;63.868;16.415
2720;-14.421;55.137;-15.876;66.363;49.997;105.25;44.046;105.097;-40.171;33.27;74.83;-3.382;65.623;65.623;15.821
2730;-20.48;48.579;-15.415;60.93;50.331;115.058;45.783;105.966;-41.262;34.105;82.785;-6.577;67.124;67.124;15.226
2740;-26.263;41.462;-15.195;53.697;53.036;123.186;46.487;106.312;-42.069;34.863;91.181;-9.851;67.865;67.865;14.854
2750;-31.44;34.966;-14.836;47.503;56.342;130.022;46.883;107.058;-42.876;36.077;99.577;-12.612;68.677;68.677;14.516
2760;-36.247;28.349;-15.633;41.35;59.964;134.658;46.545;106.77;-42.723;37.891;112.047;-14.382;68.855;68.855;13.57
2770;-41.014;21.617;-17.052;34.057;63.814;137.647;45.983;106.643;-42.611;39.225;124.276;-15.17;70.113;70.113;12.752
2780;-44.263;14.585;-18.879;27.745;67.887;139.116;43.174;106.131;-42.499;40.207;130.79;-16.637;71.79;71.79;10.655
2790;-47.655;7.353;-21.443;22.472;71.6;139.71;39.117;106.457;-42.208;41.189;137.319;-19.145;73.881;73.881;8.359
2800;-49.825;-0.164;-24.241;18.266;75.548;139.825;35.252;107.108;-41.357;42.171;143.847;-19.152;75.212;75.212;6.221
2810;-52.036;-7.601;-26.55;12.643;78.172;140.269;31.596;108.284;-40.75;43.193;146.77;-18.737;76.073;76.073;3.797
2820;-55.007;-15.108;-28.825;7.302;80.317;138.792;29.572;109.386;-40.143;43.052;149.692;-18.368;76.599;76.599;3.357
2830;-59.542;-20.76;-31.268;0.225;79.692;137.646;27.417;110.617;-39.537;42.912;153.985;-18.297;77.124;77.124;2.517
2840;-63.477;-26.53;-33.71;-6.408;79.24;135.748;25.183;111.153;-38.93;42.771;158.188;-17.972;77.397;77.397;1.567
2850;-66.217;-32.855;-37;-10.698;77.579;131.721;21.967;111.794;-38.143;41.77;162.39;-17.692;75.488;75.488;-0.817
2860;-68.701;-40.737;-40.29;-12.934;75.596;128.44;17.982;111.804;-37.317;39.928;164.211;-17.339;73.579;73.579;-3.338
2870;-70.501;-48.541;-43.843;-15.025;73.571;123.572;12.83;112.887;-36.331;38.19;166.032;-17.418;70.116;70.116;-4.339
2880;-71.968;-55.716;-47.658;-16.862;70.674;119.463;6.996;113.527;-35.49;36.377;163.669;-18.561;67.182;67.182;-5.43
2890;-72.996;-63.017;-51.273;-19.139;68.498;115.594;1.401;113.174;-34.648;34.363;161.306;-19.961;64.317;64.317;-5.861
2900;-74.288;-68.557;-54.992;-21.629;65.323;111.727;-3.425;112.225;-33.807;32.069;158.943;-22.648;61.27;61.27;-6.332
2910;-75.061;-74.545;-58.396;-23.799;61.927;106.459;-7.81;110.792;-32.931;29.754;154.674;-25.465;57.53;57.53;-6.566
2920;-76.185;-79.092;-61.517;-27.143;58.343;99.604;-12.857;108.782;-31.735;27.44;150.406;-28.411;53.713;53.713;-6.799
2930;-78.029;-83.681;-65.534;-31.128;56.029;90.309;-18.143;107.359;-30.379;25.008;144.047;-32.263;49.15;49.15;-6.761
2940;-79.937;-88.27;-69.35;-34.651;53.803;81.956;-22.364;106.128;-29.023;22.497;137.688;-35.64;44.051;44.051;-5.423
2950;-82.044;-92.521;-72.585;-38.823;52.781;70.83;-26.368;104.681;-27.668;19.806;131.33;-37.211;38.633;38.633;-3.692
2960;-84.087;-97.092;-75.819;-42.848;52.279;59.659;-30.261;102.374;-26.312;17.114;123.549;-35.89;33.272;33.272;-2.269
2970;-86.359;-101.366;-78.226;-45.521;51.09;48.186;-34.713;100.083;-24.832;14.596;115.768;-35.083;26.841;26.841;-0.588
2980;-88.255;-106.119;-80.53;-49.552;49.501;35.713;-39.425;97.275;-21.992;11.957;107.415;-35.018;21.012;21.012;0.084
2990;-90.148;-110.374;-82.113;-51.596;47.67;24.796;-43.099;94.661;-19.512;9.519;99.062;-36.287;15.175;15.175;1.041
3000;-92.64;-113.27;-83.116;-53.64;45.956;12.382;-47.385;90.851;-17.004;6.99;90.709;-37.207;9.128;9.128;1.528
3010;-94.458;-116.047;-83.794;-55.634;44.241;2.575;-50.95;87.295;-14.497;4.745;80.37;-38.301;3.036;3.036;1.957
3020;-95.796;-119.673;-83.564;-56.909;40.782;-8.472;-54.877;82.226;-11.989;2.979;70.03;-39.07;-3.043;-3.043;2.589
3030;-96.851;-123.379;-83.051;-58.855;37.043;-17.626;-58.393;76.15;-9.399;1.534;61.197;-38.895;-9.183;-9.183;3.145
3040;-97.746;-126.292;-82.254;-63.761;32.094;-26.221;-60.526;69.385;-5.688;-0.077;52.364;-38.732;-14.628;-14.628;3.989
3050;-98.578;-129.766;-81.47;-69.172;26.428;-34.288;-63.178;62.717;-2.538;-1.688;43.531;-38.589;-19.941;-19.941;4.826
3060;-99.89;-133.425;-81.063;-73.103;20.401;-42.596;-65.23;54.708;0.619;-3.203;37.101;-38.894;-24.531;-24.531;6.046
3070;-101.072;-136.924;-80.939;-77.12;14.509;-51.145;-68.165;46.182;3.777;-3.637;30.67;-39.658;-29.196;-29.196;7.396
3080;-102.663;-140.087;-79.794;-79.628;9.541;-59.901;-71.404;38.001;6.989;-3.606;22.101;-40.177;-33.695;-33.695;9.258
3090;-104.814;-142.05;-79.015;-81.4;4.692;-69.099;-75.843;30.469;10.201;-3.574;13.531;-39.88;-37.108;-37.108;11.154
3100;-106.941;-143.139;-77.379;-85.592;1.233;-76.114;-77.84;22.964;13.414;-3.549;4.899;-38.777;-38.799;-38.799;13.651
3110;-109.171;-143.349;-75.999;-88.463;-2.382;-83.055;-78.445;15.03;16.586;-2.684;-4.309;-38.836;-40.662;-40.662;16.113
3120;-110.309;-143.174;-74.651;-91.101;-6.321;-88.458;-78.259;5.6;19.69;-1.606;-13.738;-38.79;-41.286;-41.286;18.015
3130;-110.018;-142.512;-73.303;-93.332;-10.412;-93.015;-77.753;-4.872;22.793;-0.527;-21.152;-37.19;-42.389;-42.389;20.952
3140;-109.734;-141.89;-71.99;-95.607;-14.932;-97.543;-77.459;-14.53;25.966;0.552;-28.669;-36.251;-44.69;-44.69;23.646
3150;-108.45;-141.061;-70.677;-98.36;-19.588;-101.512;-77.767;-23.807;28.978;1.648;-36.186;-35.941;-46.298;-46.298;26.408
3160;-106.719;-139.964;-68.52;-101.403;-24.003;-105.17;-77.895;-32.692;31.99;2.705;-41.366;-35.046;-48.068;-48.068;28.942
3170;-104.468;-139.012;-66.363;-103.535;-28.03;-107.428;-77.903;-41.487;34.683;3.761;-46.545;-33.415;-50.086;-50.086;29.861
3180;-100.913;-137.872;-63.403;-105.091;-31.954;-108.521;-76.628;-51.026;37.279;4.749;-49.799;-32.337;-51.792;-51.792;30.619
3190;-96.719;-136.775;-60.443;-106.73;-37.36;-110.495;-75.177;-60.869;39.874;5.792;-53.052;-32.394;-53.269;-53.269;29.154
3200;-92.179;-134.786;-57.612;-106.546;-42.261;-112.091;-73.425;-70.081;42.512;7.034;-56.437;-31.848;-53.601;-53.601;27.69
3210;-87.046;-132.76;-54.782;-106.062;-47.709;-113.607;-72.953;-77.923;45.309;7.963;-59.767;-31.949;-54.189;-54.189;26.723
3220;-81.752;-128.694;-52.553;-105.767;-52.512;-116.538;-72.015;-85.186;48.106;8.891;-63.145;-32.121;-53.772;-53.772;25.756
3230;-75.888;-123.83;-50.204;-103.832;-57.528;-118.469;-70.341;-91.916;49.543;10.054;-66.338;-32.102;-55.112;-55.112;25.71
3240;-69.105;-119.859;-47.869;-104.261;-61.786;-119.668;-69.45;-98.372;50.932;10.982;-69.6;-32.08;-56.396;-56.396;25.789
3250;-61.963;-116.957;-45.414;-104.29;-66.444;-119.259;-67.799;-104.014;52.321;10.91;-72.862;-32.954;-57.796;-57.796;25.468
3260;-53.861;-113.655;-42.49;-103.863;-70.924;-117.412;-65.855;-110.75;54.069;10.839;-74.88;-33.581;-57.841;-57.841;25.043
3270;-46.458;-108.321;-38.766;-104.178;-73.804;-114.339;-64.655;-115.983;55.737;10.732;-76.898;-33.579;-57.935;-57.935;25.498
3280;-40.524;-102.636;-35.117;-103.012;-77.273;-111.426;-62.178;-119.768;57.404;10.327;-77.419;-33.699;-57.684;-57.684;25.87
3290;-34.891;-95.32;-29.269;-99.27;-80.506;-108.505;-60.04;-121.17;57.952;9.441;-77.941;-33.377;-58.59;-58.59;25.71
3300;-27.857;-87.055;-23.593;-95.248;-83.739;-104.983;-57.156;-122.407;58.472;8.349;-78.372;-33.501;-60.526;-60.526;25.557
3310;-20.508;-78.352;-18.037;-90.84;-86.135;-100.906;-55.321;-122.641;58.992;7.257;-79.488;-31.683;-64.208;-64.208;24.781
3320;-11.741;-69.981;-12.647;-86.512;-88.019;-96.629;-54.113;-123.263;59.56;6.178;-80.321;-28.148;-68.657;-68.657;24.301
3330;-2.599;-61.868;-7.897;-81.182;-89.223;-93.051;-52.69;-124.076;59.568;4.654;-80.207;-24.684;-72.465;-72.465;23.501
3340;7.189;-54.954;-3.16;-76.532;-90.811;-89.313;-49.575;-124.977;59.577;3.57;-79.837;-21.477;-75.48;-75.48;23.241
3350;16.865;-47.28;2.097;-71.338;-92.399;-84.316;-46.672;-126.079;59.585;2.486;-79.468;-17.91;-77.157;-77.157;22.542
3360;26.492;-40.403;7.608;-67.105;-94.319;-79.559;-44.559;-125.69;59.428;1.277;-77.49;-12.411;-78.634;-78.634;22.04
3370;35.186;-33.519;14.36;-63.61;-96.197;-74.163;-41.811;-124.95;59.27;0.069;-75.512;-7.258;-81.137;-81.137;21.898
3380;42.284;-24.903;21.098;-60.451;-97.003;-69.447;-38.956;-123.714;59.12;-1.379;-73.059;-3.168;-83.807;-83.807;21.229
3390;49.742;-16.254;27.826;-57.19;-97.941;-64.782;-35.207;-122.679;57.93;-2.855;-70.607;2.108;-85.797;-85.797;20.539
3400;56.251;-6.452;34.403;-54.106;-97.877;-60.367;-31.354;-121.892;56.899;-4.331;-68.368;8.189;-87.436;-87.436;18.935
3410;62.64;3.135;39.051;-51.382;-97.514;-56.632;-27.341;-120.323;55.924;-5.774;-67.55;13.174;-87.556;-87.556;17.297
3420;68.599;14.521;43.417;-48.629;-97.503;-53.077;-23.201;-118.399;54.949;-8.12;-66.305;17.152;-86.608;-86.608;14.963
3430;74.36;24.995;48.234;-46.466;-96.792;-50.563;-20.108;-115.434;53.974;-10.466;-64.8;21.47;-85.661;-85.661;12.657
3440;79.481;36.189;52.804;-43.953;-94.459;-48.232;-17.681;-112.059;52.964;-12.812;-63.074;25.777;-85.166;-85.166;11.469
3450;84.389;46.063;59.226;-43.283;-91.854;-45.941;-15.193;-107.879;51.794;-15.145;-61.349;29.225;-86.146;-86.146;10.502
3460;88.417;56.399;65.648;-43.044;-88.401;-43.502;-11.872;-104.243;50.465;-17.197;-58.614;32.579;-87.127;-87.127;10.124
3470;92.458;64.694;72.022;-42.948;-84.963;-39.703;-8.881;-100.781;49.108;-19.85;-55.879;36.272;-88.323;-88.323;9.519
3480;94.579;72.782;80.35;-43.087;-81.28;-35.916;-6.165;-97.712;47.75;-22.53;-52.606;41.081;-87.31;-87.31;9.473
3490;95.687;84.386;88.672;-40.986;-77.997;-33.088;-3.594;-94.407;46.393;-25.175;-49.332;46.4;-86.891;-86.891;9.425
3500;97.034;95.687;97.01;-36.983;-74.646;-30.199;-1.068;-91.101;45.07;-26.821;-46.025;51.985;-86.341;-86.341;10.137
3510;96.817;108.277;105.341;-33.401;-71.379;-28.382;0.527;-86.048;43.548;-28.326;-42.499;56.359;-86.65;-86.65;9.977
3520;97.739;119.499;111.165;-28.288;-67.982;-26.527;3.356;-80.594;42.105;-29.83;-39.119;59.528;-86.663;-86.663;8.737
3530;100.179;128.383;117.197;-24.545;-64.651;-24.091;6.454;-75.488;40.634;-31.335;-36.24;62.483;-86.974;-86.974;6.857
3540;103.24;135.734;120.145;-21.059;-60.16;-21.487;10.219;-72.145;39.164;-32.374;-33.265;64.957;-87.052;-87.052;5.159
3550;104.741;140.706;123.286;-17.803;-56.335;-18.354;14.465;-69.396;37.777;-33.532;-30.29;66.268;-86.501;-86.501;3.432
3560;106.77;145.199;126.706;-14.394;-52.953;-15.854;18.712;-66.568;36.389;-34.691;-26.152;65.628;-85.942;-85.942;2.425
3570;107.677;148.697;130.148;-10.81;-49.451;-10.452;23.034;-62.872;34.281;-35.891;-22.014;64.026;-84.83;-84.83;1.447
3580;108.53;152.315;132.909;-7.985;-46.801;-4.931;26.708;-58.931;32.734;-37.07;-17.321;63.065;-83.094;-83.094;0.469
3590;108.684;156.057;135.567;-6.578;-43.992;1.179;29.539;-54.506;31.248;-38.69;-12.629;62.557;-81.261;-81.261;-1.968
3600;108.982;159.119;136.465;-5.771;-40.983;6.21;31.832;-49.455;29.763;-39.789;-7.999;61.003;-80.034;-80.034;-4.406
3610;108.491;162.084;137.287;-4.61;-37.521;9.193;34.021;-44.99;28.284;-40.881;-4.065;59.348;-80.354;-80.354;-7.462
3620;108.007;165.408;136.092;-2.448;-32.79;11.897;35.779;-40.53;26.806;-42.057;-0.124;58.265;-80.626;-80.626;-10.477
3630;106.883;166.866;134.857;-0.308;-28.048;13.654;37.461;-36.17;24.847;-42.992;2.182;57.245;-80.367;-80.367;-13.332
3640;105.543;166.594;133.233;1.572;-23.41;15.572;38.39;-32.408;23.928;-42.946;4.461;56.075;-80.419;-80.419;-16.243
3650;103.457;165.468;131.672;2.852;-19.257;18.076;39.679;-28.709;23.106;-42.901;6.739;54.992;-80.382;-80.382;-18.233
3660;101.572;164.957;131.211;4.03;-15.622;21.301;39.971;-25.799;22.284;-42.855;7.295;53.582;-79.407;-79.407;-20.279
3670;99.236;163.007;130.909;5.368;-11.75;25.714;40.117;-21.288;21.393;-42.099;7.851;53.033;-76.833;-76.833;-20.287
3680;96.739;161.378;129.079;8.143;-6.821;29.077;41.218;-15.749;20.182;-42.423;7.114;52.956;-74.826;-74.826;-20.057
3690;94.326;159.069;127.29;10.479;-1.726;32.892;42.975;-10.186;18.971;-42.748;6.378;53.524;-73.182;-73.182;-19.939
3700;92.112;156.401;122.643;14.247;1.337;35.749;43.621;-5.793;17.92;-42.892;6.201;54.506;-72.828;-72.828;-19.85
3710;89.754;153.294;118.003;18.274;4.292;38.458;44.926;-2.16;16.876;-43.182;5.615;54.552;-71.211;-71.211;-20.4
3720;87.397;149.146;112.052;19.817;6.985;41.251;46.72;2.552;15.832;-44.112;6.44;54.639;-69.207;-69.207;-20.93
3730;85.873;144.999;104.103;21.726;10.637;43.986;48.757;7.473;14.712;-45.186;7.074;52.538;-69.382;-69.382;-21.979
3740;84.446;137.861;94.902;24.799;14.545;47.688;50.363;13.142;13.192;-46.261;8.281;48.755;-67.317;-67.317;-23.734
3750;82.723;130.578;85.19;28.16;20.112;51.39;52.742;18.636;11.672;-46.823;9.488;45.346;-65.432;-65.432;-25.488
3760;80.986;121.728;74.44;31.556;26.388;55.825;55.978;23.299;10.352;-47.423;9.266;41.938;-60.528;-60.528;-27.021
3770;78.13;112.637;65.206;33.968;32.56;59.876;59.211;28.335;9.087;-48.023;9.044;39.999;-55.785;-55.785;-28.581
3780;75.327;107.466;55.799;36.47;38.532;64.105;62.71;33.385;7.822;-48.223;8.674;40.091;-51.741;-51.741;-29.473
3790;71.924;102.24;47.469;38.847;44.532;68.166;65.102;39.062;6.619;-48.534;8.305;40.891;-48.254;-48.254;-29.752
3800;68.607;101.734;39.154;41.988;49.966;70.502;65.594;44.921;5.177;-48.759;8.806;42.531;-44.269;-44.269;-30.07
3810;64.782;101.75;30.93;43.834;54.999;72.825;65.582;51.399;3.734;-48.783;9.397;43.367;-39.454;-39.454;-29.917
3820;60.53;102.927;22.807;46.92;59.863;72.189;65.174;57.076;3.011;-48.877;10.29;42.975;-34.519;-34.519;-30.11
3830;56.257;102.188;15.47;49.723;64.808;71.381;66.086;61.846;2.523;-48.971;10.514;42.412;-30.705;-30.705;-30.462
3840;52.077;101.448;8.014;55.378;69.829;69.941;68.314;66.081;2.034;-48.83;11.353;41.61;-27.211;-27.211;-30.497
3850;47.138;98.77;1.975;61.171;74.734;68.185;70.415;70.699;1.657;-48.886;12.192;41.527;-21.623;-21.623;-30.593
3860;43.257;96.091;-4.103;67.684;79.799;68.331;72.956;75.637;-0.801;-48.941;14.006;41.257;-14.903;-14.903;-30.17
3870;39.465;90.917;-8.732;74.363;83.498;68.583;75.156;80.047;-3.259;-48.796;15.819;40.608;-7.903;-7.903;-29.629
3880;35.56;85.75;-13.721;81.441;86.657;69.458;76.961;84.548;-5.237;-48.575;19.676;40.102;0.543;0.543;-29.528
3890;31.669;81.783;-18.094;87.422;89.868;71.124;79.892;90.139;-7.022;-49.314;23.532;39.382;9.674;9.674;-28.421
3900;29.377;77.637;-22.066;93.906;92.701;72.606;82.706;96.171;-8.807;-48.854;26.655;38.766;20.262;20.262;-27.339
3910;27.001;73.411;-26.661;98.109;94.432;73.457;86.748;101.775;-10.509;-48.345;31.324;39.091;30.986;30.986;-26.818
3920;25.106;69.171;-31.175;101.967;93.692;74.073;90.283;105.862;-12.491;-47.836;34.25;39.974;41.946;41.946;-26.251
3930;24.512;65.451;-35.39;102.265;91.277;76.236;92.538;107.668;-14.153;-45.239;38.083;40.099;54.149;54.149;-25.909
3940;23.917;61.924;-39.806;102.377;87.243;78.371;94.69;108.593;-15.815;-42.572;40.712;39.81;66.974;66.974;-26.167
3950;22.974;58.717;-43.578;100.728;84.851;81.145;98.727;110.288;-17.477;-39.906;42.981;39.677;78.949;78.949;-26.308
3960;22.59;55.196;-47.75;98.851;82.19;83.96;102.662;112.681;-19.139;-37.12;44.61;40.597;89.703;89.703;-25.448
3970;21.32;52.514;-50.833;99.494;80.775;85.403;106.277;113.186;-20.767;-33.301;44.959;41.643;101.357;101.357;-24.603
3980;20.781;49.108;-53.836;100.607;78.452;86.963;109.782;114.459;-22.434;-29.481;45.754;44.217;114.881;114.881;-23.585
3990;20.241;46.861;-55.635;100.583;76.357;85.909;113.268;115.258;-23.702;-25.502;45.95;47.692;126.076;126.076;-21.767
4000;19.804;42.546;-56.553;98.939;72.466;83.632;116.197;116.273;-24.997;-21.931;47.476;49.708;136.108;136.108;-19.97
4010;19.367;38.33;-56.212;97.412;67.884;80.56;117.447;116.688;-26.292;-18.367;49.782;52.393;141.41;141.41;-17.212
4020;19.392;32.033;-54.232;95.739;63.091;77.306;118.786;115.832;-27.588;-14.203;49.815;53.79;145.152;145.152;-14.821
4030;19.177;23.768;-51.982;94.892;58.905;74.206;118.887;115.146;-28.862;-10.377;50.07;53.132;149.641;149.641;-12.429
4040;19.072;15.263;-48.465;94.726;54.281;71.345;119.217;113.112;-29.937;-6.55;49.059;51.261;155.388;155.388;-10.142
4050;17.814;4.403;-44.859;95.452;50.578;69.25;120.386;110.117;-30.771;-1.964;47.288;49.181;163.157;163.157;-7.91
4060;16.652;-5.738;-41.44;97.501;47.157;67.258;121.28;106.621;-31.578;2.305;46.632;48.112;170.09;170.09;-6.55
4070;14.837;-15.617;-38.061;98.563;43.817;65.152;122.634;104.021;-32.385;6.574;45.695;47.328;176.852;176.852;-5.128
4080;13.139;-23.015;-34.992;99.583;40.568;62.84;124.393;102.876;-33.137;11.003;43.781;45.074;183.022;183.022;-3.713
4090;11.254;-32.283;-31.803;98.618;37.148;60.454;126.232;100.131;-33.888;15.232;41.466;42.248;190.632;190.632;-2.698
4100;9.977;-39.63;-28.048;96.87;33.287;57.732;124.647;96.989;-34.84;19.295;38.752;38.702;196.003;196.003;-1.71
4110;8.941;-46.297;-24.254;94.152;29.239;55.232;122.857;93.361;-33.712;23.239;34.647;35.999;201.41;201.41;-0.883
4120;7.55;-50.73;-20.594;90.646;24.286;52.672;121.623;90.926;-32.597;26.982;31.417;33.727;207.225;207.225;0.186
4130;6.644;-53.168;-16.575;87.381;18.683;50.084;118.357;88.109;-31.483;30.794;26.895;30.899;211.226;211.226;1.255
4140;5.971;-54.705;-13.97;83.156;12.4;47.288;112.383;85.301;-30.334;34.684;21.835;28.334;216.306;216.306;2.069
4150;4.647;-55.828;-13.084;78.352;6.917;44.651;106.548;82.011;-29.665;37.374;17.294;25.737;219.055;219.055;2.841
4160;3.323;-57.287;-12.343;73.782;3.794;42.254;101.499;79.477;-28.996;39.891;12.17;23.032;220.917;220.917;4.05
4170;2.287;-59.666;-12.243;68.75;2.677;38.417;96.466;76.486;-28.047;42.648;8.686;19.334;217.979;217.979;5.684
4180;0.411;-62.783;-12.087;65.49;1.952;34.188;89.901;74.294;-27.194;44.446;5.338;15.901;213.152;213.152;7.319
4190;-1.742;-67.181;-11.651;62.63;2.694;29.039;83.204;73.003;-26.342;46.374;3.47;12.804;206.943;206.943;9.403
4200;-3.622;-71.643;-11.091;60.608;2.931;24.458;75.575;70.716;-25.414;48.302;2.225;10.543;203.172;203.172;11.459
4210;-6.262;-75.185;-9.691;58.186;3.412;20.037;68.581;67.087;-24.526;50.07;1.585;8.371;198.756;198.756;12.404
4220;-7.663;-78.59;-8.484;55.474;2.863;16.153;62.41;63.75;-23.637;51.935;1.015;6.171;193.705;193.705;13.189
4230;-9.065;-80.912;-7.117;50.923;2.898;12.92;56.252;59.439;-22.709;53.759;-0.16;4.466;187.502;187.502;14.015
4240;-11.172;-84.225;-5.737;46.723;3.332;11.072;50.146;54.55;-21.96;55.302;-1.472;2.48;181.302;181.302;14.841
4250;-13.32;-85.36;-5.596;42.043;4.234;8.599;41.75;48.737;-21.211;56.859;-4.023;1.582;175.862;175.862;15.433
4260;-15.968;-88.546;-5.579;38.501;4.993;6.008;33.055;43.426;-20.228;58.417;-5.982;-0.753;171.811;171.811;15.825
4270;-18.941;-89.404;-8.123;34.688;6.142;2.972;24.374;38.214;-18.844;58.676;-5.461;-3.371;169.537;169.537;15.192
4280;-21.996;-91.266;-10.556;31.196;6.644;-0.063;17.652;33.876;-17.461;59.039;-6.046;-5.623;164.982;164.982;14.51
4290;-24.959;-92.957;-14.669;27.876;6.306;-4.526;11.121;29.032;-16.277;59.401;-5.35;-7.553;157.163;157.163;12.444
4300;-26.916;-93.448;-18.52;24.036;5.93;-8.988;3.79;23.728;-15.121;57.964;-5.836;-9.371;147.159;147.159;10.502
4310;-29.33;-95.423;-22.411;19.059;5.404;-14.801;-4.305;18.334;-13.966;56.679;-7.546;-11.961;135.621;135.621;9.098
4320;-31.103;-96.479;-26.302;13.723;4.439;-20.615;-12.679;13.268;-12.692;55.29;-9.692;-14.43;123.181;123.181;7.774
4330;-33.091;-98.181;-29.881;6.972;3.135;-26.901;-22.422;8.066;-10.979;54.581;-11.019;-15.757;111.837;111.837;6.401
4340;-35.292;-99.357;-33.447;0.091;1.072;-32.986;-33.163;4.265;-9.266;53.858;-12.028;-16.123;99.27;99.27;7.168
4350;-37.452;-99.342;-38.029;-6.033;-0.524;-38.959;-41.422;0.234;-7.353;53.135;-12.836;-16.981;87.023;87.023;8.025
4360;-39.979;-99.726;-42.77;-12.274;-2.389;-44.971;-49.674;-3.472;-5.474;52.073;-13.183;-18.894;72.941;72.941;8.723
4370;-42.193;-98.178;-46.993;-17.835;-3.054;-51.044;-59.138;-8.308;-3.596;50.832;-14.371;-22.181;58.163;58.163;9.581
4380;-44.527;-98.935;-51.327;-23.852;-3.612;-57.759;-65.924;-12.866;-1.772;49.59;-16.128;-25.316;43.319;43.319;10.625
4390;-47.004;-99.473;-53.781;-28.44;-4.532;-65.298;-70.302;-17.948;-0.309;48.829;-17.326;-28.259;29.636;29.636;9.749
4400;-49.481;-101.197;-54.88;-33.679;-6.621;-73.167;-74.418;-22.804;1.634;47.95;-19.57;-31.581;16.49;16.49;8.673
4410;-51.847;-102.492;-56.499;-36.85;-9.905;-80.756;-77.556;-28.484;3.578;47.072;-21.561;-34.222;3.588;3.588;7.597
4420;-54.383;-102.812;-57.407;-40.092;-13.368;-85.64;-80.594;-33.968;5.397;46.353;-23.859;-36.181;-8.055;-8.055;6.063
4430;-56.91;-103.172;-59.498;-43.494;-17.086;-90.524;-82.451;-39.317;7.217;45.628;-26.287;-37.935;-17.858;-17.858;4.323
4440;-59.091;-101.852;-61.531;-48.241;-20.283;-93.691;-84.363;-43.651;9.146;44.902;-29.858;-39.528;-26.902;-26.902;3.137
4450;-61.272;-100.371;-64.225;-54.41;-22.273;-96.858;-85.257;-47.308;10.436;42.386;-33.789;-40.861;-36.352;-36.352;2.343
4460;-63.246;-99.137;-67.462;-60.363;-24.342;-102.119;-86.914;-49.477;11.766;39.89;-36.734;-41.277;-44.543;-44.543;1.488
4470;-65.219;-98.313;-70.248;-66.57;-27.134;-107.379;-90.524;-52.399;13.095;37.393;-39.639;-41.979;-52.759;-52.759;0.313
4480;-67.171;-98.075;-73.323;-71.903;-31.246;-113.775;-93.968;-55.142;14.342;34.777;-42.138;-42.574;-60.288;-60.288;-0.8
4490;-68.203;-97.513;-75.921;-77.197;-36.261;-119.091;-98.041;-58.287;15.589;32.452;-44.666;-42.772;-67.754;-67.754;-2.033
4500;-69.119;-96.695;-78.077;-82.47;-41.56;-122.214;-99.792;-60.637;16.788;30.128;-45.954;-43.021;-74.08;-74.08;-3.394
4510;-69.196;-94.102;-79.937;-88.703;-46.681;-124.697;-100.754;-63.561;17.506;27.524;-47.891;-43.392;-79.346;-79.346;-4.756
4520;-69.356;-91.152;-80.772;-94.977;-51.04;-126.503;-101.24;-66.93;17.825;25.549;-49.228;-43.67;-84.339;-84.339;-5.251
4530;-68.934;-87.273;-81.825;-101.879;-53.843;-128.423;-102.686;-71.44;18.088;23.388;-49.623;-44.291;-88.92;-88.92;-5.663
4540;-68.632;-83.273;-82.637;-107.179;-55.534;-129.157;-103.985;-74.978;18.352;20.826;-51.619;-45.033;-91.334;-91.334;-4.876
4550;-68.106;-80.57;-83.832;-112.04;-57.988;-129.61;-105.131;-77.484;18.091;19.381;-52.462;-45.83;-94.974;-94.974;-4.363
4560;-67.317;-77.946;-84.986;-112.221;-61.201;-129.062;-105.316;-80.321;17.83;17.935;-53.345;-46.181;-95.641;-95.641;-3.822
