timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
1940;-164.833;-94.534;-30.106;-66.971;127.441;;-66.106;-92.632;-72.808;-12.908;-7.516;-7.207;-215.872;-273.15;16.349
1950;-176.015;-102.27;-47.484;-67.12;132.47;;-72.007;-99.102;-78.779;-14.346;-22.796;-13.564;-221.892;-275.681;-13.171
1960;-188.163;-110.099;-64.142;-66.923;137.581;;-78.668;-105.829;-84.778;-14.71;-37.023;-19.625;-227.775;-277.233;-42.262
1970;-199.581;-119.604;-79.84;-66.655;142.571;;-86.178;-113.732;-92.086;-15.074;-50.676;-23.997;-231.406;-278.703;-70.012
1980;-211.385;-128.153;-93.869;-66.388;147.444;;-93.661;-121.596;-99.753;-15.439;-64.974;-28.12;-232.823;-280.337;-95.99
1990;-220.981;-136.154;-107.792;-66.12;152.574;;-100.303;-128.646;-106.906;-14.963;-78.903;-32.83;-234.44;-281.665;-121.443
2000;-231.574;-142.617;-120.189;-65.754;157.703;;-105.87;-135.432;-112.923;-14.487;-90.393;-39.121;-235.891;-282.381;-145.004
2010;-242.386;-147.339;-131.266;-63.564;163.454;;-111.277;-141.741;-118.939;-14.702;-101.752;-45.223;-236.004;-282.052;-167.08
2020;-251.774;-151.979;-141.443;-61.374;169.218;;-116.777;-148.174;-124.081;-14.917;-111.44;-51.125;-236.255;-281.968;-187.188
2030;-261.099;-155.585;-149.781;-59.183;174.92;;-123.139;-155.444;-129.255;-15.132;-120.608;-56.08;-237.89;-282.201;-205.087
2040;-267.897;-157.908;-158.321;-58.277;178.928;;-129.582;-162.749;-134.429;-16.226;-129.974;-62.814;-240.868;-282.28;-219.953
2050;-270.605;-159.132;-166.651;-55.37;182.949;;-135.545;-170.617;-140.208;-17.32;-138.381;-69.465;-244.335;-283.27;-231.873
