timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
690;-193.098;-206.316;-203.523;-157.354;-193.528;-231.282;-246.972;-225.95;-204.105;-278.013;-230.115;-183.748;-75.896;-86.462;-43.261
700;-187.054;-198.025;-182.778;-136.651;-175.826;-213.226;-233.446;-219.6;-201.098;-258.618;-214.907;-164.892;-70.554;-78.122;-36.454
710;-179.187;-191.88;-164.2;-115.853;-160.253;-197.48;-221.68;-212.96;-196.333;-242.107;-201.587;-148.227;-68.52;-71.907;-32.013
720;-170.829;-187.109;-147.872;-97.431;-146.49;-183.355;-210.743;-205.007;-189.872;-227.809;-188.513;-131.934;-66.73;-66.582;-27.178
730;-164.383;-182.526;-133.998;-79.551;-133.872;-167.488;-201.008;-197.652;-184.435;-214.629;-175.946;-115.647;-62.85;-62.024;-22.968
740;-158.662;-178.299;-122.133;-62.68;-122.47;-153.286;-189.436;-190.564;-180.974;-202.795;-164.957;-101.295;-59.825;-59.222;-19.03
750;-153.951;-173.57;-110.556;-47.394;-109.917;-139.591;-177.955;-184.669;-178.127;-189.79;-150.931;-88.344;-57.366;-56.357;-15.985
760;-148.65;-167.713;-100.05;-32.813;-95.513;-127.188;-164.625;-180.925;-172.85;-178.175;-136.763;-76.687;-56.263;-53.825;-12.788
770;-144.363;-160.58;-90.487;-17.076;-82.337;-115.554;-152.663;-178.847;-170.044;-167.187;-123.898;-66.626;-54.63;-50.176;-10.088
780;-140.317;-154.149;-82.059;-2.611;-66.636;-100.3;-141.725;-177.471;-167.404;-154.666;-112.319;-55.312;-53.06;-47.084;-8.586
790;-134.02;-148.698;-72.823;10.265;-52.18;-86.325;-131.505;-174.837;-164.223;-144.27;-100.829;-44.973;-52.023;-44.424;-9.137
800;-126.464;-145.958;-63.131;22.179;-39.577;-74.667;-121.494;-171.315;-162.268;-134.768;-90.238;-35.137;-51.125;-42.72;-8.732
810;-119.431;-142.767;-55.308;30.824;-27.871;-62.424;-112.873;-167.353;-160.033;-130.259;-79.529;-26.605;-50.033;-40.645;-8.367
820;-96.344;-121.131;-23.688;51.832;-1.655;-32.671;-89.242;-153.527;-147.142;-100.331;-47.269;3.905;-44.267;-32.535;2.643
830;-74.295;-99.626;6.135;72.794;25.799;-2.538;-64.171;-139.938;-133.97;-70.908;-13.837;35.923;-37.644;-24.417;12.737
840;-59.05;-85.18;34.685;92.332;48.873;22.7;-43.255;-130.362;-126.17;-46.995;10.372;63.291;-30.989;-16.925;23.584
850;-49.672;-77.538;52.102;110.635;71.4;47.856;-22.904;-118.551;-115.011;-23.481;34.607;89.694;-25.807;-9.214;30.714
860;-40.611;-69.993;61.151;125.331;90.738;68.027;-5.671;-108.931;-107.604;-7.764;53.291;106.164;-20.753;-1.553;32.327
