timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
4900;-28.524;-57.011;-103.479;-48.047;-14.794;11.007;69.637;-4.454;56.448;43.098;173.923;46.666;-16.054;98.651;-23.465
4910;-34.375;-63.32;-103.964;-52.968;-18.75;9.175;64.785;-5.174;54.81;42.371;169.142;47.211;-20.382;89.45;-11.847
4920;-40.226;-69.629;-102.912;-57.103;-21.23;6.639;59.695;-5.837;52.848;41.879;165.837;47.811;-24.71;80.248;-0.829
4930;-46.788;-73.407;-101.339;-62.953;-23.396;3.941;54.19;-5.954;50.804;41.783;164.492;47.843;-29.245;71.047;10.217
4940;-53.142;-77.185;-99.546;-66.121;-25.447;0.774;48.846;-5.822;48.777;41.677;162.615;46.748;-34.621;61.646;24.782
4950;-60.37;-80.872;-97.843;-68.974;-29.138;-2.29;42.637;-6.452;46.637;40.731;161.923;45.728;-39.996;52.354;39.217
4960;-67.597;-84.559;-96.153;-68.641;-32.945;-5.003;36.326;-6.572;44.233;39.154;161.054;42.982;-45.371;43.063;53.748
4970;-74.792;-88.429;-94.64;-68.309;-36.894;-6.756;29.313;-6.83;41.749;36.188;159.515;40.196;-50.088;34.972;68.389
4980;-82.055;-92.299;-92.287;-65.407;-39.79;-8.097;22.694;-7.608;39.594;32.392;159.44;37.284;-54.812;26.985;82.91
4990;-88.695;-95.131;-90.099;-63.634;-41.251;-8.324;15.552;-8.421;38.295;28.084;159.352;34.585;-59.537;21.397;99.759
5000;-95.055;-97.963;-85.432;-61.862;-42.354;-8.617;8.702;-9.192;37.433;23.599;158.763;31.806;-64.261;15.817;115.607
5010;-101.93;-100.041;-82.2;-62.623;-42.884;-7.07;2.16;-8.746;36.388;17.841;158.411;28.986;-67.441;10.236;130.903
5020;-107.876;-102.12;-80.839;-63.895;-42.942;-5.214;-4.492;-6.197;35.171;11.288;156.397;25.673;-70.622;4.655;145.08
5030;-113.938;-102.211;-78.677;-60.652;-42.834;-3.117;-9.741;-3.539;33.927;4.052;151.258;22.495;-73.803;-0.926;159.188
5040;-117.844;-101.262;-76.199;-57.41;-42.623;-1.139;-13.703;-0.156;32.088;-3.825;146.174;18.549;-75.983;-6.626;171.415
5050;-120.512;-98.939;-73.323;-53.497;-42.432;0.737;-18.315;3.971;30.153;-11.463;138.069;14.641;-77.12;-12.417;183.65
5060;-120.092;-96.857;-70.407;-47.146;-42.192;3.126;-22.281;7.705;27.156;-19.335;127.468;10.734;-78.257;-18.207;191.317
5070;-118.804;-94.436;-69.174;-42.982;-40.992;6.132;-25.563;9.799;24.359;-27.669;115.406;7.316;-79.393;-23.997;199.074
5080;-115.506;-92.014;-66.495;-39.783;-39.039;9.644;-28.441;9.945;23.429;-35.81;103.388;3.633;-79.63;-26.068;204.152
5090;-112.512;-89.514;-63.837;-38.913;-36.389;13.266;-31.472;10.077;22.2;-43.709;90.948;-0.05;-79.454;-28.138;208.492
5100;-109.161;-85.702;-58.283;-34.855;-33.465;16.814;-34.266;9.03;22.116;-51.101;78.788;-4.112;-79.277;-30.195;212.833
5110;-104.018;-81.779;-52.968;-29.601;-30.748;20.492;-36;7.189;22.898;-57.279;67.87;-8.054;-79.101;-32.411;216.794
5120;-98.192;-77.265;-46.869;-23.506;-27.31;23.968;-36.494;4.622;24.215;-62.575;57.207;-12.372;-78.924;-34.586;220.756
5130;-91.143;-72.881;-42.681;-19.211;-24.15;27.217;-36.836;2.076;23.046;-67.446;46.986;-16.501;-78.748;-36.761;224.717
5140;-84.622;-69.054;-38.418;-15.426;-20.268;30.349;-37.972;-0.452;21.149;-73.13;37.005;-21.188;-78.571;-38.937;226.621
5150;-76.141;-65.454;-34.526;-10.677;-16.865;33.433;-40.785;-2.542;18.703;-79.993;25.465;-25.269;-77.115;-40.862;228.524
5160;-69.097;-62.811;-29.27;-5.294;-13.559;36.514;-44.01;-5.279;16.539;-87.197;13.635;-29.989;-75.658;-42.788;230.152
5170;-61.412;-60.272;-26.23;0.37;-11.059;39.775;-47.297;-8.015;14.199;-93.764;0.163;-35.135;-74.457;-44.273;231.779
5180;-53.494;-59.17;-22.945;7.963;-8.553;42.815;-49.725;-12.338;11.077;-99.803;-14.826;-40.542;-73.255;-45.759;233.359
5190;-46.895;-58.233;-18.542;16.623;-6.001;45.531;-52.074;-17.181;7.956;-106.561;-29.076;-45.666;-71.572;-47.341;231.178
5200;-40.728;-58.265;-14.342;25.244;-3.382;48.074;-53.799;-21.364;5.368;-112.95;-43.728;-50.79;-69.89;-48.709;227.309
5210;-35.921;-58.386;-9.652;31.05;-0.708;50.16;-55.53;-25.713;3.076;-118.928;-58.447;-53.724;-68.614;-50.077;223.392
5220;-31.789;-57.265;-4.266;38.09;1.746;51.603;-57.135;-28.149;1.063;-123.379;-71.812;-56.399;-67.338;-52.646;219.468
5230;-28.177;-56.137;0.726;43.316;4.628;52.488;-59.055;-29.568;-0.182;-127.393;-85.279;-59.073;-66.062;-55.214;215.543
5240;-24.705;-54.276;5.817;49.662;7.585;51.668;-60.994;-31.166;-0.981;-131.657;-98.156;-61.334;-64.786;-57.182;209.361
5250;-21.513;-52.436;12.81;55.822;10.399;50.654;-62.92;-32.59;-2.225;-135.201;-110.698;-62.719;-63.931;-59.343;198.779
5260;-17.552;-49.869;21.265;63.628;13.186;48.168;-64.112;-35.265;-3.412;-137.719;-124.179;-64.131;-60.596;-61.505;188.19
5270;-13.469;-47.33;29.72;72.026;16.374;45.683;-64.818;-38.975;-4.639;-139.754;-137.086;-63.817;-57.261;-63.666;177.601
5280;-9.215;-42.822;32.898;75.67;19.486;42.75;-65.178;-42.37;-6.188;-139.818;-147.677;-62.417;-53.925;-65.828;166.971
5290;-4.286;-38.273;35.335;79.033;22.592;39.428;-65.324;-45.916;-7.273;-139.343;-158.159;-60.421;-50.99;-65.892;156.381
5300;-0.781;-32.961;37.04;81.396;25.698;36.297;-65.032;-49.44;-9.321;-138.359;-164.974;-58.8;-49.444;-65.957;141.658
5310;2.172;-27.615;40.106;80.109;28.563;32.771;-64.819;-52.015;-11.583;-137.506;-168.389;-57.854;-47.898;-65.022;126.935
5320;3.974;-22.287;44.772;78.709;30.65;29.239;-64.646;-52.757;-14.175;-136.552;-170.502;-57.75;-46.352;-64.211;112.157
5330;5.666;-16.862;49.018;78.852;32.674;25.036;-63.894;-51.44;-17.52;-135.195;-171.777;-57.69;-44.923;-63.4;97.421
5340;7.579;-11.258;52.863;81.31;33.938;20.833;-62.913;-49.772;-21.862;-132.938;-172.222;-58.069;-43.494;-62.375;83.524
5350;10.543;-5.777;56.919;86.197;35.032;15.872;-60.901;-47.302;-27.244;-129.29;-172.388;-58.279;-42.065;-61.35;67.365
5360;11.846;0.065;61.048;88.801;35.879;10.938;-58.561;-45.112;-33.077;-124.757;-172.539;-58.997;-40.636;-60.166;51.207
5370;13.948;5.583;65.818;90.806;35.786;5.759;-56.978;-43.241;-38.621;-119.516;-172.334;-59.688;-37.018;-58.981;34.538
5380;15.062;12.062;70.966;90.644;35.818;0.899;-55.45;-41.481;-43.459;-114.185;-170.913;-60.392;-33.4;-55.996;17.869
5390;16.737;17.395;77.473;90.037;35.17;-3.604;-53.6;-40.23;-47.935;-107.699;-168.738;-59.979;-29.782;-52.266;1.014
5400;16.479;22.727;83.772;88.79;34.45;-8.637;-50.823;-40.611;-52.12;-99.87;-165.745;-59.484;-27.472;-48.537;-15.161
5410;16.461;26.77;88.411;87.927;34.281;-13.67;-48.488;-41.701;-56.662;-91.491;-161.661;-57.828;-24.72;-44.807;-31.385
5420;15.658;30.812;92.73;85.292;34.193;-19.695;-46.319;-42.88;-60.739;-83.739;-156.881;-55.836;-21.968;-41.517;-48.27
5430;15.095;35.789;95.105;82.818;34.277;-25.623;-45.108;-42.916;-64.286;-76.11;-151.992;-53.844;-19.217;-38.228;-65.128
5440;15.914;40.766;95.767;79.503;34.279;-31.32;-44.897;-42.414;-67.396;-66.487;-147.691;-52.303;-16.465;-34.379;-81.986
5450;17.294;47.52;96.174;77.993;34.89;-37.137;-45.499;-42.612;-69.753;-56.106;-143.679;-50.422;-13.734;-30.251;-94.851
5460;20.35;54.274;94.826;75.08;35.361;-42.248;-46.012;-42.997;-71.465;-45.406;-139.21;-48.928;-11.003;-25.792;-107.716
5470;23.367;59.648;92.239;71.091;36.047;-47.411;-47.342;-45.01;-73.643;-34.862;-134.389;-47.622;-7.792;-21.332;-120.863
5480;26.979;65.022;89.599;66.89;36.774;-52.574;-48.702;-47.462;-76.441;-23.839;-129.968;-46.596;-4.581;-16.873;-134.011
5490;30.058;69.001;85.091;60.603;36.583;-56.639;-49.265;-49.397;-80.113;-12.734;-125.465;-46.23;-1.494;-12.565;-147.11
5500;33.396;72.981;79.433;54.888;36.407;-60.476;-49.876;-51.395;-84.588;-2.488;-120.789;-46.807;1.593;-8.258;-155.05
5510;36.946;76.669;73.494;49.366;36.626;-63.183;-50.469;-52.949;-89.501;7.859;-115.23;-46.75;2.862;-5.15;-162.989
5520;40.444;80.357;67.337;45.312;35.916;-65.774;-50.927;-54.331;-93.985;18.043;-108.032;-48.12;4.131;-2.043;-170.639
5530;44.685;81.988;64.963;41.046;35.178;-67.139;-51.313;-55.342;-97.681;26.571;-100.803;-50.254;5.503;0.975;-178.288
5540;48.196;83.618;64.182;36.964;33.24;-67.212;-51.63;-56.484;-101.841;35.004;-93.044;-52.25;6.876;4.028;-185.897
5550;51.901;85.552;62.782;31.014;31.64;-67.286;-50.575;-57.306;-104.739;42.732;-85.659;-54.743;8.248;7.08;-189.345
5560;56.206;87.486;59.284;26.101;29.825;-66.386;-49.12;-58.397;-106.819;50.25;-79.811;-56.852;9.621;9.132;-192.228
5570;60.688;90.105;53.668;21.508;28.17;-65.652;-46.292;-58.994;-108.634;57.367;-72.273;-58.961;10.972;11.185;-194.731
5580;65.383;92.724;47.948;16.858;26.481;-63.949;-43.403;-59.337;-109.69;63.397;-65.317;-60.564;12.364;12.637;-197.214
5590;69.479;95.399;43.135;15.713;24.97;-62.246;-39.263;-58.262;-109.277;68.448;-59.047;-61.192;13.756;13.441;-199.697
5600;72.557;98.073;37.612;12.008;23.403;-59.77;-35.379;-56.068;-107.244;72.403;-52.881;-61.771;15.148;14.246;-199.807
5610;74.676;100.361;32.172;9.902;21.865;-57.728;-32.259;-51.999;-104.623;75.392;-46.139;-61.498;16.291;15.05;-196.957
5620;75.932;102.65;25.441;7.366;20.517;-55.034;-28.87;-46.921;-102.445;78.237;-39.131;-61.145;16.28;15.854;-193.915
5630;76.469;102.244;18.897;7.559;18.723;-52.647;-25.152;-40.622;-100.35;81.652;-32.066;-60.641;16.269;14.858;-190.389
5640;75.661;102.674;9.523;8.032;16.168;-50.197;-20.926;-33.662;-98.09;84.699;-24.703;-60.27;16.086;13.538;-186.546
5650;74.852;101.025;0.781;8.737;13.69;-47.101;-16.819;-26.847;-95.248;87.142;-17.446;-59.472;15.902;12.938;-183.383
5660;73.219;101.248;-7.312;8.189;11.011;-44.046;-11.861;-20.451;-92.156;89.043;-9.917;-58.941;15.719;12.034;-176.018
5670;71.586;100.512;-13.279;10.061;8.152;-39.821;-6.881;-13.766;-89.512;91.2;-2.698;-57.636;15.535;11.131;-168.652
5680;70.036;98.506;-18.175;11.239;5.708;-35.418;-0.339;-7.794;-86.996;93.212;5.131;-55.553;15.313;9.586;-160.432
5690;68.485;96.501;-22.241;13.037;3.903;-30.898;7.403;-2.023;-84.397;94.211;12.44;-53.023;15.091;8.041;-152.211
5700;67.081;92.695;-27.371;12.845;1.948;-26.258;15.379;3.868;-82.119;94.585;19.542;-49.789;14.869;6.217;-146.15
5710;65.677;88.89;-31.629;14.633;0.592;-21.618;23.204;9.738;-80.334;95.012;25.294;-46.555;14.647;4.392;-137.53
5720;64.91;85.883;-35.742;16.295;-0.746;-15.964;30.846;15.212;-78.917;95;30.214;-42.72;14.338;2.327;-128.909
5730;64.143;82.876;-39.604;16.062;-1.537;-10.31;37.527;19.967;-77.549;94.801;35.273;-38.148;14.029;-0.228;-119.868
5740;65.055;80.868;-41.994;18.218;-1.527;-4.466;43.172;23.465;-76.47;94.501;40.607;-33.575;13.72;-2.782;-110.426
5750;65.967;78.859;-41.971;18.459;-1.4;1.378;48.97;27.046;-74.702;94.143;46.594;-28.885;13.411;-5.433;-101.745
5760;66.599;75.601;-41.948;17.647;-1.433;6.154;54.615;30.694;-72.401;93.572;53.222;-25.186;13.102;-6.884;-91.623
5770;67.23;72.343;-39.888;14.986;-0.868;11.037;60.381;34.262;-70.09;92.895;59.694;-21.487;12.793;-8.335;-81.502
5780;66.534;68.244;-35.789;11.433;-0.37;14.423;65.926;36.839;-67.92;92.59;66.894;-17.865;12.484;-9.786;-70.925
5790;65.837;64.145;-32.549;8.698;2.828;15.872;71.56;39.498;-65.924;92.023;73.859;-13.578;14.11;-10.677;-59.701
5800;65.119;58.43;-26.939;7.57;5.811;17.32;75.654;42.16;-64.281;91.255;79.985;-8.63;15.737;-11.617;-48.476
5810;64.4;52.716;-21.33;9.768;9.234;17.799;79.068;45.262;-62.632;90.774;86.497;-3.029;17.363;-12.556;-37.571
5820;62.623;45.488;-14.794;11.491;12.589;18.277;80.414;46.646;-60.961;90.189;91.159;3.006;18.989;-13.288;-26.666
5830;60.847;38.261;-8.658;11.83;13.932;18.655;82.153;48.257;-59.148;90.172;95.941;9.181;20.534;-13.421;-15.748
5840;58.146;32.103;-3.491;8.417;13.481;20.272;81.348;46.531;-57.684;90.88;101.043;14.986;22.079;-13.553;-4.429
5850;55.446;25.946;-0.086;6.474;13.086;22.16;80.302;43.286;-56.583;91.946;107.092;20.386;23.623;-11.646;6.89
5860;53.123;20.914;2.32;5.395;12.29;25.559;78.857;38.608;-55.037;93.112;112.646;25.723;25.168;-9.738;15.368
5870;50.8;15.883;6.073;4.731;11.452;28.957;77.321;34.124;-52.337;93.924;116.149;31.105;26.713;-7.382;23.847
5880;49.618;11.297;10.55;2.835;11.132;32.251;74.377;28.192;-49.066;94.313;119.204;36.487;28.258;-5.026;32.091
5890;48.848;6.71;16.752;-1.163;11.332;35.545;70.215;22.913;-45.687;95.041;121.069;42.461;29.803;-3.015;40.328
5900;49.139;3.897;18.909;-5.537;11.443;38.857;66.11;19.96;-42.277;96.408;122.753;49.374;35.352;-1.724;48.566
5910;49.505;1.083;22.342;-9.326;10.993;42.382;61.91;17.726;-39.055;98.201;123.124;56.287;40.901;-0.433;53.283
5920;50.923;-0.061;23.701;-13.113;10.585;45.534;58.596;16.674;-35.215;99.937;123.626;63.232;46.45;1.578;58.32
5930;51.901;0.168;24.68;-12.833;9.977;48.01;54.422;15.89;-31.244;101.101;123.401;68.574;51.61;3.948;63.288
5940;52.724;-0.65;25.659;-13.346;8.906;50.486;48.968;14.865;-27.728;101.259;123.52;73.916;56.77;6.317;68.112
5950;52.828;-0.066;27.303;-12.851;8.521;52.262;43.382;15.083;-24.688;100.25;123.694;77.964;61.93;8.687;72.935
5960;52.455;0.497;27.746;-16.688;7.537;53.956;37.755;15.197;-21.742;98.72;125.308;82.433;67.09;11.029;75.199
5970;51.403;1.621;29.229;-20.014;6.793;54.894;33.004;15.996;-18.396;97.528;126.979;86.408;72.25;13.611;80.262
5980;49.836;2.91;29.705;-22.261;5.01;55.859;29.589;17.168;-14.943;95.755;128.412;89.826;77.41;16.193;85.326
5990;47.069;3.635;30.194;-21.468;2.742;55.817;27.859;19.462;-10.894;94.117;128.465;92.701;82.57;16.775;90.527
6000;44.65;4.345;29.063;-17.988;-0.065;55.2;26.019;21.942;-7.131;92.565;126.837;95.2;88.11;17.543;95.728
6010;42.47;4.887;27.833;-12.219;-3.426;54.451;25.374;24.648;-3.574;90.963;123.761;97.444;93.913;18.312;99.49
6020;40.603;5.167;24.971;-8.011;-6.76;53.543;25.393;27.03;-0.201;88.916;120.692;99.612;99.716;19.156;107.091
6030;39.575;5.688;21.472;-6.132;-9.494;52.636;26.234;29.174;3.33;86.49;116.303;101.543;105.519;20;114.692
6040;37.779;5.996;19.237;-4.789;-13.721;52.484;26.876;30.855;7.252;84.502;111.814;102.488;109.241;20.284;122.57
6050;36.183;5.743;15.363;-3.229;-17.433;52.194;27.777;32.036;11.4;82.674;107.594;103.35;112.964;20.568;130.164
6060;32.941;5.394;9.95;-1.65;-20.709;51.593;29.277;33.524;16.008;79.561;103.574;103.663;116.687;18.932;137.479
6070;30.578;5.418;3.8;0.337;-24.033;49.754;32.374;37.555;21.098;75.906;99.873;103.698;120.41;17.324;146.113
6080;27.686;5.441;-1.771;3.492;-25.76;47.876;35.463;41.64;26.485;71.71;95.61;103.594;124.132;15.716;154.748
6090;25.945;3.968;-4.828;4.833;-25.756;43.16;40.316;48.284;32.618;67.001;91.098;103.221;128.062;14.211;163.803
6100;24.276;2.495;-6.364;4.785;-25.39;38.382;45.473;56.368;38.553;62.033;86.026;103.819;131.992;10.666;172.099
6110;22.989;-0.308;-6.543;3.408;-23.832;32.394;51.223;65.95;44.018;56.873;81.468;104.487;132.509;7.121;180.276
6120;21.556;-3.11;-6.723;2.872;-22.204;26.538;56.994;75.739;48.542;51.381;77.874;106.488;133.026;3.577;187.372
6130;19.688;-4.265;-8.719;6.229;-20.829;21.102;64.16;86.771;52.254;45.872;75.105;108.982;133.543;0.483;194.469
6140;17.559;-5.419;-10.75;11.701;-19.381;15.159;72.037;97.937;56.326;40.246;74.055;110.687;134.061;-2.611;201.565
6150;14.527;-5.989;-9.142;18.732;-18.93;9.232;79.374;107.575;60.199;34.735;72.914;110.892;130.698;-5.705;207.972
6160;11.392;-6.559;-9.985;24.319;-18.788;1.859;86.565;117.228;64.269;28.859;71.457;111.059;127.335;-8.626;214.379
6170;7.383;-6.724;-11.112;29.524;-18.583;-5.506;93.196;125.382;68.218;22.066;69.639;110.746;124.131;-12.268;218.266
6180;2.368;-6.89;-13.288;29.266;-18.699;-13.163;99.586;132.473;72.159;15.928;68.724;111.243;120.927;-15.909;222.153
6190;-2.417;-4.964;-13.374;28.407;-18.829;-20.888;105.974;138.564;75.818;10.063;67.884;111.364;117.723;-18.19;226.04
6200;-7.888;-3.279;-13.874;27.229;-19.159;-28.214;112.443;143.112;79.236;4.483;66.752;111.885;114.519;-20.575;228.913
6210;-12.553;-2.513;-11.789;28.479;-19.425;-35.422;117.735;145.772;82.234;-0.415;64.539;111.033;111.315;-22.96;231.786
6220;-17.6;-2.548;-10.153;29.215;-19.774;-42.379;121.11;145.703;84.589;-5.244;62.894;110.229;105.127;-25.345;231.859
6230;-22.167;-3.377;-7.679;29.843;-19.563;-49.241;123.177;143.875;85.545;-10.312;60.13;108.618;98.939;-27.419;229.132
6240;-26.759;-4.517;-5.73;27.113;-19.386;-55.666;123.983;140.752;85.101;-16.03;57.919;107.363;92.752;-27.494;226.406
6250;-31.47;-5.658;-2.982;25.884;-18.85;-61.75;124.852;137.65;83.913;-22.219;56.159;105.983;86.528;-27.568;222.941
6260;-36.095;-7.341;0.594;24.844;-17.899;-67.862;123.585;132.884;81.887;-28.891;55.215;105.046;80.305;-25.91;219.476
6270;-40.88;-9.023;5.709;24.75;-17.081;-74.196;119.997;125.879;79.444;-35.123;53.801;104.132;74.081;-24.252;212.171
6280;-45.903;-11.05;10.166;26.534;-16.943;-80.53;114.972;118.394;75.997;-40.948;52.388;103.219;67.858;-22.594;202.586
6290;-50.407;-13.076;11.612;26.803;-16.812;-86.538;109.913;110.917;72.164;-46.801;51.269;102.629;61.634;-20.937;193.001
6300;-55.103;-14.335;13.108;27.207;-17.215;-91.88;105.046;102.959;68.338;-52.412;49.825;101.553;55.411;-19.23;183.789
6310;-58.56;-15.594;16.324;24.71;-17.982;-96.881;100.145;94.03;64.589;-57.382;47.89;100.317;49.188;-15.604;174.156
6320;-62.137;-16.658;20.077;20.943;-18.443;-100.204;94.662;84.571;59.905;-61.743;45.349;98.13;40.767;-11.978;163.203
6330;-65.273;-17.721;23.67;15.434;-18.519;-103.527;89.193;75.215;54.726;-65.345;42.774;95.863;32.353;-5.636;149.81
6340;-67.781;-18.731;22.447;10.886;-18.636;-105.116;83.211;65.854;50.299;-68.559;40.323;93.957;23.939;0.706;136.417
6350;-70.408;-19.741;19.437;6.743;-18.974;-106.594;76.932;56.303;46.177;-71.261;38.032;91.448;15.526;7.048;123.154
6360;-72.634;-20.159;16.188;2.992;-19.949;-107.204;70.421;45.748;41.763;-73.651;34.885;89.49;10.952;13.183;109.858
6370;-74.714;-20.37;13.181;-0.752;-20.957;-107.766;63.978;35.412;37.992;-75.537;32.668;86.341;6.378;19.319;97.641
6380;-77.564;-20.771;11.294;-6.086;-21.685;-107.766;57.188;24.046;34.789;-78.572;30.346;82.59;1.804;24.934;82.785
6390;-80.028;-21.062;9.406;-12.219;-22.593;-106.138;50.437;11.785;30.945;-82.815;26.175;78.84;-2.77;30.549;67.928
6400;-82.818;-22.041;6.807;-20.286;-22.092;-104.462;44.357;-1.553;26.101;-87.29;22.183;74.135;-7.343;35.934;53.072
6410;-85.663;-23.179;5.77;-27.814;-21.123;-100.916;38.132;-14.815;20.606;-90.93;16.403;68.553;-11.959;41.319;38.257
6420;-86.862;-26.743;5.742;-33.742;-19.902;-97.37;31.648;-29.342;14.625;-93.109;10.452;62.971;-16.574;46.703;25.641
6430;-87.123;-30.342;5.714;-34.127;-19.094;-92.874;23.492;-44.229;8.263;-95.519;4.661;57.057;-20.942;51.985;12.946
6440;-86.247;-35.639;4.192;-33.338;-18.175;-88.324;14.219;-57.686;1.189;-97.977;-2.146;51.145;-25.31;55.906;0.251
6450;-84.505;-40.97;2.429;-33.67;-17.657;-83.794;4.974;-71.073;-5.836;-99.952;-10.481;45.226;-29.679;59.828;-12.444
6460;-83.248;-45.268;-1.305;-37.04;-17.262;-79.771;-2.474;-83.117;-13.734;-103.023;-18.454;38.506;-34.047;63.445;-24.629
6470;-81.472;-49.731;-5.992;-39.979;-16.628;-75.908;-8.153;-92.766;-21.385;-106.323;-26.447;30.36;-35.135;64.463;-36.876
6480;-80.179;-53.971;-10.996;-41.114;-15.594;-72.065;-13.556;-100.215;-27.702;-109.123;-33.28;22.761;-36.223;65.481;-44.963
6490;-78.785;-57.974;-15.801;-42.785;-14.568;-68.181;-20.571;-106.748;-32.866;-111.557;-37.575;13.564;-37.353;66.499;-53.05
6500;-77.39;-62.375;-19.604;-45.652;-12.822;-64.116;-27.6;-113.349;-37.328;-114.24;-41.047;3.636;-38.483;67.641;-61.137
6510;-76.283;-65.897;-23.778;-50.725;-11;-60.03;-35.993;-119.299;-41.829;-116.317;-42.714;-6.549;-39.612;67.023;-68.617
6520;-75.258;-68.781;-27.674;-54.879;-8.578;-55.763;-45.514;-123.579;-47.258;-118.532;-44.759;-16.83;-40.742;66.406;-76.062
6530;-75.003;-71.226;-31.532;-58.338;-5.981;-50.903;-56.221;-126.716;-53.116;-120.648;-48.353;-27.07;-40.291;63.708;-80.828
6540;-74.803;-73.61;-33.59;-60.021;-3.28;-46.421;-66.775;-130.018;-58.494;-122.913;-52.051;-37.346;-39.84;61.01;-85.593
6550;-74.079;-76.466;-36.746;-63.143;-2.007;-42.063;-78.303;-132.963;-64.441;-125.196;-55.829;-46.75;-39.389;58.312;-90.359
6560;-73.476;-79.127;-39.906;-64.371;-0.623;-37.192;-89.59;-136.188;-70.628;-127.338;-59.418;-56.106;-38.938;55.614;-94.683
6570;-72.436;-81.579;-45.211;-64.512;-0.232;-32.99;-100.972;-140.462;-75.55;-129.468;-62.251;-64.254;-36.297;52.874;-98.993
6580;-70.229;-84.999;-50.212;-64.612;0.36;-28.825;-111.714;-144.92;-79.652;-131.794;-65.07;-71.712;-33.655;47.295;-100.863
6590;-68.375;-88.102;-53.254;-64.734;1.448;-24.822;-121.385;-149.29;-84.549;-134.792;-68.448;-78.921;-31.014;41.606;-103.334
6600;-66.026;-91.243;-53.912;-69.419;2.685;-20.884;-131.135;-153.841;-89.352;-138.375;-72.07;-85.596;-28.372;34.836;-105.804
6610;-64.079;-94.586;-54.57;-73.084;4.178;-17.407;-138.767;-156.514;-92.887;-141.578;-75.55;-91.952;-27.251;28.066;-108.026
6620;-62.364;-96.375;-54.721;-76.625;5.596;-14.029;-143.414;-157.121;-95.876;-144.441;-79.95;-98.232;-26.13;21.297;-110.248
6630;-59.914;-97.927;-54.963;-77.901;6.847;-11.418;-147.807;-157.223;-98.454;-145.959;-85.305;-103.571;-25.008;14.527;-109.81
6640;-57.345;-98.239;-54.924;-78.17;8.503;-9.301;-150.171;-154.513;-101.121;-146.251;-89.938;-108.91;-23.528;7.854;-110.971
6650;-54.372;-97.443;-54.292;-76.541;9.68;-6.266;-151.834;-149.287;-103.171;-146.51;-94.516;-112.697;-22.193;0.901;-112.132
6660;-50.4;-96.087;-53.621;-73.521;11.673;-3.364;-153.574;-142.971;-105.109;-146.339;-96.639;-114.772;-20.858;-6.101;-113.246
6670;-48.116;-93.564;-52.337;-72.116;13.346;-0.142;-154.779;-135.31;-106.887;-146.048;-97.914;-116.807;-19.523;-13.262;-114.359
6680;-45.832;-91.041;-51.128;-72.526;15.548;2.734;-153.89;-125.661;-108.07;-144.782;-98.542;-117.921;-18.428;-20.423;-115.088
6690;-43.582;-87.298;-50.237;-70.612;17.466;6.974;-151.535;-114.81;-108.16;-141.753;-97.01;-118.468;-18.532;-27.585;-118.258
6700;-41.332;-83.554;-49.706;-67.799;19.225;11.301;-148.564;-104.152;-107.363;-138.248;-93.629;-119.193;-18.637;-34.394;-121.428
6710;-38.183;-79.386;-50.913;-61.47;21.039;15.902;-145.841;-92.149;-104.688;-134.206;-88.269;-118.599;-18.742;-41.204;-124.577
6720;-35.034;-75.218;-50.972;-55.135;22.612;19.743;-143.439;-81.138;-101.415;-129.877;-83.302;-116.812;-18.847;-45.414;-127.726
6730;-31.436;-69.982;-52.723;-51.834;23.65;23.579;-140.443;-70.723;-97.926;-124.811;-77.177;-115.023;-19.034;-49.196;-131.841
6740;-27.997;-64.746;-53.764;-49.852;24.673;26.094;-135.441;-61.192;-94.594;-118.454;-72.975;-111.11;-19.222;-52.978;-135.957
6750;-24.102;-58.698;-56.353;-47.939;24.697;27.928;-130.385;-51.033;-90.501;-110.975;-69.273;-106.204;-18.741;-56.76;-140.233
6760;-20.007;-52.65;-57.783;-44.617;24.658;29.317;-122.52;-40.314;-85.127;-103.75;-67.251;-101.018;-18.259;-60.542;-144.509
6770;-15.731;-46.341;-60.415;-41.226;23.632;30.51;-112.003;-29.298;-78.857;-96.412;-65.714;-95.594;-18.698;-64.2;-148.73
6780;-10.295;-40.192;-62.241;-37.757;22.606;31.153;-99.572;-19.01;-72.272;-88.778;-63.081;-90.157;-20.697;-65.778;-153.35
6790;-5.52;-32.702;-64.026;-34.048;21.739;32.148;-87.703;-9.71;-65.749;-81.55;-60.497;-84.84;-22.695;-67.363;-157.923
6800;-0.607;-25.316;-62.218;-28.658;21.974;32.303;-74.855;-0.517;-58.139;-74.276;-57.472;-79.474;-24.694;-68.348;-158.815
6810;4.208;-16.53;-58.713;-23.989;22.535;31.299;-62.527;8.823;-49.841;-66.797;-54.468;-74.363;-26.548;-69.332;-159.708
6820;9.086;-7.957;-54.048;-19.08;24.092;29.817;-50.506;17.966;-42.688;-59.452;-51.899;-69.611;-28.401;-70.317;-160.117
6830;12.52;1.575;-48.245;-13.774;25.56;28.418;-39.892;27.229;-36.186;-52.797;-49.331;-65.567;-30.255;-71.302;-160.527
6840;16.181;10.966;-42.039;-6.383;27.07;27.423;-30.113;35.509;-29.574;-46.119;-46.792;-61.599;-32.109;-72.632;-160.433
