timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
1310;37.953;46.43;33.271;19.934;-43.983;-5.077;9.76;-27.447;-19.312;8.707;7.998;14.945;-6.307;18.313;-13.381
1320;39.242;48.355;30.167;22.958;-43.626;-3.998;11.565;-27.249;-16.117;11.553;8.343;14.325;-7.04;18.92;-12.739
1330;40.936;50.071;26.205;24.318;-43.034;-3.011;13.493;-27.157;-13.644;15.224;9.057;14.165;-7.761;18.741;-11.324
1340;41.354;50.999;24.644;22.729;-42.429;-1.848;15.271;-27.542;-11.896;19.465;10;13.895;-8.126;18.576;-9.906
1350;41.698;51.726;23.594;23.192;-42.464;-0.291;17.035;-27.102;-9.876;23.298;9.986;13.717;-8.241;18.425;-7.954
1360;42.687;52.585;25.275;23.102;-42.617;1.289;18.295;-26.686;-7.894;26.661;8.723;13.55;-8.345;18.245;-5.991
1370;43.538;52.545;27.673;24.303;-41.993;2.682;19.527;-26.228;-5.35;29.53;8.153;13.222;-8.44;18.038;-5.093
1380;45.916;51.158;30.554;23.999;-40.853;3.938;20.769;-25.494;-1.81;31.934;6.411;12.904;-8.244;17.725;-3.499
1390;47.54;48.653;31.833;23.674;-39.156;5.626;20.99;-24.223;3.013;34.57;4.587;12.589;-7.795;17.425;-1.527
1400;48.135;45.248;32.912;20.555;-37.206;7.893;20.301;-22.655;8.005;36.343;2.662;13.407;-7.334;17.105;0.502
1410;47.459;41.116;32.005;17.413;-34.875;10.871;19.622;-20.335;13.794;38.082;0.989;14.075;-6.861;16.798;3.019
1420;45.328;36.928;31.888;10.896;-32.536;14.72;19.536;-17.64;19.616;39.984;-0.656;15.024;-6.096;16.904;5.192
1430;42.847;32.521;30.383;5.234;-29.623;18.697;20.219;-15.181;25.014;41.883;-1.571;15.983;-5.28;17.022;7.12
1440;41.152;28.175;26.209;3.259;-27.118;22.891;20.998;-12.658;29.461;44.395;-1.901;17.151;-4.453;17.152;7.827
1450;39.665;24.303;21.524;0.699;-23.888;26.749;21.505;-9.926;33.987;47.145;-2.342;18.328;-3.615;17.192;8.93
1460;38.335;20.365;16.586;-1.22;-20.564;30.92;21.78;-7.325;38.585;50.554;-2.883;19.672;-2.666;17.245;9.605
1470;38.291;16.915;11.297;-6.865;-17.031;34.915;22.008;-4.554;43.091;53.84;-4.282;20.783;-1.868;17.671;10.817
1480;38.291;14.437;8.783;-12.525;-13.902;39.292;22.234;-1.458;47.165;57.119;-5.478;21.473;-1.061;18.109;11.553
1490;39.057;11.248;9.703;-18.174;-10.881;43.86;22.509;1.746;50.862;60.075;-6.143;21.203;-0.284;18.559;12.264
1500;40.108;9.432;12.16;-23.839;-7.77;48.731;22.798;5.151;54.521;62.954;-6.693;20.946;0.542;18.736;12.7
1510;42.029;6.354;14.699;-26.881;-4.282;53.868;23.057;9.117;57.761;65.096;-6.576;19.744;1.216;18.928;13.237
1520;44.276;3.61;17.321;-28.061;-1.385;58.319;23.28;12.807;60.396;66.764;-6.427;18.567;1.899;18.816;14.378
1530;45.553;0.203;15.16;-29.906;0.86;62.073;23.51;17.206;63.182;68.276;-5.638;17.509;2.605;18.719;15.779
1540;47.435;-3.467;12.694;-32.002;2.783;65.015;23.718;22.126;66.146;69.814;-4.599;16.51;3.439;18.637;17.38
1550;50.068;-7.329;9.56;-32.506;4.358;68.104;23.568;27.242;69.423;71.463;-3.82;16.677;4.16;18.447;18.98
1560;53.505;-11.175;9.976;-32.985;6.904;70.15;22.864;32.608;72.505;72.679;-3.886;17.197;4.888;18.272;19.796
1570;57.046;-13.716;10.44;-31.113;8.714;71.506;22.497;38.497;76.38;74.209;-5.204;17.924;5.696;18.073;20.61
1580;59.149;-16.243;11.876;-27.681;10.094;72.882;22.589;44.488;81.557;75.683;-6.513;18.731;6.829;17.889;21.176
1590;61.192;-17.5;12.043;-24.258;10.365;74.172;22.687;50.363;86.972;76.406;-7.84;19.544;7.649;17.72;20.581
1600;62.318;-18.745;12.061;-22.26;10.605;75.288;22.805;55.602;91.877;77.156;-7.851;20.378;8.474;17.643;19.02
1610;62.367;-20.268;9.456;-20.275;10.943;76.336;23.106;60.737;96.84;77.463;-7.098;21.218;9.333;18.419;17.017
1620;61.68;-21.779;6.891;-19.891;11.389;76.879;23.691;65.879;101.997;78.163;-6.697;22.015;10.717;19.248;15.233
1630;55.018;-26.534;-0.702;-16.281;9.312;75.852;20.548;67.19;103.512;73.832;-9.05;19.364;9.087;17.181;11.257
1640;47.217;-31.288;-6.989;-12.945;6.641;74.601;17.85;67.823;104.259;69.834;-12.057;16.433;7.457;15.113;7.239
1650;40.255;-33.783;-11.898;-7.646;5.412;73.92;15.859;68.924;105.641;67.63;-13.821;13.364;5.84;13.011;3.661
1660;34.705;-36.279;-14.663;-2.215;5.663;72.559;14.738;69.876;107.341;66.084;-14.701;10.295;4.863;11.709;0.772
1670;30.514;-37.877;-14.912;6.734;5.941;69.637;13.636;70.447;108.626;65.011;-15.319;7.706;4.621;10.247;-1.716
1680;27.524;-39.476;-12.745;15.683;7.022;66.684;13.743;71.097;109.677;64.597;-15.451;5.117;4.378;9.723;-3.77
1690;25.134;-40.585;-9.709;19.554;8.299;63.018;14.265;71.153;111.177;64.997;-14.828;3.648;4.204;9.199;-5.223
1700;23.461;-41.694;-6.521;23.426;9.011;59.392;15.361;71.189;112.51;65.894;-14.148;2.219;4.47;8.468;-6.381
1710;23.188;-41.817;-5.815;23.923;8.942;55.726;17.294;71.581;113.605;67.44;-13.35;1.262;5.633;7.657;-6.458
1720;22.334;-41.939;-7.083;26.299;9.033;52.2;19.461;71.75;113.943;69.189;-13.327;0.543;6.796;6.406;-6.349
1730;21.966;-42.87;-9.709;28.137;9.559;48.543;21.521;71.614;114.618;70.923;-14.03;-0.175;8.041;5.975;-3.76
1740;20.899;-43.801;-11.866;30.884;10.356;44.437;23.354;71.523;115.938;71.999;-14.334;-0.604;9.207;5.545;-1.212
1750;20.699;-45.946;-14.601;33.761;10.393;40.334;25.243;70.99;116.88;72.458;-14.051;-1.033;10.629;5.101;3.683
