timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
1020;-53.74;-145.026;-126.749
1030;-54.351;-141.413;-118.376
1040;-55.12;-138.373;-111.16
1050;-55.868;-132.618;-105.757
1060;-56.597;-127.587;-101.086
1070;-57.09;-123.158;-94.359
1080;-54.412;-117.286;-88.524
1090;-52.037;-111.988;-82.763
1100;-49.922;-107.222;-77.587
1110;-47.88;-102.917;-73.088
1120;-46.031;-98.164;-70.717
1130;-44.351;-93.845;-68.452
1140;-42.984;-89.906;-66.838
1150;-41.372;-84.166;-53.533
1160;-39.751;-78.815;-39.413
1170;-38.121;-73.442;-25.28
1180;-36.422;-68.048;-17.718
1190;-34.709;-61.584;-9.416
1200;-32.982;-55.107;-6.942
1210;-31.569;-48.617;-3.53
1220;-30.296;-41.994;-0.08
1230;-29.005;-35.295;2.146
1240;-27.695;-28.585;4.387
1250;-27.053;-21.865;5.925
1260;-26.395;-17.64;6.237
1270;-25.724;-13.402;6.888
1280;-24.675;-9.152;6.356
1290;-22.9;-4.89;5.75
1300;-21.119;-2.156;7.642
1310;-19.332;0.589;9.55
1320;-16.513;3.345;9.887
1330;-16.084;4.661;9.473
1340;-15.646;5.987;8.554
1350;-15.359;7.322;8.006
1360;-14.98;8.667;7.32
1370;-14.59;9.092;8.207
1380;-14.189;9.528;11.107
1390;-13.642;9.975;14.478
1400;-12.725;11.632;15.461
1410;-11.8;13.13;15.656
1420;-11.157;14.642;16.022
1430;-10.94;16.166;16.4
1440;-10.71;16.998;16.172
1450;-10.466;17.841;15.913
1460;-10.409;18.694;14.205
1470;-10.18;19.317;11.394
1480;-9.938;20.202;8.357
1490;-9.568;21.092;6.972
1500;-7.788;21.987;5.598
1510;-5.999;22.096;5.444
1520;-4.2;22.209;4.78
1530;-2.737;22.327;5.425
1540;-1.984;22.528;4.8
1550;-1.22;22.31;2.113
1560;-0.431;22.097;-0.443
1570;-0.912;21.889;-2.987
1580;-1.384;22.522;-4.877
1590;-1.846;23.157;-6.074
1600;-1.719;23.794;-7.413
1610;-1.624;24.315;-8.503
1620;-1.521;24.569;-9.555
1630;-1.664;24.827;-12.598
1640;-1.357;25.089;-15.634
1650;-1.039;23.899;-16.167
1660;-0.71;22.717;-16.493
1670;-1.247;21.543;-17.184
1680;-1.65;20.375;-17.386
1690;-2.041;19.187;-17.566
1700;-2.165;18.005;-17.697
1710;-2.72;16.828;-17.26
1720;-3.266;16.681;-16.009
1730;-3.805;16.538;-15.187
1740;-3.423;16.399;-16.497
1750;-4.306;14.939;-20.154
1760;-5.189;15.023;-23.812
1770;-6.079;15.108;-26.24
1780;-5.808;15.192;-26.505
1790;-5.538;14.156;-25.097
1800;-5.268;13.03;-22.794
1810;-3.901;11.905;-20.406
1820;-2.494;10.779;-18.097
1830;-1.087;8.686;-15.484
1840;0.499;6.592;-13.607
1850;1.126;4.498;-11.759
1860;1.752;3.594;-10.433
1870;2.378;2.705;-8.437
1880;1.647;1.815;-6.49
1890;0.396;0.926;-4.182
1900;-0.855;1.574;-1.971
1910;-2.203;2.222;0.157
1920;-1.99;2.87;1.41
1930;-1.364;3.654;2.223
1940;-0.738;4.439;3.433
1950;0.541;5.223;4.774
1960;2.452;6.008;6.194
1970;4.364;6.726;7.346
1980;6.055;7.443;8.572
1990;6.946;8.16;9.643
2000;7.775;8.712;10.046
2010;8.604;8.713;10.586
2020;10.884;8.714;11.41
2030;12.299;8.716;11.153
2040;13.714;9.497;10.541
2050;15.199;10.277;10.103
2060;15.483;11.058;12.345
2070;15.739;11.859;14.363
