timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
1440;-4.317;-4.417;-39.212;41.696;21.723;12.882;-0.346;20.685;52.687;-15.873;11.837;3.209;-14.372;14.619;19.744
1450;-1.869;-6.733;-41.136;41.686;20.861;14.118;2.544;23.524;53.668;-14.153;11.093;2.649;-15.761;14.589;19.783
1460;1.751;-7.348;-41.632;41.678;20.242;15.519;5.437;24.868;54.516;-12.432;11.631;2.092;-18.189;14.026;19.825
1470;5.679;-8.16;-42.575;42.005;20.306;16.338;6.88;25.887;55.371;-8.908;12.169;2.755;-19.895;13.306;19.873
1480;10.134;-9.233;-42.638;41.533;21.632;16.843;7.585;26.67;55.912;-4.546;12.909;3.38;-20.939;12.365;19.924
1490;14.83;-10.465;-39.468;41.062;24.363;17.113;7.907;27.642;56.46;-0.185;13.617;3.405;-21.552;11.953;19.98
1500;19.203;-11.721;-36.538;42.271;27.492;16.479;8.591;29.538;57.014;4.175;14.366;4.057;-24.289;12.176;20.22
1510;24.226;-12.335;-32.749;43.48;29.314;16.212;9.277;32.653;55.414;7.931;15.116;4.714;-25.838;12.402;20.466
1520;29.159;-11.972;-30.801;43.737;29.974;15.928;10.927;34.956;53.82;11.087;15.548;5.092;-26.606;13.014;20.716
1530;33.623;-10.967;-29.412;44.116;27.696;14.569;13.449;36.104;52.304;14.244;15.691;5.392;-24.613;13.774;20.636
1540;37.696;-9.976;-28.712;44.512;25.416;12.528;15.232;36.656;50.792;17.4;16.32;5.4;-22.128;14.4;20.56
1550;40.902;-6.583;-27.99;43.83;22.606;11.059;15.002;37.567;50.045;19.452;16.955;5.695;-19.594;14.469;20.488
1560;43.882;-3.44;-28.304;43.148;20.779;10.309;14.775;38.05;49.302;19.822;17.436;5.995;-19.019;14.637;20.801
1570;46.983;0.148;-30.624;41.955;19.789;9.6;14.399;38.13;48.563;20.191;18.063;6.468;-17.582;14.984;21.117
1580;49.976;3.642;-32.231;41.523;18.743;8.218;15.124;37.696;47.828;20.558;19.533;6.14;-12.826;14.914;21.434
1590;52.902;5.303;-32.765;41.098;19.255;5.752;15.786;36.872;46.777;21.54;21.166;5.54;-8.551;14.729;22.182
