timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
1080;-386.137;-231.399;-173.876;-200.905;-136.559;-391.403;-248.439;-244.475;-239.999;-154.896;-254.47;-286.097;-327.998;-379.485;-276.976
1090;-385.11;-228.178;-175.164;-194.216;-134.855;-384.846;-244.255;-239.772;-236.678;-152.691;-247.083;-281.846;-321.892;-375.288;-269.089
1100;-384.133;-226.707;-172.573;-189.653;-135.933;-379.573;-239.053;-234.52;-232.707;-149.747;-239.147;-278.093;-316.507;-369.48;-259.147
1110;-384.211;-226.395;-170.799;-186.355;-140.105;-375.266;-234.418;-229.569;-228.461;-146.141;-232.234;-275.618;-311.224;-364.023;-247.674
1120;-383.092;-227.005;-168.865;-183.543;-143.843;-371.691;-228.504;-223.82;-224.745;-142.507;-226.309;-273.638;-305.67;-358.86;-236.907
1130;-380.974;-228.197;-166.504;-180.051;-146.244;-369.073;-221.919;-216.987;-221.838;-139.291;-221.671;-272.633;-300.021;-354.543;-226.573
1140;-378.986;-229.092;-164.021;-175.267;-149.048;-365.828;-215.626;-211.178;-218.85;-136.444;-217.495;-270.999;-293.641;-349.892;-217.386
1150;-375.862;-230.9;-163.525;-170.825;-152.525;-361.338;-208.35;-205.663;-214.737;-133.587;-213.412;-269.875;-286.925;-343.2;-204.462
1160;-371.937;-231.959;-161.871;-167.534;-154.832;-355.665;-199.891;-201.108;-209.178;-130.991;-210.106;-268.079;-279.869;-336.534;-194.18
1170;-366.749;-232.416;-160.493;-165.075;-157.114;-348.867;-192.553;-196.88;-204.091;-128.161;-206.583;-266.456;-273.347;-330.215;-186.705
1180;-361.509;-232.335;-160.744;-162.095;-159.259;-341.869;-186.04;-193.166;-199.471;-125.117;-203.341;-263.648;-267.665;-323.886;-180.657
1190;-355.714;-231.875;-160.958;-159.036;-161.244;-334.78;-181.161;-188.518;-195.208;-122.101;-199.452;-260.863;-261.31;-317.435;-174.923
1200;-349.313;-231.511;-158.831;-156.207;-164.127;-328.202;-176.407;-184.318;-192.021;-118.494;-195.372;-259.038;-254.913;-311.555;-170.908
1210;-334.271;-216.288;-148.267;-134.536;-166.645;-313.099;-169.511;-173.352;-179.206;-108.471;-181.996;-254.074;-242.355;-301.58;-160.644
1220;-318.751;-198.852;-138.219;-113.543;-168.977;-299.12;-161.673;-163.143;-166.401;-98.659;-167.471;-248.366;-229.444;-291.501;-149.927
1230;-303.737;-187.064;-130.983;-100.758;-171.379;-279.646;-154.457;-152.454;-156.761;-91.618;-152.427;-240.723;-216.925;-280.5;-139.757
1240;-289.161;-180.401;-125.724;-97.103;-174.738;-258.9;-145.76;-139.932;-147.096;-86.842;-141.38;-232.498;-205.282;-270.586;-129.035
1250;-275.204;-175.9;-122.144;-94.611;-178.727;-238.398;-134.096;-128.873;-140.6;-81.736;-130.367;-223.858;-192.438;-260.753;-115.653
1260;-260.077;-172.895;-121.123;-92.153;-179.562;-220.137;-121.265;-119.947;-135.261;-77.53;-122.755;-216.05;-180.377;-251.713;-102.165
1270;-243.37;-170.037;-117.852;-92.418;-178.563;-207.095;-106.159;-112.827;-129.936;-73.009;-115.937;-210.599;-169.778;-242.129;-87.044
1280;-226.982;-167.125;-113.532;-93.646;-175.636;-194.292;-89.668;-106.105;-123.922;-68.843;-109.671;-207.107;-157.568;-230.414;-73.68
1290;-211.426;-163.234;-106.402;-94.178;-172.411;-179.778;-74.081;-100.477;-117.861;-63.609;-102.509;-202.189;-144.871;-216.673;-61.924
1300;-196.987;-158.907;-96.12;-94.305;-166.322;-167.28;-58.785;-93.589;-112.459;-59.196;-95.288;-198.213;-132.322;-204.556;-48.853
1310;-182.358;-154.75;-85.458;-95.957;-159.375;-155.473;-42.365;-87.204;-108.355;-54.348;-87.421;-193.252;-119.748;-193.046;-37.406
1320;-169.088;-150.459;-72.219;-94.404;-154.667;-141.718;-25.748;-79.835;-104.272;-50.834;-79.585;-189.466;-106.469;-180.666;-25.522
