timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
11400;-177.897;-228.799;-275.199;-204.737;-313;-301.748;-77.419;-197.899;-174.334;-129.037;-106.749;-137.039;-18.683;-16.959;-24.469
11410;-172.508;-231.029;-271.208;-204.041;-308.503;-300.007;-75.323;-194.268;-177.106;-129.566;-107.876;-136.324;-15.076;-13.441;-19.979
11420;-167.692;-232.343;-266.826;-203.154;-303.469;-297.611;-72.829;-190.781;-179.782;-130.503;-108.677;-136.05;-11.717;-10.303;-15.6
11430;-162.015;-233.007;-262.37;-201.366;-299.291;-292.445;-70.974;-186.561;-182.215;-130.779;-109.501;-135.796;-8.559;-7.49;-11.421
11440;-155.83;-232.414;-257.626;-199.354;-295.361;-286.134;-69.011;-181.11;-185.352;-130.152;-110.352;-135.314;-5.593;-4.897;-7.448
11450;-150.607;-231.716;-251.484;-195.826;-290.735;-279.223;-67.007;-175.95;-186.381;-129.759;-110.55;-134.126;-2.759;-2.407;-3.655
11460;-145.497;-229.676;-245.691;-191.968;-284.502;-272.669;-64.018;-171.943;-186.72;-128.443;-110.328;-133.185;0;0;0
11470;-139.439;-227.055;-238.683;-187.637;-276.298;-265.25;-60.691;-167.681;-184.48;-127.223;-110.142;-131.734;0;0;0
11480;-134.135;-224.567;-230.826;-179.076;-266.221;-253.312;-57.008;-164.492;-182.474;-125.966;-109.673;-130.545;0;0;0
11490;-127.065;-222.299;-222.494;-170.854;-256.164;-241.457;-52.994;-158.64;-180.28;-124.823;-107.839;-130.371;0;0;0
11500;-120.785;-219.832;-213.641;-162.992;-245.803;-229.601;-49.167;-153.277;-177.852;-123.794;-105.605;-129.699;0;0;0
11510;-113.332;-216.76;-204.185;-155.138;-234.681;-219.223;-44.521;-146.167;-176.032;-122.887;-103.553;-128.305;0;0;0
11520;-105.08;-212.281;-194.572;-147.029;-223.876;-208.825;-40.113;-139.057;-173.887;-121.709;-101.52;-126.698;0;0;0
11530;-97.31;-206.931;-185.28;-138.357;-213.181;-199.789;-35.585;-131.367;-172.388;-119.989;-99.487;-124.291;0;0;0
11540;-88.421;-201.019;-175.321;-129.565;-203.625;-189.673;-31.394;-123.701;-169.847;-118.269;-97.008;-123.275;0;0;0
11550;-79.941;-195.512;-163.099;-120.57;-194.429;-177.954;-27.367;-116.172;-166.106;-115.735;-94.53;-121.778;0;0;0
11560;-71.366;-189.001;-148.623;-111.959;-184.248;-165.844;-23.263;-107.588;-160.967;-112.021;-91.484;-121.45;0;0;0
11570;-62.491;-182.823;-134.673;-103.761;-171.79;-153.481;-20.644;-99.003;-156.179;-108.248;-88.88;-121.266;0;0;0
11580;-54.109;-175.084;-120.194;-95.804;-159.463;-140.799;-18.025;-89.546;-151.422;-104.501;-84.956;-120.003;0;0;0
11590;-45.643;-165.825;-106.72;-88.21;-146.657;-127.36;-13.899;-80.183;-146.001;-100.979;-80.56;-116.759;0;0;0
11600;-36.332;-156.201;-93.659;-81.039;-130.917;-114.383;-10.134;-70.959;-140.141;-97.492;-76.164;-112.794;0;0;0
11610;-27.146;-146.022;-80.759;-73.537;-113.352;-100.887;-5.927;-61.839;-134.004;-94.557;-72.29;-108.599;0;0;0
11620;-16.73;-136.786;-66.279;-65.594;-96.303;-88.888;-1.723;-52.719;-126.348;-92.726;-68.346;-103.811;0;0;0
11630;-5.941;-128.797;-50.64;-57.712;-77.735;-77.566;2.509;-45.286;-118.343;-90.023;-65.163;-100.117;0;0;0
11640;5.847;-120.008;-35.25;-49.219;-58.142;-67.09;6.03;-38.812;-108.248;-87.258;-62.152;-95.81;0;0;0
11650;19.835;-108.841;-18.942;-39.127;-38.625;-54.574;9.552;-32.443;-98.423;-84.737;-59.181;-91.575;0;0;0
11660;34.059;-97.189;-0.662;-29.523;-19.818;-40.051;12.526;-26.317;-88.364;-81.474;-55.726;-86.885;0;0;0
11670;50.324;-85.076;17.452;-18.866;-1.459;-25.604;15.465;-20.192;-79.33;-77.618;-51.764;-78.905;0;0;0
11680;66.248;-73.266;37.516;-8.043;17.539;-10.748;19.35;-14.65;-70.571;-73.948;-47.153;-70.917;0;0;0
11690;82.262;-62.581;58.039;3.301;36.108;4.789;23.112;-7.068;-62.252;-69.928;-42.742;-62.555;0;0;0
11700;99.916;-49.608;76.81;13.429;54.214;21.647;29.316;0.542;-54.743;-65.909;-38.197;-54.852;0;0;0
11710;117.059;-36.681;95.229;24.28;76.188;38.463;34.646;11.239;-47.52;-60.775;-33.749;-48.308;0;0;0
11720;136.084;-23.928;112.085;34.468;99.161;56.8;39.989;22.156;-42.583;-55.196;-30.226;-41.008;0;0;0
11730;157.015;-9.775;127.959;44.815;122.655;76.218;42.829;34.469;-37.272;-50.263;-26.621;-32.709;0;0;0
11740;176.745;7.557;144.032;55.12;146.163;97.285;45.731;45.382;-32.837;-45.621;-24.159;-23.629;0;0;0
11750;197.672;24.629;159.68;66.381;170.043;118.37;49.39;56.081;-27.894;-40.992;-21.764;-12.149;0;0;0
11760;217.148;44.861;174.433;78.381;194.003;141.494;52.884;65.451;-22.217;-38.113;-19.37;-1.468;0;0;0
11770;236.378;64.938;189.519;90.141;218.28;165.055;57.236;74.883;-16.436;-35.234;-16.851;9.097;0;0;0
11780;256.408;84.85;204.749;101.317;242.612;188.348;61.148;84.903;-10.701;-31.297;-14.546;15.621;0;0;0
11790;275.388;104.171;221.614;112.305;268.084;210.64;65.097;96.124;-4.662;-26.319;-11.372;22.007;0;0;0
11800;294.241;126.04;237.698;124.572;293.396;232.444;68.286;107.221;-0.275;-21.726;-8.109;27.553;0;0;0
11810;311.948;146.975;253.121;136.759;318.222;253.988;71.399;118.25;2.928;-18.417;-4.046;32.377;0;0;0
11820;329.237;170.926;268.51;149.75;341.567;275.476;75.461;129.175;6.291;-15.177;0.246;36.408;0;0;0
11830;347.487;194.89;285.008;164.834;365.05;295.924;79.523;140.564;9.559;-13.141;4.697;39.676;0;0;0
11840;364.993;217.458;302.932;181.199;388.012;315.066;81.771;152.434;16.066;-11.105;9.268;44.902;0;0;0
11850;381.772;239.106;320.57;197.901;408.885;333.866;84.019;164.394;21.975;-6.917;13.797;49.422;0;0;0
