timepoints (min);27: frq9-.1;28: frq9-.2;29: frq9-.3;30: frq10-.1;31: frq10-.2;32: frq10-.3;33: wc-1+.1;34: wc-1+.2;35: wc-1+.3;36: wc-1-.1;37: wc-1-.2;38: wc-1-.3;39: wc-2-.1;40: wc-2-.2;41: wc-2-.3
1290;-30.254;-11.478;-36.696;31.229;-50.339;-4.257;22.249;-7.513;52.158;44.668;-26.575;1.387;-3.839;13.948;-48.594
1300;-29.977;-10.957;-37.287;27.336;-46.824;4.442;16.807;-9.612;45.111;43.525;-28.946;2.623;-4.515;15.475;-48.948
1310;-29.683;-10.49;-37.853;24.782;-43.294;14.437;10.723;-11.715;39.061;42.718;-30.912;3.874;-5.181;16.142;-50.527
1320;-30.547;-9.768;-37.795;22.235;-41.171;23.586;4.062;-14.132;34.19;42.292;-31.289;5.235;-6.738;16.821;-51.578
1330;-31.155;-9.032;-37.434;19.837;-39.033;32.048;-2.122;-16.54;30.299;42.141;-31.733;7.13;-6.802;17.513;-52.624
1340;-31.747;-8.356;-37.293;17.366;-36.786;41.344;-8.058;-18.786;27.436;42.051;-30.087;8.954;-6.852;18.776;-52.945
1350;-31.737;-8.105;-36.527;14.843;-34.527;49.153;-13.877;-20.84;23.187;41.42;-27.497;11.008;-8.732;20.052;-53.138
1360;-28.993;-7.839;-35.734;10.808;-31.396;57.818;-19.536;-22.939;18.604;42.218;-24.733;12.44;-9.758;19.202;-53.334
1370;-24.849;-7.665;-35.134;6.78;-28.26;65.642;-24.829;-24.908;12.81;43.568;-24.27;13.436;-11.803;18.363;-49.171
1380;-20.373;-8.155;-34.589;1.926;-25.507;71.75;-29.708;-26.323;7.485;44.408;-23.354;13.202;-15.041;17.535;-44.84
1390;-15.888;-8.476;-34.018;-2.921;-22.754;78.181;-34.76;-27.934;2.792;45.224;-21.941;12.308;-18.272;17.198;-41.274
1400;-11.68;-8.784;-33.6;-6.192;-20.168;82.84;-38.928;-29.8;-2.136;45.76;-20.44;12.632;-17.36;16.872;-37.712
1410;-8.744;-9;-33.16;-9.457;-18.387;87.374;-42.076;-31.656;-7.535;45.37;-18.474;14.315;-16.446;16.564;-30.035
1420;-5.824;-9.038;-33.178;-12.519;-17.645;91.903;-44.683;-33.682;-13.38;45.273;-16.131;16.01;-15.814;16.626;-22.858
1430;-3.216;-9.107;-31.495;-14.539;-17.232;96.748;-47.686;-35.572;-19.345;45.27;-14.244;18.355;-14.295;16.697;-15.679
1440;-0.599;-9.046;-29.839;-16.579;-14.617;100.494;-50.364;-37.326;-23.425;45.353;-12.9;18.912;-12.77;16.778;-6.857
1450;1.252;-8.908;-28.642;-19.055;-11.572;108.917;-52.751;-38.828;-27.425;44.88;-11.583;19.463;-12.563;14.828;1.771
1460;3.073;-7.642;-27.424;-21.529;-5.954;115.937;-54.71;-40.097;-31.636;43.405;-10.931;18.686;-12.226;12.887;10.405
1470;4.902;-6.368;-25.12;-21.868;-0.185;122.68;-56.356;-41.485;-36.382;42.585;-12.207;18.28;-11.879;12.762;19.047
1480;4.58;-5.079;-23.076;-22.203;6.059;128.825;-58.638;-42.978;-40.787;43.654;-11.757;17.853;-12.318;12.646;27.375
1490;4.267;-3.064;-21.012;-22.275;11.094;131.031;-61.137;-44.971;-44.544;45.881;-10.012;17.517;-12.744;12.538;36.012
1500;2.951;-1.041;-18.993;-22.424;16.077;133.124;-63.536;-46.647;-48.123;48.904;-6.779;17.197;-12.154;11.359;44.655
1510;1.123;0.966;-16.956;-22.459;17.772;130.809;-65.49;-48.568;-51.825;51.911;-2.414;17.3;-11.112;10.187;50.104
1520;-0.698;1.74;-15.302;-22.494;19.344;127.144;-67.166;-50.907;-56.094;53.317;1.999;17.941;-10.06;9.045;55.922
1530;-1.87;2.499;-12.952;-22.528;18.67;120.757;-69.058;-53.334;-60.154;53.773;6.105;18.663;-7.774;8.47;61.744
1540;-2.113;3.264;-10.19;-21.607;17.803;112.217;-71.218;-55.911;-64.06;56.307;10.159;19.265;-4.999;7.902;62.57
1550;-1.181;2.837;-7.737;-20.686;19.414;103.879;-72.533;-57.504;-68.257;60.719;12.801;20.76;-3.339;7.341;63.593
1560;1.042;2.452;-5.275;-19.763;20.817;94.425;-72.398;-59.145;-72.589;64.817;14.337;22.581;-1.188;7.468;65.856
1570;3.277;1.713;-1.464;-18.839;24.021;84.02;-71.627;-60.458;-77.824;67.752;14.249;24.077;0.974;7.6;68.12
1580;5.362;1.539;2.071;-17.649;27.309;74.299;-70.953;-62.222;-83.601;70.629;14.175;24.865;1.772;7.844;67.545
1590;8.296;1.372;5.611;-16.581;34.956;65.876;-70.352;-64.435;-81.696;74.086;12.076;25.736;2.898;8.094;66.23
1600;11.414;2.69;9.185;-15.316;42.306;58.937;-69.895;-66.768;-78.652;78.236;10.174;27.048;4.15;8.348;64.916
1610;10.495;3.258;11.597;-15.572;47.743;53.36;-71.392;-69.036;-81.108;78.588;6.451;25.716;4.292;9.668;64.45
1620;9.577;3.557;14.17;-15.829;53.181;48.679;-73.092;-71.103;-86.88;78.12;5.083;25.025;4.434;10.988;59.32
1630;8.455;4.857;16.742;-15.921;58.931;42.717;-73.563;-72.95;-89.959;77.952;3.154;24.334;5.549;13.407;54.19
1640;7.814;6.156;16.897;-16.014;64.681;36.567;-73.316;-74.528;-91.754;77.167;0.863;23.505;6.223;15.826;49.061
1650;7.172;7.655;17.331;-16.846;74.556;26.777;-72.314;-76.004;-93.852;76.117;-1.308;21.743;6.898;18.246;46.63
1660;7.457;9.354;17.766;-17.168;84.996;17.258;-71.623;-77.967;-96.292;74.914;-4.328;19.686;8.95;20.665;39.977
1670;7.741;11.219;18.801;-17.526;92.768;5.659;-70.259;-80.143;-98.606;73.757;-7.008;17.672;11.003;22.724;33.323
1680;8.916;13.084;18.157;-16.412;100.817;-5.836;-68.771;-82.222;-100.688;73.603;-8.395;16.865;12.989;24.783;29.041
1690;11.301;14.869;17.513;-15.299;107.11;-16.291;-67.197;-84.353;-102.517;73.381;-9.269;16.971;15.103;25.695;23.223
1700;13.686;16.592;16.676;-12.21;113.666;-26.059;-65.036;-87.345;-104.513;72.953;-10.321;18.188;17.218;26.607;17.406
1710;16.11;17.314;15.839;-8.727;115.875;-34.788;-62.75;-90.709;-106.004;73.532;-10.694;20.8;18.999;27.519;11.988
1720;20.268;15.837;13.881;-6.25;118.303;-41.077;-60.592;-94.371;-107.508;73.897;-11.985;23.199;19.446;26.63;6.97
1730;23.825;14.084;11.924;-3.49;120.539;-46.767;-58.688;-97.313;-108.501;73.047;-13.724;25.372;19.437;25.742;2.272
1740;27.84;11.371;11.084;-0.84;122.934;-51.748;-56.484;-99.806;-109.721;70.869;-16.018;26.983;18.039;23.905;-2.426
1750;31.855;8.658;10.404;3.651;126.771;-56.457;-54.714;-102.201;-111.35;67.189;-16.497;28.523;16.64;22.068;-8.331
1760;36.294;5.828;9.724;8.156;132.044;-62.326;-53.087;-104.692;-112.794;63.425;-18.192;28.941;15.167;20.23;-11.326
1770;40.284;5.197;10.83;12.452;137.425;-65.807;-51.739;-107.063;-113.803;60.295;-22.141;28.821;14.21;18.393;-14.32
1780;44.323;4.726;11.401;16.749;143.748;-69.888;-50.223;-109.029;-115.974;57.548;-25.983;28.342;13.142;16.292;-18.135
1790;47.17;4.406;11.972;18.634;150.201;-71.796;-48.499;-111.448;-117.462;52.743;-28.086;28.698;11.874;14.054;-16.709
1800;50.017;5.606;14.103;20.423;154.872;-73.823;-47.207;-113.332;-118.928;47.021;-28.399;28.84;10.607;11.935;-15.283
1810;51.694;7.081;16.2;22.114;158.108;-75.941;-46.408;-115.35;-120.986;41.283;-25.146;28.417;8.942;9.817;-13.017
1820;53.55;8.557;17.545;22.327;159.439;-77.018;-46.168;-116.775;-123.458;35.447;-20.692;27.294;7.037;7.698;-11.164
1830;55.407;7.953;18.89;22.615;160.41;-79.193;-46.469;-118.008;-125.663;28.68;-16.108;26.219;5.132;6.034;-6.472
1840;55.819;7.356;20.197;23.498;157.036;-82.608;-47.097;-118.601;-135.672;22.393;-12.481;25.012;2.385;4.371;-1.779
1850;55.935;5.799;21.786;24.381;153.426;-87.552;-47.83;-118.884;-146.19;16.223;-10.08;24.139;-0.273;3.59;5.16
1860;55.695;4.241;23.375;26.626;149.997;-95.375;-48.43;-119.306;-151.541;9.641;-7.001;23.621;-3.601;2.81;10.263
1870;55.295;2.477;24.828;29.21;146.499;-102.269;-48.832;-119.68;-153.712;2.939;-2.324;23.608;-6.378;2.029;15.367
1880;54.895;1.953;26.377;30.714;142.594;-108.083;-49.597;-120.24;-156.178;-2.567;2.996;23.317;-9.154;0.128;20.55
1890;54.07;1.388;30.206;32.206;138.662;-110.057;-50.622;-120.128;-158.514;-7.713;8.72;23.33;-11.084;-1.538;25.334
1900;53.659;0.622;34.634;33.538;130.383;-108.797;-52.646;-120.357;-160.568;-11.869;14.4;23.065;-11.69;-3.128;27.397
1910;53.672;0.217;39.139;35.575;122.215;-108.378;-54.737;-119.332;-163.44;-14.806;19.246;22.345;-13.549;-3.839;29.461
1920;53.771;-0.168;42.981;37.578;118.363;-105.913;-56.788;-117.063;-165.79;-16.091;23.77;21.513;-13.905;-4.549;29.124
1930;53.87;-0.615;46.822;38.593;114.593;-103.448;-58.473;-114.339;-168.239;-17.728;27.197;20.356;-14.261;-5.259;27.091
1940;52.919;-0.742;51.782;39.608;109.917;-101.301;-59.938;-111.84;-171.034;-20.294;29.945;19.564;-14.71;-4.946;25.058
1950;51.557;-0.6;56.639;39.785;105.234;-99.433;-61.237;-108.855;-173.721;-22.781;32.981;18.108;-14.65;-4.633;20.96
1960;50.072;-0.458;61.495;40.127;100.232;-96.477;-62.924;-105.113;-176.036;-24.873;35.103;16.401;-14.61;-4.15;16.848
1970;46.292;2.404;66.652;40.057;95.47;-95.401;-64.225;-100.957;-177.331;-26.608;38.379;15.356;-14.615;-3.668;12.737
1980;42.513;5.494;71.823;40.263;88.826;-92.959;-64.654;-97.154;-179.251;-29.85;41.04;15.258;-14.621;-3.185;7.785
1990;38.262;8.063;76.194;40.539;82.182;-90.756;-64.789;-93.663;-181.847;-32.495;42.451;15.277;-13.091;-1.905;3.04
2000;33.52;10.633;80.046;38.69;73.211;-90.68;-64.876;-89.694;-183.599;-33.979;41.846;14.775;-13.703;-0.625;-0.105
2010;28.778;13.03;83.945;36.84;64.378;-89.334;-64.88;-85.298;-183.986;-34.992;41.676;13.542;-14.316;0.636;-3.25
2020;24.721;13.428;86.327;34.21;54.218;-87.988;-64.913;-79.971;-185.058;-35.41;43.974;12.399;-14.521;1.897;-4.068
2030;20.555;13.832;88.709;31.448;44.113;-86.048;-64.877;-74.526;-184.357;-35.232;46.314;11.317;-14.865;3.157;-4.12
2040;17.094;14.029;91.317;30.982;32.528;-83.829;-64.777;-69.087;-182.47;-34.979;47.363;10.737;-15.674;4.418;-4.172
2050;14.23;13.346;92.448;30.468;20.868;-82.11;-64.408;-63.324;-180.135;-35.528;48.225;10.429;-14.825;5.91;-2.799
2060;11.367;12.643;93.579;29.884;10.556;-78.512;-64.146;-57.676;-177.714;-35.909;47.386;11.11;-13.975;7.403;-2.092
2070;8.49;11.863;94.928;31.057;0.217;-74.472;-63.924;-52.03;-174.817;-35.039;45.997;12.09;-12.596;8.717;-1.386
2080;6.054;12.564;96.326;32.257;-9.273;-69.672;-63.308;-46.527;-170.643;-32.393;44.421;14.109;-10.039;10.032;-0.68
2090;4.167;13.313;97.643;32.942;-18.556;-62.425;-62.092;-40.353;-166.279;-29.553;43.644;17.399;-6.731;11.346;-0.142
2100;2.299;13.422;98.44;33.628;-27.446;-54.098;-60.407;-33.495;-161.596;-27.59;42.226;20.599;-3.829;11.847;-1.886
2110;0.432;13.651;99.072;33.164;-36.004;-44.073;-58.877;-25.672;-157.359;-26.303;39.731;24.044;-0.927;12.348;-3.629
2120;-1.828;13.949;100.012;32.687;-44.047;-35.488;-57.309;-18.12;-152.03;-23.194;35.657;26.829;0.879;12.928;-6.094
2130;-2.919;12.127;100.953;33.12;-51.015;-27.014;-55.422;-10.528;-147.527;-22.415;31.617;29.585;2.357;13.509;-8.797
2140;-4.244;10.305;99.514;33.455;-56.764;-22.09;-53.32;-2.614;-142.195;-21.455;27.505;30.996;4.008;14.09;-11.501
2150;-5.117;8.648;97.531;33.783;-61.617;-18.246;-51.243;5.211;-136.048;-20.142;23.691;32.335;5.119;14.67;-15.284
2160;-5.99;6.472;95.548;32.739;-65.185;-13.044;-49.084;14.352;-128.109;-19.272;20.539;32.834;6.229;14.254;-19.316
2170;-6.578;4.357;91.554;31.695;-68.646;-8.323;-47.342;23.523;-120.349;-19.823;18.097;34.004;6.257;13.837;-20.948
2180;-7.564;2.367;87.61;29.106;-72.524;-3.643;-45.157;34.273;-112.154;-19.938;15.732;35.298;5.939;12.759;-22.579
2190;-8.55;0.017;82.505;26.503;-75.756;0.717;-43.479;45.066;-104.683;-20.177;15.087;36.108;5.622;11.68;-23.967
2200;-9.961;-2.313;77;22.385;-77.123;4.615;-42.479;56.604;-97.749;-21.458;14.48;33.303;4.514;10.601;-23.062
2210;-10.903;-4.608;71.447;18.17;-76.767;6.873;-40.975;67.64;-91.063;-24.113;14.772;30.63;3.552;9.077;-22.157
2220;-11.284;-5.863;65.586;13.789;-76.204;8.666;-39.112;78.676;-83.712;-28.288;14.465;25.593;3.899;7.553;-18.741
2230;-12.29;-7.229;59.726;9.668;-73.201;9.299;-37.61;90.545;-75.938;-31.102;14.628;20.337;5.36;6.046;-14.429
2240;-13.295;-7.834;54.651;5.429;-70.309;9.655;-36.12;102.854;-68.054;-33.836;14.193;15.887;6.821;4.538;-10.117
2250;-13.589;-9.6;50.048;2.567;-66.852;12.531;-34.844;116.554;-60.157;-36.491;13.808;13.451;9.658;3.03;-5.806
2260;-13.903;-11.6;45.446;-0.295;-63.686;14.754;-33.585;130.159;-51.459;-39.156;12.954;12.004;10.535;1.563;-0.183
2270;-14.138;-13.72;40.554;-1.999;-60.499;16.978;-32.72;143.47;-41.666;-41.335;13.523;10.997;10.407;0.157;2.912
2280;-14.138;-15.84;35.953;-3.654;-57.458;20.441;-32.022;155.509;-33.039;-42.466;14.366;10.05;10.212;-1.31;6.007
2290;-14.138;-18.036;31.112;-5.394;-52.792;23.542;-30.959;168.679;-25.712;-42.455;15.392;9.012;10.018;-2.618;8.785
2300;-14.618;-19.512;27.39;-7.819;-47.981;28.523;-29.917;181.063;-17.378;-42.048;16.673;8.539;8.633;-3.926;10.074
2310;-15.105;-20.815;23.607;-10.251;-42.641;31.23;-28.378;195.223;-8.433;-41.29;17.837;7.415;8.509;-5.233;11.364
2320;-15.73;-22.105;19.737;-12.988;-37.026;34.298;-26.699;209.057;-0.47;-41.018;18.537;7.69;8.412;-6.19;11.454
2330;-15.126;-21.754;15.866;-15.724;-31.754;36.855;-24.659;222.786;5.466;-41.123;19.145;7.447;8.79;-7.148;11.647
2340;-14.521;-21.28;10.087;-17.577;-26.483;37.372;-22.988;234.684;12.93;-41.559;20.734;6.476;9.168;-7.698;11.96
2350;-13.702;-20.764;4.8;-19.443;-22.932;37.258;-21.258;244.902;21.647;-41.348;22.488;5.059;9.407;-8.248;12.273
2360;-12.412;-19.688;-0.487;-20.913;-19.617;36.183;-19.283;253.335;30.497;-40.47;24.996;2.752;7.601;-8.799;13.714
2370;-11.123;-18.792;-6.881;-22.397;-17.411;34.022;-17.286;261.561;40.294;-41.16;27.284;0.513;5.796;-9.229;16.015
2380;-11.24;-18.015;-13.159;-23.874;-15.357;32.461;-15.076;270.549;51.415;-40.353;29.632;-1.612;4.95;-9.563;18.316
2390;-11.199;-18.119;-17.236;-25.764;-12.742;30.138;-12.091;279.738;60.35;-38.69;31.861;-3.319;4.188;-9.021;18.354
2400;-11.975;-18.263;-21.313;-27.447;-9.803;28.895;-8.171;286.487;68.458;-37.03;33.35;-4.99;2.966;-8.479;19.356
2410;-13.171;-18.528;-25.197;-29.462;-6.594;27.772;-4.403;292.245;80.21;-36.193;33.967;-6.16;1.346;-7.937;20.357
2420;-14.367;-18.793;-26.989;-31.477;-3.048;26.909;-0.48;293.441;92.934;-35.055;34.019;-7.588;-0.273;-7.394;22.599
2430;-15.247;-18.72;-28.781;-32.385;1.006;25.326;3.993;292.69;105.156;-35.074;33.312;-9.171;-1.382;-6.252;24.15
2440;-16.422;-18.167;-29.851;-33.327;5.818;24.076;9.818;291.848;122.266;-34.135;31.469;-10.939;-1.956;-5.11;25.582
2450;-16.763;-17.338;-30.528;-33.088;8.163;21.986;16.149;288.276;141.697;-31.474;30.338;-10.008;-2.05;-3.185;27.014
2460;-16.615;-16.626;-31.206;-33.433;10.48;19.979;22.281;284.131;160.539;-26.309;29.887;-9.194;-0.281;-1.259;31.44
2470;-16.468;-16.474;-32.483;-33.743;13.128;18.292;28.418;280.03;178.13;-18.885;29.608;-6.996;1.487;0.666;33.961
2480;-15.64;-16.15;-33.622;-33.553;14.466;17.545;36.455;275.113;195.873;-11.185;28.753;-4.777;1.797;2.665;36.483
2490;-15.05;-16.026;-35.954;-33.363;15.923;17.557;44.301;268.948;214.143;-3.251;29.047;-2.928;-0.328;4.663;40.764
