timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;;26: frq10+.1;27: frq10+.2;28: frq10+.3
1170;167.748;162.549;222.643;31.919;82.044;;47.561;112.022;40.235;72.282;104.119;;13.998;30.023;9.42
1180;172.354;170.464;226.12;28.654;77.206;;50.964;116.178;54.583;72.56;102.254;;14.132;27.691;9.5
1190;177.395;177.86;228.153;25.322;72.762;;53.996;120.56;68.957;70.635;98.695;;13.639;26.122;9.245
1200;182.451;186.363;228.822;22.397;67.935;;57.022;128.367;82.202;67.425;94.114;;12.487;24.728;9
1210;189.016;194.52;227.456;19.48;64.72;;59.752;136.24;96.48;64.24;88.904;;11.8;23.736;8.68
1220;196.62;202.963;224.773;16.675;60.94;;62.477;140.707;109.799;61.177;83.201;;11.051;22.349;8.284
1230;203.001;209.557;222.077;13.918;58.115;;64.452;145.44;122.711;56.606;77.47;;9.75;20.887;7.939
1240;207.793;217.301;219.624;11.194;54.965;;67.142;149.084;135.735;52.398;71.755;;8.327;18.877;7.47
1250;211.32;225.035;216.82;7.878;51.042;;69.585;151.953;146.75;48.191;66.032;;7.133;18.148;7.66
1260;214.608;233.215;212.429;4.7;48.531;;72.858;152.988;157.851;44.325;59.743;;5.005;17.529;7.974
1270;217.904;240.373;207.486;2.128;46.495;;75.968;152.29;167.862;39.565;53.658;;2.723;19.294;7.864
1280;219.309;246.259;203.277;-0.438;44.274;;78.117;150.809;176.825;34.812;47.568;;0.573;20.74;7.341
1290;220.294;251.964;198.249;-2.673;42.091;;78.903;147.761;184.637;32.482;42.379;;-0.943;21.591;7.283
1300;220.801;256.177;192.521;-4.504;38.996;;79.292;146.202;191.601;30.804;38.235;;-2.444;21.671;7.052
1310;220.824;258.04;186.721;-6.382;33.541;;79.677;144.191;198.55;29.13;34.084;;-4.076;18.604;6.664
1320;219.925;259.235;181.237;-8.535;28.457;;81.016;142.379;203.411;27.067;30.762;;-5.541;15.673;6.288
1330;218.029;258.056;174.342;-10.814;22.486;;82.351;141.194;208.258;24.589;26.586;;-7.944;13.01;6.322
1340;213.645;255.879;167.319;-13.446;16.953;;83.786;140.803;211.177;22.061;22.457;;-9.968;12.257;6.475
1350;210.134;252.656;158.569;-16.351;12.262;;85.215;139.759;212.69;17.984;19.043;;-9.151;13.711;6.702
1360;206.64;248.766;151.789;-19.356;7.007;;84.547;137.11;214.411;13.22;13.367;;-6.97;13.687;6.571
1370;202.631;242.95;145.453;-21.957;4.133;;83.873;133.968;213.925;8.486;7.746;;-5.898;11.124;6.2
1380;198.58;235.617;139.489;-24.448;0.697;;81.98;129.909;213.711;3.881;2.882;;-5.212;10.537;6.245
1390;196.469;228.551;132.531;-26.498;-2.645;;79.999;125.957;209.645;-0.822;-0.442;;-6.41;10.029;6.398
1400;192.118;218.893;123.666;-28.574;-7.026;;77.34;122.232;205.457;-5.648;-4.08;;-7.551;9.637;6.75
1410;185.574;208.09;114.775;-29.768;-11.568;;74.753;118.737;198.858;-11.902;-8.234;;-8.008;9.446;6.542
1420;176.891;195.393;101.692;-31.767;-18.83;;71.399;110.861;188.15;-22.395;-15.018;;-9.941;7.989;4.863
1430;168.401;183.63;88.316;-32.886;-25.332;;68.124;103.745;176.523;-32.887;-21.512;;-12.186;8.062;3.106
1440;159.691;171.417;76.932;-33.585;-30.641;;64.924;97.712;165.131;-39.919;-25.575;;-14.233;9.619;1.389
1450;148.761;158.699;67.881;-34.16;-36.25;;61.937;88.164;154.505;-45.985;-27.197;;-16.48;11.177;0.251
1460;137.312;148.316;58.87;-34.818;-41.404;;59.437;80.761;142.839;-52.051;-29.012;;-18.429;10.51;-1.088
1470;123.862;138.378;49.392;-35.273;-46.074;;56.985;76.839;131.465;-58.09;-31.439;;-20.286;7.621;-2.234
1480;111.222;129.086;40.673;-35.851;-49.934;;54.532;72.326;120.491;-62.497;-32.863;;-20.812;4.57;-3.421
1490;98.837;118.666;31.462;-36.887;-52.448;;51.79;68.978;109.963;-67.583;-34.128;;-20.85;2.959;-4.39
1500;88.025;107.123;21.665;-37.519;-53.316;;49.048;64.71;100.783;-71.614;-33.583;;-20.51;1.177;-5.39
1510;77.251;94.977;13.374;-38.47;-53.956;;45.582;62.323;92.804;-75.909;-28.996;;-20.03;-0.992;-6.501
1520;66.026;82.23;4.589;-39.305;-55.164;;42.102;59.17;84.873;-80.724;-24.488;;-19.39;-4.208;-7.291
1530;56.352;69.062;-6.261;-40.139;-56.521;;38.926;56.826;77.982;-86.484;-25.434;;-19.011;-5.36;-7.494
1540;45.377;56.197;-16.607;-40.301;-57.919;;35.721;53.172;70.884;-93.855;-27.359;;-18.855;-7.149;-7.701
1550;35.083;45.077;-25.683;-40.862;-59.167;;32.902;48.47;64.626;-100.546;-29.443;;-18.188;-11.979;-7.977
1560;25.29;35.796;-33.934;-41.113;-60.109;;29.168;43.368;57.128;-106.766;-34.204;;-17.76;-15.814;-8.462
1570;16.223;25.074;-41.932;-40.949;-61.611;;24.772;38.247;50.516;-111.583;-39.712;;-17.313;-19.462;-8.967
1580;7.948;15.658;-49.468;-41.178;-63.092;;20.444;32.335;43.783;-116.001;-44.619;;-15.799;-19.716;-9.291
1590;1.444;5.737;-55.669;-41.497;-64.094;;16.85;25.684;37.065;-119.822;-49.447;;-13.67;-20.895;-9.503
1600;-5.17;-4.008;-60.644;-41.563;-64.821;;13.553;18.516;31.746;-121.033;-53.858;;-13.657;-22.777;-9.772
1610;-9.888;-13.985;-65.686;-41.383;-65.022;;11.352;12.938;26.486;-121.444;-58.749;;-14.655;-24.538;-10.092
1620;-14.175;-23.961;-72.353;-41.377;-65.997;;8.901;7.4;23.473;-121.495;-64.472;;-14.621;-25.628;-10.505
1630;-19.229;-31.723;-79.159;-41.01;-65.839;;6.36;2.858;21.581;-122.622;-70.741;;-14.91;-26.738;-11.179
1640;-27.149;-39.305;-83.817;-40.694;-65.557;;3.749;-1.687;21.061;-124.269;-76.97;;-13.189;-27.879;-11.703
1650;-35.349;-44.52;-86.375;-40.498;-65.11;;1.138;-6.263;20.952;-126.03;-83.019;;-11.137;-28.651;-12.299
1660;-42.196;-49.534;-88.714;-40.295;-64.211;;-2.233;-10.604;20.87;-126.054;-88.833;;-9.181;-29.328;-12.171
1670;-49.654;-55.135;-89.415;-39.975;-63.474;;-5.604;-13.873;22.459;-125.597;-94.607;;-7.09;-30.215;-11.323
1680;-57.506;-60.396;-89.788;-40.048;-62.452;;-8.757;-17.742;22.92;-125.554;-100.36;;-4.865;-32.487;-9.994
1690;-64.807;-64.055;-89.463;-40.644;-61.499;;-11.91;-21.687;23.103;-124.981;-105.255;;-2.841;-35.109;-8.67
1700;-69.175;-67.36;-88.08;-41.36;-59.974;;-14.986;-26.357;21.868;-123.287;-109.87;;-0.702;-37.641;-8.127
1710;-73.364;-72.285;-87.641;-42.083;-58.35;;-17.93;-31.903;20.742;-121.647;-114.534;;1.03;-37.713;-7.623
1720;-75.846;-77.04;-86.669;-42.286;-56.596;;-20.527;-37.316;19.072;-119.33;-117.575;;2.65;-35.676;-7.156
1730;-77.794;-81.883;-86.143;-42.592;-55.241;;-22.83;-41.759;17.505;-117.688;-121.217;;3.513;-35.714;-6.91
1740;-81.64;-85.481;-86.095;-42.378;-53.76;;-24.709;-46.046;15.941;-114.763;-123.703;;4.303;-35.519;-6.574
1750;-84.8;-87.939;-87.401;-40.473;-52.919;;-26.036;-49.316;13.806;-112.601;-127.837;;4.64;-33.339;-6.182
1760;-88.153;-89.837;-89.007;-38.248;-52.484;;-27.255;-53.088;10.47;-110.181;-135.811;;5.088;-31.298;-5.836
1770;-91.131;-92.101;-89.868;-36.019;-52.368;;-28.975;-55.757;5.942;-107.57;-144.204;;5.08;-28.375;-5.303
1780;-93.85;-94.604;-90.108;-33.783;-52.292;;-30.174;-58.546;1.483;-105.124;-147.037;;5.792;-27.335;-5.185
1790;-95.593;-98.433;-90.157;-31.702;-52.754;;-31.891;-60.211;-2.957;-102.331;-148.99;;7.066;-26.992;-4.306
1800;-97.492;-102.469;-90.36;-29.69;-53.182;;-33.526;-61.545;-7.225;-98.586;-150.766;;9.098;-25.657;-2.77
1810;-99.825;-106.474;-91.636;-28.153;-54.352;;-33.95;-62.492;-10.252;-94.516;-150.432;;11.422;-24.643;-1.44
1820;-102.143;-109.735;-92.618;-25.978;-55.415;;-34.403;-63.977;-12.775;-91.299;-150.338;;13.127;-23.574;-0.023
1830;-103.681;-112.833;-92.981;-24.196;-56.451;;-35.113;-65.008;-15.199;-87.743;-150.295;;14.472;-23.634;1.353
1840;-103.731;-115.684;-93.233;-22.534;-58.697;;-35.823;-66.68;-18.222;-85.005;-149.597;;14.843;-23.892;2.817
1850;-105.012;-117.957;-92.12;-20.92;-61.59;;-36.632;-67.869;-21.17;-82.983;-148.499;;14.804;-23.877;4.08
1860;-106.305;-119.432;-90.981;-20.266;-64.612;;-37;-68.366;-24.717;-79.96;-146.87;;15.159;-24.662;5.223
1870;-107.957;-120.026;-90.072;-19.861;-66.612;;-36.884;-68.606;-28.106;-76.549;-144.526;;15.473;-26.066;6.214
1880;-109.479;-119.719;-89.313;-19.815;-67.646;;-36.396;-67.47;-32.677;-72.799;-142.221;;15.748;-27.491;7.298
1890;-111.368;-119.039;-88.841;-20.437;-68.999;;-35.433;-65.988;-36.935;-70.044;-140.593;;15.417;-28.272;8.146
1900;-112.589;-119.808;-88.586;-20.939;-70.288;;-34.772;-66.105;-41.701;-67.277;-139.577;;15.128;-27.855;9.03
1910;-113.348;-120.062;-88.585;-21.017;-71.746;;-33.432;-66.217;-46.426;-65.484;-138.44;;14.502;-26.239;9.651
