timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3
710;-91.929;-189.874;-132.709;-332.602;-94.653;-36.315;-202.207;-77.563;-28.406;-18.038;-122.139;-2.976;-94.099;-213.204;-90.724
720;-86.685;-175.388;-129.494;-311.18;-75.448;-32.859;-199.496;-75.485;-26.151;-19.191;-115.498;-4;-90.413;-209.93;-86.068
730;-82.2;-162.773;-128.427;-292.733;-59.44;-29.773;-197.4;-73.853;-24.213;-18.8;-109.307;-2.72;-87.56;-207.267;-82.093
740;-78.553;-151.681;-125.309;-275.24;-45.28;-25.553;-195.049;-73.579;-22.714;-18.539;-103.819;-1.188;-83.293;-201.141;-78.671
750;-74.639;-142.197;-121.983;-259.886;-34.882;-21.697;-190.636;-72.92;-21.653;-18.373;-99.042;2.565;-79.414;-195.877;-76.107
760;-71.248;-133.722;-120.778;-248.231;-25.513;-19.496;-187.333;-72.594;-20.282;-18.671;-94.855;5.141;-75.201;-191.325;-73.868
770;-66.326;-126.099;-119.827;-232.671;-17.015;-16.893;-184.487;-72.708;-19.073;-18.99;-91.01;8.526;-71.227;-187.368;-71.9
780;-61.95;-118.088;-117.425;-218.787;-8.662;-14.837;-181.537;-73.125;-18.075;-20.375;-87.587;10.613;-68.288;-180.425;-69.375
790;-58.102;-110.808;-117.242;-206.164;0.041;-16.473;-178.94;-73.295;-17.199;-22.055;-83.887;12.848;-65.587;-174.231;-67.118
800;-56.245;-102.752;-117.065;-195.687;8.111;-17.977;-178.725;-73.473;-17.312;-23.647;-80.541;12.973;-63.613;-168.681;-62.921
810;-54.944;-95.369;-116.486;-185.289;16.756;-18.944;-178.443;-73.296;-17.6;-25.206;-77.502;13.925;-62.28;-163.687;-59.102
820;-53.565;-88.577;-115.673;-177.321;25.994;-19.78;-178.25;-73.298;-17.369;-26.69;-74.274;13.887;-60.232;-157.887;-55.613
830;-52.355;-81.986;-114.894;-170.012;34.685;-20.08;-176.56;-73.699;-16.635;-28.268;-71.304;13.304;-58.699;-152.605;-51.318
840;-43.752;-60.883;-109.743;-140.064;51.6;-13.073;-169.904;-67.682;-13.08;-29.914;-60.223;13.992;-50.759;-143.599;-45.326
