timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.3;45: wc-2-.2
900;-393.33;-348.852;-237.427;-220.425;-157.916;-157.627;-264.961;-200.417;-121.947;-227.122;-368.027;-598.634;-42.319;-118.687;-212.38
910;-376.753;-338.133;-221.763;-205.832;-140.992;-151.069;-250.348;-189.629;-116.218;-219.154;-355.687;-582.859;-37.4;-109.612;-201.919
920;-362.533;-329.107;-208.427;-191.6;-126.373;-144.227;-236.333;-180.2;-112.493;-207.867;-344.787;-569.467;-32.453;-101.813;-192.947
930;-347.507;-321.51;-196.039;-179.447;-118.753;-137.049;-222.507;-172.115;-110.536;-198.115;-335.395;-558;-28.102;-96.151;-180.743
940;-334.359;-313.249;-184.586;-168.794;-112.098;-130.756;-210.332;-165.126;-109.219;-189.624;-327.24;-548.11;-23.363;-91.671;-170.053
950;-319.962;-306.158;-175.376;-160.444;-106.983;-124.833;-197.889;-158.752;-108.487;-182.179;-320.111;-539.526;-20;-88.397;-160.62
960;-307.178;-299.195;-167.565;-153.246;-101.65;-118.6;-185.3;-152.281;-108.18;-175.612;-313.842;-532.033;-17.426;-85.762;-152.458
970;-295.762;-293.125;-160.637;-146.713;-96.9;-113.063;-173.513;-145.712;-108.225;-167.975;-302.3;-512.188;-15.112;-83.763;-145.188
980;-283.582;-286.91;-153.372;-140.36;-92.254;-106.626;-162.633;-139.892;-108.734;-161.143;-291.949;-494.377;-12.543;-81.806;-136.82
990;-272.573;-281.024;-146.837;-133.994;-87.91;-99.518;-152.796;-133.889;-109.637;-155.003;-282.623;-478.32;-9.953;-80.161;-129.276
1000;-261.07;-274.257;-139.727;-128.301;-83.839;-93.063;-143.233;-128.659;-110.879;-149.464;-274.186;-463.783;-7.49;-78.575;-122.386
1010;-250.56;-268.042;-133.274;-122.524;-78.708;-87.036;-133.911;-123.869;-112.244;-143.446;-266.286;-450.571;-5.738;-77.262;-116.119
1020;-239.767;-260.746;-128.866;-116.52;-73.988;-82.235;-124.805;-119.386;-113.92;-137.958;-259.071;-438.522;-3.675;-75.24;-110.4
1030;-209.48;-239.856;-105.425;-90.573;-56.611;-71.765;-93.47;-98.754;-105.192;-123.872;-244.767;-414.193;10.919;-57.974;-95.179
1040;-179.187;-217.732;-83.918;-64.777;-40.486;-62.396;-62.12;-78.099;-96.172;-109.767;-230.444;-389.823;25.144;-39.916;-79.94
1050;-148.326;-195.631;-72.566;-49.17;-24.367;-54.017;-37.71;-61.406;-93.476;-95.645;-216.1;-365.414;31.762;-29.498;-64.593
1060;-128.378;-176.896;-61.663;-37.856;-9.947;-45.622;-20.421;-50.294;-92.555;-80.949;-197.937;-340.967;34.494;-19.067;-49.231
1070;-106.464;-157.642;-55.618;-26.378;3.598;-37.676;-7.818;-42.711;-92.976;-66.24;-179.756;-316.484;35.96;-14.138;-32.936
1080;-89.073;-145.152;-49.544;-17.493;10.516;-28.882;0.561;-34.714;-94.407;-57.878;-161.556;-291.967;36.423;-9.201;-21.066
1090;-71.684;-132.145;-45.629;-10.49;16.887;-23.279;8.955;-28.606;-95.717;-49.504;-143.339;-263.278;36.631;-7.028;-9.183
1100;-53.279;-122.262;-41.689;-3.201;17.993;-15.902;14.969;-23.848;-97.229;-41.14;-124.944;-234.567;36.467;-4.65;2.573
1110;-38.515;-111.663;-38.823;2.682;18.779;-8.795;20.087;-19.748;-98.745;-32.884;-106.536;-205.833;36.336;-3.705;14.344
1120;-24.528;-102.608;-38.891;7.162;17.097;-2.442;24.68;-16.253;-100.158;-24.617;-88.116;-177.078;35.352;-3.916;25.131
1130;-13.101;-92.801;-38.44;11.81;13.549;3.217;28.503;-12.585;-100.931;-19.898;-80.083;-148.302;33.89;-4.155;29.891
1140;-2.638;-84.158;-40.95;15.673;10.462;7.144;32.328;-9.082;-101.573;-15.169;-72.039;-119.505;32.618;-4.52;34.666
1150;6.102;-75.086;-41.779;17.748;6.031;10.523;35.876;-5.638;-103.369;-10.441;-60.304;-87.195;31.566;-4.88;39.342
1160;14.838;-66.497;-40.793;20.077;2.236;13.035;39.466;-2.544;-105.279;-5.701;-48.557;-64.95;31.416;-4.597;44.034
1170;24.15;-57.84;-39.78;21.2;-1.26;14.41;43.06;0.52;-106.44;-3.67;-36.8;-42.69;30.35;-4.31;46.7
