timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
800;-152.699;-163.706;18.95
810;-140.894;-156.483;14.654
820;-130.707;-150.333;10.853
830;-123.207;-146.678;7.457
840;-116.626;-143.542;4.06
850;-110.987;-141.991;1.342
860;-105.986;-140.771;-1.169
870;-100.825;-141.925;-3.5
880;-96.377;-143.245;-5.614
890;-92.38;-144.583;-7.592
900;-87.947;-144.149;-8.32
910;-83.923;-143.869;-9.036
920;-80.151;-143.661;-9.739
930;-68.461;-137.401;-9.005
940;-56.84;-129.54;-8.338
950;-45.208;-121.639;-7.659
960;-33.509;-113.858;-6.969
970;-24.32;-111.156;-6.222
980;-14.962;-108.455;-11.706
990;-5.846;-105.063;-17.18
1000;3.285;-101.65;-22.645
1010;6.029;-99.494;-28.409
1020;8.785;-97.318;-33.478
1030;11.305;-94.319;-38.532
1040;12.201;-93.876;-43.572
1050;12.635;-89.671;-48.771
1060;13.084;-85.462;-52.354
1070;13.49;-81.64;-55.92
1080;12.152;-72.928;-59.47
1090;10.83;-64.205;-63.005
1100;9.582;-55.443;-66.795
1110;8.348;-46.672;-66.97
1120;6.888;-34.691;-67.131
1130;5.44;-22.703;-67.279
1140;4.053;-11.033;-67.498
1150;1.917;-0.988;-68.782
1160;1.232;10.11;-70.052
1170;0.558;21.222;-71.309
1180;-0.105;32.266;-72.895
1190;-1.198;40.244;-73.101
1200;-2.28;48.235;-73.29
1210;-3.282;56.609;-73.46
1220;-4.277;64.99;-73.751
1230;-4.462;69.577;-70.583
1240;-4.64;74.17;-67.397
1250;-4.709;79.092;-64.191
1260;-5.971;83.854;-60.447
1270;-6.068;86.137;-54.493
1280;-6.127;88.528;-48.531
1290;-6.18;90.917;-42.561
1300;-4.869;89.546;-36.582
1310;-3.553;88.174;-29.816
1320;-1.952;86.76;-23.688
1330;2.289;81.506;-17.557
1340;6.169;75.932;-11.422
1350;10.05;70.357;-6.433
1360;13.922;64.82;-5.944
1370;17.475;57.763;-5.434
1380;19.788;49.745;-4.904
1390;22.064;41.794;-4.348
1400;24.34;33.841;-2.973
1410;24.416;28.206;-1.58
1420;24.493;22.569;-0.169
1430;24.593;17.195;1.274
1440;25.213;13.335;2.495
1450;26.394;13.07;3.731
1460;27.575;12.8;4.984
1470;28.727;12.481;6.139
1480;29.52;16.438;5.59
1490;30.314;20.391;5.058
1500;30.871;24.164;4.543
1510;31.431;27.935;4.044
1520;30.476;33.985;3.415
1530;27.417;37.843;1.452
1540;24.474;41.625;-0.51
1550;20.652;45.407;-2.473
1560;16.63;49.749;-4.408
1570;13.043;54.974;-5.863
1580;10;60.302;-6.574
1590;8.237;63.55;-7.284
1600;6.474;66.799;-8.353
1610;6.174;70.433;-7.342
1620;5.873;74.068;-6.724
1630;7.772;75.582;-6.106
1640;9.954;77.538;-5.302
1650;11.723;79.625;-4.578
1660;14.251;78.352;-4.212
1670;17.019;78.639;-3.847
1680;19.45;78.912;-2.943
1690;21.88;79.185;-3.08
1700;23.51;75.738;-3.208
1710;25.141;72.291;-3.337
1720;27.012;68.775;-2.782
1730;28.284;64.819;-2.028
1740;29.356;62.263;-0.913
1750;30.717;59.59;0.263
1760;32.079;56.917;1.44
1770;33.8;54.444;2.617
1780;35.521;52.331;5.302
1790;37.112;50.708;7.974
1800;38.702;49.084;10.646
1810;40.172;45.221;12.924
1820;41.443;41.357;16.003
1830;42.741;36.921;18.75
1840;43.119;34.886;21.222
1850;42.934;31.33;23.694
1860;42.956;27.981;22.526
1870;42.978;24.632;20.537
1880;41.88;23.843;18.548
1890;40.858;23.054;16.559
1900;39.753;23.21;14.117
1910;38.648;23.366;10.113
1920;35.841;22.161;6.109
1930;32.579;21.495;2.781
1940;29.317;20.829;-0.548
1950;26.295;20.283;2.044
1960;23.348;19.537;5.001
1970;20.455;18.97;7.959
1980;17.563;18.403;10.916
1990;15.339;16.076;13.211
2000;13.116;13.701;15.499
2010;11.141;11.505;17.788
2020;9.145;9.309;19.869
2030;7.029;5.313;20.35
2040;4.823;0.483;21.052
2050;2.618;-4.348;21.644
2060;0.491;-7.498;22.236
2070;-1.476;-10.132;22.828
2080;-3.277;-13.429;23.681
2090;-5.003;-16.725;24.48
2100;-4.888;-17.502;25.279
2110;-4.774;-18.175;28.557
2120;-4.459;-19.276;29.217
2130;-3.806;-19.857;29.876
2140;-3.832;-19.763;30.535
2150;-3.706;-19.669;31.174
2160;-3.829;-19.575;33.132
2170;-2.552;-19.681;34.981
2180;-4.434;-20.36;36.615
2190;-6.779;-21.094;38.25
2200;-9.124;-21.828;36.084
2210;-12.389;-23.423;33.657
2220;-15.654;-25.019;31.229
2230;-19.043;-26.781;28.801
2240;-22.632;-28.182;25.134
2250;-23.821;-30.709;21.597
2260;-25.499;-32.657;18.061
2270;-27.178;-34.604;14.303
2280;-27.657;-36.299;7.506
2290;-28.135;-37.994;0.888
2300;-28.428;-39.069;-5.123
2310;-28.72;-40.143;-11.134
2320;-30.012;-42.697;-21.745
2330;-30.808;-45.174;-33.542
2340;-31.604;-47.651;-45.339
2350;-34.68;-48.567;-56.457
2360;-37.714;-49.483;-66.229
2370;-40.811;-50.433;-73.361
2380;-43.908;-51.383;-76.378
2390;-45.644;-53.93;-79.677
2400;-47.491;-56.476;-82.977
2410;-49.372;-58.926;-83.836
2420;-50.094;-62.223;-84.571
2430;-47.669;-61.641;-85.306
2440;-45.086;-61.473;-84.441
2450;-42.022;-61.305;-86.001
2460;-37.968;-61.301;-87.361
2470;-33.914;-61.297;-85.561
2480;-29.695;-61.823;-83.761
2490;-25.916;-61.95;-81.123
2500;-24.481;-63.037;-79.687
2510;-23.047;-64.124;-78.251
2520;-21.211;-64.942;-76.932
2530;-20.648;-64.487;-76.414
2540;-20.086;-64.032;-75.895
2550;-19.564;-63.597;-75.639
2560;-19.243;-63.452;-73.902
2570;-18.323;-61.548;-68.206
2580;-17.403;-59.643;-62.654
