timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
740;-182.326;-258.81;-219.575;-165.506;-145.263;-108.903;-88.855;-121.856;-150.288;-185.077;-206.709;-164.711;-310.195;-95.005;-153.126
750;-186.722;-264.461;-214.871;-166.921;-139.56;-107.589;-87.16;-117.898;-142.842;-172.359;-193.021;-157.037;-302.751;-91.691;-147.595
760;-191.24;-268.893;-210.893;-166.2;-134.453;-108.133;-85.853;-111.667;-136.28;-159.947;-181.107;-146.453;-293.867;-87.587;-141.627
770;-196.487;-272.612;-207.454;-164.773;-130.803;-109.013;-83.605;-106.197;-130.441;-149.155;-170.635;-136.589;-286.872;-82.408;-137.984
780;-203.422;-275.911;-206.872;-165.161;-129.558;-110.147;-81.571;-101.356;-125.491;-139.344;-158.472;-126.83;-282.623;-79.109;-132.094
790;-209.427;-278.611;-206.962;-165.876;-128.5;-114.526;-79.868;-96.423;-121.051;-131.705;-147.603;-118.107;-277.932;-73.47;-125.987
800;-215.518;-281.621;-207.145;-168.097;-130.789;-119.508;-78.017;-87.947;-117.569;-124.895;-136.831;-110.016;-271.603;-66.225;-122.754
810;-220.638;-284.325;-207.263;-170.925;-134.238;-125.688;-76.438;-80.263;-114.35;-118.587;-127.1;-106.225;-265.95;-59.487;-121.737
820;-225.332;-286.982;-206.143;-176.951;-138.903;-129.384;-75.088;-73.258;-111.36;-114.459;-118.263;-103.21;-260.196;-54.723;-122.536
830;-229.538;-289.758;-204.358;-182.669;-145.738;-132.825;-73.935;-68.137;-108.551;-110.711;-110.154;-98.859;-255.206;-51.899;-122.621
840;-233.477;-290.144;-202.374;-186.998;-152.291;-137.958;-73.47;-63.409;-105.914;-107.511;-102.734;-95.424;-249.984;-49.842;-121.211
850;-236.44;-289.018;-201.321;-192.72;-158.494;-141.446;-72.976;-59.024;-101.601;-104.179;-97.226;-93.5;-243.565;-47.071;-119.107
860;-238.405;-287.249;-199.92;-199.071;-165.2;-146.038;-72.572;-55.061;-97.579;-101.129;-92.176;-91.499;-237.024;-43.769;-116.892
870;-235.777;-281.956;-191.552;-197.383;-162.868;-140.92;-68.78;-47.434;-87.97;-85.088;-75.67;-82.244;-225.375;-31.141;-107.917
880;-232.684;-276.107;-181.677;-193.319;-159.575;-135.977;-64.763;-39.823;-76.417;-67.799;-59.467;-72.988;-212.525;-22.91;-98.883
890;-230.209;-275.635;-174.434;-190.02;-157.149;-134.194;-60.731;-32.226;-64.885;-50.195;-43.273;-63.152;-200.388;-13.433;-91.436
900;-228.569;-276.144;-167.046;-190.332;-157.637;-138.344;-56.685;-22.822;-57.431;-41.55;-31.422;-57.409;-185.924;-5.06;-88.308
910;-229.422;-275.553;-160.36;-193.016;-160.076;-144.978;-54.827;-16.187;-49.933;-32.904;-19.582;-51.256;-173.087;1.489;-86.8
920;-229.651;-273.565;-153.785;-196.713;-164.847;-151.639;-52.779;-9.559;-45.153;-23.983;-10.354;-48.283;-161.662;6.188;-84.613
930;-230.995;-270.733;-147.734;-200.125;-168.623;-157.918;-50.723;-3.351;-39.383;-19.067;0.459;-45.092;-149.555;8.785;-82.588
940;-233.073;-266.419;-141.691;-203.985;-172.844;-162.514;-48.659;0.898;-33.578;-14.157;11.263;-42.965;-135.518;10.237;-80.738
950;-234.626;-261.339;-135.76;-207.666;-176.635;-166.507;-47.558;5.148;-27.612;-9.112;19.382;-40.863;-122.268;9.854;-78.779
960;-235.867;-253.417;-128.575;-211.535;-181.333;-170.341;-46.448;9.4;-21.644;-3.996;27.491;-36.634;-109.139;9.808;-75.678
970;-234.087;-241.201;-122.637;-214.876;-186.846;-172.203;-45.331;12.96;-16.594;1.113;33.588;-32.907;-96.105;11.622;-68.985
980;-228.646;-225.123;-113.621;-218.905;-193.504;-173.059;-43.567;16.082;-12.012;6.009;39.359;-30.893;-82.359;15.563;-60.981
990;-219.926;-208.971;-103.12;-220.799;-198.105;-173.181;-41.978;19.209;-7.44;7.662;45.124;-26.385;-68.365;21.193;-55.885
1000;-208.934;-193.908;-93.354;-220.086;-202.165;-172.915;-40.379;22.378;-1.22;9.312;48.742;-21.591;-54.042;26.912;-51.963
1010;-198.03;-180.12;-84.01;-218.18;-206.24;-169.67;-38.77;24.35;4.99;10.01;52.36;-18.55;-40.91;31.77;-49.12
1020;-185.968;-168.745;-74.417;-215.271;-209.339;-166.73;-36.951;26.324;11.19;9.267;55.977;-14.918;-26.684;36.328;-43.575
1030;-172.918;-157.24;-61.96;-210.867;-209.984;-165.506;-35.249;28.3;20.139;8.806;58.191;-14.57;-10.946;42.096;-38.223
1040;-159.709;-145.657;-48.172;-206.729;-209.68;-161.776;-33.535;30.747;29.076;9.099;60.4;-14.226;4.26;45.917;-32.558
1050;-146.472;-132.265;-33.776;-203.173;-205.947;-155.346;-32.649;30.156;38.044;9.186;61.367;-13.262;18.648;48.465;-25.478
1060;-134.389;-116.907;-19.531;-199.89;-199.872;-148.568;-31.419;29.566;47.002;9.162;62.326;-10.674;32.57;50.644;-18.051
1070;-118.695;-99.154;-5.039;-194.39;-192.883;-138.298;-30.184;29.09;55.95;10.894;63.277;-7.904;47.105;53.657;-9.596
1080;-99.357;-81.295;9.812;-188.845;-183.452;-129.88;-28.945;30.094;66.521;12.621;62.622;-4.232;60.047;58.796;-0.532
1090;-80.154;-64.953;25.348;-183.233;-171.603;-119.643;-27.541;31.097;77.089;13.771;61.959;-1.301;75.688;64.716;8.697
1100;-59.798;-48.306;41.556;-176.785;-158.153;-108.785;-26.628;32.099;83.904;15.848;63.246;4.585;90.026;70.032;17.835
1110;-38.429;-29.285;58.333;-168.042;-143.284;-96.94;-25.702;33.364;90.718;17.931;64.525;9.949;104.858;76.138;27.089
1120;-19.37;-10.289;75.919;-158.906;-127.555;-85.385;-24.763;36.31;97.531;20.21;65.798;16.878;119.206;84.019;35.941
1130;-0.42;7.995;93.801;-150.267;-113.328;-75.726;-22.46;39.259;101.31;23.571;68.055;23.811;130.186;91.28;44.065
1140;18.467;27.42;111.25;-141.772;-100.318;-66.926;-20.147;41.943;105.079;26.936;70.303;30.838;140.802;96.074;53.751
1150;39.355;47.838;127.835;-133.647;-87.349;-58.273;-17.825;42.354;108.679;31.084;71.765;38.308;150.488;97.885;63.573
1160;60.937;68.123;143.562;-125.857;-73.292;-49.374;-15.134;42.77;112.263;37.508;73.216;45.772;160.798;97.6;71.69
1170;82.521;87.303;157.536;-118.307;-58.802;-41.608;-12.279;43.193;115.831;43.97;74.654;56.399;170.193;96.004;79.2
1180;104.555;107.721;169.448;-108.304;-45.423;-32.392;-9.418;42.97;117.495;50.307;75.03;67.559;179.075;95.77;86.445
1190;126.727;127.858;181.728;-95.855;-33.847;-24.007;-6.552;42.348;119.147;55.999;75.395;76.073;185.715;98.195;92.94
1200;149.032;148.177;195.348;-82.355;-20.477;-13.366;-5.293;41.73;120.651;61.493;72.54;84.959;192.203;103.374;97.463
1210;172.32;165.785;206.477;-67.415;-5.868;0.18;-4.025;41.547;122.148;62.185;69.682;89.273;193.548;108.212;101.837
1220;193.841;180.669;219.458;-51.962;8.746;15.936;-2.746;41.879;123.639;62.876;66.819;93.576;194.022;110.918;102.997
1230;212.931;193.69;229.412;-35.936;24.508;33.502;-2.218;42.206;125.766;63.573;65.105;98.251;191.694;109.653;102.21
1240;228.427;206.698;239.79;-20.176;39.271;50.704;-1.721;42.528;127.886;63.869;63.387;101.11;189.357;106.002;100.529
1250;241.62;220.679;251.472;-5.803;54.195;66.195;-1.213;44.079;124.761;64.163;63.902;103.717;185.587;101.205;102.379
1260;254.976;235.232;261.896;7.16;70.104;78.896;-0.696;45.504;121.624;64.656;64.408;105.752;179.32;94.968;104.792
1270;268.677;251.759;267.779;18.926;86.303;91.751;0.671;46.924;118.476;66.944;64.906;107.631;171.908;88.452;101.648
1280;280.858;267.823;272.363;30.879;101.522;104.956;2.409;48.191;109.363;69.228;65.276;111.26;164.158;82.113;96.383
1290;292.377;286.105;272.388;43.233;116.303;118.377;4.151;48.294;100.245;71.647;65.645;114.879;156.612;74.852;90.969
1300;303.772;301.935;271.021;56.923;129.332;128.29;7.816;48.396;92.581;74.181;66.731;119.001;146.905;65.229;86.847
1310;315.797;314.14;270.849;71.328;141.149;138.714;11.8;48.426;84.917;76.746;67.811;124.705;135.489;55.612;83.566
1320;324.795;323.986;269.843;86.328;153.529;147.43;15.782;48.495;77.253;78.865;68.885;129.957;123.733;46.122;81.97
1330;327.732;331.775;265.979;102.709;165.654;156.683;19.763;48.363;68.743;81.097;69.287;131.079;114.878;34.966;76.955
1340;330.633;337.712;262.83;117.961;175.816;165.76;23.822;48.23;60.229;83.3;69.684;132.184;102.711;23.798;69.323
1350;328.809;341.373;259.435;133.162;184.432;171.495;27.984;47.887;51.708;84.056;66.588;129.039;89.946;12.858;61.238
1360;328.132;341.692;255.203;144.864;192.999;177.634;32.144;45.187;43.19;84.807;63.484;125.738;76.501;0.547;52.68
1370;327.957;341.357;247.401;157.518;202.207;184.039;36.3;42.488;34.674;85.626;60.374;121.029;66.311;-12.091;42.73
1380;327.836;341.111;239.371;167.865;211.93;192.585;38.839;39.806;28.897;83.038;56.893;116.314;59.244;-23.097;32.108
1390;326.414;339.107;231.231;179.273;220.636;201.166;41.374;35.206;23.126;80.444;53.403;111.434;52.783;-32.217;18.803
1400;323.926;335.915;223.38;191.623;229.401;213.105;43.904;30.807;14.921;78.095;50.79;105.229;46.242;-39.878;5.892
1410;320.944;330.579;215.28;205.533;236.763;227.263;45.869;26.41;6.717;72.816;48.173;99.02;41.123;-47.989;-3.403
1420;316.694;326.067;206.887;219.95;245.215;240.494;48.07;22.412;-1.485;67.527;45.551;91.247;33.77;-54.866;-11.609
1430;312.376;320.895;200.235;232.149;254.489;251.965;50.264;18.73;-8.828;62.187;42.569;83.689;26.427;-61.703;-20.727
1440;307.916;315.647;192.517;242.673;263.334;263.538;52.45;15.044;-16.173;58.198;39.587;78.884;19.565;-71.267;-29.322
1450;300.906;310.044;183.478;252.997;270.598;272.787;55.229;11.778;-22.966;53.971;40.101;74.254;13.873;-82.458;-36.046
1460;291.16;304.589;173.628;262.663;276.56;279.614;58.001;8.902;-29.759;52.299;40.614;71.174;10.676;-93.993;-43.394
1470;279.748;296.439;159.941;270.615;279.887;280.818;59.484;4.905;-38.212;47.988;39.052;66.054;2.997;-106.47;-52.117
1480;267.612;287.581;144.448;276.663;282.04;280.952;60.047;0.797;-45.986;43.676;34.371;60.775;-3.241;-114.847;-59.826
1490;254.938;278.288;127.159;278.906;283.48;281.577;60.548;-3.31;-53.581;39.604;29.69;52.457;-10.109;-121.308;-65.298
1500;241.074;266.39;107.601;279.583;284.359;282.997;61.028;-7.726;-47.334;36.808;23.972;44.745;-16.215;-126.564;-72.065
1510;227.466;253.934;89.135;280.168;284.699;281.79;61.921;-11.665;-41.087;33.792;18.297;35.694;-20.099;-129.108;-78.574
1520;210.659;240.07;74.44;280.869;283.975;280.389;60.377;-15.466;-34.316;29.415;13.069;27.174;-22.59;-132.185;-81.559
