timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
720;-153.867;-255.714;-393.906;-197.26;-310.332;-226.4;-288.614;-279.074;-212.88;-217.044;-183.697;-151.102;-189.92;-179.992;-135.451
730;-141.602;-244.027;-375.861;-188.131;-301.965;-226.6;-285.39;-269.06;-205.651;-214.921;-184.523;-152.419;-175.12;-162.888;-119.803
740;-131.92;-233.8;-360.253;-180.56;-292.827;-227.36;-281.093;-255.533;-199.4;-211.68;-185.027;-153.827;-161.853;-146.227;-105.827
750;-123.411;-225.109;-341.799;-169.819;-284.266;-227.865;-277.102;-243.207;-192.497;-208.875;-182.796;-153.586;-151.701;-131.365;-92.592
760;-116.01;-217.087;-323.07;-161.05;-277.169;-228.709;-272.317;-232.492;-186.354;-205.813;-177.71;-152.446;-142.683;-115.845;-79.675
770;-107.821;-209.786;-306.346;-155.248;-269.141;-229.735;-268.18;-223.44;-182.423;-203.799;-172.868;-152.107;-134.444;-103.312;-68.658
780;-100.857;-202.031;-291.459;-151.042;-260.915;-231.71;-262.676;-215.63;-178.539;-202.398;-166.241;-151.05;-128.452;-91.267;-58.6
790;-94.2;-193.213;-277.938;-147.125;-252.6;-234.625;-257.825;-208.412;-175.938;-202.325;-160.238;-150.025;-122.213;-78.763;-51.263
800;-88.517;-183.912;-265.016;-144.065;-244.813;-235.942;-252.005;-201.841;-172.037;-202.871;-153.005;-148.226;-116.372;-67.284;-44.464
810;-84.823;-174.95;-253.237;-141.973;-238.314;-237.292;-245.266;-195.529;-168.52;-203.302;-149.021;-147.615;-110.664;-56.03;-38.146
820;-81.104;-165.7;-241.196;-140.15;-232.521;-238.219;-239.572;-189.891;-163.956;-204.429;-145.352;-147.056;-105.075;-45.946;-31.144
830;-78.458;-156.732;-228.143;-138.202;-225.923;-239.137;-233.423;-184.673;-159.798;-202.56;-142.024;-146.012;-99.298;-36.976;-24.036
840;-75.689;-148.351;-216.111;-137.322;-218.689;-240.169;-228.2;-179.899;-155.805;-201.162;-138.631;-144.899;-93.887;-29.134;-17.386
850;-57.414;-134.023;-193.828;-121.3;-201.238;-235.183;-212.95;-168.476;-147.335;-193.617;-131.801;-133.967;-79.817;-8.862;3.863
860;-38.08;-119.426;-171.24;-104.902;-184.555;-229.228;-197.787;-157.101;-139.863;-186.92;-125.599;-123.268;-64.147;11.669;24.783
870;-24.034;-105.797;-148.665;-89.113;-167.351;-223.63;-185.457;-144.448;-132.58;-179.553;-117.842;-118.774;-47.411;34.242;43.656
880;-12.434;-86.284;-127.16;-81.612;-149.81;-218.951;-172.129;-130.404;-124.329;-173.638;-109.54;-113.806;-32.443;57.519;58.058
890;0.142;-65.853;-106.867;-73.224;-138.407;-215.438;-161.576;-116.078;-117.104;-165.213;-99.296;-111.476;-20.104;75.342;72.536
900;9.004;-43.404;-87.025;-65.564;-126.368;-212.924;-150.399;-101.563;-109.881;-159.722;-88.352;-110.483;-7.364;89.779;84.439
910;14.354;-29.528;-67.184;-61.287;-113.961;-211.372;-140.717;-86.917;-104.563;-153.308;-80.045;-110.057;2.688;103.288;91.675
920;17.302;-13.434;-47.185;-58.57;-102.429;-210.596;-130.769;-76.406;-99.231;-146.942;-74.502;-111.271;8.65;114.697;99.508
930;20.313;2.477;-29.174;-55.53;-92.807;-208.334;-120.908;-65.749;-90.608;-141.441;-68.986;-113.135;14.652;125.167;104.577
940;22.909;16.404;-14.261;-50.92;-83.381;-204.722;-110.737;-56.347;-81.979;-136.347;-61.935;-117.535;22.015;133.027;109.141
950;26.33;26.878;-1.047;-47.058;-73.24;-202.669;-99.926;-45.067;-72.133;-131.975;-52.94;-118.308;29.906;139.243;113.05
960;28.622;34.814;13.34;-43.398;-60.863;-201.087;-87.716;-35.105;-63.495;-128.508;-43.498;-118.696;37.817;144.321;116.8
970;30.914;42.523;25.462;-38.989;-49.187;-199.322;-73.81;-23.16;-55.373;-124.388;-32.637;-115.084;46.732;148.512;120.659
980;31.743;54.579;35.421;-35.042;-37.293;-196.928;-60.147;-12.743;-49.505;-120.177;-21.875;-110.069;52.523;152.448;124.553
990;32.99;65.71;45.39;-30.94;-26.35;-191.84;-44.51;-3.94;-43.64;-116.82;-9.14;-105.42;58.22;155.46;128.94
1000;34.673;75.214;52.927;-29.585;-15.244;-187.284;-28.917;4.701;-38.706;-113.891;2.815;-101.566;65.253;158.439;133.712
1010;38.251;85.051;59.268;-27.623;-4.073;-180.891;-14.347;12.052;-33.772;-111.06;12.975;-97.657;73.934;160.335;137.927
1020;41.878;94.952;67.367;-24.324;5.623;-174.917;-1.454;18.75;-26.59;-108.04;21.515;-93.77;83.914;163.397;141.907
1030;45.895;104.553;75.482;-19.916;15.128;-168.132;10.198;25.763;-19.403;-104.586;27.708;-88.444;95.042;166.766;144.062
1040;49.373;113.09;83.356;-16.042;24.398;-160.484;20.183;33.322;-10.798;-100.389;33.655;-83.187;106.261;170.093;147.099
1050;53.043;120.857;90.867;-11.496;33.28;-153.209;28.848;40.923;-3.775;-95.277;40.154;-79.092;117.811;173.305;150.072
1060;58.462;130.996;99.339;-7.416;42.785;-144.799;38.009;49.189;3.371;-89.329;48.917;-74.115;128.372;177.073;153.988
1070;63.901;140.073;106.572;-3;53.485;-135.637;47.11;57.451;9.787;-82.78;58.891;-68.622;138.675;181.848;156.141
1080;71.041;152.108;112.458;1.283;63.362;-126.356;56.989;66.219;18.636;-77.049;68.669;-62.305;148.407;187.09;157.804
1090;77.942;165.053;117.904;6.2;71.329;-115.196;70.52;76.936;29.691;-69.847;78.105;-56.313;157.711;192.02;158.624
1100;86.467;178.382;122.068;10.599;79.483;-103.534;82.877;87.108;40.733;-63.434;87.405;-53.209;167.723;196.873;159.781
1110;95.085;192.249;126.591;15.375;88.966;-91.059;96.966;96.311;52.949;-55.392;94.485;-50.075;176.122;199.895;160.598
1120;102.097;206.165;132.762;20.702;98.169;-79.159;109.855;104.313;65.15;-47.148;98.097;-43.662;183.085;199.408;161.191
1130;109.015;217.839;138.723;24.534;107.273;-65.664;120.918;110.704;75.249;-37.544;102.25;-34.941;188.942;198.006;161.28
1140;115.217;228.906;145.843;27.647;116.664;-50.746;131.878;117.146;85.104;-28.353;102.579;-26.007;194.143;195.414;161.842
1150;122.302;237.832;151.864;32.676;126.769;-33.311;145.576;123.097;95.188;-17.108;103.048;-16.009;198.844;192.784;162.354
1160;129.498;245.566;158.03;39.603;135.949;-15.729;158.748;128.723;104.508;-6.573;105.555;-6.424;200.75;190.235;163.605
