timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
2630;-14.31;1.059;2.43
2640;-12.465;1.823;4.388
2650;-10.415;0.908;6.585
2660;-8.366;1.712;8.982
2670;-6.316;2.688;11.034
2680;-3.786;3.665;10.001
2690;-1.519;4.662;8.408
2700;-1.141;6.819;6.746
2710;-0.763;9.821;5.084
2720;-0.385;12.822;4.542
2730;-0.148;15.823;3.455
2740;0.09;18.673;2.368
2750;-1.236;21.643;0.961
2760;-2.561;24.532;-0.632
2770;-3.887;27.422;-2.225
2780;-1.479;30.312;-5.141
2790;1.477;33.201;-7.56
2800;4.433;34.331;-9.979
2810;7.389;35.461;-12.439
2820;10.083;37.875;-14.953
2830;9.777;40.288;-17.468
2840;10.197;42.93;-19.582
2850;10.618;45.571;-21.697
2860;11.039;48.332;-23.715
2870;10.225;48.334;-27.212
2880;9.411;48.383;-30.71
2890;8.195;48.564;-34.222
2900;6.978;48.745;-38.974
2910;5.761;47.206;-43.726
2920;5.868;45.586;-48.691
2930;5.494;44.215;-48.937
2940;4.989;43.058;-49.182
2950;4.484;41.901;-49.497
2960;3.979;39.823;-47.371
2970;4.47;41.306;-45.006
2980;5.233;42.775;-42.654
2990;5.996;44.037;-41.542
3000;6.759;45.299;-41.11
3010;7.335;46.641;-40.782
3020;10.152;47.983;-41.654
3030;10.028;48.332;-42.286
3040;9.903;48.323;-42.841
3050;9.779;48.313;-42.277
3060;11.16;48.303;-40.833
3070;12.541;46.934;-39.327
3080;16.839;45.324;-37.821
3090;21.137;44.273;-36.394
3100;25.435;43.222;-35.499
3110;28.814;42.171;-34.604
3120;33.193;43.88;-33.629
3130;37.634;41.149;-32.854
3140;42.076;38.859;-32.079
3150;46.517;36.57;-29.343
3160;50.23;34.28;-26.629
3170;52.807;32.07;-23.708
3180;55.383;32.421;-22.506
3190;57.96;32.04;-21.063
3200;60.826;31.659;-19.621
3210;65.692;31.279;-20.978
3220;68.894;27.338;-22.335
3230;72.095;23.397;-22.982
3240;75.297;20.003;-21.589
3250;77.764;16.898;-20.196
3260;80.232;13.793;-18.837
3270;80.57;10.688;-14.279
3280;80.908;8.383;-9.72
3290;81.246;6.441;-5.237
3300;81.288;4.299;-1.474
3310;80.516;2.157;2.288
3320;79.743;0.015;5.817
3330;78.971;-1.887;11.145
3340;78.199;-2.64;15.753
3350;78.161;-3.448;20.299
3360;78.726;-4.257;25.926
3370;79.29;-5.065;31.272
3380;79.854;-1.433;36.825
3390;79.043;1.68;39.498
3400;78.232;5.097;41.211
3410;78.032;8.513;43
3420;77.832;11.93;44.789
3430;77.632;12.786;46.698
3440;75.017;12.281;48.676
3450;72.401;11.777;50.654
3460;67.738;11.251;51.832
3470;63.075;10.726;53.299
3480;58.411;10.2;54.574
3490;53.157;8.32;55.048
3500;48.334;6.44;55.564
3510;43.51;4.857;56.08
3520;38.687;3.273;55.636
3530;33.946;1.69;54.654
3540;29.966;-1.028;53.341
3550;26.652;-3.745;51.628
3560;23.339;-6.303;49.914
3570;20.026;-8.862;48.16
3580;16.938;-11.421;44.206
3590;13.85;-13.439;40.251
3600;10.392;-15.457;36.434
3610;6.934;-17.488;31.538
3620;3.476;-19.52;26.641
3630;-1.61;-21.552;21.703
3640;-5.375;-21.585;19.846
3650;-9.237;-21.618;17.988
3660;-13.099;-21.651;15.723
3670;-16.961;-21.45;13.458
3680;-20.861;-21.248;11.193
3690;-22.359;-22.705;9.066
3700;-23.857;-24.161;9.779
3710;-25.354;-25.618;11.652
3720;-27.025;-27.55;13.181
3730;-29.055;-29.483;14.709
3740;-30.571;-31.159;16.237
3750;-32.087;-32.834;17.593
3760;-33.603;-34.51;18.949
3770;-35.505;-36.2;18.065
3780;-37.407;-37.89;17.457
3790;-40.393;-33.852;17.241
3800;-43.379;-29.815;17.026
3810;-46.365;-25.778;17.232
3820;-47.124;-21.127;17.437
3830;-47.894;-16.476;15.123
3840;-48.663;-12.69;12.594
3850;-49.433;-8.903;10.39
3860;-50.203;-5.117;8.186
3870;-51.226;-1.331;5.775
3880;-49.67;2.317;3.364
3890;-48.115;1.099;1.753
3900;-46.559;-0.119;0.335
3910;-46.803;-1.337;-0.903
3920;-47.047;-2.555;-2.142
3930;-48.068;-3.814;-3.381
3940;-49.088;-4.69;-4.495
3950;-50.109;-5.566;-7.09
3960;-49.215;-6.441;-9.684
3970;-48.321;-7.317;-12.954
3980;-47.392;-8.959;-16.225
3990;-46.462;-8.575;-19.495
4000;-45.532;-8.192;-22.6
4010;-45.445;-7.808;-26.985
4020;-44.903;-7.425;-30.17
4030;-44.361;-6.6;-34.251
4040;-43.819;-10.001;-38.332
4050;-43.277;-13.403;-42.414
4060;-42.11;-16.804;-46.557
4070;-43.164;-20.206;-50.701
4080;-44.218;-23.607;-50.804
4090;-45.272;-26.75;-50.77
4100;-44.77;-29.894;-51.163
4110;-44.268;-33.037;-51.556
4120;-43.353;-36.181;-51.604
4130;-42.439;-39.324;-51.652
4140;-41.524;-40.284;-50.781
4150;-40.88;-41.244;-49.84
4160;-38.236;-42.204;-49.679
4170;-36.012;-43.164;-49.517
4180;-33.789;-44.124;-49.045
4190;-31.565;-44.97;-48.574
4200;-29.899;-45.815;-49.582
4210;-30.313;-46.661;-50.404
4220;-30.727;-47.506;-51.633
4230;-31.141;-48.352;-52.862
4240;-31.782;-49.539;-54.588
4250;-31.863;-50.727;-56.313
4260;-30.757;-51.914;-55.279
4270;-29.651;-53.102;-54.244
4280;-28.545;-54.29;-52.644
4290;-28.086;-52.577;-51.044
4300;-27.626;-50.863;-49.444
4310;-27.633;-49.15;-48.044
4320;-27.64;-47.437;-44.444
4330;-27.647;-45.724;-41.964
4340;-26.811;-44.095;-38.139
4350;-27.655;-42.466;-34.315
4360;-28.458;-40.837;-30.49
4370;-29.261;-39.208;-26.486
4380;-30.063;-37.579;-22.481
4390;-28.855;-37.692;-22.677
4400;-27.156;-37.805;-22.873
4410;-25.457;-37.919;-22.49
4420;-23.757;-38.032;-22.106
4430;-23.57;-38.145;-21.792
4440;-23.382;-38.479;-21.477
4450;-22.637;-38.812;-22.923
4460;-21.892;-39.146;-24.368
4470;-21.148;-39.48;-25.628
4480;-22.982;-39.814;-26.887
4490;-24.817;-40.91;-28.112
4500;-27.273;-42.007;-29.337
4510;-29.73;-43.103;-33.081
4520;-32.186;-44.2;-36.826
4530;-32.84;-45.297;-40.426
4540;-33.116;-46.847;-44.026
4550;-33.392;-48.397;-47.137
4560;-33.668;-49.948;-50.247
4570;-33.943;-51.498;-51.357
4580;-32.401;-53.048;-52.468
4590;-31.799;-49.832;-53.792
4600;-31.196;-46.615;-55.116
4610;-30.593;-43.399;-56.44
4620;-29.254;-40.182;-57.971
4630;-27.914;-36.966;-54.422
4640;-28.317;-30.731;-48.593
4650;-28.72;-24.497;-42.509
4660;-29.123;-18.262;-36.425
4670;-27.901;-12.028;-30.341
4680;-25.119;-5.793;-24.76
4690;-21.971;1.826;-19.179
4700;-18.823;9.445;-9.239
4710;-15.676;17.065;0.702
4720;-11.319;24.684;11.043
4730;-4.444;32.303;21.383
4740;2.43;43.861;31.897
4750;9.305;55.418;42.41
4760;15.834;66.975;58.483
4770;24.804;78.532;74.556
4780;31.847;90.09;90.705
4790;38.89;100.138;106.854
4800;45.932;110.186;123.237
4810;53.334;120.234;139.621
4820;60.735;130.283;154.164
4830;66.45;140.331;168.708
4840;72.164;144.756;183.217
4850;77.879;149.181;197.725
4860;80.982;153.606;212.014
4870;83.246;158.03;226.302
4880;84.854;162.455;232.23
4890;86.462;164.463;238.159
4900;88.07;166.472;244.246
4910;90.807;168.48;250.332
4920;92.188;170.488;256.419
4930;93.568;172.497;262.699
4940;94.949;170.603;261.179
4950;96.619;168.709;257.179
4960;98.05;166.815;253.469
4970;98.808;164.921;249.759
4980;99.567;163.028;246.048
4990;100.326;158.447;242.669
5000;99.137;153.866;239.29
5010;97.948;149.286;228.03
5020;94.284;144.705;216.771
5030;90.621;140.124;205.67
5040;86.957;134.823;194.57
5050;83.663;129.523;183.448
5060;80.528;124.222;172.327
5070;77.393;118.921;157.766
5080;74.258;113.621;143.204
5090;71.123;108.553;128.643
5100;68.444;103.486;114.081
5110;68.211;98.418;99.775
5120;67.978;93.35;85.469
5130;67.745;88.283;73.603
5140;66.67;84.021;61.737
5150;65.596;79.759;49.546
5160;63.117;75.497;37.356
5170;60.639;71.234;25.545
5180;58.16;66.972;13.734
5190;55.727;64.272;10.963
5200;53.294;61.571;8.192
5210;51.763;58.87;4.945
5220;50.232;56.17;1.698
5230;48.701;53.469;-1.549
5240;46.694;49.377;-5.189
5250;46.4;45.284;-10.309
5260;46.106;41.192;-12.069
5270;45.812;37.099;-15.05
5280;45.25;33.007;-18.03
5290;42.567;25.945;-21.011
5300;38.232;18.883;-24.316
5310;33.897;11.821;-27.621
5320;29.561;4.759;-32.165
5330;23.007;-2.303;-36.71
5340;16.452;-9.843;-41.076
5350;8.766;-17.382;-45.441
5360;1.079;-24.921;-49.986
5370;-6.608;-32.461;-54.531
5380;-12.799;-40;-58.676
5390;-18.189;-45.062;-62.821
5400;-23.959;-50.124;-67.076
5410;-29.728;-55.186;-71.331
5420;-35.498;-60.248;-74.862
5430;-42.063;-65.31;-78.393
5440;-48.412;-66.908;-82.964
5450;-54.761;-68.505;-87.535
5460;-61.11;-70.102;-91.637
5470;-67.314;-71.699;-95.739
5480;-69.719;-72.807;-98.966
5490;-70.737;-74.088;-102.192
5500;-71.754;-75.37;-104.858
5510;-72.772;-76.651;-107.524
5520;-73.13;-77.932;-109.804
5530;-73.487;-78.683;-112.084
5540;-71.752;-81.634;-114.364
5550;-70.017;-84.586;-116.217
5560;-68.281;-87.538;-119.749
5570;-70.079;-90.49;-120.961
5580;-70.084;-93.855;-123.036
5590;-70.09;-92.825;-125.11
5600;-70.095;-91.794;-127.185
5610;-70.101;-90.764;-128.48
5620;-69.485;-89.734;-129.775
5630;-70.07;-88.703;-131.55
5640;-70.172;-89.063;-133.567
5650;-70.274;-89.423;-135.583
5660;-71.297;-89.783;-137.6
5670;-72.319;-90.143;-139.21
5680;-72.221;-90.503;-140.819
5690;-71.681;-91.309;-142.629
5700;-71.142;-91.728;-143.735
5710;-70.83;-92.148;-144.841
5720;-70.519;-92.567;-145.948
5730;-74.007;-92.986;-147.619
5740;-77.543;-93.454;-149.291
5750;-81.08;-93.99;-147.314
5760;-82.55;-94.527;-145.338
5770;-84.461;-95.063;-143.361
5780;-86.371;-95.6;-141.385
5790;-88.281;-93.663;-140.753
5800;-90.275;-91.727;-140.121
5810;-96.149;-89.439;-135.112
5820;-98.263;-87.15;-130.102
5830;-100.378;-84.862;-125.092
5840;-102.492;-85.086;-120.083
5850;-104.552;-85.309;-115.073
5860;-106.611;-85.532;-110.643
5870;-108.87;-86.177;-99.112
5880;-111.13;-86.821;-86.661
5890;-113.389;-83.437;-74.21
5900;-109.772;-80.054;-61.759
5910;-105.236;-76.67;-49.308
5920;-100.699;-73.287;-37.043
5930;-96.163;-69.717;-25.295
5940;-91.626;-66.186;-14.588
5950;-82.548;-62.655;-3.88
5960;-71.372;-59.124;6.828
5970;-60.197;-55.593;17.535
5980;-49.022;-52.566;28.408
5990;-37.985;-47.385;39.281
6000;-24.748;-42.204;48.914
6010;-13.459;-37.023;58.548
6020;-2.171;-31.843;68.181
6030;9.117;-26.662;77.814
6040;19.825;-18.654;88.392
6050;30.532;-10.646;98.97
6060;44.818;-2.637;104.068
6070;59.103;5.371;109.166
6080;73.389;10.539;114.263
6090;84.137;17.188;119.361
6100;93.684;24.298;124.328
6110;103.611;31.408;129.295
6120;113.538;38.519;124.942
6130;123.465;42.549;120.589
6140;133.186;42.768;116.236
6150;136.108;43.181;112.221
6160;139.029;43.593;108.206
6170;142.633;44.006;103.79
6180;146.2;46.818;104.375
6190;149.767;48.61;106
6200;148.854;50.401;107.625
6210;147.941;52.014;109.284
6220;146.931;53.626;110.943
6230;146.128;55.239;112.527
6240;142.526;57.331;115.51
6250;136.723;59.423;117.854
6260;130.92;61.516;120.197
6270;124.772;63.277;122.575
6280;118.432;65.039;124.953
6290;110.091;63.902;127.365
6300;101.75;60.526;125.698
6310;93.41;57.149;126.75
6320;85.069;53.821;127.617
6330;77.542;53.332;128.483
6340;73.695;52.782;129.349
6350;69.848;52.632;125.137
6360;66.001;52.481;120.924
6370;62.23;52.331;118.952
6380;58.528;55.488;117.048
6390;54.666;58.142;115.145
6400;51.284;60.796;113.241
6410;47.902;61.41;111.408
6420;43.872;62.023;109.575
6430;39.43;60.237;102.742
6440;34.989;58.403;96.316
6450;35.268;56.568;89.89
6460;35.546;54.734;83.463
6470;35.859;55.339;76.917
6480;36.172;55.945;70.212
6490;39.313;53.477;62.011
6500;48.294;51.01;53.81
6510;57.116;48.542;45.608
6520;65.938;46.075;37.407
6530;74.76;42.527;32.206
6540;85.528;39.028;27.004
6550;96.297;37.596;25.848
6560;93.779;36.164;24.692
6570;91.262;34.732;23.537
6580;88.745;36.221;20.581
6590;86.106;37.681;17.625
6600;83.468;38.742;19.913
6610;81.553;40.086;22.298
6620;79.639;41.429;24.683
6630;77.724;42.772;27.068
6640;76.154;39.898;25.212
6650;74.105;37.023;23.357
6660;72.913;36.065;21.521
6670;71.721;35.106;19.686
6680;70.53;34.148;17.85
6690;69.338;32.934;16.014
6700;63.281;29.04;13.458
6710;55.025;25.146;10.902
6720;46.768;18.895;9.68
6730;38.512;12.644;8.458
6740;30.255;7.028;7.236
6750;17.414;0.291;4.054
6760;4.572;-6.446;0.872
6770;-12.229;-13.182;-2.31
6780;-29.03;-18.432;-8.348
6790;-45.832;-23.578;-14.564
6800;-61.599;-28.724;-20.781
6810;-64.046;-32.83;-27.197
6820;-65.932;-36.937;-33.614
6830;-67.819;-43.701;-38.023
6840;-69.706;-50.086;-42.433
6850;-71.214;-56.47;-46.732
6860;-73.121;-62.855;-51.032
6870;-73.029;-67.32;-55.531
6880;-72.937;-71.785;-60.03
6890;-72.941;-71.618;-60.152
6900;-72.945;-71.451;-60.273
6910;-74.697;-71.284;-60.863
6920;-76.448;-71.397;-60.374
6930;-79.12;-72;-59.884
6940;-82.378;-72.603;-59.394
6950;-85.636;-70.912;-58.199
6960;-86.839;-69.221;-57.003
6970;-88.041;-67.53;-56.193
6980;-89.644;-67.69;-55.783
6990;-91.219;-67.85;-55.374
7000;-92.794;-67.179;-53.087
7010;-94.37;-66.509;-50.8
7020;-91.902;-65.839;-48.513
7030;-88.626;-64.754;-45.364
7040;-85.35;-62.11;-44.575
7050;-82.074;-59.466;-43.786
7060;-78.799;-58.083;-42.721
7070;-76.069;-56.699;-41.657
7080;-73.339;-55.316;-40.592
7090;-71.252;-50.185;-38.726
7100;-69.166;-45.054;-36.859
7110;-67.079;-39.923;-34.993
7120;-67.378;-36.057;-32.823
7130;-67.677;-32.19;-30.654
7140;-64.858;-28.324;-28.484
7150;-62.039;-23.844;-26.818
7160;-59.219;-19.364;-25.152
7170;-56.745;-14.128;-24.703
7180;-53.35;-8.892;-24.255
7190;-50.828;-3.657;-23.807
7200;-48.305;1.648;-24.207
7210;-45.782;5.313;-25.167
7220;-43.259;8.978;-26.127
7230;-40.337;14.004;-26.687
7240;-39.338;19.03;-27.233
7250;-38.257;24.057;-27.779
7260;-37.175;29.451;-27.703
7270;-36.094;34.846;-27.628
7280;-35.772;40.24;-27.552
7290;-35.451;44.075;-25.116
7300;-32.297;47.909;-22.583
7310;-29.142;51.743;-20.051
7320;-25.988;55.519;-17.499
7330;-22.833;59.294;-14.948
7340;-19.519;59.749;-12.956
7350;-15.677;60.308;-10.964
7360;-11.857;60.866;-9
7370;-8.036;61.425;-7.036
7380;-4.215;59.437;-5.394
7390;-3.954;57.45;-3.753
7400;-5.214;54.462;-2.312
7410;-8.77;51.316;-0.87
7420;-12.663;48.17;0.516
7430;-16.557;44.007;0.392
7440;-19.531;39.844;0.268
7450;-22.505;35.681;0.143
7460;-25.41;33.159;0.579
7470;-28.314;30.408;1.015
7480;-32.323;27.658;1.479
7490;-34.331;25.09;0.411
7500;-36.339;22.521;-0.657
7510;-36.766;19.233;-2.284
7520;-37.192;15.945;-3.912
7530;-37.618;12.781;-5.539
7540;-38.313;9.617;-7.146
7550;-41.048;8.23;-8.797
7560;-43.323;6.844;-10.448
7570;-45.597;5.938;-12.139
7580;-47.872;5.032;-13.83
7590;-50.146;3.732;-15.521
7600;-51.244;3.92;-17.112
7610;-52.342;4.108;-18.702
7620;-54.603;4.295;-20.292
7630;-56.863;6.843;-21.043
7640;-59.124;8.818;-21.793
7650;-59.865;10.793;-22.543
7660;-60.454;14.228;-23.879
7670;-61.026;17.662;-25.214
7680;-61.599;22.617;-25.349
7690;-62.171;27.571;-25.484
7700;-62.743;33.132;-25.619
7710;-63.316;38.694;-25.754
7720;-61.303;40.786;-26.524
7730;-59.243;42.879;-27.37
7740;-57.182;44.051;-27.415
7750;-55.121;45.223;-27.461
7760;-54.381;46.679;-27.506
7770;-51.64;45.326;-26.566
7780;-49.058;43.972;-25.625
7790;-46.165;42.619;-24.643
7800;-43.273;39.026;-23.741
7810;-41.221;35.433;-22.839
7820;-39.168;31.826;-21.937
7830;-37.185;27.752;-21.103
7840;-35.641;23.677;-20.35
7850;-33.429;17.923;-20.063
7860;-31.217;12.168;-19.777
7870;-28.524;6.414;-19.49
7880;-25.701;0.866;-19.203
7890;-22.877;-4.412;-19.323
7900;-19.934;-9.691;-20.003
7910;-15.977;-16.25;-20.532
7920;-11.939;-22.808;-21.062
7930;-7.902;-29.367;-21.592
7940;-3.892;-35.436;-22.025
7950;0.117;-42.105;-22.458
7960;4.247;-48.774;-22.731
7970;6.578;-51.643;-22.928
7980;8.909;-54.512;-23.126
7990;11.854;-57.381;-23.323
8000;14.799;-59.932;-23.486
8010;17.743;-61.564;-23.648
8020;20.648;-60.436;-24.291
8030;23.36;-59.308;-24.858
8040;25.913;-58.179;-25.425
8050;28.466;-57.051;-25.992
8060;31.019;-56.295;-26.655
8070;33.572;-54.219;-27.319
8080;42.526;-51.903;-28.142
8090;51.519;-49.588;-28.748
8100;60.512;-47.272;-29.353
8110;69.505;-44.832;-29.862
8120;78.498;-42.24;-30.371
8130;87.491;-40.368;-30.88
8140;98.044;-38.497;-31.509
8150;109.326;-36.625;-31.661
8160;120.607;-34.753;-31.812
8170;131.888;-32.93;-31.957
8180;143.17;-31.106;-32.102
8190;154.451;-27.003;-32.247
8200;161.61;-22.299;-32.152
8210;168.648;-17.596;-32.217
8220;175.452;-12.892;-32.33
8230;182.257;-8.706;-32.588
8240;189.061;-1.2;-32.846
8250;195.603;6.306;-33.103
8260;201.265;12.892;-32.721
8270;204.967;19.479;-32.659
8280;208.324;25.803;-32.652
8290;211.681;31.906;-32.646
8300;215.039;34.49;-32.639
8310;218.396;37.073;-32.632
8320;221.753;38.337;-32.625
8330;218.43;39.6;-32.018
8340;215.252;41.022;-31.266
8350;212.074;41.706;-30.514
8360;209.124;40.75;-29.763
8370;206.174;39.794;-29.011
8380;203.223;39.559;-28.259
8390;196.913;39.323;-27.628
8400;190.706;39.473;-26.823
8410;184.644;39.741;-26.019
8420;178.582;40.088;-25.215
8430;172.52;40.436;-24.411
8440;166.458;38.503;-23.607
8450;160.556;36.861;-23.04
8460;154.612;35.218;-22.459
8470;148.586;33.823;-21.879
8480;142.56;31.229;-21.298
8490;136.534;25.315;-20.717
8500;130.508;19.4;-20.137
8510;119.481;13.706;-18.592
8520;108.435;8.012;-17.088
8530;97.388;1.56;-15.585
8540;86.341;-4.412;-14.081
8550;75.294;-6.865;-12.578
8560;64.247;-9.317;-11.074
8570;51.026;-12.425;-6.634
8580;37.927;-15.532;-2.51
8590;24.828;-18.875;1.614
8600;11.728;-23.057;5.738
8610;-1.371;-25.599;9.862
8620;-14.126;-28.617;14.124
8630;-25.76;-31.634;17.946
8640;-35.608;-35.073;22.091
8650;-45.457;-38.512;26.236
8660;-55.305;-41.43;30.381
8670;-65.153;-44.429;34.526
8680;-75.001;-47.469;38.67
8690;-84.15;-50.909;42.001
8700;-89.419;-54.349;45.219
8710;-94.688;-57.789;48.437
8720;-99.957;-62.109;51.655
8730;-105.212;-65.229;54.873
8740;-110.468;-68.142;58.091
8750;-118.582;-71.055;61.548
8760;-120.817;-73.968;63.324
8770;-123.182;-77.081;65.101
8780;-125.548;-80.195;66.877
8790;-127.913;-83.001;68.654
8800;-130.279;-85.912;70.555
8810;-132.299;-88.822;72.483
8820;-130.4;-91.732;71.651
8830;-128.501;-94.003;70.819
8840;-126.601;-95.59;69.988
8850;-124.523;-96.338;69.225
8860;-122.444;-96.927;68.462
8870;-120.028;-97.516;67.754
8880;-116.731;-98.105;66.607
8890;-113.669;-97.428;65.459
8900;-110.607;-96.75;64.05
8910;-107.545;-96.593;62.64
8920;-104.483;-96.208;61.23
8930;-100.414;-95.823;59.793
8940;-97.505;-95.073;57.516
8950;-94.596;-90.043;55.204
8960;-91.687;-85.012;52.892
8970;-89.006;-79.102;50.581
8980;-86.324;-73.316;48.269
8990;-83.374;-67.068;45.937
9000;-78.143;-60.819;42.28
9010;-72.651;-55.251;38.623
9020;-67.159;-49.483;34.967
9030;-61.666;-43.714;31.31
9040;-56.174;-37.774;27.654
9050;-51.447;-31.833;24.121
9060;-46.48;-25.892;20.509
9070;-42.873;-21.392;16.617
9080;-39.266;-17.531;12.724
9090;-35.804;-13.167;8.832
