timepoints (min);46: wc-2-.3
4950;-31.585
4960;-28.254
4970;-24.683
4980;-21.112
4990;-16.932
5000;-12.677
5010;-5.502
5020;0.512
5030;6.291
5040;12.03
5050;19.89
5060;27.59
5070;32.571
5080;36.952
5090;41.126
5100;45.492
5110;47.179
5120;48.466
5130;50.332
5140;53.559
5150;55.385
5160;57.328
5170;59.272
5180;60.215
5190;57.681
5200;55.148
5210;54.934
5220;54.48
5230;54.461
5240;54.441
5250;53.622
5260;49.903
5270;46.185
5280;39.346
5290;32.444
5300;25.549
5310;19.894
5320;17.352
5330;14.61
5340;11.868
5350;12.806
5360;16.603
5370;20.241
5380;22.24
5390;22.61
5400;22.862
5410;23.114
5420;20.565
5430;18.817
5440;17.068
5450;15.719
5460;12.001
5470;8.601
5480;5.201
5490;1.32
5500;-1.83
5510;-4.981
5520;-7.898
5530;-7.695
5540;-8.244
5550;-6.995
5560;-6.985
5570;-6.251
5580;-5.517
5590;-7.411
5600;-12.985
5610;-18.738
5620;-21.807
5630;-23.236
5640;-24.465
5650;-26.059
5660;-26.814
5670;-24.512
5680;-22.106
5690;-18.501
5700;-15.295
5710;-11.945
5720;-8.526
5730;-6.986
5740;-5.207
5750;-3.386
5760;-3.406
5770;-3.665
5780;-3.924
5790;-3.982
5800;-6.08
5810;-8.178
5820;-10.91
5830;-13.963
5840;-14.415
5850;-14.868
5860;-14.97
5870;-17.632
5880;-20.294
5890;-22.963
5900;-24.796
5910;-27.469
5920;-30.611
5930;-32.593
5940;-35.817
5950;-39.04
5960;-42.726
5970;-45.436
5980;-46.266
5990;-46.862
6000;-46.778
6010;-44.295
6020;-41.812
6030;-38.342
6040;-35.032
6050;-31.68
6060;-27.928
6070;-26.017
6080;-23.785
6090;-22.243
6100;-20.439
6110;-18.074
6120;-15.531
6130;-13.526
6140;-7.16
6150;-0.754
6160;4.561
6170;5.677
6180;5.633
6190;5.589
6200;6.897
6210;9.244
6220;10.672
6230;12.017
6240;12.201
6250;11.706
6260;11.211
6270;10.895
6280;9.419
6290;7.943
6300;6.537
6310;3.476
6320;2.255
6330;1.034
6340;-0.228
6350;-1.109
6360;-1.99
6370;-2.83
6380;-3.836
6390;-6.081
6400;-7.975
6410;-9.869
6420;-3.898
6430;2.073
6440;7.596
6450;13.119
6460;15.531
6470;18.385
6480;21.239
6490;25.252
6500;24.628
6510;24.148
6520;23.068
6530;22.153
6540;21.686
6550;21.218
6560;21.59
6570;21.45
6580;20.985
6590;20.52
6600;18.895
6610;14.217
6620;9.538
6630;4.859
6640;-2.912
6650;-10.109
6660;-17.306
6670;-28.423
6680;-39.796
6690;-47.168
6700;-54.541
6710;-59.65
6720;-65.964
6730;-72.279
6740;-78.593
6750;-79.835
6760;-73.957
6770;-68.08
6780;-62.003
6790;-55.772
6800;-53.702
6810;-51.632
6820;-49.083
6830;-47.377
6840;-45.67
6850;-43.847
6860;-38.783
6870;-34.509
6880;-30.034
6890;-25.56
6900;-20.846
6910;-11.011
6920;-1.494
6930;8.023
6940;13.617
6950;21.479
6960;29.341
6970;38.243
6980;48.553
6990;59.615
7000;70.677
7010;74.179
7020;77.858
7030;81.537
7040;85.215
7050;93.054
7060;99.543
7070;106.033
7080;113.683
7090;121.105
7100;125.967
7110;130.829
7120;136.514
7130;141.723
7140;146.931
7150;152.139
7160;152.483
7170;153.208
7180;153.934
7190;154.659
7200;153.633
7210;149.687
7220;145.741
7230;140.834
7240;135.708
7250;125.861
7260;116.014
7270;105.363
7280;96.313
7290;87.263
7300;78.214
7310;70.437
7320;63.752
7330;57.066
7340;50.381
7350;45.51
7360;43.2
7370;40.89
7380;39.539
7390;35.557
7400;31.575
7410;27.593
7420;22.436
7430;15.287
7440;8.138
7450;0.989
7460;-3.799
7470;-8.131
7480;-12.463
7490;-16.796
7500;-16.319
7510;-18.161
7520;-20.004
7530;-23.007
7540;-25.663
7550;-28.32
7560;-30.977
7570;-34.772
7580;-40.775
7590;-46.778
7600;-52.781
7610;-60.04
7620;-64.126
7630;-68.211
7640;-70.017
7650;-72.629
7660;-76.121
7670;-79.614
7680;-81.466
7690;-83.186
7700;-84.906
7710;-86.626
7720;-88.87
7730;-93.977
7740;-99.083
7750;-104.189
7760;-105.982
7770;-103.495
7780;-101.008
7790;-98.081
7800;-96.257
7810;-94.432
7820;-92.607
7830;-88.017
7840;-79.406
7850;-70.794
7860;-62.183
7870;-56.677
7880;-54.497
7890;-52.316
7900;-50.135
7910;-47.743
7920;-46.112
7930;-44.48
7940;-43.008
7950;-42.648
7960;-42.288
7970;-41.928
7980;-38.934
7990;-33.383
8000;-27.833
8010;-22.283
8020;-20.819
8030;-18.669
8040;-16.519
8050;-12.928
8060;-10.028
8070;-7.447
8080;-4.866
8090;-6.686
8100;-9.996
8110;-13.306
8120;-16.617
8130;-17.167
8140;-17.815
8150;-18.463
8160;-19.112
8170;-18.834
8180;-20.817
8190;-22.799
8200;-24.021
8210;-25.608
8220;-26.116
8230;-26.623
8240;-29.804
8250;-32.706
8260;-35.608
8270;-38.51
8280;-42.61
8290;-45.949
8300;-49.288
8310;-52.628
8320;-55.116
8330;-57.244
8340;-59.372
8350;-60.741
8360;-62.232
8370;-63.723
8380;-65.214
8390;-66.221
8400;-67.512
8410;-68.803
8420;-70.094
8430;-69.553
8440;-66.564
8450;-63.575
8460;-60.586
8470;-57.981
8480;-50.935
8490;-43.89
8500;-37.364
8510;-28.604
8520;-19.844
8530;-11.084
8540;-2.457
8550;5.692
8560;13.841
8570;21.99
8580;29.297
8590;34.672
8600;40.047
8610;46.462
8620;53.663
8630;61.985
8640;70.306
8650;78.139
8660;86.846
8670;95.552
8680;104.258
8690;111.523
8700;118.052
8710;124.582
8720;131.112
8730;132.76
8740;131.99
8750;131.221
8760;128.251
8770;125.316
8780;122.261
8790;119.206
8800;116.539
8810;118.788
8820;121.036
8830;123.284
8840;127.526
8850;133.146
8860;138.767
8870;144.388
8880;149.012
8890;150.157
8900;151.302
8910;151.367
8920;148.579
8930;145.792
8940;143.004
8950;140.566
8960;130.528
8970;120.491
8980;110.454
8990;103
9000;98.379
9010;93.759
9020;89.138
9030;84.023
9040;77.469
9050;70.914
9060;59.68
9070;48.062
9080;36.444
9090;24.826
9100;11.898
9110;-2.31
9120;-16.519
9130;-30.727
9140;-41.428
9150;-52.506
9160;-63.585
9170;-71.983
9180;-80.023
9190;-86.143
9200;-92.263
9210;-90.923
9220;-90.331
9230;-89.739
9240;-89.148
9250;-91.554
9260;-92.21
9270;-92.865
9280;-93.52
9290;-92.356
9300;-90.526
9310;-88.695
9320;-86.185
9330;-82.654
9340;-80.643
9350;-78.632
9360;-75.161
9370;-72.555
9380;-69.948
9390;-67.341
9400;-64.583
9410;-63.552
9420;-62.52
9430;-61.488
9440;-62.204
9450;-62.8
9460;-63.396
9470;-63.712
9480;-63.419
9490;-63.127
9500;-62.835
9510;-63.556
9520;-63.404
9530;-63.252
9540;-63.101
9550;-64.512
9560;-66.728
9570;-68.945
9580;-71.161
9590;-72.823
9600;-73.286
9610;-73.748
9620;-73.25
9630;-70.954
9640;-68.659
9650;-66.364
9660;-61.902
9670;-57.97
9680;-54.037
9690;-50.105
9700;-46.051
9710;-40.858
9720;-35.665
9730;-30.632
9740;-25.916
9750;-20.4
9760;-14.884
9770;-10.51
9780;-8.16
9790;-5.81
9800;-3.459
9810;-2.186
9820;1.876
9830;5.938
9840;10
9850;13.386
9860;13.614
9870;13.841
9880;12.789
9890;11.412
9900;14.756
9910;18.099
9920;21.966
9930;24.531
9940;27.097
9950;29.662
9960;30.881
9970;31.506
9980;32.131
9990;32.756
10000;32.394
10010;34.153
10020;35.912
10030;39.39
10040;41.028
10050;42.665
10060;44.302
10070;42.916
10080;40.05
10090;37.183
10100;34.476
10110;35.175
10120;34.754
10130;34.554
10140;34.354
10150;29.69
10160;28.167
10170;26.644
10180;26.601
10190;29.258
10200;31.914
10210;34.571
10220;37.622
10230;37.684
10240;37.746
10250;37.808
10260;35.357
10270;32.266
10280;29.175
10290;28.443
10300;27.731
10310;27.139
10320;26.534
10330;27.436
10340;26.698
10350;25.884
10360;25.07
10370;25.494
10380;27.87
10390;30.247
10400;32.623
10410;31.541
10420;30.058
10430;28.575
10440;24.172
10450;20.087
10460;15.761
10470;11.436
10480;10.934
10490;10.872
10500;10.81
10510;10.617
10520;10.953
10530;10.25
10540;9.539
10550;8.829
10560;8.199
10570;7.761
10580;7.324
10590;8.527
10600;10.404
10610;12.281
10620;14.159
10630;13.972
10640;11.306
10650;8.64
10660;5.974
10670;6.194
10680;6.415
10690;6.636
10700;6.081
10710;5.215
10720;4.349
10730;2.168
10740;-0.452
10750;-2.259
10760;-3.183
10770;-4.108
10780;-4.247
10790;-4.826
10800;-5.406
10810;-5.985
10820;-6.874
10830;-8.524
10840;-10.174
10850;-12.663
10860;-13.916
10870;-15.168
10880;-16.421
10890;-14.172
10900;-11.924
10910;-9.676
10920;-8.855
10930;-8.29
10940;-7.724
10950;-5.716
10960;-3.708
10970;-1.892
10980;-0.248
10990;1.396
11000;3.04
11010;4.905
11020;6.77
11030;8.634
11040;11.553
11050;13.832
11060;16.11
11070;18.389
11080;18.324
11090;18.259
11100;18.194
11110;17.818
11120;17.331
11130;16.844
11140;14.825
11150;12.806
11160;10.807
11170;8.548
11180;6.288
11190;3.746
11200;2.641
11210;1.537
11220;0.432
11230;0.928
11240;1.425
11250;1.921
11260;1.618
11270;-1.957
11280;-5.532
11290;-9.108
11300;-12.49
11310;-15.913
11320;-19.337
11330;-19.712
11340;-20.011
11350;-20.31
11360;-21.546
11370;-22.782
11380;-24.197
11390;-24.396
11400;-24.594
11410;-24.793
11420;-24.917
11430;-25.041
11440;-25.166
11450;-27.015
11460;-28.585
11470;-30.155
11480;-32.468
11490;-35.608
11500;-38.749
11510;-42.048
11520;-41.812
11530;-41.577
11540;-41.417
11550;-41.055
11560;-40.694
11570;-39.788
11580;-37.382
11590;-34.977
11600;-32.516
11610;-27.437
11620;-22.359
11630;-17.342
11640;-15.327
11650;-13.312
11660;-11.09
11670;-8.948
11680;-8.297
11690;-7.873
11700;-7.45
11710;-6.268
11720;-5.148
11730;-4.028
11740;-0.949
11750;2.13
11760;5.208
11770;9.483
11780;13.757
11790;18.032
11800;22.279
11810;26.526
11820;30.772
11830;32.03
11840;33.288
11850;34.546
11860;33.756
11870;33.445
11880;33.135
11890;34.68
11900;33.834
11910;32.989
11920;32.392
11930;32.392
11940;32.392
11950;32.35
11960;29.8
11970;27.25
11980;24.658
11990;20.513
12000;16.368
12010;12.244
12020;6.847
12030;1.429
12040;-3.989
12050;-7.783
12060;-11.557
12070;-15.331
12080;-14.218
12090;-13.174
12100;-12.13
12110;-10.166
12120;-9.088
12130;-8.011
12140;-6.494
12150;-2.862
12160;0.77
12170;1.241
12180;1.903
12190;2.566
12200;2.908
12210;4.789
12220;6.67
12230;8.912
12240;11.768
12250;14.625
12260;16.281
12270;18.055
12280;19.829
