timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
1020;25.972;-28.619;22.562;22.534;283.936;247.355;-67.532;-74.214;-85.423;23.903;4.221;-0.466;13.12;16.508;25.11
1030;34.13;-19.046;31.639;15.937;276.224;250.809;-60.878;-73.74;-76.917;20.92;2.468;4.068;14.27;16.693;28.03
1040;41.923;-11.103;41.01;10.679;261.761;247.929;-54.175;-72.295;-68.171;15.826;2.507;8.963;14.582;17.401;31.2
1050;50.225;-3.089;49.688;5.467;247.331;239.799;-46.23;-70.001;-59.153;10.388;2.478;13.861;14.768;17.453;33.775
1060;58.993;5.561;56.93;1.395;231.028;231.675;-38.364;-66.777;-50.949;4.755;2.067;16.012;14.451;17.667;35.74
1070;67.732;13.883;63.463;-3.683;214.573;221.887;-30.197;-63.238;-41.47;-1.223;0.018;18.167;15.338;17.845;37.415
1080;76.497;22.047;71.19;-10.714;197.169;212.099;-19.992;-59.692;-33.938;-9.514;-2.608;19.888;16.214;17.586;38.582
1090;85.474;30.935;79.73;-18.353;179.073;203.913;-9.734;-55.836;-24.969;-17.196;-5.377;21.612;17.757;17.929;39.593
1100;93.581;39.371;87.763;-24.956;160.989;195.967;0.92;-53.017;-15.985;-24.071;-6.922;23.396;19.265;18.113;41.04
1110;100.425;47.302;93.512;-30.845;143.444;188.694;11.61;-50.194;-2.354;-27.047;-5.162;22.661;20.754;18.312;43.154
1120;106.16;55.624;97.36;-34.296;125.616;180.304;23.896;-48.088;11.272;-27.768;-3.304;22.616;22.184;18.504;45.472
1130;109.546;64.077;100.847;-37.675;106.686;171.957;35.164;-45.979;25.062;-28.476;-0.83;25.609;23.461;18.353;47.074
1140;111.705;72.406;104.531;-43.638;87.513;164.093;48.592;-43.713;38.846;-30.242;1.945;28.087;24.839;18.563;48.337
1150;113.755;80.509;107.812;-49.541;69.601;156.232;61.871;-41.441;52.022;-34.745;5.053;32.761;25.945;19.11;48.643
1160;115.632;89.526;111.375;-56.294;51.91;148.933;75.11;-38.006;65.189;-39.233;8.257;37.296;26.977;20.123;48.278
1170;116.569;98.703;113.352;-63.749;36.237;141.645;89.031;-33.486;77.554;-48.026;12.032;41.345;28.177;20.578;47.518
1180;117.623;107.085;115.643;-71.084;18.972;132.492;103.052;-27.802;91.787;-53.838;15.926;48.401;29.002;20.494;47.788
1190;118.671;112.592;118.523;-78.191;0.826;120.997;116.513;-21.382;105.752;-59.637;19.427;55.289;28.669;20.302;48.06
1200;118.384;116.358;122.071;-84.586;-16.486;109.835;130.139;-14.961;121.305;-64.32;22.509;61.852;28.203;19.75;48.576
1210;117.443;120.58;126.333;-90.261;-33.287;97.18;141.722;-7.699;136.867;-67.286;24.311;64.21;28.372;19.521;47.444
1220;116.359;124.73;130.754;-95.327;-47.462;84.538;152.108;-0.919;152.098;-70.24;25.603;66.964;28.545;19.33;45.317
1230;114.938;127.868;135.002;-99.668;-61.958;72.515;163.29;6.541;166.982;-72.342;26.911;64.669;28.788;19.09;44.956
1240;113.691;131.326;139.499;-102.819;-73.465;60.501;173.279;13.164;180.292;-74.034;29.869;62.984;28.79;19.344;44.267
1250;113.349;134.955;143.628;-104.491;-84.914;49.26;183.581;19.785;192.092;-75.638;31.926;61.161;28.837;18.998;43.461
1260;114.071;137.552;148.178;-106.368;-97.335;37.986;191.346;27.26;202.795;-75.668;33.829;59.413;29.003;19.657;42.378
1270;114.476;139.757;152.426;-105.657;-108.233;27.334;198.823;34.291;213.696;-73.947;36.439;57.446;29.276;20.329;42.411
1280;113.465;141.972;154.276;-102.208;-119.298;17.597;204.849;40.305;223.638;-72.045;39.258;55.354;29.631;20.923;42.56
1290;111.322;145.132;153.586;-100.541;-128.576;7.863;209.503;45.471;233.56;-66.253;40.362;53.245;30.307;21.355;42.508
