timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
660;-151.073;-158.891;-36.562;-106.314;-111.972;-81.884;98.686;-104.782;-161.905;-74.462;-87.47;-104.511;-97.367;-116.462;-117.942
670;-145.514;-155.647;-37.135;-100.604;-111.28;-80.166;114.624;-99.604;-156.245;-66.975;-81.693;-92.751;-90.523;-111.496;-113.697
680;-140.413;-153.04;-37.413;-97.8;-105.44;-76.907;121.973;-94.907;-150.693;-62.547;-77;-83.253;-86.653;-107.693;-110.067
690;-136.595;-150.553;-37.684;-96.941;-92.23;-74.063;130.523;-91.086;-143.911;-59.243;-72.694;-73.813;-82.793;-107.757;-106.813
700;-133.388;-148.455;-38.299;-96.16;-80.71;-72.765;134.386;-88.801;-136.863;-52.622;-69.642;-67.54;-80.749;-108.293;-102.235
710;-131.607;-147.06;-39.235;-96.141;-73.124;-71.564;134.12;-85.688;-131.111;-44.329;-68.526;-57.077;-80.021;-108.047;-97.017
720;-128.112;-145.824;-40.262;-95.367;-72.925;-72.141;129.805;-83.163;-126.631;-38.94;-67.656;-47.851;-78.789;-107.707;-91.65
730;-125.188;-143.8;-41.775;-94.95;-69.675;-70.7;126.787;-80.55;-123.663;-36.438;-67.337;-41.438;-75.863;-106.937;-87.788
740;-122.596;-141.16;-43.325;-93.279;-70.631;-69.642;119.57;-77.139;-121.189;-33.952;-66.402;-34.982;-73.578;-106.741;-84.589
750;-119.845;-138.103;-43.381;-90.676;-68.473;-68.94;113.271;-73.968;-118.42;-31.309;-64.528;-29.271;-70.774;-105.623;-81.83
760;-117.417;-135.415;-43.612;-88.313;-67.711;-68.541;111.675;-71.688;-115.476;-29.185;-62.689;-23.772;-69.08;-102.681;-80.036
770;-115.458;-132.161;-43.333;-85.488;-65.94;-68.179;104.31;-69.589;-111.268;-28.19;-61.131;-17.869;-67.696;-100.03;-79.048
780;-114.188;-128.518;-42.967;-82.833;-64.468;-66.049;95.435;-67.181;-106.732;-28.04;-60.372;-12.271;-64.685;-94.798;-77.454
790;-104.314;-119.402;-42.537;-72.075;-45.642;-61.434;106.016;-56.687;-100.396;-17.475;-47.515;6.8;-52.195;-84.598;-72.03
800;-95.091;-110.187;-41.069;-62.175;-36.665;-55.18;92.22;-49.343;-93.28;-10.162;-34.061;23.468;-38.408;-74.262;-66.829
810;-88.112;-103.48;-40.12;-52.124;-34.593;-52.525;77.507;-43.727;-86.976;-2.704;-27.538;40.142;-25.821;-63.525;-61.077
820;-81.491;-98.631;-39.042;-47.355;-31.38;-51.016;60.721;-37.995;-76.131;2.405;-22.952;51.978;-16.389;-52.781;-55.472
830;-75.647;-91.809;-40.758;-41.482;-30.253;-49.929;44.089;-32.044;-66.598;4.504;-21.38;60.013;-10.084;-46.109;-47.576
840;-72.389;-85.195;-42.436;-36.921;-32.466;-50.229;28.137;-26.243;-59.804;6.621;-21.315;66.052;-3.746;-39.282;-42.027
850;-70.473;-78.553;-44.447;-34.921;-34.397;-52.647;11.418;-19.61;-55.173;8.035;-21.54;71.035;2.589;-32.183;-37.36
860;-68.637;-71.689;-43.449;-33.431;-33.517;-53.276;-1.991;-13.628;-49.447;8.973;-22.719;75.828;3.441;-24.24;-30.062
870;-65.677;-64.355;-45.118;-32.889;-36.41;-56.867;-11.291;-9.652;-41.99;11.191;-24.906;79.494;3.662;-17.534;-24.392
880;-62.985;-56.688;-46.013;-33.091;-34.92;-56.491;-13.928;-5.625;-35.145;11.888;-26.907;83.076;4.585;-12.819;-21.533
890;-61.896;-49.586;-46.096;-33.401;-34.47;-50.131;-22.867;-1.051;-31.551;12.282;-28.856;85.726;7.461;-9.507;-17.362
900;-60.503;-44.341;-47.705;-33.254;-27.832;-48.005;-31.748;2.551;-29.206;15.072;-31.595;85.832;9.991;-6.509;-14.868
910;-57.898;-41.672;-46.899;-31.174;-24.496;-47.012;-35.073;4.511;-25.34;17.082;-34.79;84.693;11.038;-5.354;-12.397
920;-54.181;-38.679;-46.549;-28.739;-19.754;-43.869;-45.884;7.001;-19.846;15.709;-37.519;84.613;12.004;-3.831;-9.011
930;-51.61;-34.6;-45.01;-24.42;-19.15;-44.24;-49.56;9.83;-16.11;14.52;-39.81;85.56;14.98;-1.74;-5.88
940;-50.417;-30.055;-44.284;-18.817;-24.84;-43.757;-55.047;12.769;-14.299;15.149;-42.016;84.747;17.522;2.935;-3.103
950;-49.448;-23.773;-43.737;-13.339;-31.141;-45.239;-55.905;16.362;-13.033;13.684;-42.459;85.964;21.453;7.895;-2.194
960;-47.841;-18.717;-43.281;-8.016;-32.841;-47.204;-64.707;18.341;-11.73;10.078;-41.464;82.891;25.161;12.983;-2.153
970;-47.097;-13.749;-43.804;-4.581;-35.032;-46.675;-62.676;19.437;-10.265;7.444;-39.721;78.248;28.786;18.032;-3.774
980;-45.83;-9.185;-44.265;-1.225;-39.402;-45.282;-60.147;20.114;-7.101;7.253;-36.32;75.674;31.291;23.008;-4.857
990;-45.08;-5.702;-45.934;0.341;-39.594;-44.946;-53.992;20.474;-3.509;6.735;-33.577;72.575;32.957;28.002;-6.094
1000;-45.116;-4.554;-49.094;1.159;-43.323;-44.712;-47.318;20.058;-1.982;5.924;-31.159;68.135;33.308;32.412;-6.592
1010;-46.09;-3.761;-52.776;2.244;-45.031;-44.201;-41.866;19.997;-1.64;7.183;-28.666;64.316;34.907;34.595;-8.071
1020;-46.379;-3.854;-53.973;3.411;-49.278;-43.284;-39.236;20.237;-1.02;9.524;-25.755;57.608;34.903;36.15;-5.74
1030;-45.015;-4.462;-56.271;4.796;-53.467;-43.022;-38.875;20.487;-0.198;12.013;-21.456;52.405;34.302;34.551;-3.478
1040;-44.43;-5.229;-58.359;6.154;-57.504;-39.619;-34.345;18.399;0.179;15.018;-15.803;48.942;33.904;32.178;-2.975
1050;-41.744;-5.233;-61.401;7.721;-63.305;-39.63;-24.715;16.509;0.353;18.152;-10.313;44.181;32.28;30.067;-1.299
1060;-38.832;-3.479;-62.854;11.888;-65.964;-37.498;-14.242;15.65;2.932;19.321;-5.773;39.412;30.458;27.195;0.967
1070;-37.113;-2.138;-64.839;15.838;-65.678;-34.158;-11.802;13.123;2.881;20.759;-1.038;34.78;29.683;23.877;2.771
1080;-34.939;-1.934;-65.158;21.963;-66.137;-30.351;-13.396;10.96;2.496;23.464;2.32;32.043;29.158;21.523;2.278
1090;-31.778;-1.742;-64.76;26.015;-64.169;-26.68;-8.951;8.756;-0.368;26.571;4.326;28.863;28.311;19.39;1.637
1100;-26.134;-2.601;-63.939;30.252;-61.731;-20.633;2.483;6.159;-0.869;28.365;7.902;24.979;26.145;16.822;1.672
1110;-21.218;-4.274;-66.797;31.349;-62.175;-16.637;13.961;3.736;0.934;29.276;11.475;22.091;25.824;14.198;-0.24
1120;-15.255;-5.966;-66.067;33.286;-58.045;-12.906;20.275;1.192;1.954;27.533;15.527;19.358;27.15;11.765;-0.554
1130;-11.15;-7.672;-65.883;35.432;-57.448;-13.543;22.742;-1.568;1.822;26.702;19.6;16.568;27.382;9.913;-0.297
1140;-7.659;-7.771;-66.205;40.026;-55.262;-15.772;24.925;-4.427;1.016;28.067;23.998;12.905;28.382;10.197;0.162
1150;-4.883;-6.017;-65.823;44.304;-52.873;-14.111;26.12;-6.768;-0.079;28.937;27.503;8.488;29.559;11.881;2.503
1160;-1.044;-2.286;-67.185;47.19;-50.003;-12.571;20.219;-7.849;-2.607;28.601;31.818;4.837;28.039;13.798;1.689
1170;3.816;1.405;-68.738;48.192;-48.398;-13.875;23.904;-9.966;-6.46;29.94;36.342;2.537;26.886;15.37;0.057
1180;8.456;4.448;-70.792;49.84;-45.128;-11.192;21.376;-12.704;-8.504;32.552;41.184;0.432;27.152;14.8;-0.68
1190;15.023;7.397;-71.923;51.245;-40.799;-8.37;18.767;-15.787;-11.47;33.17;45.976;-0.987;27.426;12.954;-1.714
1200;21.658;8.847;-71.783;51.115;-36.124;-1.883;15.181;-19.667;-13.271;33.088;48.404;-3.808;24.754;12.657;-2.341
1210;26.888;10.673;-70.748;49.827;-38.351;5.27;15.224;-23.874;-13.462;33.836;50.012;-6.779;22.281;12.063;-2.374
1220;30.221;12.421;-68.953;49.684;-37.697;10.169;13.896;-26.826;-14.558;33.774;51.085;-8.438;18.222;12.762;-1.711
1230;33.569;13.911;-66.694;48.903;-36.957;15.063;10.032;-29;-15.286;34.272;52.315;-10.471;13.062;13.026;-0.96
1240;37.196;15.427;-63.666;47.767;-35.837;17.461;6.196;-31.707;-14.623;38.313;53.486;-11.736;9.069;12.549;-0.337
1250;40.634;19.276;-60.152;46.437;-37.493;20.648;5.439;-33.919;-11.345;39.077;52.895;-10.975;4.803;11.689;-0.218
1260;44.052;23.033;-58.31;44.555;-36.769;24.592;-1.969;-35.966;-7.896;41.259;52.931;-8.92;-0.769;10.685;-0.645
1270;46.199;29.126;-58.662;43.315;-36.337;28.304;0.276;-37.514;-7.192;43.69;52.478;-5.062;-4.966;12.009;-0.638
1280;49.237;32.8;-58.634;43.135;-33.545;30.569;6.904;-38.444;-8.216;44.981;51.48;-4.541;-11.736;15.015;-0.991
1290;52.635;32.606;-58.844;42.917;-30.034;33.291;15.34;-37.982;-4.346;44.65;49.484;-5.866;-21.049;18.17;-0.939
1300;54.978;32.59;-57.887;43.378;-25.593;38.688;18.186;-36.625;-4.03;43.915;47.214;-6.374;-28.143;21.155;-1.813
1310;57.174;32.982;-56.645;41.618;-21.956;43.911;20.212;-34.777;-5.962;44.532;46.455;-6.701;-35.452;23.268;-3.003
1320;57.626;34.266;-55.812;39.942;-16.21;47.711;21.794;-31.633;-8.312;44.38;46.023;-6.075;-42.993;25.106;-3.822
1330;58.074;34.236;-52.283;35.344;-10.104;49.49;20.554;-29.74;-8.853;45.161;46.839;-6.407;-50.547;24.947;-4.563
1340;58.253;34.239;-49.35;32.151;-4.942;51.156;21.634;-28.145;-6.443;45.34;49.294;-7.377;-56.598;24.517;-5.237
1350;58.119;33.997;-46.4;29.286;4.061;51.806;19.407;-26.344;-4.459;43.624;49.908;-5.829;-61.427;23.298;-5.597
1360;59.544;34.377;-42.794;30.141;11.56;54.253;18.253;-24.21;-5.153;41.712;49.566;-5.455;-62.491;24.357;-6.064
1370;59.298;34.04;-39.322;30.145;22.117;57.631;15.951;-21.441;-6.935;42.392;48.769;-4.491;-63.092;25.422;-6.461
1380;59.494;32.792;-35.647;30.072;31.269;62.568;21.33;-19.236;-7.028;43.858;47.927;-3.17;-63.73;27.154;-7.655
1390;57.978;27.526;-32.015;23.582;33.488;65.108;27.71;-19.261;-6.68;41.506;44.072;-4.265;-68.566;26.552;-9.888
1400;56.218;20.995;-27.454;15.854;35.097;64.709;36.91;-18.09;-4.77;37.654;40.457;-4.617;-75.492;24.549;-12.417
1410;53.75;15.157;-22.768;8.167;42.188;63.251;48.833;-17.982;-3.048;34.143;37.484;-5.081;-80.855;21.506;-14.126
1420;48.646;10.455;-17.982;4.691;51.723;64.043;59.812;-18.037;-2.088;31.094;35.832;-4.959;-84.237;18.861;-15.199
1430;43.96;5.332;-13.436;1.135;64.138;62.403;67.648;-18.599;-2.914;29.014;35.069;-4.083;-87.772;18.455;-17.102
1440;39.779;0.697;-8.324;-1.945;78.422;60.43;70.295;-18.979;-2.491;28.572;34.349;-2.378;-90.109;19.05;-18.308
1450;35.131;-2.4;-3.429;-2.226;88.938;57.566;66.437;-18.128;-2.375;29.625;33.574;-0.145;-90.046;18.64;-18.112
1460;33.086;-4.222;2.386;-0.938;101.389;53.608;62.301;-15.491;-4.257;30.88;33.586;2.702;-88.233;18.366;-18.699
1470;33.119;-6.161;9.008;0.371;113.455;51.637;53.557;-12.415;-6.85;32.898;35.095;6.674;-87.622;17.088;-19.254
1480;35.881;-8.298;15.908;2.905;124.028;46.996;50.948;-10.046;-9.51;32.752;35.608;10.641;-87.926;16.499;-18.581
1490;39.32;-9.102;20.767;6.888;128.982;45.35;50.572;-8.381;-12.015;28.124;35.172;13.208;-86.443;16.905;-17.498
1500;44.683;-10.706;25.557;11.127;131.428;43.672;41.975;-6.633;-15.586;27.745;36.16;13.96;-83.897;17.699;-17.218
1510;46.476;-12.469;28.738;15.004;135.281;45.622;34.457;-4.767;-18.749;25.524;36.163;12.644;-81.954;17.862;-17.663
1520;46.846;-16.887;32.919;16.139;139.589;47.16;25.567;-3.641;-21.026;22.141;36.094;11.436;-79.766;16.268;-18.8
1530;45.375;-19.847;37.574;15.71;140.052;48.492;8.204;-3.326;-22.774;20.502;35.295;11.694;-77.309;12.582;-19.462
1540;42.099;-17.994;42.243;14.715;139.753;48.833;-4.792;-2.015;-24.163;20.703;34.288;12.941;-73.445;8.626;-18.834
1550;40.486;-16.742;46.879;14.75;141.299;45.985;-7.065;-0.903;-22.928;21.432;33.632;13.366;-69.61;4.4;-18.883
1560;39.429;-16.156;50.204;14.334;138.872;41.938;-4.075;-0.57;-20.323;21.603;31.454;13.997;-65.852;0.983;-19.379
1570;40.403;-17.72;54.674;14.519;135.108;38.594;-6.494;-0.57;-17.968;23.806;28.596;13.377;-63.379;-1.812;-18.364
1580;40.695;-17.681;57.385;14.243;130.552;38.778;-3.407;0.026;-16.514;21.225;25.465;12.476;-60.237;-2.273;-17.319
