timepoints (min);46: wc-2-.2;47: wc-2-.3
1080;-105.972;-107.44
1090;-101.234;-101.114
1100;-97.413;-97.013
1110;-93.901;-95.299
1120;-91.542;-93.673
1130;-89;-91.671
1140;-85.352;-89.681
1150;-80.287;-87.087
1160;-75.861;-84.453
1170;-72.861;-82.217
1180;-71.82;-79.697
1190;-68.357;-75.643
1200;-64.948;-72.419
1210;-56.426;-58.266
1220;-48.263;-43.581
1230;-41.908;-31.54
1240;-35.031;-23.412
1250;-28.127;-20.513
1260;-23.48;-20.123
1270;-20.154;-20.105
1280;-12.788;-16.694
1290;-7.863;-15.672
1300;-5.918;-15.509
1310;-5.402;-15.307
1320;-4.932;-15.344
1330;-4.133;-14.594
1340;-3.263;-12.794
1350;-1.47;-9
1360;-0.021;-4.124
1370;3.086;-0.456
1380;6.755;2.375
1390;9.5;6.717
1400;10.086;11.061
1410;10.905;13.458
1420;12.473;16.224
1430;15.249;20.253
1440;17.454;17.521
1450;19.276;15.495
1460;21.538;13.95
1470;24.12;12.385
1480;25.787;9.9
1490;26.951;8.404
1500;27.562;9.715
1510;30.499;13.006
1520;32.092;15.26
1530;31.029;13.22
1540;30.892;13.525
1550;31.538;14.98
1560;33.288;16.157
1570;35.285;17.67
1580;37.23;18.97
1590;39.029;19.544
1600;39.496;18.752
1610;40.015;16.606
1620;39.436;15.464
1630;37.583;14.63
1640;35.3;11.921
1650;34.555;8.455
1660;33.87;6.533
1670;32.108;4.236
1680;30.053;-0.109
1690;26.944;1.556
1700;25.056;3.96
1710;23.464;6.596
1720;21.001;9.236
1730;19.098;11.763
1740;17.655;14.244
1750;16.099;16.376
1760;13.515;18.188
1770;10.729;21.245
1780;9.833;24.097
1790;10.448;26.437
1800;12.062;28.148
1810;11.788;27.062
1820;10.868;25.843
1830;8.742;24.732
1840;6.222;24.098
1850;4.561;22.822
1860;3.24;23.003
1870;1.516;20.837
1880;-0.039;18.832
1890;-0.785;17.316
1900;-0.964;16.494
1910;-1.141;16.019
1920;-1.192;16.052
1930;-0.883;16.339
1940;-1.303;14.948
1950;-2.31;12.246
1960;-2.699;8.906
1970;-2.353;5.363
1980;-2.734;1.876
1990;-4.814;-2.45
2000;-7.145;-6.977
2010;-10.139;-11.494
2020;-10.269;-15.89
2030;-9.716;-17.563
2040;-9.804;-19.557
2050;-11.683;-22.514
2060;-13.676;-25.201
2070;-14.51;-28.274
2080;-13.97;-31.159
2090;-13.212;-33.804
2100;-12.665;-35.797
2110;-12.023;-37.912
2120;-10.432;-37.225
2130;-8.941;-36.066
2140;-7.67;-35.738
2150;-7.865;-36.513
2160;-9.081;-37.574
2170;-9.063;-38.56
2180;-7.741;-39.596
2190;-7.149;-39.371
2200;-6.61;-37.721
2210;-6.415;-36.03
2220;-5.593;-35.394
2230;-3.866;-34.879
2240;-1.27;-33.705
2250;1.538;-32.4
2260;4.404;-31.385
2270;5.71;-31.051
2280;5.514;-31.134
2290;7.469;-30.699
2300;10.908;-28.835
2310;13.044;-26.022
2320;13.821;-22.343
2330;13.85;-18.611
2340;12.759;-15.461
2350;12.087;-12.381
2360;12.062;-9.338
2370;11.764;-6.303
2380;11.177;-4.135
2390;9.728;-2.287
2400;8.588;0.383
2410;7.527;3.331
2420;6.079;6.156
2430;3.988;9.183
2440;3.698;12.786
2450;3.979;15.239
2460;3.269;17.898
