timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
800;-129.301;-241.338;-264.111
810;-123.097;-241.342;-252.492
820;-117.773;-241.6;-242.573
830;-113.164;-228.789;-233.977
840;-109.051;-217.664;-221.686
850;-104.372;-207.936;-210.868
860;-100.215;-199.379;-201.285
870;-96.5;-191.813;-192.75
880;-93.09;-183.041;-185.134
890;-90.008;-175.154;-178.287
900;-85.906;-168.035;-171.15
910;-82.161;-161.583;-164.673
920;-78.729;-155.718;-158.774
930;-71.161;-149.592;-141.996
940;-62.341;-143.449;-125.264
950;-53.508;-137.29;-108.707
960;-44.663;-131.114;-92.127
970;-35.918;-124.922;-75.524
980;-27.519;-116.417;-58.9
990;-19.107;-107.887;-53.316
1000;-10.683;-99.334;-46.631
1010;-1.991;-90.757;-39.925
1020;-0.013;-82.158;-33.2
1030;1.972;-75.698;-26.456
1040;3.963;-69.212;-22.139
1050;6.092;-62.7;-17.807
1060;8.745;-56.162;-12.62
1070;11.4;-49.6;-7.42
1080;14.058;-50.259;-2.206
1090;16.719;-50.903;-0.26
1100;18.506;-51.533;1.748
1110;20.258;-52.149;4.288
1120;22.015;-52.752;6.838
1130;23.777;-51.98;9.399
1140;25.533;-51.2;11.971
1150;26.294;-50.413;13.515
1160;27.059;-49.619;15.432
1170;27.829;-48.818;17.362
1180;28.936;-41.736;19.303
1190;28.641;-34.647;21.257
1200;28.345;-27.551;23.368
1210;28.046;-20.448;25.492
1220;27.937;-13.339;27.428
1230;26.823;-7.676;29.375
1240;25.705;-2.012;31.333
1250;24.581;3.655;32.222
1260;23.007;9.322;33.273
1270;22.557;14.992;35.492
1280;22.109;22.386;37.718
1290;21.664;29.776;39.952
1300;21.221;37.162;42.193
1310;21.165;44.543;43.561
1320;21.632;51.92;45.096
1330;22.102;60.15;46.639
1340;22.574;68.38;48.189
1350;22.9;76.608;49.746
1360;22.952;84.835;50.588
1370;23.008;93.062;51.44
1380;23.068;97.275;51.862
1390;22.596;101.493;52.293
1400;21.736;105.716;52.733
1410;20.888;109.944;52.822
1420;20.052;114.178;53.127
1430;19.448;114.664;53.278
1440;18.733;115.149;53.434
1450;18.025;115.633;53.596
1460;17.326;116.117;53.763
1470;17.191;116.6;54.056
1480;17.456;116.582;54.435
1490;17.721;116.576;54.82
1500;17.985;116.582;55.211
1510;18.249;116.599;55.607
1520;17.739;116.628;54.919
1530;16.872;111.337;50.959
1540;16.004;106.046;47.239
1550;15.137;100.754;43.519
1560;14.131;95.463;39.799
1570;13.006;90.172;35.919
1580;12.004;85.363;32.128
1590;11.003;80.553;30.321
1600;10.491;75.743;28.514
1610;9.339;70.934;26.708
1620;9.284;66.124;24.901
1630;9.229;63.928;23.492
1640;8.919;61.732;21.932
1650;8.288;59.537;20.372
1660;7.499;57.341;18.812
1670;6.71;55.145;17.252
1680;5.977;54.851;16.039
1690;5.523;54.557;15.39
1700;5.68;54.263;14.542
1710;5.837;53.97;13.694
1720;5.994;53.676;12.846
1730;6.433;53.636;12.152
1740;6.912;53.596;11.458
1750;7.597;53.556;11.596
1760;8.283;53.516;11.734
1770;9.113;52.49;11.789
1780;7.383;52.552;11.844
1790;5.868;52.614;11.659
1800;4.352;52.676;11.68
1810;2.836;53.372;11.625
1820;0.371;54.069;11.57
1830;-2.032;51.859;11.515
1840;-4.434;49.65;11.379
1850;-6.837;47.171;11.43
1860;-6.326;44.692;10.417
1870;-5.876;42.214;9.403
1880;-5.426;37.102;8.389
1890;-4.977;31.99;7.975
1900;-4.007;26.823;7.223
1910;-3.233;21.657;6.817
1920;-2.459;16.49;6.41
1930;-1.686;14.106;6.003
1940;-0.912;10.474;5.299
1950;0.066;6.843;4.796
1960;1.037;3.211;5.422
1970;2.008;-0.421;6.048
1980;2.979;-1.058;6.668
1990;6.75;-1.695;7.287
2000;10.639;-2.332;7.226
2010;14.527;-2.97;7.228
2020;18.415;-3.49;6.109
2030;22.583;-5.672;5.28
2040;26.731;-7.854;4.451
2050;30.879;-10.036;3.382
2060;35.026;-11.804;2.313
2070;36.934;-13.572;1.746
2080;38.731;-9.303;1.179
2090;40.528;-5.034;0.612
2100;42.326;-0.766;0.046
2110;42.003;4.131;0.075
2120;41.891;9.028;-0.097
2130;41.89;13.206;-0.268
2140;41.888;17.383;-0.439
2150;41.887;21.672;-0.61
2160;42.606;25.96;-1.112
2170;43.6;30.248;-1.586
2180;44.594;28.659;-2.581
2190;45.589;27.257;-3.575
2200;42.983;25.854;-4.604
2210;40.323;24.451;-6.673
2220;37.386;23.048;-8.742
2230;34.45;20.234;-10.647
2240;30.153;17.421;-12.621
2250;25.822;14.607;-14.594
2260;21.567;11.793;-16.568
2270;17.312;8.979;-17.422
2280;13.937;0.888;-19.583
2290;10.513;-7.203;-21.745
2300;7.09;-15.294;-23.906
2310;3.611;-23.385;-26.068
2320;3.252;-31.29;-28.669
2330;2.612;-44.328;-32.61
2340;1.972;-57.367;-36.55
2350;1.091;-70.406;-40.491
2360;0.21;-83.692;-44.432
2370;-1.592;-91.259;-47.472
2380;-3.207;-96.154;-50.512
2390;-4.822;-101.05;-53.51
2400;-6.292;-106.2;-56.509
2410;-8.563;-115.03;-59.44
2420;-12.684;-123.861;-62.371
2430;-16.806;-127.161;-64.782
2440;-20.52;-130.662;-67.179
2450;-21.394;-132.603;-69.577
2460;-21.474;-134.543;-69.857
2470;-21.554;-136.484;-70.137
2480;-21.634;-138.919;-70.657
2490;-23.222;-141.532;-71.28
2500;-24.899;-143.826;-69.833
2510;-25.377;-146.12;-68.386
2520;-25.854;-148.414;-66.939
2530;-26.494;-143.644;-64.412
2540;-27.134;-131.634;-59.972
2550;-27.251;-119.625;-55.567
2560;-27.368;-107.615;-51.161
2570;-27.486;-94.95;-46.756
2580;-27.556;-78.052;-40.702
2590;-27.619;-61.154;-34.648
2600;-28.163;-44.257;-28.477
2610;-28.706;-27.393;-22.306
2620;-28.272;-16.93;-16.615
2630;-28.092;-6.432;-12.611
2640;-27.953;4.066;-8.607
2650;-27.814;14.564;-4.561
2660;-27.537;25.239;-0.956
2670;-25.491;35.913;1.903
2680;-23.446;46.374;4.763
2690;-21.4;56.834;7.622
2700;-19.354;66.294;10.481
2710;-17.848;72.113;11.985
2720;-16.342;77.932;13.488
2730;-15.476;83.448;14.992
2740;-14.61;88.764;16.495
2750;-13.73;93.12;16.039
2760;-14.036;97.476;16.659
2770;-15.422;101.832;17.28
2780;-16.808;106.588;17.901
2790;-18.194;103.023;16.801
2800;-19.897;99.459;15.447
2810;-21.599;95.895;14.272
2820;-21.701;92.503;13.097
2830;-21.803;83.364;11.881
2840;-21.498;74.225;11.183
2850;-20.713;65.086;10.486
2860;-20.368;55.946;9.788
2870;-20.023;47.349;8.897
2880;-19.886;38.087;10.846
2890;-19.77;28.825;12.794
2900;-19.654;19.563;14.743
2910;-19.218;12.652;16.692
2920;-19.32;4.662;19.277
2930;-19.367;-2.452;21.719
2940;-19.414;-9.567;24.16
2950;-18.061;-16.709;26.601
2960;-16.708;-18.771;28.323
2970;-15.341;-20.833;29.841
2980;-13.389;-23.399;31.36
2990;-11.437;-26.019;32.879
3000;-10.326;-26.52;34.397
3010;-9.076;-27.021;37.35
3020;-7.001;-27.521;40.303
3030;-4.927;-28.926;43.167
3040;-5.212;-27.752;46.03
3050;-5.988;-26.578;48.694
3060;-6.846;-25.404;50.636
3070;-9.303;-24.23;52.578
3080;-11.761;-21.868;54.561
3090;-13.804;-18.465;56.145
3100;-15.847;-15.062;57.04
3110;-17.47;-11.659;57.935
3120;-19.094;-8.374;58.83
3130;-17.972;-7.203;58.379
3140;-16.851;-6.032;56.891
3150;-15.895;-4.861;55.403
3160;-15.259;-3.924;53.914
3170;-14.623;-5.708;52.426
3180;-12.909;-7.463;49.317
3190;-11.194;-9.219;46.208
3200;-10.873;-11.092;43.099
3210;-10.552;-14.206;39.99
3220;-11.175;-16.332;37.084
3230;-11.799;-18.459;34.177
3240;-12.194;-20.586;31.269
3250;-11.75;-23.793;28.361
3260;-12.106;-21.234;23.37
3270;-12.793;-18.676;19.43
3280;-13.48;-16.117;15.491
3290;-11.669;-14.594;11.552
3300;-9.858;-16.043;7.612
3310;-8.201;-17.491;4.501
3320;-6.545;-18.939;1.389
3330;-4.806;-20.781;-1.723
3340;-3.226;-22.502;-4.834
3350;-1.727;-24.168;-6.968
3360;-0.021;-25.834;-10.818
3370;1.686;-27.501;-14.668
3380;0.537;-29.367;-18.517
3390;-0.612;-29.985;-20.95
3400;-1.646;-30.603;-20.999
3410;-2.679;-31.221;-21.047
3420;-3.808;-28.646;-21.095
3430;-6.058;-25.277;-19.697
3440;-7.828;-21.909;-19.095
3450;-9.68;-18.541;-18.494
3460;-11.532;-15.531;-17.892
3470;-12.357;-11.839;-17.291
3480;-13.182;-8.146;-16.819
3490;-13.654;-4.454;-16.348
3500;-14.126;-1.348;-15.876
3510;-13.563;-4.775;-15.404
3520;-13;-8.203;-16.109
3530;-12.757;-11.63;-16.579
3540;-12.514;-14.754;-17.05
3550;-12.63;-14.479;-17.52
3560;-12.426;-14.83;-17.586
3570;-12.222;-15.182;-17.821
3580;-11.808;-15.21;-18.055
3590;-11.394;-16.077;-18.29
3600;-10.701;-17.055;-18.524
3610;-10.007;-18.033;-16.808
3620;-8.019;-19.011;-15.092
3630;-6.032;-19.417;-13.377
3640;-4.217;-21.968;-11.661
3650;-2.441;-24.52;-12.55
3660;-0.186;-27.072;-12.903
3670;2.345;-28.32;-13.257
3680;4.876;-27.23;-13.61
3690;6.651;-26.141;-13.214
3700;8.426;-25.051;-12.352
3710;10.246;-23.975;-11.49
3720;12.065;-23.019;-10.628
3730;13.836;-22.119;-9.565
3740;15.247;-21.218;-9.48
3750;17.618;-20.703;-9.394
3760;20.044;-19.109;-9.309
3770;22.47;-17.701;-9.223
3780;25.251;-16.292;-9.528
3790;28.032;-14.884;-9.833
3800;31.014;-13.377;-10.138
3810;33.996;-11.621;-10.443
