timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
7480;198.942;232.588;198.381;240.199;284.715;251.221;276.63;396.589;215.251;203.957;347.218;199.679;405.179;329.953;412.948
7490;215.844;254.519;217.352;261.203;313.859;274.64;298.982;418.785;231.406;223.226;373.268;217.45;405.783;332.044;420.346
7500;233.452;276.699;237.037;282.087;342.665;298.383;321.181;439.058;247.865;241.036;398.073;233.863;405.288;332.752;427.687
7510;250.93;298.052;256.67;302.472;369.527;321.666;341.364;457.553;263.034;257.546;420.272;249.257;403.541;331.841;434.505
7520;267.92;320;277.015;321.428;394.319;343.404;357.599;472.59;276.832;274.463;438.674;264.979;400.492;330.764;441.218
7530;284.172;343.221;297.026;339.851;418.745;363.961;370.691;484.59;290.034;290.113;455.691;279.526;398.519;330.063;446.527
7540;299.058;365.752;317.314;357.806;442.594;383.366;380.21;493.234;299.41;304.367;470.262;293.207;397.132;329.11;450.081
7550;313.706;388.392;336.79;374.079;464.407;401.084;384.39;496.556;306.771;316.128;479.448;307.753;395.583;325.846;453.197
7560;327;411.003;355.45;389.349;484.273;416.721;385.731;499.614;313.713;324.788;486.917;320.552;393.657;321.374;455.832
7570;338.746;433.321;371.835;402.781;501.13;431.27;386.604;499.021;318.662;330.641;490.331;333.36;389.699;317.411;458.555
7580;349.208;454.261;385.767;414.789;514.263;442.473;385.767;489.549;323.003;334.495;486.517;340.804;385.488;313.789;459.679
7590;357.295;472.37;398.308;425.046;523.244;448.797;380.72;478.48;323.794;336.814;480.657;341.801;381.455;310.233;458.53
7600;363.888;483.29;408.643;431.495;529.55;451.395;373.807;464.463;319.83;336.985;469.526;342.895;377.611;306.018;456.517
7610;367.752;488.625;414.702;434.839;531.519;450.196;365.217;447.854;313.938;332.549;454.109;338.763;373.803;300.863;452.497
7620;364.97;488.993;415.851;435.943;529.007;444.429;356.381;428.63;305.385;324.804;436.138;332.563;368.47;293.709;448.364
7630;358.446;485.688;413.945;433.368;520.877;435.076;346.539;407.781;296.076;315.739;419.261;323.515;362.886;284.361;442.88
7640;351.668;479.592;410.548;429.092;510.688;424.721;334.681;384.972;286.073;306.578;403.207;314.383;357.974;275.703;437.738
7650;342.028;470.157;400.855;420.963;496.706;409.399;317.957;361.061;275.204;297.149;386.083;301.36;349.786;265.59;429.375
7660;328.272;455.937;386.69;409.393;478.597;391.156;298.59;336.337;264.445;287.138;368.484;287.738;336.872;253.516;416.623
7670;310.735;437.604;369.919;393.648;456.389;371.196;279.159;309.661;253.928;276.512;347.647;273.117;323.203;241.029;400.123
7680;291.937;415.719;352.981;374.542;431.259;350.39;257.823;281.564;241.863;265.039;325.039;258.579;307.513;226.857;379.098
7690;272.997;392.681;334.121;354.059;403.85;328.319;233.894;252.604;227.723;251.37;300.866;241.895;288.905;210.821;357.956
7700;253.88;368.581;313.662;331.572;377.188;304.857;209.457;223.942;211.614;234.203;273.829;223.96;268.632;192.825;335.229
7710;234.804;344.23;292.946;307.415;351.811;280.134;183.743;194.172;194.75;215.994;244.793;206.018;246.437;172.259;309.519
7720;214.89;318.313;271.188;283.673;324.606;254.117;157.343;163.295;177.847;197.542;215.108;188.297;222.983;150.315;283.88
