timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
2650;40.23;67.094;113.074
2660;38.446;75.172;115.048
2670;34.937;82.371;114.982
2680;31.428;89.466;114.578
2690;27.919;93.401;110.534
2700;24.01;96.495;106.29
2710;19.383;104.661;102.535
2720;14.288;107.626;98.581
2730;9.873;110.592;88.786
2740;5.458;111.915;79.695
2750;2.338;112.761;72.524
2760;-1.196;114.688;68.113
2770;-3.97;116.401;64.061
2780;-5.83;115.175;59.728
2790;-7.691;111.789;58.876
2800;-9.317;108.403;57.099
2810;-9.463;107.953;55.083
2820;-11.727;102.648;44.131
2830;-13.99;97.343;32.702
2840;-15.874;95.479;21.273
2850;-15.279;93.862;12.59
2860;-17.45;96.685;2.759
2870;-19.621;99.509;-6.313
2880;-23.628;101.237;-15.406
2890;-27.634;106.246;-22.778
2900;-31.679;111.254;-29.79
2910;-35.723;111.942;-36.803
2920;-38.857;114.29;-41.775
2930;-40.49;116.637;-48.708
2940;-42.123;115.505;-56.343
2950;-43.756;113.379;-63.779
2960;-44.417;105.934;-71.295
2970;-37.054;98.488;-79.266
2980;-29.691;87.458;-81.397
2990;-22.328;79.388;-82.048
3000;-16.143;71.317;-82.203
3010;-6.439;61.967;-85.117
3020;3.266;52.865;-88.952
3030;12.444;46.923;-92.607
3040;21.622;39.301;-99.742
3050;19.266;31.575;-108.117
3060;16.91;20.61;-115.479
3070;16.637;9.644;-114.36
3080;13.913;1.48;-112.003
3090;11.189;-10.269;-109.059
3100;8.465;-22.018;-108.276
3110;8.094;-28.488;-109.717
3120;8.363;-35.917;-112.112
3130;8.708;-41.306;-117.266
3140;9.052;-46.895;-122.317
3150;9.255;-53.606;-128.204
3160;8.898;-55.996;-130.258
3170;8.479;-58.407;-132.608
3180;7.145;-64.978;-132.999
3190;5.811;-67.579;-133.43
3200;5.117;-70.539;-134.103
3210;4.499;-77.139;-134.752
3220;-4.156;-83.601;-134.4
3230;-12.131;-86.72;-133.848
3240;-20.106;-89.839;-134.832
3250;-27.895;-88.041;-131.295
3260;-39.142;-84.964;-127.924
3270;-47.429;-81.887;-123.633
3280;-55.716;-78.754;-118.062
3290;-64.127;-73.397;-111.45
3300;-60.949;-68.04;-103.597
3310;-60.571;-61.725;-98.291
3320;-60.193;-54.514;-92.95
3330;-57.557;-49.463;-88.69
3340;-54.921;-44.695;-86.239
3350;-52.606;-37.167;-84.119
3360;-50.29;-34.945;-79.905
3370;-48.724;-32.799;-75.731
3380;-45.959;-31.932;-68.749
3390;-43.193;-30.694;-61.974
3400;-40.428;-29.079;-52.159
3410;-37.143;-27.463;-46.101
3420;-32.019;-28.008;-37.403
3430;-26.895;-24.393;-28.574
3440;-21.771;-20.778;-19.414
3450;-17.652;-17.543;-13.654
3460;-12.334;-11.434;-7.583
3470;-7.015;-5.326;-2.513
