timepoints (min);31: frq9-.1;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
740;-56.711;-47.811;18.78;-309.316;-269.672;-74.124;-52.117;-74.137;-173.05;26.606;-29.475;-285.399;-145.092;-74.479;-48.114
750;-54.905;-40.079;19.305;-292.332;-252.739;-67.851;-48.944;-69.201;-163.662;32.419;-20.34;-286.029;-145.116;-66.587;-37.243
760;-52.787;-33.4;19.813;-273.787;-238.12;-62.4;-46.213;-64.293;-153.347;37.347;-15.173;-290.813;-145;-59.72;-27.613
770;-50.875;-28.641;21.069;-257.51;-221.316;-56.638;-42.549;-58.632;-144.339;41.786;-10.293;-292.444;-147.724;-51.905;-23.095
780;-47.109;-24.61;23.937;-240.654;-206.417;-51.587;-40.29;-53.694;-133.054;46.635;-5.917;-291.201;-149.798;-44.995;-19.026
790;-43.949;-22.671;26.859;-225.842;-191.205;-46.56;-38.325;-51.808;-122.846;51.043;-2.868;-293.893;-150.466;-41.115;-14.376
800;-38.857;-20.891;29.009;-211.848;-177.471;-41.101;-37.378;-49.364;-113.711;57.47;-0.096;-292.556;-146.742;-37.624;-10.133
810;-34.725;-20.762;31.05;-199.25;-165.125;-36.288;-36.625;-47.163;-104.887;62.913;2.438;-291.775;-147.363;-34.725;-6.2
820;-30.875;-21.034;32.968;-187.665;-153.744;-30.376;-36.517;-45.242;-96.829;68.145;6.519;-289.72;-147.335;-32.076;-2.046
830;-28.419;-21.273;32.799;-177.121;-143.392;-25.305;-36.203;-42.831;-89.497;70.957;10.267;-286.642;-149.143;-28.185;2.139
840;-25.75;-21.589;31.979;-165.123;-133.283;-20.493;-34.568;-40.602;-82.535;73.586;13.769;-284.964;-149.472;-24.607;5.085
850;-24.429;-21.851;28.839;-154.101;-123.821;-17.327;-32.81;-38.613;-76.327;76.81;17.488;-283.435;-151.482;-22.339;7.863
860;-22.92;-22.146;25.979;-143.986;-115.101;-15.179;-31.826;-37.673;-70.341;79.831;20.967;-280.449;-151.555;-20.233;12.84
870;-16.088;-15.467;25.825;-116.897;-89.767;-4.907;-29.357;-28.521;-59.189;88.348;32.216;-269.214;-146.72;-14.211;27.227
880;-9.147;-7.825;25.522;-89.919;-64.442;4.424;-26.725;-19.15;-48.034;97.154;43.443;-264.54;-140.872;-8.196;42.579
890;-2.455;-3.968;25.566;-64.665;-40.125;9.686;-25.044;-14.563;-37.594;99.094;54.649;-258.26;-136.072;-0.845;56.521
900;4.476;-0.088;25.136;-45.175;-22.138;11.353;-22.594;-13.284;-26.96;101.356;60.072;-253.081;-131.712;6.498;64.532
910;8.753;1.473;26.631;-27.133;-4.16;12.991;-19.053;-12.884;-16.327;103.138;65.473;-248.936;-129.909;13.636;71.524
920;13.281;3.018;27.709;-12.981;6.798;15.331;-17.335;-11.497;-7.131;102.935;70.854;-244.585;-127.284;20.013;75.336
930;18.471;4.5;26.083;2.927;17.747;17.27;-15.756;-11.097;2.066;100.372;74.544;-232.796;-122.71;26.385;79.687
940;23.503;5.961;24.242;14.662;29.248;19.294;-13.867;-9.946;11.783;100.977;78.215;-227.971;-118.801;29.04;84.015
950;29.08;5.853;21.782;26.83;37.575;21.123;-12.527;-8.925;20.038;101.696;81.186;-220.115;-114.38;31.689;86.971
960;34.36;5.728;19.865;35.716;48.057;21.714;-10.916;-6.646;28.295;103.038;81.509;-212.366;-111.897;32.217;89.488
970;37.952;6.022;18.296;44.017;54.258;22.67;-10.011;-5.394;36.354;102.638;81.818;-202.097;-111.648;32.739;91.09
980;41.671;4.428;21.304;49.208;60.45;21.715;-9.094;-4.571;39.157;101.383;80.393;-190.989;-106.761;32.645;93.943
990;44.22;3.66;24.737;54.45;66.633;20.524;-8.858;-6.149;41.96;100.462;79.312;-180.608;-103.637;32.547;95.636
1000;46.729;2.768;28.179;59.461;71.329;19.022;-9.304;-7.603;43.774;97.741;78.211;-170.89;-100.162;31.764;96.645
