timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
600;-321.633;-275.704;-281.947;-109.883;-112.795;-99.468;-120.237;-39.838;-247.623;-111.498;-287.144;-351.718;-139.694;-285.456;-204.845
610;-301.743;-265.201;-265.342;-106.295;-113.892;-92.276;-110.363;-34.909;-232.515;-101.712;-286.118;-343.604;-128.029;-264.807;-190.189
620;-284.64;-251.227;-251.067;-105.267;-114.96;-86.12;-101.667;-30.493;-216.493;-93.413;-285.467;-336.773;-117.973;-246.627;-177.64
630;-269.796;-239.102;-238.72;-104.48;-111.931;-82.072;-94.036;-26.546;-202.184;-86.513;-285.112;-330.977;-108.263;-231.237;-166.697
640;-254.639;-228.507;-224.219;-103.824;-109.364;-78.623;-86.404;-23.07;-190.661;-81.827;-284.993;-326.026;-99.743;-216.682;-156.389
650;-241.261;-217.41;-211.419;-103.051;-107.179;-74.342;-80.321;-20.415;-179.867;-77.812;-285.064;-321.773;-92.932;-203.667;-146.35
660;-229.466;-207.59;-199.832;-102.275;-101.563;-70.644;-74.784;-18.815;-170.177;-74.763;-277.236;-318.104;-86.867;-191.025;-137.558
670;-217.838;-198.85;-188.963;-100.638;-96.588;-67.275;-69.287;-17.987;-159.387;-73.875;-270.725;-306.675;-81.35;-179.8;-129.362
680;-207.395;-189.679;-179.182;-99.212;-91.781;-65.279;-64.575;-17.423;-148.134;-73.215;-264.996;-297.016;-76.309;-170.27;-121.898
690;-197.147;-181.452;-170.205;-97.035;-87.463;-63.043;-61.152;-15.641;-137.216;-73.381;-259.938;-288.377;-71.729;-161.888;-115.345
700;-187.86;-173.869;-162.003;-95.086;-83.568;-61.576;-58.08;-14.677;-127.135;-74.521;-255.457;-280.62;-67.408;-154.253;-109.573
710;-179.137;-167.071;-154.518;-93.542;-80.333;-59.982;-55.357;-14.083;-118.363;-75.714;-251.476;-273.631;-63.44;-146.5;-104.244
720;-170.475;-160.908;-147.722;-92.148;-77.384;-58.304;-52.536;-13.155;-110.501;-77.068;-247.932;-267.313;-59.722;-139.426;-99.169
730;-151.774;-147.719;-133.714;-87.18;-72.71;-54.088;-35.099;1.978;-80.769;-69.517;-241.16;-250.927;-35.937;-111.952;-80.79
740;-132.9;-134.482;-119.693;-81.362;-66.711;-49.936;-17.885;11.06;-50.547;-61.91;-234.343;-234.428;-12.068;-84.454;-62.92
750;-114.018;-121.212;-105.658;-75.533;-60.704;-45.757;-4.976;15.235;-27.043;-54.248;-221.921;-217.888;0.159;-61.146;-46.317
760;-95.647;-106.306;-91.542;-68.778;-54.687;-41.764;3.042;16.36;-9.463;-47.869;-209.569;-201.31;12.421;-37.818;-29.802
770;-77.3;-91.371;-77.573;-62.013;-47.762;-37.756;8.358;15.86;5.429;-47.302;-197.173;-184.693;18.964;-20.68;-17.913
780;-58.943;-76.408;-63.593;-55.904;-40.827;-33.283;11.738;14.632;16.823;-46.669;-184.735;-168.04;25.622;-3.525;-6.022
790;-42.455;-61.867;-49.513;-49.783;-33.881;-28.797;13.285;13.13;26.148;-46.353;-172.257;-147.952;28.891;7.303;0.524
