timepoints (min);46: wc-2-.3
900;-132.766
910;-127.842
920;-123.693
930;-118.484
940;-113.984
950;-110.073
960;-106.552
970;-103.45
980;-100.704
990;-98.263
1000;-96.049
1010;-94.065
1020;-92.282
1030;-84.791
1040;-77.283
1050;-69.827
1060;-62.355
1070;-54.507
1080;-50.803
1090;-47.083
1100;-43.371
1110;-39.644
1120;-35.023
1130;-32.708
1140;-30.38
1150;-28.121
1160;-25.847
1170;-22.92
1180;-21.059
1190;-19.186
1200;-17.484
1210;-15.767
1220;-14.194
1230;-12.607
1240;-11.005
1250;-9.657
1260;-8.291
1270;-6.667
1280;-5.666
1290;-4.941
1300;-4.195
1310;-2.668
1320;-1.48
1330;-0.272
1340;0.905
1350;2.102
1360;3.598
1370;4.233
1380;4.887
1390;5.813
1400;6.753
1410;7.386
1420;7.392
1430;7.41
1440;7.693
1450;7.984
1460;8.683
1470;9.549
1480;10.423
1490;11.32
1500;12.223
1510;13.573
1520;14.69
1530;15.762
1540;16.841
1550;17.928
1560;17.94
1570;17.96
1580;17.915
1590;17.878
1600;17.728
1610;17.304
1620;16.888
1630;14.575
1640;12.262
1650;10.189
1660;8.436
1670;6.683
1680;5.688
1690;4.694
1700;3.779
1710;2.465
1720;1.15
1730;0.401
1740;-0.348
1750;-0.777
1760;-1.646
1770;-2.514
1780;-3.108
1790;-3.701
1800;-3.534
1810;-3.047
1820;-2.622
1830;-2.197
1840;-1.772
1850;-0.068
1860;1.637
1870;3.252
1880;4.978
1890;8.023
1900;10.829
1910;13.634
1920;16.495
1930;19.356
1940;22.457
1950;25.477
1960;28.498
1970;31.463
1980;34.429
1990;36.154
2000;37.56
2010;38.966
2020;40.212
2030;41.459
2040;41.426
2050;40.633
2060;39.633
2070;38.605
2080;37.578
2090;36.47
2100;34.203
2110;31.894
2120;29.626
2130;27.639
2140;24.331
2150;21.023
2160;17.847
2170;14.67
2180;11.894
2190;8.877
2200;5.861
2210;2.851
2220;-0.159
2230;-2.768
2240;-4.138
2250;-5.508
2260;-7.098
2270;-8.688
2280;-10.519
2290;-11.069
2300;-11.619
2310;-12.266
2320;-12.913
2330;-14.52
2340;-16.047
2350;-17.684
2360;-19.246
2370;-20.807
2380;-23.168
2390;-25.53
2400;-28.319
2410;-31.163
2420;-33.647
2430;-36.531
2440;-39.415
2450;-42.582
2460;-45.749
2470;-48.396
2480;-51.443
2490;-54.49
2500;-57.254
2510;-60.018
2520;-62.742
2530;-65.226
2540;-67.71
2550;-70.008
2560;-72.306
2570;-73.404
2580;-73.542
2590;-73.68
2600;-73.742
2610;-73.804
2620;-72.306
2630;-70.288
2640;-68.353
2650;-66.287
2660;-63.021
2670;-60.115
2680;-57.208
2690;-54.447
2700;-51.486
2710;-48.284
2720;-45.603
2730;-42.921
2740;-40.074
2750;-37.228
2760;-34.381
2770;-31.574
2780;-28.767
2790;-25.939
2800;-23.112
2810;-20.044
2820;-18.177
2830;-16.309
2840;-14.6
2850;-12.891
2860;-10.222
2870;-9.113
2880;-8.059
2890;-7.226
2900;-6.393
2910;-5.8
2920;-5.207
2930;-4.883
2940;-4.572
2950;-3.622
2960;-2.912
2970;-2.201
2980;-1.574
2990;-0.946
3000;2.161
3010;5.269
3020;8.377
3030;11.698
3040;15.019
3050;19.861
3060;24.462
3070;29.063
3080;33.817
3090;38.57
3100;41.923
3110;44.316
3120;46.709
3130;49.226
3140;51.743
3150;53.261
3160;53.818
3170;54.465
3180;54.946
3190;55.428
3200;55.149
3210;54.87
3220;54.385
3230;53.81
3240;53.715
3250;51.139
3260;48.564
3270;45.837
3280;43.11
3290;41.223
3300;37.817
3310;34.41
3320;31.217
3330;28.023
3340;25.19
3350;23.757
3360;22.324
3370;21.153
3380;19.982
3390;18.931
3400;18.88
3410;18.87
3420;19.068
3430;19.265
3440;19.142
3450;19.139
3460;18.792
3470;18.713
3480;18.954
3490;18.716
3500;18.477
3510;18.266
3520;18.055
3530;19.404
3540;19.913
3550;20.422
3560;20.807
3570;21.192
3580;22.337
3590;23.121
3600;23.906
3610;24.491
3620;25.076
3630;24.821
3640;24.446
3650;24.07
3660;23.447
3670;22.823
3680;21.72
3690;20.937
3700;19.981
3710;19.19
3720;18.4
3730;16.33
3740;14.259
3750;12.168
3760;10.243
3770;7.797
3780;3.792
3790;-0.214
3800;-4.199
3810;-8.183
3820;-10.968
3830;-14.513
3840;-18.058
3850;-21.327
3860;-24.596
3870;-26.625
3880;-27.814
3890;-29.003
3900;-29.916
3910;-30.829
3920;-32.462
3930;-33.615
3940;-34.768
3950;-36.115
3960;-37.461
3970;-40.287
3980;-42.153
