timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -2;44: wc-1,- -3;45: wc-2,- -1
720;-453.083;-228.619;-99.336;-181.267;-101.136;-146.389;-46.922;-123.371;-151.569;-62.639;-65.646;-22.58;-221.096;-193.928;-161.084
730;-433.554;-219.857;-96.515;-159.589;-94.485;-131.959;-32.722;-112.002;-140.788;-56.724;-63.824;-13.189;-208.849;-187.579;-161.299
740;-411.773;-213.907;-93.267;-140.64;-88.36;-113.747;-17.773;-100.587;-131.08;-52.28;-60.667;-8.133;-198.293;-180;-158.693
750;-392.724;-207.898;-90.849;-123.003;-83.095;-97.947;-2.217;-90.576;-121.352;-49.625;-55.891;-4.24;-189.553;-171.609;-156.48
760;-372.268;-202.922;-89.859;-105.362;-79.498;-85.125;9.755;-81.773;-110.964;-48.012;-50.845;-2.041;-182.784;-163.538;-154.095
770;-354.107;-197.97;-89.62;-89.641;-76.291;-73.936;20.838;-74.171;-103.641;-45.748;-47.261;-0.868;-176.564;-156.376;-148.765
780;-340.921;-193.095;-88.995;-78.554;-73.359;-70.197;30.064;-66.959;-96.733;-43.004;-45.469;0.213;-171.142;-149.412;-144.008
790;-329.063;-187.138;-88.75;-68.563;-70.712;-67.325;39.712;-59.75;-90.637;-41.1;-44.188;2.05;-165.9;-143.087;-139.387
800;-315.263;-179.87;-87.974;-57.536;-67.802;-67.571;51.15;-52.319;-85.848;-39.056;-42.425;5.074;-160.899;-137.162;-135.213
810;-302.711;-173.299;-88.697;-47.503;-65.135;-68.998;62.181;-46.905;-81.567;-36.783;-40.081;7.715;-155.868;-131.691;-131.303
820;-291.144;-166.063;-89.258;-38.096;-62.277;-69.954;70.16;-44.133;-76.555;-34.217;-37.349;10.241;-151.403;-126.899;-127.208
830;-280.619;-159.351;-88.887;-32.946;-59.625;-68.083;75.345;-41.577;-71.399;-31.435;-34.744;11.78;-146.774;-122.226;-123.452
840;-268.96;-153.732;-88.52;-28.155;-57.085;-66.125;80.198;-38.318;-67.605;-28.929;-32.835;13.191;-142.04;-118.12;-119.619
850;-243.786;-141.6;-85.103;-15.066;-50.713;-62.365;108.842;-25.379;-56.538;-22.655;-29.442;22.948;-122.406;-104.253;-114.138
860;-214.726;-129.639;-81.282;-2.001;-44.412;-58.397;134.029;-12.622;-44.206;-16.257;-26.569;33.155;-102.219;-90.356;-108.667
