timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -2;44: wc-1,- -3;45: wc-2,- -1
870;-185.4;-117.9;-75.966;11.927;-38.042;-54.13;152.175;0.2;-32.811;-9.842;-23.275;40.87;-82.017;-75.908;-102.158
880;-156.995;-105.463;-70.321;25.833;-31.83;-49.054;171.159;13.044;-21.492;-2.512;-19.226;48.265;-68.713;-61.883;-95.655
890;-128.629;-92.987;-65.469;40.591;-25.224;-43.598;181.884;26.062;-9.356;4.249;-14.88;54.004;-61.144;-54.76;-89.258
900;-100.28;-82.933;-60.412;55.598;-18.626;-37.977;189.792;34.694;0.095;9.647;-10.89;60.305;-52.762;-47.665;-81.544
910;-72.857;-72.657;-55.953;70.59;-11.375;-32.253;198.18;39.41;7.291;15.111;-8.29;65.782;-45.55;-42.672;-73.834
920;-45.455;-63.376;-51.578;85.19;-7.578;-27.207;203.664;41.698;12.448;20.425;-6.991;67.291;-39.727;-37.361;-65.708
930;-27.089;-53.928;-47.84;96.179;-3.522;-22.169;206.266;44.8;16.238;24.629;-5.479;69.425;-35.803;-31.789;-54.673
940;-8.741;-45.863;-44.371;101.712;-0.764;-16.608;207.019;46.709;20.305;26.598;-2.84;70.623;-32.156;-26.259;-43.651
950;8.802;-40.392;-41.572;107.235;1.965;-9.597;205.916;47.54;24.724;28.413;0.42;69.729;-29.487;-22.555;-35.379
960;26.332;-35.08;-39.084;108;3.236;-6.131;202.661;48.83;28.015;30.572;3.27;64.629;-25.846;-20.049;-26.141
970;42.311;-30.349;-37.941;108.755;4.245;-0.909;200.254;49.984;29.475;31.663;5.534;58.422;-21.911;-17.246;-16.86
980;58.267;-25.248;-37.086;108.286;7.403;-0.621;199.87;49.835;30.85;31.921;7.393;54.845;-18.745;-14.165;-8.824
990;70.12;-18.97;-34.93;107.93;10.58;-4.1;198.14;49.13;32.79;31.78;8.83;51.45;-16.08;-12.42;-2.47
1000;81.956;-12.009;-33.032;106.638;13.221;-7.367;194.302;48.363;33.882;31.846;9.209;46.872;-13.682;-10.89;5.773
1010;88.231;-4.762;-30.39;103.245;16.568;-11.125;191.314;47.975;33.365;33.302;8.664;43.12;-10.861;-8.806;12.936
1020;94.496;4.01;-28.4;99.839;17.499;-15.216;188.172;47.634;34.826;35.47;7.953;40.986;-6.673;-6.948;17.779
1030;104.764;12.897;-27.006;97.929;18.369;-14.557;185.757;46.839;36.172;37.213;7.897;39.557;-1.485;-5.509;22.67
1040;115.029;20.223;-25.463;96.011;19.324;-13.316;182.855;45.789;37.097;38.491;8.242;37.255;3.518;-4.276;27.56
1050;123.39;25.069;-24.583;92.535;20.017;-10.161;179.468;43.762;38.255;39.086;8.548;32.385;7.05;-2.77;32.449
1060;131.754;29.027;-22.754;91.288;20.557;-5.336;174.589;44.327;39.93;39.738;9.337;26.847;9.428;0.15;37.393
1070;138.53;31.516;-20.646;90.114;22.56;-0.965;169.253;45.92;41.195;40.328;8.31;21.431;13.09;3.035;41.86
1080;145.312;34.016;-19.033;91.189;24.288;2.444;163.098;46.553;41.04;40.184;8.238;17.377;16.154;5.912;46.761
1090;150.573;36.264;-17.662;92.26;26.884;6.298;157.115;46.744;41.093;39.411;8.831;13.362;20.185;8.349;50.378
1100;155.836;38.087;-17.463;92.323;29.379;12.745;150.745;47.093;42.985;38.348;9.874;8.006;23.69;9.837;53.99
1110;158.247;41.712;-17.086;92.385;31.981;18.032;142.886;48.27;42.96;37.688;11.308;2.96;25.661;11.165;57.58
1120;160.653;45.692;-17.966;90.321;34.491;23.074;135.747;49.594;43.23;37.401;12.382;-1.182;28.003;11.612;60.166
1130;164.263;51.006;-18.569;89.892;37.496;25.836;127.286;51.602;43.75;35.661;12.166;-5.556;30.548;12.604;62.747
1140;168.16;56.466;-18.755;88.421;40.085;28.466;116.073;53.753;43.657;34.026;11.51;-10.962;32.203;15.247;66.23
1150;171.134;61.258;-18.837;84.943;44.634;31.658;103.949;54.546;42.869;32.41;11.768;-17.253;33.288;17.866;68.393
1160;171.77;64.864;-17.785;81.471;48.884;35.255;93.852;54.769;41.818;30.219;12.067;-24.146;36.401;20.723;70.951
1170;172.411;67.814;-17.073;77.128;53.116;39.824;86.259;55.448;41.362;27.768;13.049;-28.783;39.495;22.418;72.984
1180;168.737;68.254;-14.742;72.796;58.609;43.914;79.504;55.554;40.687;25.333;13.034;-34.672;43.188;22.803;72.091
1190;165.072;68.473;-12.457;68.363;64.01;47.6;71.69;55.438;38.73;22.56;12.482;-41.087;45.91;22.32;71.718
1200;164.106;67.698;-9.191;62.701;69.115;46.484;62.221;55.442;35.259;19.557;12.078;-47.17;49.359;22.905;70.812
1210;163.141;67.702;-6.418;57.239;74.546;45.23;52.771;55.511;32.786;16.539;11.745;-52.444;51.929;24.339;68.652
1220;162.867;68.32;-4.036;50.707;76.724;42.215;40.749;55.67;31.845;14.314;11.042;-56.391;53.818;25.61;66.252
1230;162.602;70.241;-2.433;44.294;76.728;39.901;28.842;56.03;30.784;13.931;11.064;-58.991;54.478;27.449;65.362
1240;161.44;72.112;-2.704;38.368;78.024;37.808;17.576;56.28;29.256;14.904;10.224;-58.808;55.712;29.176;64.464
1250;160.292;71.404;-3.233;32.44;79.829;36.793;6.805;56.308;27.878;15.916;8.78;-57.397;58.969;30.16;63.39
1260;160.398;70.277;-3.387;27.976;81.711;37.015;-3.837;56.195;26.892;15.437;8.157;-56.458;62.146;30.158;63.39
1270;160.518;67.33;-2.805;23.513;86.343;38.154;-14.438;55.263;25.391;13.483;8.777;-55.837;64.442;30.76;63.485
1280;156.902;65.081;-2.091;20.161;90.942;39.074;-25.015;55.048;23.28;11.296;9.864;-56.34;64.214;31.275;63.732
1290;153.297;64.602;-2.045;14.902;94.012;39.398;-37.209;55.222;20.646;10.082;11.272;-57.317;62.848;32.735;63.732
1300;146.979;65.081;-2.291;9.529;97.18;39.72;-52.226;54.055;18.565;9.754;12.533;-56.565;62.85;33.644;63.9
1310;140.669;63.257;-2.8;0.713;98.298;38.575;-64.909;50.677;16.636;8.624;12.416;-54.333;64.095;32.959;64.419
1320;133.128;61.448;-3.352;-8.101;97.915;37.908;-72.473;48.573;14.994;6.657;12.906;-52.34;63.79;32.343;64.928
1330;125.588;59.136;-4.047;-15.867;97.481;35.463;-75.257;47.688;14.571;4.932;12.767;-52.048;62.135;31.697;64.402
1340;119.45;57.01;-4.674;-23.631;96.154;32.616;-77.883;46.524;14.901;4.15;12.96;-51.733;58.687;31.539;65.147
1350;113.307;56.016;-4.805;-27.799;95.029;29.801;-83.011;45.748;14.673;3.928;13.571;-49.621;57.844;31.548;65.824
1360;107.463;53.922;-4.921;-30.721;93.774;27.862;-89.358;42.971;15.566;3.061;14.504;-48.098;58.833;31.525;64.972
1370;101.608;51.905;-3.461;-32.319;92.409;26.408;-95.288;40.632;16.637;1.785;15.604;-48.274;58.741;31.408;63.953
1380;94.787;46.186;-2.109;-34.692;90.757;26.704;-98.853;38.428;17.066;2.062;17.395;-48.35;58.81;31.425;62.847
1390;87.967;40.849;0.339;-37.061;88.99;28.403;-100.053;34.881;17.953;2.806;18.964;-46.534;60.4;31.17;60.374
1400;81.283;34.68;2.873;-38.111;84.738;29.556;-101.841;32.424;19.424;2.8;19.653;-43.3;61.43;30.802;57.895
1410;75.881;29.801;4.782;-39.157;80.466;32.91;-106.028;30.196;20.651;3.883;20.795;-39.89;59.599;30.412;55.151
1420;75.598;24.889;5.898;-40.913;75.429;34.804;-114.188;28.333;20.2;4.771;22.141;-36.963;58.204;29.991;52.919
1430;76.765;21.009;5.889;-44.708;69.157;37.24;-124.705;26.32;18.61;5.091;24.184;-32.392;57.167;29.323;50.56
1440;76.119;19.022;5.578;-48.008;62.639;38.594;-134.374;23.583;17.585;5.766;25.959;-26.204;58.168;29.658;46.916
1450;67.247;15.072;3.124;-52.313;55.655;42.091;-145.17;18.53;16.444;4.35;26.215;-21.928;54.49;27.437;42.721
1460;58.506;11.001;-0.13;-56.618;48.982;45.046;-153.527;13.066;15.353;2.186;26.495;-17.434;50.135;25.793;38.299
1470;47.685;7.103;-3.473;-59.401;45.549;48;-156.928;7.781;13.839;0.801;27.895;-14.497;45.741;24.269;34.277
1480;36.865;1.846;-7.137;-62.185;42.457;49.415;-160.943;2.448;13.05;-1.844;29.975;-13.764;43.85;21.88;30.12
1490;24.892;-3.299;-10.834;-64.432;37.964;49.51;-163.321;-3.317;12.81;-4.564;31.954;-13.637;42.971;20.601;26.323
1500;12.92;-6.294;-14.932;-66.479;33.472;48.408;-164.789;-7.839;13.41;-5.739;33.64;-11.937;39.772;19.323;22.421
1510;1.604;-9.608;-18.934;-69.459;26.997;46.946;-168.189;-11.826;14.086;-6.196;33.33;-8.967;36.03;18.465;18.519
1520;-9.76;-13.332;-22.815;-72.08;21.116;45.297;-172.771;-15.076;14.034;-6.906;33.447;-7.047;31.999;18.324;12.939
1530;-16.64;-18.174;-26.697;-75.157;13.644;43.927;-174.761;-19.257;13.589;-7.508;33.806;-5.234;29.654;18.397;7.2
1540;-23.52;-24.534;-28.743;-75.023;7.913;42.626;-173.799;-23.286;14.801;-7.305;33.313;-1.297;28.946;17.99;1.571
1550;-27.686;-30.404;-30.694;-75.179;2.07;41.446;-170.812;-25.363;16.156;-6.732;31.709;4.403;28.51;17.328;6.462
1560;-31.851;-32.715;-30.658;-73.149;-1.56;39.411;-167.232;-27.11;17.021;-7.36;29.974;8.208;27.741;16.472;10.858
1570;-36.171;-35.023;-30.346;-71.022;-4.23;36.897;-165.268;-29.549;17.483;-6.694;28.726;10.414;26.93;15.553;15.254
1580;-40.512;-36.612;-29.226;-69.76;-6.585;34.59;-165.301;-32.149;17.612;-5.25;27.41;14.291;27.535;14.251;20.09
1590;-44.208;-39.874;-28.017;-68.283;-9.825;32.571;-166.989;-34.074;17.382;-4.708;26.492;17.499;28.581;13.488;25.05
1600;-47.905;-43.04;-27.105;-68.247;-13.149;29.046;-168.123;-36.273;16.884;-4.452;26.299;17.861;27.043;13.279;22.53
1610;-50.204;-48.034;-26.317;-68.321;-16.597;25.396;-168.531;-37.291;16.138;-3.324;24.966;18.094;25.473;13.101;21.419
1620;-52.503;-53.313;-26.67;-68.396;-21.526;18.983;-170.011;-39.535;15.372;-2.505;22.887;20.091;25.29;13.046;20.709
1630;-53.514;-56.924;-26.034;-68.941;-27.095;11.557;-173.823;-42.422;15.286;-2.914;21.23;22.415;24.506;12.783;20.095
1640;-54.526;-59.154;-25.789;-69.486;-33.105;2.731;-177.517;-44.448;14.928;-3.083;20.135;23.432;22.87;11.855;19.683
1650;-52.963;-61.157;-24.887;-69.778;-39.036;-5.021;-178.468;-46.826;13.89;-3.257;18.81;23.666;21.804;12.268;19.174
1660;-51.393;-61.96;-23.706;-69.71;-44.407;-15.614;-177.866;-49.126;12.488;-4.246;17.404;24.534;21.386;12.735;20.025
1670;-53.302;-61.396;-22.966;-68.446;-49.073;-22.603;-177.243;-51.786;12.072;-4.719;16.343;25.761;20.563;12.883;20.738
1680;-55.211;-59.826;-21.901;-65.523;-52.619;-29.123;-172.632;-53.698;13.055;-4.628;15.48;25.866;20.001;12.52;19.571
1690;-56.043;-58.983;-19.356;-62.524;-55.926;-33.142;-166.854;-55.043;14.163;-4.662;14.554;25.01;18.618;12.062;19.684
1700;-55.194;-58.292;-16.494;-58.659;-59.476;-38.415;-162.08;-56.593;13.822;-3.564;14.97;25.506;17.937;11.618;19.956
1710;-55.757;-57.662;-12.992;-54.801;-63.226;-42.966;-158.272;-58.241;12.537;-1.513;15.662;24.723;17.803;11.974;20.308
1720;-55.462;-57.513;-9.193;-51.425;-67.252;-47.628;-155.826;-59.534;12.156;-0.052;14.75;24.793;16.749;12.61;20.687
1730;-57.006;-57.617;-5.434;-47.862;-72.839;-51.796;-154.237;-61.17;10.702;1.811;12.668;26.24;15.589;12.466;21.066
1740;-53.96;-58.24;-1.972;-44.72;-78.356;-54.044;-151.554;-62.174;8.999;2.313;10.994;27.695;12.975;12.074;22.294
1750;-51.094;-58.739;1.81;-39.994;-85.452;-56.534;-146.026;-62.756;7.641;1.771;9.466;27.879;9.885;11.772;23.749
1760;-44.891;-58.368;5.302;-35.303;-91.101;-57.743;-138.545;-62.629;6.721;1.739;8.994;27.501;7.835;11.738;23.095
1770;-38.688;-56.854;10.154;-29.341;-96.825;-60.299;-130.354;-61.981;6.074;2.531;7.952;27.142;6.182;10.92;24.001
1780;-31.713;-54.981;14.772;-23.254;-101.662;-62.895;-125.826;-61.372;6.017;2.672;6.723;27.101;4.094;10.392;25.487
1790;-24.738;-51.948;18.67;-19.44;-106.16;-65.134;-123.768;-61.21;4.844;1.819;5.714;25.446;1.738;9.403;24.452
1800;-20.152;-47.494;22.699;-16.392;-110.698;-67.237;-121.152;-61.037;2.946;1.012;5.593;22.036;-0.619;8.048;12.857
1810;-15.565;-43.68;25.448;-13.338;-114.832;-68.021;-118.579;-60.469;0.848;2.512;5.752;20.248;-2.694;6.472;1.474
1820;-6.732;-39.068;29.203;-10.841;-120.367;-68.921;-116.032;-60.305;-1.872;3.284;5.436;20.754;-4.324;5.418;-8.788
1830;2.439;-34.393;31.757;-6.846;-125.53;-69.502;-114.182;-59.901;-5.021;2.561;4.248;20.557;-6.371;4.888;-18.788
1840;12.385;-28.537;35.074;-3.284;-129.023;-70.272;-111.018;-59.561;-8.24;2.672;2.705;19.954;-9.034;4.839;-28.788
1850;22.331;-22.866;37.425;0.277;-132.607;-70.161;-106.379;-59.621;-10.912;3.201;0.961;19.455;-11.618;5.065;-30.599
1860;31.119;-15.953;37.837;3.514;-135.892;-70.665;-102.148;-59.371;-12.503;2.388;0.806;18.243;-14.69;3.909;-32.596
1870;39.906;-8.556;37.52;6.752;-138.174;-69.499;-97.897;-58.49;-12.985;0.171;0.606;17.113;-17.804;2.712;-35.141
1880;46.865;-1.062;35.531;11.479;-140.335;-68.474;-93.098;-57.49;-13.479;-0.699;-1.081;16.877;-19.687;2.201;-37.486
1890;54.065;5.112;33.563;15.966;-141.891;-67.386;-88.382;-56.13;-14.586;-0.877;-3.189;16.495;-20.48;2.895;-39.81
1900;59.57;10.807;32.538;20.658;-144.007;-68.097;-84.017;-54.75;-15.953;-1.594;-4.324;15.8;-21.672;2.647;-43.054
1910;65.074;15.159;31.465;23.75;-146.303;-68.439;-79.411;-53.458;-16.665;-2.823;-4.855;14.223;-22.862;2.661;-47.189
1920;67.611;18.026;31.895;26.719;-149.117;-70.17;-73.476;-53.072;-17.025;-4.852;-6.257;12.342;-23.608;2.237;-51.324
1930;70.148;20.859;32.395;28.759;-153.051;-71.517;-71.84;-52.986;-18.194;-7.503;-7.614;10.927;-23.879;2.277;-53.77
1940;70.69;23.532;31.64;30.64;-156.102;-73.272;-71.528;-51.872;-19.506;-9.843;-8.737;9.732;-23.646;2.381;-56.436
1950;71.17;27.098;30.996;32.276;-158.033;-73.066;-69.19;-50.579;-19.345;-12.186;-10.891;7.615;-23.687;2.401;-58.782
1960;71.946;30.719;31.163;34.47;-159.53;-71.032;-65.452;-49.382;-18.206;-15.418;-15.43;6.425;-24.531;1.834;-61.367
1970;72.723;34.459;31.364;36.957;-160.466;-68.837;-60.746;-46.748;-18.145;-18.137;-18.061;4.781;-25.192;1.972;-63.924
1980;78.629;38.869;33.274;39.214;-160.121;-67.789;-54.898;-42.857;-16.524;-20.371;-19.142;2.788;-25.852;2.141;-65.793
1990;82.415;41.839;35.116;41.47;-159.177;-67.341;-50.251;-40.966;-15.465;-22.687;-20.448;1.385;-25.804;2.371;-68.815
2000;86.086;44.183;36.937;42.087;-156.928;-67.728;-48.412;-39.843;-15.826;-23.183;-22.446;0.069;-24.23;1.768;-71.823
2010;87.215;46.514;38.847;42.703;-154.579;-68.946;-46.069;-39.371;-15.554;-24.543;-24.615;-1.606;-21.985;1.086;-73.792
2020;86.065;49.145;40.148;44.341;-152.23;-69.364;-40.31;-38.985;-14.865;-26.593;-26.737;-2.771;-21.349;0.778;-75.96
2030;80.161;53.088;42.654;48.098;-150.105;-69.963;-31.774;-38.313;-13.959;-28.199;-28.32;-3.252;-21.914;-0.28;-77.448
2040;74.258;56.201;45.068;53.539;-148.339;-70.001;-22.521;-37.274;-12.81;-29.767;-30.281;-4.539;-22.906;-1.297;-76.32
2050;70.568;58.023;47.986;60.532;-146.622;-70.157;-14.421;-36.486;-11.352;-31.084;-32.806;-6.374;-24.113;-2.754;-75.281
2060;66.119;60.094;50.876;67.822;-145.825;-69.861;-7.848;-35.03;-9.924;-32.683;-35.783;-10.218;-24.921;-3.702;-72.73
2070;59.749;59.964;53.445;73.952;-145.586;-69.626;-2.127;-32.983;-8.494;-34.07;-38.601;-15.378;-25.723;-5.324;-71.298
2080;53.379;59.848;55.85;79.964;-144.135;-68.114;4.324;-31.257;-6.134;-34.241;-41.29;-21.163;-26.163;-5.982;-69.532
2090;44.603;58.135;57.974;83.226;-142.923;-66.276;11.377;-29.607;-2.432;-35.219;-44;-26.487;-25.639;-8;-67.932
2100;35.826;56.574;59.96;86.488;-141.614;-63.571;18.125;-28.673;1.686;-36.567;-46.462;-30.237;-24.843;-10.088;-66.139
2110;26.429;54.978;63.186;87.368;-137.764;-60.425;25.785;-27.459;5.354;-36.601;-48.364;-32.426;-23.13;-10.211;-64.574
2120;17.043;53.582;66.295;88.248;-133.914;-57.091;34.026;-26.283;8.236;-34.811;-49.132;-34.018;-22.116;-9.799;-61.808
2130;8.192;54.33;70.004;86.756;-126.127;-53.761;42.004;-25.119;10.999;-33.423;-50.054;-35.993;-22.004;-9.647;-58.967
2140;-0.659;55.534;72.174;85.166;-118.601;-50.792;49.494;-23.946;14.524;-32.865;-50.423;-37.074;-23.306;-9.891;-56.766
2150;-9.051;56.805;72.743;85.359;-109.677;-48.243;56.783;-22.474;19.154;-31.288;-50.022;-37.266;-24.199;-10.001;-53.272
2160;-17.443;57.574;72.199;86.943;-101.105;-45.294;64.428;-20.396;23.892;-29.222;-49.854;-36.713;-25.077;-10.166;-50.188
2170;-23.721;57.8;71.334;87.961;-91.732;-41.931;72.182;-17.549;27.95;-26.823;-50.574;-36.092;-25.211;-10.017;-47.159
2180;-29.88;57.902;71.494;88.95;-84.022;-37.368;81.863;-14.888;31.247;-23.774;-51.312;-35.314;-25.919;-10.174;-44.229
2190;-33.121;57.534;71.934;88.363;-76.312;-32.75;91.975;-13.239;34.459;-22.185;-51.794;-33.316;-26.806;-11.397;-40.472
2200;-36.163;56.046;73.505;87.371;-71.029;-26.764;100.28;-10.161;38.265;-21.069;-52.03;-29.632;-27.51;-12.621;-37.034
2210;-37.634;53.977;75.076;85.021;-65.746;-22.338;107.766;-6.359;42.614;-18.48;-49.6;-25.137;-28.28;-13.244;-33.219
2220;-39.106;52.228;77.07;82.67;-61.175;-15.05;117.978;-3.901;46.538;-15.208;-47.503;-20.757;-28.605;-14.001;-29.377
2230;-44.663;49.981;78.385;80.284;-52.844;-7.401;126.79;-1.974;48.516;-12.349;-46.257;-17.641;-28.903;-13.862;-27.694
2240;-50.221;49.774;78.109;77.898;-45.113;0.792;132.55;1.45;50.647;-7.943;-45.594;-16.633;-27.821;-13.737;-26.321
2250;-56.262;50.589;78.233;74.895;-33.663;10.905;138.171;5.316;53.233;-5.458;-44.161;-16.112;-27.73;-13.125;-24.389
2260;-62.357;51.411;76.12;71.892;-22.294;21.356;144.771;9.321;54.101;-2.575;-41.48;-14.815;-28.13;-13.019;-21.926
2270;-65.359;53.106;72.937;65.622;-10.741;31.378;148.927;12.975;54.69;0.604;-38.88;-13.288;-27.829;-13.106;-18.182
2280;-64.36;52.902;67.622;56.942;1.332;41.684;151.83;15.731;55.703;4.149;-37.381;-11.974;-26.058;-12.553;-14.753
2290;-62.625;53.152;62.252;47.781;13.364;50.524;155.102;18.615;56.326;8.724;-34.484;-9.337;-24.121;-11.738;-11.545
2300;-61.179;53.161;56.281;37.73;24.881;59.309;158.368;21.487;56.236;11.35;-30.058;-6.099;-21.716;-9.743;-9.015
2310;-58.974;53.546;50.083;27.505;37.073;67.143;160.806;23.317;56.564;12.099;-25.305;-0.32;-19.633;-8.356;-7.806
2320;-56.422;54.931;43.359;18.701;50.738;74.826;164.862;24.348;57.886;13.789;-21.586;5.596;-17.55;-6.469;-8.061
2330;-53.87;56.757;36.441;9.618;63.452;83.032;171.039;25.701;59.348;15.603;-18.323;10.422;-15.924;-4.836;-8.636
2340;-51.287;59.69;30.382;3.519;76.257;90.858;175.799;27.444;59.537;18.171;-14.341;14.728;-15.323;-2.263;-8.269
2350;-47.663;63.292;24.199;-2.142;92.421;99.564;176.519;29.908;58.149;21.419;-9.568;19.811;-14.859;-0.183;-8.625
2360;-44.199;64.964;19.641;-5.363;105.663;108.208;173.484;31.694;56.472;22.714;-5.686;23.652;-17.386;0.993;-7.421
2370;-40.662;66.47;15.139;-8.514;119.539;115.974;169.83;32.873;54.643;22.941;-2.95;26.29;-18.099;1.945;-7.434
2380;-35.823;64.217;11.323;-11.906;129.143;123.746;167.029;34.182;51.582;23.156;-0.814;28.746;-16.565;2.697;-7.888
2390;-30.985;62.266;9.046;-15.001;139.019;127.36;164.992;35.091;47.989;23.163;1.393;30.771;-14.269;3.61;-7.55
2400;-27.637;60.436;5.985;-21.137;148.022;130.994;162.026;35.429;43.924;22.752;3.011;32.192;-11.668;4.203;-5.159
2410;-24.29;58.488;4.218;-27.065;156.935;134.061;158.488;35.025;39.163;22.312;4.44;32.766;-9.999;4.794;-2.137
2420;-21.308;58.782;1.71;-31.705;168.574;139.567;156.299;34.309;35.786;20.954;6.647;33.564;-9.145;4.674;0.886
2430;-20.599;59.076;-1.47;-36.607;181.812;143.462;155.172;34.23;33.956;19.037;9.356;34.265;-9.243;4.513;4.048
2440;-19.752;61.09;-4.643;-38.77;193.188;148.677;153.721;34.753;32.126;18.553;12.143;33.283;-8.988;5.273;6.211
2450;-18.905;63.103;-8.45;-40.932;206.163;151.59;153.225;34.217;29.199;19.523;13.572;29.961;-8.452;6.466;6.567
2460;-18.945;65.411;-11.574;-40.123;218.393;155.703;152.287;32.668;25.479;19.188;13.143;24.978;-6.837;7.098;6.283
2470;-18.985;67.657;-14.708;-39.313;230.368;156.92;145.833;31.232;21.916;18.458;12.299;19.757;-4.618;7.284;6.159
2480;-18.444;69.45;-16.596;-37.708;238.583;159.382;140.946;30.194;19.154;17.938;14.068;16.51;-2.474;6.876;7.768
2490;-18.71;71.443;-16.804;-36.102;245.914;161.734;139.332;29.012;16.837;16.36;16.643;15.312;-1.058;6.484;9.498
2500;-18.728;73.058;-16.177;-34.726;249.286;164.328;137.643;26.996;14.298;14.095;18.407;15.643;0.222;6.001;10.599
2510;-18.706;74.887;-13.429;-33.287;250.65;166.847;134.192;25.257;12.102;12.479;19.843;16.89;1.474;5.719;11.745
2520;-19.835;76.447;-11.426;-30.603;251.534;167.337;129.303;24.502;9.112;12.396;21.303;18.03;2.232;4.942;11.887
2530;-20.963;78.007;-8.463;-27.808;252.377;167.743;124.204;24.468;6.618;12.612;22.688;18.731;2.218;4.015;12.345
2540;-23.552;78.484;-6.684;-23.481;248.979;165.757;118.125;23.41;5.698;11.57;22.801;18.79;2.08;2.93;12.617
2550;-25.781;78.961;-4.905;-19.058;245.807;163.626;111.716;22.964;4.928;10.738;22.218;18.103;2.063;1.444;13.808
2560;-28.368;77.349;-3.982;-16.858;240.048;159.152;106.306;22.844;3.564;10.51;22.717;16.09;2.452;0.16;15.582
2570;-31.371;75.661;-2.819;-14.748;232.61;154.65;99.64;22.589;2.341;8.909;24.716;13.948;3.548;-1.41;18.676
2580;-32.943;71.434;-1.152;-11.861;223.858;151.23;90.414;21.632;1.295;6.823;26.359;12.972;4.923;-3.203;20.33
2590;-34.15;67.105;-0.404;-8.974;215.106;147.914;83.972;20.916;0.686;4.535;25.625;13.24;6.715;-5.266;21.393
2600;-34.04;61.204;0.229;-7.957;202.822;142.811;82.417;20.91;1.004;1.646;23.808;11.721;8.39;-6.981;22.377
2610;-33.53;57.069;-0.218;-7.141;190.652;137.946;82.866;21.687;-0.375;0.65;23.239;9.055;12.153;-8.214;21.759
2620;-33.019;50.665;-1.167;-8.177;178.043;133.469;82.052;22.963;-1.16;0.672;23.647;6.793;15.425;-9.192;21.781
2630;-34.866;46.181;-2.836;-8.492;164.702;127.472;80.229;23.756;-0.331;0.368;23.659;4.303;15.768;-10.185;22.381
2640;-36.713;39.996;-5.715;-8.288;151.303;126.13;78.354;24.455;-0.411;0.094;22.782;2.099;16.153;-11.346;21.986
2650;-38.19;34.212;-7.713;-6.897;137.546;122.148;78.284;26.43;-1.077;0.847;21.232;0.212;14.886;-12.35;21.303
2660;-40.019;27.432;-9.97;-7.583;122.712;118.124;78.706;27.894;-0.251;0.788;19.863;-2.392;14.535;-12.47;19.501
2670;-41.483;19.138;-11.361;-9.026;105.317;112.021;74.528;28.778;1.059;1.786;19.07;-5.061;14.185;-10.727;17.988
