timepoints (min);45: wc-2-.1;46: wc-2-.2;47: wc-2-.3
710;-128.165;-244.064;-115.45
720;-122.066;-239.844;-107.527
730;-117.56;-236.493;-99.373
740;-113.743;-231.089;-92.24
750;-107.49;-226.571;-86.752
760;-102.316;-222.962;-85.222
770;-97.804;-219.954;-83.917
780;-93.85;-216.9;-80.038
790;-88.18;-213.039;-76.534
800;-82.481;-209.614;-73.356
810;-77.321;-203.262;-69.112
820;-72.256;-197.512;-65.226
830;-67.339;-193.172;-61.88
840;-58.915;-184.774;-54.1
850;-52.124;-171.37;-46.313
860;-45.632;-157.922;-38.156
870;-39.126;-143.307;-33.08
880;-33.847;-128.676;-28.007
890;-28.905;-115.828;-21.648
900;-23.944;-102.607;-18.048
910;-19.443;-89.378;-14.887
920;-14.402;-80.022;-10.995
930;-9.448;-70.659;-8.013
940;-6.915;-61.31;-4.978
950;-2.801;-55.435;-4.534
960;1.392;-47.713;-4.081
970;4.003;-39.985;-3.864
980;7.83;-32.5;-4.51
990;11.574;-26.564;-5.139
1000;13.296;-20.618;-5.046
1010;14.555;-15.021;-2.571
1020;15.715;-9.406;0.232
1030;16.893;-6.535;2.21
1040;13.009;-3.648;4.201
1050;9.096;-0.97;6.671
1060;5.2;-1.313;7.909
1070;0.962;-1.076;9.157
1080;-3.9;-0.667;9.691
1090;-8.367;-0.243;11.362
1100;-11.185;-1.965;12.443
1110;-11.075;-3.672;12.75
1120;-10.613;-5.286;14.484
1130;-8.91;-6.889;16.67
1140;-5.883;-5.479;16.992
1150;-3.205;-4.058;17.332
1160;-0.519;-2.389;17.238
1170;0.375;1.487;16.429
1180;0.543;5.41;15.625
1190;0.732;9.695;14.271
1200;-2.101;13.98;13.128
1210;-4.061;18.786;12.026
1220;-6.017;23.593;12.373
1230;-9.168;27.944;12.728
1240;-12.475;32.103;14.445
1250;-15.636;38.109;15.172
1260;-18.315;44.123;15.908
1270;-20.392;50.167;15.735
1280;-22.498;54.338;14.734
1290;-21.362;58.516;13.54
1300;-19.344;63.215;9.082
1310;-17.294;67.913;4.639
1320;-15.242;75.849;0.27
1330;-10.388;83.784;-3.244
1340;-5.342;92.07;-6.746
1350;-0.297;97.55;-7.578
1360;2.707;103.583;-7.601
1370;5.998;109.632;-7.39
1380;9.283;115.674;-9.293
1390;11.243;116.35;-10.749
1400;11.118;117.02;-12.199
1410;10.988;117.684;-12.522
1420;12.279;118.717;-12.548
1430;12.563;122.699;-11.811
1440;11.556;124.444;-12.505
1450;12.029;126.189;-13.199
1460;13.582;125.574;-15.172
1470;15.018;121.586;-18.497
1480;16.454;117.599;-21.821
1490;19.33;113.611;-26.065
1500;22.206;106.463;-30.874
1510;24.971;99.316;-34.044
1520;27.137;92.03;-36.534
1530;29.702;88.945;-38.865
1540;32.688;85.939;-41.914
1550;34.794;83.534;-41.51
1560;36.447;80.211;-41.106
1570;38.375;73.088;-38.942
1580;38.143;66.966;-36.171
1590;38.312;61.146;-33.4
1600;38.48;55.327;-31.909
1610;37.768;51.069;-30.825
1620;37.537;46.811;-31.724
1630;37.305;42.629;-30.214
1640;37.39;42.607;-28.703
1650;39.066;43.545;-28.153
1660;40.742;44.621;-27.658
1670;42.48;45.697;-27.163
1680;45.218;43.092;-25.308
1690;46.276;40.488;-23.646
1700;47.658;38.739;-18.457
1710;47.96;36.859;-11.988
1720;46.702;38.619;-5.76
1730;45.23;40.379;-1.492
1740;42.61;41.829;2.608
1750;41.629;44.716;6.709
1760;40.648;46.483;6.01
1770;39.757;47.87;5.434
1780;41.986;49.258;4.977
1790;43.87;48.846;6.199
1800;46.023;48.226;7.386
1810;44.217;47.924;8.414
1820;42.41;47.622;8.081
1830;40.968;48.6;7.749
1840;39.127;49.612;8.057
1850;36.566;50.259;7.337
1860;33.921;49.426;6.679
1870;30.797;48.473;8.541
1880;27.833;47.12;10.548
1890;24.31;45.767;13.634
1900;20.588;40.423;17.674
1910;16.705;35.08;21.715
1920;12.753;29.833;25.435
1930;8.691;25.266;26.993
1940;5.269;18.814;28.828
1950;1.847;12.844;26.982
1960;-1.072;6.874;24.999
1970;-3.823;1.145;21.775
1980;-6.575;-4.585;20.457
1990;-9.099;-9.632;19.062
2000;-13.263;-14.679;17.668
2010;-17.428;-18.606;19.24
2020;-22.597;-24.692;18.746
2030;-31.287;-30.772;18.252
2040;-39.977;-35.091;16.197
2050;-48.921;-39.41;14.142
2060;-53.839;-43.321;12.53
2070;-58.076;-50.873;11.2
2080;-62.313;-61.353;9.87
2090;-66.578;-71.833;8.156
2100;-70.123;-81.996;12.412
2110;-72.692;-92.159;16.669
2120;-75.159;-99.721;19.568
2130;-77.785;-108.139;22.468
2140;-80.411;-116.557;27.527
2150;-82.796;-122.255;31.11
2160;-83.781;-122.633;34.694
2170;-84.766;-122.356;38.597
2180;-85.378;-121.899;36.484
2190;-84.95;-119.523;32.426
2200;-82.49;-117.146;29.756
