timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
600;-284.839;-141.551;-340.152;-126.4;-119.742;-104.367;-140.502;-132.003;-109.666;-488.275;-219.97;-354.917;-199.128;-213.456;-171.239
610;-269.332;-135.952;-325.201;-120.782;-112.311;-99.112;-132.554;-122.558;-104.297;-471.481;-203.683;-338.807;-181.736;-198.208;-159.51
620;-254.493;-131.467;-310.093;-117;-106.213;-95.2;-126.107;-113.573;-97.587;-457.08;-189.547;-324.96;-166.347;-184.987;-150.347
630;-241.671;-127.753;-297.28;-113.875;-101.313;-91.901;-120.411;-104.947;-92.819;-444.618;-177.158;-312.947;-152.872;-173.122;-142.648
640;-229.501;-124.681;-286.634;-111.493;-97.091;-88.337;-116.002;-96.681;-87.814;-423.502;-166.222;-302.727;-140.057;-162.426;-136.118
650;-218.846;-121.902;-277.12;-109.44;-93.021;-84.692;-111.526;-89.624;-82.962;-404.825;-152.821;-286.308;-127.462;-152.791;-129.671
660;-209.474;-119.574;-268.879;-106.28;-89.183;-81.225;-107.013;-84.178;-78.394;-388.198;-140.816;-271.716;-116.17;-144.576;-123.999
670;-201.175;-117.475;-260.512;-103.987;-85.537;-78.3;-103.013;-79.475;-74.3;-369.163;-130;-258.675;-106.063;-137.275;-118.413
680;-194.407;-113.698;-253.168;-101.788;-81.884;-75.534;-99.309;-75.78;-70.787;-351.949;-120.203;-246.959;-96.972;-130.129;-113.61
690;-188.364;-110.378;-246.197;-100.049;-78.595;-72.66;-95.909;-72.739;-67.937;-336.361;-111.14;-236.752;-88.71;-123.466;-109.302
700;-182.231;-108.077;-239.59;-98.442;-75.551;-70.233;-93.082;-70.209;-65.102;-322.186;-102.107;-223.569;-81.366;-117.483;-104.551
710;-176.69;-106.935;-233.56;-95.44;-73.637;-67.911;-90.935;-67.696;-62.363;-305.786;-93.81;-211.571;-74.637;-112.345;-100.351
720;-170.518;-106.96;-227.998;-92.706;-71.918;-66.628;-89.169;-65.447;-59.958;-290.899;-86.16;-200.614;-68.452;-107.489;-95.991
730;-149.441;-96.659;-209.043;-82.837;-58.209;-62.216;-74.879;-46.904;-45.575;-266.106;-64.65;-176.651;-47.238;-93.992;-83.104
740;-126.975;-83.528;-190.142;-72.714;-43.848;-57.133;-60.393;-28.396;-31.344;-241.29;-43.147;-152.657;-26.026;-80.278;-70.393
750;-104.129;-70.364;-171.189;-62.739;-31.115;-51.795;-50.085;-16.946;-23.047;-214.329;-21.809;-128.976;-5.425;-66.114;-57.898
760;-81.366;-64.855;-150.746;-51.987;-17.836;-46.499;-42.993;-9.969;-17.058;-187.351;-0.477;-105.27;15.244;-52.05;-45.179
770;-63.382;-59.282;-129.889;-44.167;-9.862;-40.749;-38.631;-4.478;-13.744;-160.558;20.849;-81.538;32.118;-38.133;-33.509
780;-46.332;-53.813;-113.033;-36.234;-5.166;-35.072;-35.995;-1.346;-11.557;-133.749;42.17;-57.782;43.908;-24.291;-24.459
790;-38.142;-52.721;-95.913;-31.857;-0.777;-28.86;-33.403;0.29;-10.312;-106.196;47.485;-44.882;55.578;-12.674;-15.413
800;-30.486;-51.569;-85.241;-30.726;0.326;-24.133;-30.747;1.098;-8.692;-78.631;52.699;-31.529;62.926;-0.903;-10.227
810;-27.214;-50.208;-75.007;-28.954;0.516;-19.296;-28.451;0.993;-7.82;-54.416;57.55;-18.003;67.285;6.839;-5.479
820;-23.893;-48.314;-69.335;-28.349;-1.684;-16.406;-26.568;1.061;-7.421;-30.189;62.398;-4.465;71.516;10.036;-2.739
830;-21.953;-46.367;-64.145;-26.701;-3.556;-13.348;-25.232;2.006;-6.875;-4.802;67.243;9.085;74.63;13.885;-1.741
840;-19.023;-44.246;-58.909;-24.48;-5.401;-11.441;-23.779;2.062;-5.786;20.595;70.166;17.207;76.279;15.126;-0.674
850;-16.31;-42.199;-56.947;-21.938;-7.193;-9.385;-22.485;1.499;-4.552;37.242;73.046;26.279;77.415;16.376;-0.391
860;-12.316;-40.722;-54.748;-19.345;-6.723;-7.271;-21.357;1.091;-3.07;52.897;75.804;35.983;78.228;16.444;-0.082
870;-9.34;-39.11;-54.23;-16.33;-6.24;-5.59;-20.22;0.95;-3.19;68.42;78.56;45.68;78.72;16.78;0.8
880;-7.003;-39.083;-53.486;-13.221;-6.425;-3.981;-19.386;-0.097;-3.916;83.954;81.315;55.369;79.379;17.288;2.056
890;-5.565;-38.896;-52.469;-9.836;-5.86;-3.244;-18.807;-1.18;-5.707;92.7;84.068;65.051;79.318;17.858;3.325
900;-3.876;-39.339;-51.458;-5.809;-5.403;-2.985;-19.195;-2.298;-7.068;100.775;84.18;69.366;78.307;18.958;4.286
910;-2.168;-39.735;-49.495;-2.808;-5.427;-2.268;-20.546;-2.719;-8.117;108.928;84.089;73.587;77.296;20.503;5.001
920;-0.114;-40.636;-48.535;0.817;-5.322;-0.541;-21.472;-2.392;-9.236;113.769;82.68;76.164;75.069;22.297;5.288
930;2.556;-43.162;-47.543;4.332;-5.489;1.355;-22.708;-1.84;-10.081;118.619;81.274;78.735;73.303;23.159;5.546
940;5.793;-45.634;-45.439;7.943;-4.843;2.577;-24.467;-1.674;-11.285;123.554;79.87;81.302;71.54;23.985;5.873
950;8.563;-47.999;-43.166;11.366;-4.388;3.797;-26.449;-2.242;-12.605;128.497;77.788;80.225;69.59;24.583;5.41
960;11.839;-48.553;-41.105;13.514;-3.033;5.192;-27.842;-2.914;-13.453;130.126;75.8;79.427;66.731;25.283;4.463
970;14.247;-49.058;-39.645;14.596;-1.707;6.875;-28.556;-3.482;-14.018;131.762;73.013;78.86;63.995;25.873;3.016
980;16.379;-49.507;-40.188;15.64;-0.551;8.654;-29.451;-3.759;-14.253;134.045;70.226;78.284;61.157;26.39;1.664
990;17.284;-55.551;-40.41;16.984;0.28;8.479;-30.957;-4.296;-14.512;136.334;67.44;77.698;59.194;26.717;0.378
1000;17.821;-61.213;-40.201;18.208;1.116;8.042;-32.373;-5.59;-14.49;136.707;64.814;77.584;57.188;26.682;-0.144
1010;18.371;-66.678;-41.798;18.489;1.641;8.404;-33.377;-7.534;-13.752;136.885;62.188;77.461;54.394;26.54;-0.214
1020;18.958;-70.626;-43.365;18.854;1.67;8.572;-33.769;-9.087;-12.555;137.181;60.463;78.231;51.344;26.198;-0.29
1030;20.476;-74.013;-43.424;19.36;1.543;8.851;-33.905;-9.882;-11.582;137.479;58.738;78.996;47.975;26.008;-0.435
1040;21.527;-74.534;-43.43;21.8;0.924;8.414;-34.215;-10.186;-10.6;137.18;57.015;79.754;44.652;25.669;-0.688
1050;23.229;-75.029;-41.93;23.445;0.273;8.2;-35.198;-10.08;-10.347;135.722;55.294;80.507;41.194;25.391;-0.984
1060;24.835;-75.35;-40.294;24.439;0.474;7.948;-36.371;-10.471;-9.806;134.242;53.934;81.095;37.655;25.083;-0.151
1070;26.293;-76.688;-36.915;24.518;0.978;7.567;-37.388;-10.857;-9.027;132.765;52.525;81.42;34.095;24.608;0.735
1080;28.704;-78.006;-33.513;23.447;1.97;7.023;-38.309;-11.886;-7.939;130.17;51.078;81.144;30.708;23.466;2.47
1090;29.887;-79.23;-29.369;23.346;3.402;6.284;-39.913;-12.456;-6.9;126.858;49.634;80.867;27.804;22.175;3.046
1100;30.58;-82.155;-25.82;22.884;4.88;5.477;-41.958;-12.143;-5.853;123.467;48.191;80.589;25.878;20.895;2.904
1110;30.005;-85.063;-22.249;24.277;5.452;4.795;-44.428;-11.61;-4.903;121.08;46.871;79.671;23.954;20.803;2.158
1120;30.472;-87.464;-17.856;26.432;5.744;4.96;-46.856;-11.624;-3.728;118.696;45.496;78.952;22.4;20.76;2.328
1130;31.592;-88.176;-13.29;28.333;6.884;5.145;-48.886;-11.882;-2.392;116.434;42.484;77.829;19.528;21.086;2.839
1140;34.205;-88.186;-7.586;29.919;6.613;5.815;-50.608;-12.991;-1.757;114.173;39.475;76.703;16.658;21.437;3.638
1150;36.589;-87.677;-1.558;30.783;7.696;6.419;-51.911;-13.993;-0.765;112.592;36.468;75.573;14.446;21.796;4.138
1160;39.086;-86.25;5.523;31.335;9.1;6.828;-52.156;-15.336;0.175;111.011;33.465;74.439;12.334;22.156;4.447
1170;41.354;-84.517;12.886;31.849;10.554;6.402;-52.631;-16.917;1.528;108.998;31.783;74.942;11.385;22.323;4.974
1180;43.268;-80.51;21.058;31.332;11.972;6.709;-53.587;-17.515;2.536;106.983;29.25;75.439;9.324;22.397;5.547
1190;44.792;-76.51;27.513;30.975;12.348;7.58;-53.922;-17.389;3.298;104.924;26.723;75.931;6.72;22.548;6.147
1200;45.035;-72.147;33.979;30.786;12.989;8.468;-53.696;-16.686;3.711;103.263;24.202;76.416;4.441;22.666;6.806
1210;44.769;-66.675;42.257;31.118;13.315;9.598;-53.003;-16.294;4.219;101.51;21.686;76.896;2.97;22.837;7.392
1220;44.975;-61.215;50.353;32.551;14.527;11.239;-51.639;-16.547;4.748;99.756;19.975;77.129;1.825;22.653;7.895
1230;45.392;-55.633;59.421;34.292;15.984;12.947;-48.884;-16.754;5.652;97.44;18.247;77.195;0.766;22.395;8.925
1240;46.916;-47.144;68.511;35.156;17.288;15.619;-45.234;-16.908;6.133;94.363;16.565;78.137;-0.393;21.225;10.57
1250;48.85;-38.667;76.012;36.114;17.829;18.229;-41.684;-15.803;6.972;91.19;14.888;79.077;-2.504;19.988;11.796
1260;50.828;-30.281;83.577;37.034;18.132;19.083;-39.511;-12.97;6.824;88.218;13.216;80.013;-4.212;18.72;12.388
1270;52.897;-23.866;90.993;38.034;18.043;19.664;-37.614;-11.444;6.209;85.246;10.589;79.906;-5.373;17.816;13.009
1280;54.642;-17.333;97.617;38.844;17.981;19.815;-35.708;-10.989;5.853;82.237;8.435;79.739;-5.794;17.081;13.461
1290;56.797;-12.653;104.253;37.729;18.602;20.089;-33.171;-10.247;5.747;79.226;5.799;80.77;-5.934;15.792;14.039
1300;58.413;-6.205;108.956;37.734;19.829;20.541;-29.894;-8.644;5.589;77.373;3.161;81.799;-5.763;14.682;14.644
1310;60.078;0.236;113.207;37.923;21.525;20.716;-26.217;-7.102;4.938;75.518;0.522;82.826;-5.578;14.553;14.806
1320;60.997;9.585;115.95;38.852;22.543;20.778;-22.687;-5.207;4.223;74.181;-2.119;83.851;-6.001;14.429;14.979
1330;56.759;16.055;114.418;38.177;20.308;20.389;-22.941;-6.979;0.343;68.921;-7.777;82.069;-10.106;12.505;11.64
1340;52.108;22.526;112.526;36.636;17.36;20.52;-23.432;-8.313;-4.286;64.382;-13.434;80.287;-14.211;10.752;9.501
1350;47.782;30.37;110.55;35.552;14.894;20.596;-23.077;-8.952;-7.817;59.143;-19.092;78.025;-17.783;8.332;7.313
1360;43.817;39.517;108.692;33.026;12.668;20.567;-21.941;-9.734;-10.909;53.905;-24.75;75.763;-20.91;5.873;6.051
1370;39.47;48.603;104.875;29.792;11.716;20.386;-20.237;-10.259;-12.811;48.701;-30.374;73.501;-23.495;3.49;4.375
1380;35.244;58.434;101.801;25.407;11.425;20.341;-18.32;-9.245;-14.146;43.577;-34.357;71.432;-24.903;0.652;2.596
1390;31.199;68.859;96.57;21.859;11.926;20.194;-16.597;-7.621;-15.516;37.972;-35.582;71.239;-26.752;-1.874;1.33
1400;26.888;79.574;92.345;18.09;11.339;20.377;-14.938;-5.445;-16.884;32.368;-36.447;69.446;-28.352;-5.561;0.691
1410;23.297;88.808;87.975;14.84;10.961;20.062;-13.502;-3.145;-17.514;27.343;-37.312;67.652;-29.284;-8.49;0.825
1420;19.943;98.346;84.778;12.334;10.822;20.361;-12.218;-1.618;-18.308;22.938;-38.177;65.859;-29.501;-10.232;1.138
1430;17.112;105.425;82.781;11.725;10.579;19.261;-11.076;-1.21;-19.884;18.412;-38.401;63.942;-29.076;-11.592;1.942
1440;15.341;112.023;80.908;11.89;10.897;18.277;-9.439;-1.097;-21.435;13.887;-38.295;62.963;-28.192;-11.252;2.48
1450;14.423;118.491;79.883;12.254;11.109;17.193;-6.404;-1.259;-22.703;10.472;-38.029;58.303;-28.128;-10.658;3.046
1460;13.586;125.126;76.418;11.822;11.04;15.743;-3.079;-1.046;-24.582;7.057;-37.604;53.644;-27.93;-10.112;3.629
1470;12.712;131.746;73.146;11.812;10.094;14.246;-0.6;-0.556;-26.36;4.201;-37.179;48.978;-28.663;-10.232;4.102
1480;11.917;138.526;68.914;11.469;8.88;12.932;0.712;0.065;-26.24;1.346;-36.754;44.312;-28.47;-10.31;4.161
1490;10.332;144.825;64.648;11.517;7.524;11.739;1.342;0.815;-19.938;0.575;-36.37;38.766;-28.593;-9.69;3.662
1500;8.788;150.972;61.687;11.666;7.004;10.927;3.09;1.034;-18.941;-0.196;-35.53;34.143;-27.52;-9.117;3.204
1510;7.203;156.968;58.753;12.165;6.516;10.954;5.883;0.466;-19.835;-1.247;-33.85;29.881;-26.509;-8.872;2.677
1520;5.313;165.764;56.618;11.855;6.828;10.954;8.125;0.815;-20.574;-1.725;-32.17;25.599;-25.539;-8.826;2.137
1530;3.64;175.05;54.448;12.105;7.309;10.801;10.774;1.319;-21.698;-2.004;-30.49;21.316;-25.163;-7.952;1.568
1540;1.306;184.335;52.589;12.6;8.014;10.756;13.865;0.705;-22.556;-2.443;-28.33;15.833;-24.786;-6.285;0.76
1550;-0.305;191.811;51.57;13.517;8.211;11.389;16.421;-0.062;-22.459;-2.881;-26.059;10.978;-24.425;-4.633;0.097
1560;-1.927;199.17;50.461;13.201;8.331;12.188;17.564;-0.863;-21.85;-2.672;-24.189;4.883;-24.11;-4.508;0.367
1570;-2.47;203.288;52.783;11.966;8.361;12.841;18.167;-1.604;-21.487;-2.982;-22.319;-1.233;-23.327;-4.361;0.514
1580;-2.614;207.429;55.292;10.206;8.268;12.415;19.377;-3.257;-21.204;-3.652;-20.448;-7.349;-22.629;-4.622;0.628
1590;-2.248;212.046;55.885;8.441;7.894;11.422;21.288;-5.218;-21.204;-4.323;-18.578;-13.465;-22.971;-4.848;-0.29
1600;-1.963;214.877;56.265;6.117;7.24;10.618;22.634;-6.876;-21.586;-3.942;-16.735;-19.183;-23.892;-3.434;-1.222
1610;-1.706;217.571;57.114;4.543;6.298;10.062;23.077;-8.448;-22.132;-3.561;-14.892;-24.902;-24.53;-2.448;-2.421
1620;-1.702;220.265;59.491;3.236;5.615;9.582;23.421;-9.912;-23.477;-3.701;-12.77;-29.76;-25.108;-1.153;-2.912
1630;-1.977;219.974;61.537;3.752;4.727;8.068;24.206;-11.898;-24.866;-4.102;-10.647;-34.618;-24.735;-0.818;-3.361
1640;-1.919;219.51;64.302;4.228;4.423;6.753;25.116;-13.974;-26.095;-3.92;-8.524;-39.476;-24.371;-0.441;-3.85
1650;-1.651;219.171;66.219;5.415;4.695;4.56;26.474;-16.565;-27.044;-3.738;-6.761;-42.734;-24.127;0.16;-4.458
1660;-1.167;218.699;65.857;6.566;4.829;2.617;27.843;-18.862;-28.49;-3.436;-5.061;-45.888;-24.345;0.637;-5.53
1670;-1.059;218.476;65.218;7.186;5.014;0.996;28.811;-20.49;-30.371;-3.134;-3.12;-47.803;-24.688;1.514;-6.636
1680;-0.472;218.17;63.055;8.546;4.956;0.775;31.153;-21.808;-31.557;-2.519;-1.179;-49.717;-24.415;2.447;-7.714
1690;-0.869;217.866;60.892;6.607;4.226;0.803;32.167;-22.988;-32.102;-1.903;0.761;-51.632;-24.094;2.128;-5.412
1700;-1.546;217.611;59.472;4.668;3.559;1.215;31.85;-23.538;-33.226;-0.916;2.542;-49.866;-23.177;1.935;2.262
1710;-2.069;214.833;58.563;3.193;3.422;1.661;31.615;-24.229;-34.148;-0.101;4.302;-47.997;-22.404;1.345;10.254
1720;-1.952;209.615;57.626;0.959;3.526;1.534;31.167;-24.555;-34.794;0.154;6.342;-47.128;-21.025;1.658;13.804
1730;-2.149;204.011;56.579;-0.43;3.429;1.207;29.382;-25.083;-37.924;-0.59;8.354;-46.259;-20.421;1.978;17.403
1740;-2.767;195.258;55.643;-1.858;2.899;0.735;28.428;-25.385;-45.956;-1.335;10.367;-45.39;-19.844;2.294;17.346
1750;-3.383;186.415;52.986;-2.243;1.41;0.284;25.963;-26.367;-49;-2.197;12.379;-44.521;-19.316;2.72;17.801
1760;-4.492;177.641;50.516;-3.668;-0.05;-0.003;23.339;-27.247;-49.829;-2.779;13.552;-43.999;-18.619;3.597;18.101
1770;-5.2;164.948;46.131;-5.11;-0.737;-0.352;20.988;-28.615;-50.748;-4.565;14.497;-43.759;-18.425;4.571;17.32
1780;-5.481;152.364;41.746;-8.371;-1.236;-0.763;18.619;-30.265;-50.812;-6.352;16.561;-44.559;-17.572;5.057;16.484
1790;-4.93;139.843;38.945;-11.67;-1.023;-1.236;16.583;-31.167;-51.057;-7.971;18.626;-45.359;-16.367;4.989;16.215
1800;-4.098;125.601;36.406;-14.844;-1.276;-2.461;15.394;-32.93;-51.457;-9.59;20.691;-46.159;-15.337;4.846;15.659
1810;-3.241;111.443;33.846;-16.232;-1.96;-3.382;15.177;-34.672;-51.659;-10.73;23.156;-45.843;-14.308;4.834;13.686
1820;-2.065;97.284;29.772;-16.181;-3.146;-4.189;15.17;-37.295;-51.422;-11.869;25.379;-45.486;-13.354;4.83;12.392
1830;-1.364;82.19;25.692;-16.298;-3.532;-4.474;14.877;-39.196;-51.109;-12.552;27.723;-44.248;-12.356;4.789;11.16
1840;-0.599;66.593;22.852;-16.246;-3.568;-4.946;15.861;-40.753;-51.132;-13.11;30.066;-43.011;-10.748;4.713;10.163
1850;0.178;52.516;19.826;-16.04;-3.806;-5.164;17.742;-42.993;-51.618;-13.149;32.41;-41.774;-9.379;4.043;9.08
1860;0.877;38.672;16.077;-16.192;-3.857;-5.623;20.392;-45.364;-51.415;-13.222;34.753;-40.702;-8.892;3.352;8.163
1870;2.043;24.979;12.328;-17.61;-4.063;-5.897;22.4;-48.35;-51.633;-12.775;36.982;-40.091;-8.818;2.228;7.046
1880;3.316;13.007;8.971;-21.588;-4.603;-6.273;23.332;-50.768;-52.786;-13.248;36.571;-39.16;-9.139;0.858;6.036
1890;4.153;1.414;5.706;-25.298;-5.968;-6.636;24.047;-53.166;-53.884;-13.721;36.16;-38.229;-9.164;-0.512;5.012
1900;4.47;-8.459;0.666;-30.415;-7.779;-7.159;24.564;-55.225;-54.043;-14.394;35.687;-37.25;-9.497;-2.641;3.996
1910;4.274;-17.826;-1.186;-35.27;-9.91;-8.12;25.233;-56.697;-54.495;-15.029;35.214;-36.27;-9.999;-3.738;3.349
