timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
720;-212.977;-281.18;-281.638;-248.594;-261.608;-176.621;-143.327;-247.315;-207.639;-128.954;-99.885;-162.846;-265.09;-258.923;-200.057
730;-205.064;-267.542;-270.923;-233.979;-254.149;-170.598;-137.131;-235.326;-195.705;-129.882;-85.647;-156.624;-254.874;-248.257;-185.973
740;-198.333;-255.92;-261.813;-221.92;-246.133;-165.747;-132.427;-224.933;-186.44;-131.187;-73.373;-150.453;-244.307;-238.48;-171.693
750;-191.092;-247.556;-253.487;-211.411;-237.829;-161.928;-126.891;-215.299;-178.056;-132.477;-64.799;-144.674;-233.539;-231.056;-160.079
760;-183.286;-237.314;-246.186;-202.316;-230.112;-158.44;-121.58;-207.442;-171.033;-133.385;-57.067;-139.464;-223.528;-223.533;-149.798
770;-176.385;-228.261;-240.064;-192.188;-223.397;-155.53;-119.115;-200.261;-164.705;-133.692;-51.368;-134.765;-213.791;-216.573;-140.064
780;-169.466;-218.272;-234.781;-182.773;-216.355;-152.199;-117.137;-194.239;-159.127;-134.231;-48.856;-129.737;-202.943;-210.809;-130.49
790;-163.85;-209.912;-230.9;-174.4;-209.75;-148.412;-117.075;-187.775;-152.962;-134.787;-46.9;-125.087;-190.313;-206.787;-122.5
800;-157.78;-204.533;-227.226;-168.108;-203.924;-144.33;-117.185;-181.97;-146.372;-136.363;-45.991;-120.968;-177.771;-202.966;-116.596
810;-151.947;-199.397;-222.796;-161.159;-199.041;-139.659;-115.142;-175.198;-140.274;-137.395;-45.259;-118.241;-166.34;-198.97;-110.837
820;-148.071;-194.973;-218.68;-154.121;-194.453;-136.515;-111.886;-170.089;-136.211;-138.344;-44.618;-116.829;-156.302;-192.968;-105.157
830;-144.5;-189.738;-213.345;-148.065;-190.738;-135.893;-108.292;-165.399;-131.548;-138.476;-45.19;-115.595;-145.78;-187.577;-100.107
840;-141.16;-184.882;-206.675;-142.534;-186.586;-135.035;-105.861;-161.167;-127.005;-137.859;-45.718;-114.824;-135.941;-181.009;-94.398
850;-126.768;-166.651;-192.91;-121.319;-168.684;-125.134;-96.245;-144.782;-106.873;-130.321;-29.411;-96.98;-112.128;-166.244;-67.607
860;-112.383;-148.731;-177.539;-99.824;-150.667;-114.926;-87.739;-128.128;-86.112;-120.773;-14.171;-79.119;-88.711;-150.605;-38.125
870;-101.96;-133.779;-161.986;-83.633;-134.343;-105.04;-79.076;-112.131;-68.38;-113.835;-6.968;-63.604;-71.763;-138.018;-17.251
880;-93.228;-119.13;-145.873;-69.161;-121.546;-96.857;-70.235;-96.108;-57.091;-106.601;1.154;-60.146;-57.062;-127.155;-2.216
890;-85.736;-103.209;-129.538;-58.167;-113.704;-90.024;-63.48;-85.373;-45.851;-100.513;3.758;-56.727;-43.778;-114.698;9.356
900;-82.129;-95.568;-115.058;-48.344;-105.793;-86.329;-55.978;-80.708;-38.101;-96.529;1.847;-54.302;-29.594;-102.977;21.659
910;-80.109;-87.272;-103.673;-39.687;-99.719;-83.905;-52.917;-76.053;-31.165;-90.629;-0.793;-53.872;-16.261;-90.15;31.029
920;-77.654;-78.453;-92.858;-31.929;-95.806;-81.347;-47.452;-73.008;-26.188;-88.712;-6.404;-53.361;-4.532;-76.212;38.551
930;-74.721;-74.241;-82.372;-26.788;-93.746;-78.932;-43.143;-70.785;-22.643;-86.538;-14.464;-55.006;8.045;-62.135;45.776
940;-72.794;-72.648;-72.589;-20.219;-91.571;-77.345;-38.556;-68.571;-19.034;-85.158;-22.796;-57.96;20.583;-47.021;53.855
950;-72.202;-70.173;-63.387;-12.756;-89.002;-76.037;-36.45;-65.931;-16.395;-85.345;-31.866;-60.112;31.483;-29.913;61.844
960;-70.598;-67.677;-54.399;-6.901;-83.902;-74.504;-34.76;-63.977;-14.288;-85.539;-40.388;-62.059;41.831;-14.215;70.206
970;-67.123;-63.729;-46.654;-1.598;-77.904;-73.897;-33.315;-61.193;-11.395;-83.542;-47.682;-61.84;51.907;1.665;79.959
980;-64.496;-62.158;-39.365;2.999;-71.813;-73.324;-31.954;-58.16;-8.927;-80.359;-54.137;-61.011;62.339;18.739;90.105
990;-61.7;-57.98;-31.73;8.67;-66.48;-71.17;-31.66;-55;-6.02;-76.05;-59.34;-60.87;72.76;36.82;99.45
1000;-59.997;-48.188;-24.526;12.912;-60.99;-68.109;-32.493;-51.295;-3.002;-70.96;-62.933;-61.467;82.804;55.701;109.004
1010;-58.828;-39.737;-15.982;16.84;-56.444;-65.456;-33.756;-46.896;0.189;-65.836;-66.801;-62.14;93.233;74.983;118.418
1020;-56.528;-29.853;-7.177;19.255;-51.892;-62.396;-33.869;-42.514;4;-60.153;-69.826;-63.019;103.851;95.118;127.735
1030;-52.345;-20.122;2.902;21.67;-48.102;-59.86;-34.207;-37.602;7.842;-53.739;-71.47;-64.088;113.281;115.75;136.977
1040;-47.419;-9.387;14.25;24.225;-42.907;-57.859;-33.476;-31.96;10.811;-47.4;-73.314;-64.632;120.943;136.335;147.731
1050;-41.688;4.193;26.325;27.123;-36.385;-56.433;-32.72;-26.337;12.227;-38.171;-74.574;-65.186;127.756;158.087;160.398
1060;-35.46;17.745;37.569;28.202;-28.895;-54.755;-31.895;-20.644;14.472;-28.812;-75.984;-63.93;135.573;179.432;172.945
1070;-27.653;31.379;49.883;28.883;-21.213;-50.941;-32.534;-13.557;18.122;-18.029;-76.551;-60.078;144.075;198.023;185.7
1080;-20.38;43.444;61.374;30.515;-12.098;-44.469;-32.743;-6.608;21.339;-7.514;-76.305;-56.263;151.491;215.343;198.593
1090;-10.244;55.478;71.071;32.985;-4.344;-38.067;-32.222;1.385;24.185;2.255;-74.251;-51.698;158.671;231.349;211.164
1100;-1.333;68.312;81.65;35.719;2.779;-30.715;-31.467;9.274;26.601;12.947;-72.284;-47.389;165.945;246.383;223.752
1110;7.642;82.405;90.97;38.419;10.05;-22.473;-29.6;16.551;28.889;21.691;-68.792;-43.033;175.257;260.342;233.514
1120;16.703;97.532;100.337;41.773;19.234;-13.578;-27.508;24.158;32.185;29.665;-64.662;-38.765;185.048;273.827;240.671
1130;27.496;112.366;109.278;45.365;29.49;-4.658;-25.023;31.753;35.272;37.475;-60.183;-33.022;196.13;285.699;245.815
1140;39.546;125.922;119.151;51.63;39.51;4.414;-22.699;40.795;39.831;45.974;-56.437;-26.664;207.628;295.461;250.804
1150;54.11;137.881;128.438;61.09;49.682;14.641;-20.701;51.726;45.194;54.546;-52.966;-20.601;218.276;302.748;254.409
1160;68.677;148.255;137.931;70.626;60.105;23.026;-18.759;62.645;51.484;63.199;-48.727;-14.286;227.684;309.588;256.999
1170;82.784;158.348;148.062;77.834;70.965;30.544;-17.902;74.109;58.723;72.822;-42.856;-7.655;237.156;316.029;258.337
1180;96.951;168.751;158.52;85.038;80.945;39.12;-16.24;85.594;66.581;79.47;-33.207;-0.601;245.336;320.448;259.866
1190;111.343;179.322;168.187;90.603;92.948;49.783;-12.903;96.187;74.197;85.49;-23.607;6.552;252.518;323.003;259.935
1200;124.555;189.737;177.127;95.969;104.131;60.817;-9.136;105.758;80.083;92.338;-13.495;13.311;259.62;320.567;257.735
1210;137.461;200.344;186.272;102.013;114.862;71.423;-3.749;115.482;85.35;101.169;-3.985;20.053;267.01;316.828;255.757
1220;149.794;210.804;195.723;106.275;125.364;80.743;1.872;125.751;89.907;109.893;1.038;27.907;274.433;311.427;253.791
1230;160.824;221.311;205.221;109.634;136.345;89.426;7.695;134.701;94.414;118.623;5.488;35.615;281.098;304.306;250.445
1240;171.712;229.424;214.12;113.096;147.328;96.496;14.632;143.64;98.6;126.048;9.032;43.376;287.048;295.4;245.192
1250;182.084;233.527;221.756;118.197;157.416;102.434;22.036;151.712;102.624;132.528;13.44;52.556;292.548;285.142;238.903
1260;191.715;237.523;226.601;125.252;167.429;108.375;27.995;159.63;105.999;139.504;19.111;62.405;296.43;274.073;232.836
1270;200.326;240.286;231.362;133.171;177.766;115.208;33.995;167.537;108.094;147.417;25.072;72.226;298.543;260.82;224.91
1280;206.157;242.423;234.84;140.947;187.976;122.013;41.39;174.555;110.179;155.198;31.139;82.828;300.584;246.859;214.415
1290;211.497;244.795;236.842;148.498;198.003;130.511;49.257;180.397;111.975;163.538;37.392;94.411;301.712;233.994;201.919
1300;215.179;246.295;237.976;156.893;207.525;139.814;59.237;185.025;114.192;172.057;42.912;106.971;301.1;219.353;188.693
1310;217.842;246.632;237.745;165.856;216.296;148.5;67.881;187.548;115.681;180.555;48.036;118.311;296.209;203.408;174.651
