timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
660;-123.397;-126.105;-169.196
670;-120.039;-124.286;-161.486
680;-119.893;-122.8;-156
690;-119.803;-120.582;-151.375
700;-114.328;-118.856;-147.141
710;-109.504;-117.402;-141.274
720;-105.039;-114.385;-136.131
730;-100.8;-111.738;-131.525
740;-99.187;-109.256;-127.443
750;-95.894;-107.047;-123.821
760;-92.899;-104.464;-120.849
770;-91.351;-102.375;-118.19
780;-89.941;-100.504;-115.607
790;-82.514;-96.237;-103.74
800;-75.324;-93.11;-91.853
810;-68.805;-89.772;-80.281
820;-62.018;-86.419;-71.937
830;-58.469;-79.493;-63.549
840;-54.763;-72.51;-55.271
850;-49.937;-65.516;-50.783
860;-45.338;-58.51;-46.662
870;-42.134;-52.653;-41.045
880;-38.663;-46.996;-40.051
890;-33.474;-41.324;-39.155
900;-28.09;-38.598;-37.002
910;-23.031;-35.859;-34.831
920;-18.2;-32.581;-32.65
930;-12.57;-29.3;-29.86
940;-7.138;-22.657;-26.864
950;-4.183;-16.571;-23.904
960;-1.264;-10.471;-22.541
970;2.26;-5.719;-21.288
980;4.181;-1.154;-20.43
990;7.951;3.092;-19.567
1000;9.425;7.356;-17.315
1010;11.136;9.118;-14.819
1020;14.926;11.08;-12.651
1030;18.489;13.055;-7.993
1040;24.017;15.042;-4.046
1050;29.352;18.402;0.33
1060;30.375;20.96;1.626
1070;31.527;23.544;2.924
1080;33.365;20.673;5.574
1090;34.923;18.353;8.352
1100;38.211;16.048;11.181
1110;40.975;13.757;14.897
1120;41.556;13.521;17.139
1130;42.58;13.332;19.13
1140;41.174;13.156;19.972
1150;40.319;14.952;20.024
1160;40.065;16.402;22.245
1170;39.828;18.234;24.877
1180;39.912;20.072;27.84
1190;38.533;19.036;30.088
1200;35.916;17.486;32.38
1210;35.85;15.949;34.771
1220;35.024;14.426;37.086
1230;36.812;13.155;39.803
1240;38.688;12.104;42.722
1250;40.484;11.062;46.001
1260;42.508;11.308;49.28
1270;43.329;11.676;52.187
1280;44.037;12.05;52.621
1290;42.945;12.432;52.79
1300;41.494;13.1;52.01
1310;41.729;13.84;54.96
1320;41.932;14.585;58.26
1330;42.1;16.256;59.564
1340;42.443;17.452;60.874
1350;39.109;18.723;62.244
1360;35.917;19.999;62.738
1370;34.486;20.638;63.056
1380;33.097;20.743;62.702
1390;30.797;19.463;61.036
1400;29.483;18.183;59.873
1410;28.047;16.583;55.43
1420;25.463;14.639;51.546
1430;23.657;12.866;47.625
1440;22.594;9.814;44.423
1450;21.891;7.306;41.732
1460;19.628;4.799;40.441
1470;17.909;2.388;39.286
1480;13.572;0.902;38.93
1490;9.022;-0.583;39.028
1500;4.872;-2.138;37.237
1510;0.777;-3.012;35.447
1520;-2.556;-6.063;32.135
1530;-6.281;-9.114;28.72
1540;-9.047;-12.055;24.574
1550;-10.978;-13.32;21.167
1560;-12.779;-14.585;18.036
1570;-14.588;-15.229;15.585
1580;-14.316;-15.873;13.374
1590;-14.61;-14.817;10.825
1600;-15.931;-13.76;7.554
1610;-17.639;-12.607;4.243
1620;-19.201;-13.668;2.695
1630;-19.764;-14.728;2.366
1640;-19.908;-15.561;2.16
1650;-20.059;-16.594;0.288
1660;-19.859;-13.392;-0.614
1670;-19.299;-10.189;-1.619
1680;-19.298;-5.952;-0.735
1690;-17.423;-3.994;0.128
1700;-15.08;-2.037;0.943
1710;-11.057;-0.37;0.359
1720;-6.916;1.194;0.174
1730;-4.001;1.937;1.16
1740;-0.949;2.679;1.706
1750;0.223;3.276;2.542
1760;1.368;3.873;3.578
1770;1.512;4.71;6.27
1780;1.572;5.575;7.363
1790;1.436;7.13;9.255
1800;1.513;9.292;11.182
1810;0.781;11.455;12.629
1820;-0.166;13.715;13.679
1830;-1.869;15.939;14.17
1840;-4.012;15.684;13.621
1850;-5.215;15.16;13.836
1860;-6.708;14.298;14.41
1870;-8.248;13.636;16.183
1880;-10.189;12.974;18.088
1890;-11.902;12.739;21.473
1900;-12.521;12.539;26.531
1910;-13.044;8.299;31.168
1920;-12.807;4.17;33.926
1930;-12.666;-0.119;35.196
1940;-14.723;-2.194;36.466
1950;-16.483;-4.67;37.56
1960;-21.563;-7.236;38.661
1970;-26.912;-9.553;40.801
1980;-30.137;-8.625;41.799
1990;-33.623;-7.697;42.596
2000;-35.71;-6.768;40.611
2010;-37.68;-6.206;38.819
2020;-38.229;-1.803;37.028
2030;-38.674;2.379;36.197
2040;-39.348;6.754;34.926
2050;-41.981;5.468;34.494
2060;-43.654;4.181;34.646
2070;-46.468;2.894;34.463
2080;-49.228;0.55;34.406
2090;-50.708;-0.713;35.349
2100;-52.422;-0.77;37.575
2110;-53.457;-0.943;39.822
