timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
880;-122.946;-267.627;178.547;-234.513;-258.35;-253.572;-140.292;133.727;-120.825;-119.319;81.498;-202.378;-120.865;-142.086;-177.789
890;-103.569;-254.07;170.261;-220.425;-247.351;-243.494;-143.407;140.237;-112.828;-111.056;75.533;-205.415;-101.095;-127.438;-161.359
900;-86.693;-238.08;161.413;-205.693;-238.027;-234.133;-146.573;144.227;-107.613;-101.773;70.373;-207.973;-83.853;-114.373;-145.067
910;-71.77;-223.947;153.905;-192.444;-229.513;-225.796;-150.48;147.01;-103.056;-93.681;65.717;-210.783;-68.924;-103.405;-129.776
920;-60.718;-213.24;146.322;-178.775;-221.667;-217.618;-154.384;149.584;-99.251;-86.177;61.615;-213.778;-55.78;-93.352;-115.942
930;-51.034;-201.231;139.325;-166.103;-212.868;-210.56;-158.214;151.902;-96.714;-80.521;57.949;-217.632;-43.662;-84.256;-103.132
940;-43.115;-190.347;133.15;-154.636;-205.031;-203.728;-162.537;152.797;-94.439;-75.41;54.356;-221.535;-32.542;-71.35;-90.474
950;-35.075;-180.3;126.85;-143.163;-195.75;-198.225;-166.813;151.038;-92.513;-71.125;51.263;-225.275;-22.05;-59.837;-78.775
960;-25.82;-168.959;120.483;-130.205;-185.907;-194.155;-170.848;152.005;-89.243;-67.078;47.286;-229.034;-12.217;-51.314;-67.961
970;-17.268;-158.504;114.144;-114.46;-177.312;-190.452;-174.874;151.957;-86.259;-64.364;43.682;-232.795;-1.507;-43.377;-55.905
980;-10.14;-148.56;107.783;-99.781;-169.039;-187.987;-177.747;151.63;-82.462;-61.926;40.401;-235.516;9.113;-33.169;-43.576
990;-5.327;-138.929;101.78;-84.857;-160.22;-186.143;-181.458;151.476;-80.321;-59.857;37.417;-238.28;19.685;-22.964;-32.089
1000;-0.779;-129.899;96.819;-72.965;-151.242;-184.129;-185.198;151.398;-78.332;-58.08;35.191;-241.071;29.682;-13.421;-21.445
1010;22.905;-110.44;95.083;-44.222;-126.973;-169.204;-188.06;151.234;-69.78;-44.059;28.117;-241.889;60.02;11.055;9.572
1020;47.633;-90.088;87.863;-17.596;-100.504;-153.256;-190.783;149.235;-61.368;-29.612;21.139;-242.631;89.545;36.743;40.521
1030;71.799;-67.082;77.22;0.075;-78.715;-140.475;-193.013;144.247;-52.965;-22.613;14.142;-242.458;109.843;56.994;67.795
1040;84.429;-43.554;65.661;16.116;-62.638;-132.344;-194.98;139.516;-45.252;-17.861;8.339;-240.912;124.65;75.64;91.494
1050;96.733;-20.311;52.989;32.289;-46.598;-121.64;-196.196;136.353;-37.624;-13.149;2.518;-239.316;139.649;93.431;115.136
1060;105.377;-3.733;39.467;48.065;-33.491;-112.03;-196.294;132.786;-35.524;-9.44;-0.727;-237.046;151.494;108.144;131.739
1070;110.129;13.898;26.12;59.252;-22.021;-101.905;-196.291;129.994;-32.361;-7.379;-3.98;-234.064;162.077;119.216;145.025
1080;113.855;27.588;14.02;70.646;-12.661;-94.061;-194.696;126.112;-30.627;-6.52;-6.112;-231.051;172.255;131.965;158.256
1090;115.007;39.784;5.189;80.975;-3.958;-86.374;-193.7;121.122;-27.701;-5.711;-8.251;-227.577;180.297;143.321;170.651
