timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
740;-170.148;-200.423;-101.543;-94.556;-104.818;-101.298;-153.459;-98.727;-36.315;-10.888;-95.033;-118.458;-171.522;91.288;-144.296
750;-167.367;-196.575;-101.201;-82.736;-94.805;-89.99;-146.11;-94.44;-38.875;-3.288;-87.135;-115.888;-163.708;80.828;-133.568
760;-165.947;-192.293;-105.507;-71.893;-86.6;-80.067;-138.68;-91.893;-37.693;3.733;-70.08;-114.507;-155.92;75.147;-124.36
770;-166.112;-189.237;-107.819;-60.148;-74.53;-70.204;-132.204;-89.849;-36.681;8.234;-55.322;-114.128;-148.99;74.474;-117.536
780;-165.863;-188.028;-109.983;-49.614;-58.961;-61.293;-126.146;-88.358;-35.768;12.257;-38.574;-114.277;-143.391;76.387;-110.555
790;-165.556;-189.376;-112.256;-40.278;-44.987;-49.675;-118.547;-84.59;-34.026;18.449;-23.932;-113.889;-138.991;78.44;-104.487
800;-166.219;-190.954;-114.439;-33.526;-35.446;-39.116;-111.822;-81.37;-32.885;25.464;-10.616;-112.076;-135.771;78.887;-99.257
810;-166.988;-194.425;-116.713;-27.375;-30.612;-29.25;-106.663;-76.375;-31.05;31.887;1.5;-110.688;-132.85;74.1;-94.95
820;-167.437;-199.088;-118.933;-21.704;-26.192;-18.88;-102.175;-74.908;-29.949;33.912;12.33;-108.374;-129.035;68.681;-91.547
830;-167.914;-204.019;-121.402;-14.331;-23.688;-9.37;-98.193;-73.715;-29.529;35.621;21.647;-107.374;-125.374;66.265;-87.439
840;-168.076;-208.246;-122.937;-7.206;-21.105;-2.023;-93.811;-72.92;-25.775;37.312;30.54;-106.389;-120.825;64.317;-83.926
850;-167.577;-211.482;-123.762;-0.577;-18.708;4.798;-90.208;-72.375;-23.78;37.994;40.661;-106.911;-113.583;62.744;-79.976
860;-166.92;-214.633;-124.325;4.047;-16.167;12.153;-86.969;-71.36;-22.311;38.798;50.289;-106.642;-106.885;63.741;-76.167
870;-159.149;-213.542;-119.988;18.582;-4.013;30.037;-70.984;-61.566;-19.268;46.504;69.002;-95.07;-87.365;84.362;-64.644
880;-151.79;-211.708;-115.155;33.389;10.201;47.89;-55.045;-51.733;-16.61;51.244;87.507;-83.524;-66.902;102.286;-53.445
890;-147.861;-210.186;-113.868;46.543;25.191;62.141;-47.881;-46.337;-17.272;53.832;107.106;-76.597;-50.74;104.581;-42.246
900;-147.487;-209.751;-113.604;59.126;40.062;76.359;-42.009;-39.601;-19.53;55.385;124.57;-76.578;-37.465;84.742;-33.686
910;-149.06;-209.207;-113.627;71.798;56.064;87.131;-35.936;-35.544;-21.287;57.449;140.738;-72.938;-27.631;63.138;-26.967
920;-149.838;-207.755;-110.684;78.557;67.538;95.348;-32.31;-34.676;-24.651;58.666;151.918;-73.312;-16.611;38.872;-20.406
930;-150.227;-206;-108.847;85.296;79;103.529;-29.45;-33.462;-27.736;58.677;160.655;-75.213;-2.567;16.926;-13.047
940;-149.894;-205.357;-108.373;86.697;89.192;113.226;-27.777;-31.218;-32.076;59.031;161.631;-78.307;13.455;15.378;-6.649
950;-149.201;-203.927;-108.128;88.451;96.807;122.892;-26.111;-32.282;-36.472;59.854;166.487;-82.273;28.351;19.628;-0.715
960;-148.051;-201.124;-106.888;90.166;104.413;129.038;-24.583;-33.945;-37.284;60.583;169.636;-85.522;48.655;18.32;5.158
970;-146.109;-198.486;-105.503;92.72;108.613;135.717;-21.683;-35.789;-36.479;61.538;171.297;-88.255;71.875;14.98;10.018
980;-144.112;-198.448;-103.75;94.262;113.988;142.391;-19.398;-35.458;-35.462;62.527;171.981;-89.67;100.09;13.16;12.117
990;-143.578;-199.091;-101.867;94.774;117.671;147.897;-16.929;-35.196;-33.84;61.774;177.495;-90.744;124.966;15.243;12.363
1000;-144.223;-197.875;-99.539;94.156;118.726;153.4;-14.876;-35.436;-32.73;61.408;178.149;-91.254;148.793;16.866;13.657
1010;-145.16;-195.29;-95.07;93.88;119.72;157.68;-13.56;-35.67;-32.97;61.39;173.27;-91.35;162.19;17.78;14.28
1020;-145.673;-190.764;-92.716;94.169;115.775;161.997;-12.924;-35.186;-32.291;62.015;168.609;-91.169;168.289;16.062;15.628
1030;-145.898;-184.391;-89.494;93.958;108.038;166.296;-12.421;-34.888;-31.407;63.037;161.948;-90.474;173.367;11.368;16.953
1040;-144.69;-177.69;-85.501;93.71;100.287;166.628;-13.302;-36.075;-31.063;60.941;153.881;-89.712;178.714;6.902;18.73
1050;-142.501;-171.126;-79.894;96.361;95.932;166.937;-13.561;-37.455;-30.279;57.598;146.986;-89.707;182.049;2.9;18.835
1060;-139.274;-163.164;-74.949;99.013;95.158;162.811;-13.36;-40.863;-30.223;52.389;139.922;-90.674;186.741;4.316;18.949
1070;-135.195;-154.215;-69.628;101.65;94.358;156.692;-13.55;-41.539;-29.166;48.706;132.584;-93.517;188.8;6.897;19.751
1080;-129.939;-145.642;-63.666;105.083;95.08;150.56;-14.3;-42.207;-28.941;44.881;125.494;-95.886;191.026;5.7;20.528
1090;-124.394;-137.914;-59.646;108.46;94.98;146.333;-15.361;-41.871;-31.396;40.076;117.482;-96.867;192.163;3.627;22.392
1100;-120.065;-129.139;-55.946;110.295;95.385;142.101;-15.779;-41.562;-34.223;37.808;107.033;-96.3;189.665;1.929;24.59
1110;-115.984;-118.916;-52.876;109.729;95.687;134.682;-14.847;-41.842;-37.071;35.285;94.362;-96.424;185.575;-1.727;25.475
1120;-112.256;-107.357;-50.687;108.849;95.982;128.56;-12.603;-41.688;-38.929;33.222;79.299;-97.601;180.01;-7.112;27.175
1130;-108.371;-95.782;-48.109;107.598;93.35;122.445;-10.352;-42.382;-39.244;35.385;63.465;-96.1;173.281;-10.173;29.092
1140;-101.486;-84.406;-45.653;102.844;87.162;114.216;-8.722;-44.178;-36.476;35.688;47.804;-92.707;166.572;-13.819;29.921
1150;-91.204;-72.905;-42.369;98.08;80.963;105.996;-8.304;-47.974;-30.987;38.056;33.165;-86.291;159.789;-16.051;30.191
1160;-78.094;-62.23;-38.798;94.217;71.852;98.673;-8.237;-51.101;-25.308;36.555;19.772;-86.614;153.77;-20.037;31.341
1170;-67.001;-55.268;-36.177;93.333;62.136;91.305;-7.974;-52.333;-21.632;34.824;5.07;-85.763;146.715;-22.785;35.095
1180;-57.092;-48.54;-33.925;92.439;52.413;83.934;-5.429;-52.805;-19.693;28.119;-7.384;-84.639;135.536;-25.526;37.564
1190;-47.293;-39.882;-31.038;91.774;42.515;75.229;-2.115;-53.693;-17.537;19.801;-17.708;-82.175;122.356;-29.294;40.177
1200;-36.714;-31.853;-26.365;89.938;34.649;66.527;2.772;-53.409;-15.5;11.913;-28.722;-79.128;109.459;-33.707;38.797
1210;-26.997;-25.252;-21.625;87.505;28.492;56.28;5.623;-52.75;-12.882;4.522;-37.628;-74.305;91.117;-34.783;37.028
1220;-16.332;-18.134;-17.759;85.638;24.097;44.699;7.402;-52.37;-11.675;-2.141;-44.537;-70.05;69.016;-34.51;37.015
1230;-6.823;-8.362;-15.153;83.403;19.381;33.127;8.7;-52.884;-9.194;-9.344;-50.332;-66.114;42.708;-33.331;37.722
1240;4.437;3.744;-12.069;82.415;15.823;23.252;8.461;-53.083;-6.431;-15.617;-60.346;-61.449;19.745;-32.789;39.031
1250;15.807;12.755;-8.787;79.837;16.043;13.413;8.703;-52.681;-3.19;-21.638;-67.622;-54.235;-3.155;-34.438;38.471
1260;28.056;18.712;-4.112;77.272;16.264;5.496;9.672;-52.456;0.248;-28.48;-76.312;-46.576;-15.968;-37.64;37
1270;39.613;25.065;2.807;72.198;16.556;-3.247;12.109;-50.955;1.425;-35.877;-85.226;-39.197;-21.543;-39.058;35.322
1280;50.13;32.105;7.787;68.171;14.85;-11.981;13.863;-49.438;5.318;-44.144;-96.923;-33.215;-26.08;-37.688;33.205
1290;59.333;39.863;13.306;64.157;13.14;-20.443;15.885;-45.866;8.653;-50.48;-107.969;-31.437;-30.313;-39.418;32.376
1300;66.768;47.582;18.038;57.349;11.18;-28.8;16.616;-39.854;9.107;-56.806;-119.651;-29.654;-31.901;-41.135;34.182
1310;73.428;54.888;22.968;49.76;8.522;-34.186;17.497;-34.026;8.751;-59.569;-128.009;-25.075;-35.445;-41.931;36.026
1320;80.52;61.876;26.717;41.386;6.515;-39.952;17.188;-30.381;7.863;-60.278;-136.991;-15.782;-37.035;-42.546;37.398
1330;86.95;69.599;28.077;30.579;1.246;-45.705;18.169;-26.695;10.415;-60.975;-145.987;-6.497;-38.149;-43.02;34.72
1340;92.689;77.836;30.811;19.606;-4.636;-52.7;18.746;-23.322;13.295;-61.658;-154.708;1.592;-39.104;-45.061;32.861
1350;99.003;85.648;33.274;9.17;-12.619;-59.745;18.132;-21.447;16.928;-64.785;-160.46;8.528;-39.482;-45.981;32.637
1360;105.636;93.477;38.253;0.938;-19.003;-64.333;16.756;-16.519;19.341;-67.905;-163.763;15.455;-38.344;-45.181;33.532
