timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
900;-300.185;-301.089;-318.837;-380.076;-348.791;-185.481;-205.72;-124.957;-245.703;-178.311;-230.157;-243.773;-373.523;-350.391;-355.854
910;-278.475;-295.139;-310.82;-368.508;-338.626;-182.508;-202.903;-121.542;-235.118;-172.645;-221.461;-234.212;-358.859;-340.994;-346.535
920;-259.893;-289.133;-305.12;-356.747;-328.813;-180.227;-199.84;-118.773;-225.213;-167.573;-212.867;-225.653;-346.133;-332.36;-335.333
930;-243.24;-281.408;-300.405;-345.283;-320.477;-180.188;-197.164;-115.914;-216.622;-162.901;-205.431;-217.813;-334.75;-323.704;-321.717
940;-228.587;-271.6;-296.474;-335.461;-312.85;-181.717;-193.915;-113.393;-209.212;-158.78;-198.535;-210.881;-324.743;-314.406;-309.176
950;-215.504;-262.85;-291.346;-326.44;-306.034;-183.654;-191;-111.714;-202.697;-155.128;-192.385;-204.615;-314.842;-306.256;-296.688
960;-204.536;-252.447;-284.164;-319.69;-300.25;-185.661;-187.372;-110.195;-196.855;-151.398;-186.833;-199.067;-306.239;-296.764;-285.895
970;-195.025;-240.625;-275.888;-314.275;-294.575;-189.425;-184.05;-108.525;-190.15;-147.95;-181.875;-193.525;-297.837;-286.75;-276.538
980;-186.25;-230.129;-268.508;-309.566;-288.801;-194.215;-179.896;-107.002;-184.132;-143.88;-177.578;-188.608;-289.57;-277.702;-267.967
990;-178.327;-219.738;-261.321;-303.61;-282.565;-198.736;-175.79;-105.298;-178.011;-140.035;-173.776;-183.05;-281.927;-269.758;-260.263
1000;-170.914;-210.405;-254.314;-295.804;-277.022;-202.852;-171.98;-103.753;-172.451;-135.518;-170.391;-177.801;-273.262;-262.097;-251.804
1010;-163.875;-202.036;-247.94;-288.78;-271.601;-205.97;-167.113;-102.345;-166.881;-131.274;-167.351;-172.726;-263.494;-255;-243.958
1020;-157.332;-193.414;-241.812;-280.468;-267.536;-208.12;-162.572;-100.633;-161.776;-127.358;-164.073;-167.682;-253.207;-247.894;-234.798
1030;-122.8;-165.809;-216.547;-253.849;-244.867;-195.272;-151.298;-93.984;-146.949;-116.996;-151.712;-150.521;-221.25;-220.538;-209.339
1040;-88.211;-138.193;-191.263;-227.077;-221.965;-180.773;-140.051;-86.742;-132.273;-106.467;-139.328;-133.38;-188.905;-192.908;-183.905
1050;-60.819;-117.005;-175.291;-206.583;-206.651;-171.354;-127.247;-79.49;-117.6;-94.666;-126.164;-116.245;-165.355;-172.777;-164.061
1060;-42.969;-100.982;-163.163;-189.734;-194.57;-165.93;-118.068;-74.48;-104.878;-85.288;-116.36;-103.975;-148.577;-157.728;-146.981
