timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
900;-340.935;-206.061;-324.255;-436.929;-352.065;-251.229;-277.217;-208.142;-314.194;-209.219;-197.969;-190.749;-356.944;-332.693;-434.096
910;-331.622;-197.799;-307.809;-423.94;-333.095;-251.788;-267.241;-198.784;-300.876;-198.662;-193.108;-179.237;-333.228;-320.961;-414.778
920;-322.427;-189.107;-292.667;-413.2;-315.733;-252.373;-258.547;-190.627;-284.613;-189.533;-189.2;-169.627;-310.493;-310.587;-396.853
930;-312.993;-181.582;-278.658;-404.204;-300.635;-252.191;-250.516;-181.931;-270.428;-181.543;-185.428;-161.247;-290.474;-300;-380.928
940;-304.494;-174.228;-266.205;-395.854;-286.375;-251.855;-243.385;-174.213;-256.299;-174.281;-181.614;-154.188;-271.691;-290.001;-367.458
950;-295.346;-166.701;-254.436;-388.748;-273.303;-250.496;-236.038;-166.709;-243.752;-167.816;-178.162;-147.919;-254.513;-280.889;-355.15
960;-284.307;-159.811;-242.06;-381.067;-261.43;-249.44;-229.421;-159.963;-232.51;-160.414;-174.208;-141.322;-238.979;-271.279;-343.855
970;-274.125;-152.862;-230.813;-373.138;-250.875;-248.475;-223.225;-153.862;-222.3;-153.725;-170.613;-135.375;-224.338;-260.625;-332.338
980;-262.596;-146.418;-218.552;-366.101;-241.942;-248.219;-215.949;-148.051;-213.069;-145.508;-167.093;-129.153;-211.139;-250.79;-321.832
990;-251.331;-140.187;-206.259;-359.756;-234.357;-248.15;-209.019;-142.738;-204.164;-137.997;-163.669;-123.471;-199.048;-238.218;-310.589
1000;-240.971;-133.954;-195.183;-353.556;-227.225;-248.082;-200.675;-137.093;-196.032;-129.157;-160.543;-118.066;-187.622;-226.686;-298.852
1010;-230.988;-128.542;-184.071;-347.863;-220.893;-246.964;-192.815;-131.875;-187.744;-121.006;-157.565;-112.702;-177.03;-212.512;-288.018
1020;-221.127;-122.955;-173.567;-342.122;-214.929;-245.452;-183.565;-125.986;-180.113;-112.153;-154.824;-107.736;-165.772;-198.231;-277.035
1030;-193.605;-106.414;-136.036;-319.264;-184.522;-237.381;-163.464;-110.474;-165.124;-92.664;-143.599;-90.566;-129.741;-172.313;-249.83
1040;-164.839;-89.61;-98.742;-296.117;-153.904;-228.166;-141.15;-94.98;-149.458;-72.474;-132.373;-73.409;-93.756;-145.366;-222.646
1050;-142.877;-78.021;-71.694;-273.85;-123.556;-221.002;-118.624;-77.595;-133.783;-52.29;-125.472;-54.937;-63.65;-125.424;-195.244
1060;-123.616;-68.484;-52.499;-253.652;-103.704;-215.207;-100.128;-65.587;-116.15;-36.084;-118.571;-42.238;-32.422;-105.532;-166.898
1070;-104.887;-58.947;-32.964;-231.713;-83.758;-208.211;-81.662;-51.116;-98.52;-19.829;-113.653;-28.927;-7.638;-88.707;-142.478
