timepoints (min);44: wc-2-.1;45: wc-2-.2;46: wc-2-.3
740;-115.347;-140.394;-118.54
750;-103.595;-133.56;-108.88
760;-93.387;-127.96;-100.56
770;-84.434;-121.273;-93.322
780;-80.384;-115.452;-86.995
790;-76.872;-110.453;-81.423
800;-73.809;-106.054;-77.044
810;-71.563;-102.162;-73.137
820;-69.571;-98.704;-69.635
830;-67.799;-96.08;-66.297
840;-66.216;-93.679;-63.265
850;-64.238;-91.554;-60.5
860;-62.44;-89.668;-57.861
870;-54.69;-82.719;-43.937
880;-46.931;-74.774;-30.007
890;-38.911;-66.795;-16.511
900;-30.879;-58.514;-11.129
910;-24.873;-52.927;-5.74
920;-18.856;-46.595;-0.36
930;-11.507;-40.239;1.428
940;-4.153;-33.601;3.223
950;-2.192;-29.027;3.569
960;0.775;-24.436;2.32
970;4.164;-19.829;1.076
980;7.55;-17.858;1.538
990;8.213;-15.671;0.884
1000;9.14;-13.468;0.235
1010;10.07;-10.92;0.72
1020;11.002;-9.564;1.096
1030;13.736;-7.36;1.482
1040;14.838;-5.148;1.28
1050;15.94;-3.064;1.601
1060;17.682;-2.21;1.926
1070;19.423;-1.346;2.553
1080;18.306;-0.473;3.184
1090;17.192;0.274;3.818
1100;15.681;0.63;5.179
1110;16.093;0.996;6.425
1120;15.93;1.66;7.678
1130;15.781;1.367;8.362
1140;15.164;1.598;9.412
1150;16.093;1.833;10.466
1160;17.035;2.115;11.123
1170;17.988;3.399;11.744
1180;17.874;4.687;12.367
1190;17.673;5.976;13.106
1200;17.479;7.242;15.371
1210;16.292;8.553;17.64
1220;15.111;9.871;20.165
1230;14.528;11.277;21.013
1240;13.951;12.487;21.864
1250;12.861;12.461;22.855
1260;12.216;12.44;22.368
1270;11.696;12.629;21.882
1280;11.18;11.459;21.231
1290;12.428;10.29;21.502
1300;10.998;9.122;21.776
1310;9.571;8.848;21.942
1320;8.147;9.26;21.83
1330;9.405;9.678;21.722
1340;9.763;10.147;21.616
1350;10.129;11.021;20.633
1360;8.584;12.659;19.653
1370;7.046;14.303;19.251
1380;9.846;15.681;19.45
1390;12.645;16.867;19.667
1400;13.883;18.062;19.485
1410;13.961;19.264;19.786
1420;13.379;18.656;20.081
1430;12.806;19.576;19.779
1440;12.601;20.505;19.238
1450;12.112;21.631;18.894
1460;11.629;22.723;18.589
1470;9.549;23.236;15.669
1480;7.503;23.77;12.597
1490;6.258;24.303;9.806
1500;5.081;25.166;8.319
1510;3.817;26.497;6.832
1520;2.552;27.986;5.455
1530;0.166;29.996;4.779
1540;-2.221;31.046;4.103
1550;-1.204;32.419;3.153
1560;-0.188;33.69;2.559
1570;-0.737;34.28;2.123
1580;-1.286;35.519;1.607
1590;-0.846;36.723;1.284
1600;0.836;37.927;1.079
1610;2.517;36.934;2.273
1620;3.785;36.148;2.887
1630;0.982;35.168;3.501
1640;-2.554;33.869;2.705
1650;-6.091;33.192;2.219
1660;-8.578;32.514;1.734
1670;-10.934;32.044;1.265
1680;-12.53;30.054;1.396
1690;-13.912;28.317;1.617
1700;-14.745;26.532;2.517
1710;-15.578;24.748;3.454
1720;-13.879;20.531;4.39
1730;-12.179;16.48;5.207
1740;-11.39;12.45;5.695
1750;-10.481;9.379;6.183
1760;-9.986;6.026;6.25
1770;-9.491;2.797;6.123
1780;-7.93;-0.542;5.927
1790;-7.346;-2.921;6.331
1800;-6.763;-4.303;6.713
1810;-5.883;-5.686;6.978
1820;-3.403;-7.068;6.803
1830;-1.221;-9.022;7.046
1840;0.961;-10.942;7.288
1850;2.233;-12.759;7.141
1860;3.643;-13.255;5.848
1870;4.452;-14.771;4.556
1880;5.876;-16.142;3.759
1890;7.516;-17.465;4.123
1900;8.956;-19.348;4.432
1910;10.513;-19.679;4.901
1920;12.07;-20.01;5.388
1930;11.964;-20.341;5.874
1940;13.898;-21.117;6.361
1950;15.708;-21.963;6.223
1960;17.848;-22.712;6.086
1970;17.429;-22.181;5.833
1980;13.71;-20.183;5.597
1990;9.992;-18.097;5.481
2000;6.691;-16.223;5.366
2010;3.39;-14.15;5.527
2020;3.892;-11.221;5.694
2030;4.394;-8.291;5.861
2040;6.074;-5.389;5.366
2050;6.35;-4.647;3.75
2060;6.626;-3.898;2.052
2070;6.895;-3.142;0.822
2080;3.548;-2.106;0.472
2090;0.2;-0.919;0.177
2100;-3.279;-0.225;0.688
2110;-6.681;0.49;1.262
2120;-9.388;1.324;2.356
2130;-10.694;1.959;2.954
2140;-12.097;2.593;3.553
2150;-12.328;3.303;4.352
2160;-12.56;2.814;5.004
