timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
800;-151.109;-161.08;-116.991;-83.533;-8.449;-117.195;-163.001;-133.612;-175.105;-157.374;-146.582;-189.452;16.708;-61.388;-99.155
810;-141.187;-153.293;-112.635;-82.419;-5.72;-112.32;-156.668;-128.888;-175.851;-154.683;-147.836;-187.369;22.778;-54.732;-89.797
820;-131.613;-145.387;-106.467;-82.053;-5.187;-107.36;-150.92;-122.8;-176.08;-152.733;-149.773;-184.387;27.4;-49.44;-80.253
830;-123.283;-137.02;-101.655;-81.901;-4.822;-103.997;-145.875;-117.27;-176.464;-151.207;-151.704;-179.928;30.102;-43.655;-71.464
840;-116.374;-128.283;-97.396;-81.856;-3.975;-102.864;-141.079;-112.318;-175.651;-148.426;-152.059;-176.203;32.336;-38.496;-64.617
850;-110.731;-119.91;-93.235;-82.761;-3.282;-102.329;-134;-106.88;-174.983;-145.97;-149.744;-171.273;34.325;-30.214;-59.483
860;-106.051;-112.234;-88.262;-85.131;-2.761;-102.066;-127.751;-101.967;-171.658;-141.608;-147.306;-168.143;36.314;-21.441;-53.963
870;-102.812;-106.9;-85.325;-87.375;-2.038;-103.325;-120.588;-95.75;-167.525;-137.575;-143.262;-165.463;38.875;-12.675;-49.1
880;-98.312;-103.019;-83.568;-89.409;-0.847;-104.933;-115.169;-87.728;-164.67;-133.965;-139.409;-161.788;41.467;-4.716;-44.319
890;-91.795;-99.12;-79.438;-91.482;0.831;-106.712;-110.735;-80.399;-162.15;-131.128;-135.976;-156.889;43.787;1.216;-38.673
900;-85.612;-95.218;-75.692;-93.788;2.519;-108.558;-106.657;-73.202;-159.075;-128.194;-134.002;-153.019;46.051;5.81;-32.829
910;-78.512;-91.238;-71.935;-95.976;4.048;-111.994;-102.387;-66.583;-153.69;-125.518;-132.69;-149.702;47.94;10.012;-27.488
920;-71.936;-86.626;-68.224;-97.565;6.146;-116.289;-97.755;-60.2;-148.459;-121.708;-131.344;-147.581;48.967;13.619;-22.092
930;-58.014;-75.064;-59.083;-90.169;19.194;-108.72;-86.637;-46.821;-135.884;-113.277;-125.943;-138.593;59.007;20.72;-8.308
940;-43.671;-63.377;-50.476;-84.452;28.519;-99.927;-75.536;-33.462;-121.586;-103.532;-119.339;-129.621;66.213;27.228;3.592
950;-32.405;-53.062;-42.221;-78.563;37.496;-94.451;-67.92;-22.199;-104.541;-95.388;-113.58;-122.825;70.614;32.359;14.276
960;-22.506;-42.888;-34.978;-77.662;42.418;-91.106;-59.553;-10.951;-88.553;-87.569;-106.857;-115.133;73.735;37.678;24.659
970;-14.26;-32.94;-28.12;-78.667;44.993;-91.28;-51.024;-0.771;-74.122;-79.424;-100.582;-106.953;75.484;43.82;35.351
