timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;10: crybdIm1-.1;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
600;-248.914;-245.455;-373.375;-422.405;-412.046;-387.51;-249.741;-267.596;-289.639;-181.356;-181.356;-319.536;-337.889;-127.557;-341.772
610;-233.367;-219.929;-355.421;-405.658;-395.255;-368.562;-237.948;-259.639;-280.448;-175.421;-175.421;-305.517;-312.037;-114.817;-337.411
620;-220.6;-197.56;-339.92;-391.16;-377.667;-352.413;-227.76;-252.853;-269.827;-169.893;-169.893;-293.253;-288.013;-107.653;-331.893
630;-209.138;-178.875;-325.273;-377.372;-360.194;-336.191;-216.941;-246.711;-260.493;-164.967;-164.967;-282.592;-264.918;-102.691;-323.766
640;-199.345;-162.214;-312.57;-364.555;-343.448;-321.808;-207.404;-241.218;-251.02;-159.898;-159.898;-273.409;-242.644;-97.254;-316.561
650;-190.278;-148.145;-301.479;-353.782;-327.564;-309.346;-198.132;-235.128;-241.953;-155.192;-155.192;-264.641;-222.598;-92.338;-307.684
660;-182.178;-135.921;-290.804;-343.525;-311.676;-297.147;-189.843;-229.595;-233.467;-151.234;-151.234;-256.486;-202.951;-88.488;-295.233
670;-172.2;-126.6;-280.05;-334.5;-295.837;-286.3;-182.087;-223;-224.875;-146.462;-146.462;-248.988;-186.188;-83.763;-281.05
680;-163.123;-118.471;-270.397;-325.164;-280.767;-275.653;-175.097;-216.966;-216.854;-142.078;-142.078;-242.153;-171.356;-79.272;-267.383
690;-155.186;-112.728;-260.928;-316.103;-266.435;-266.082;-168.339;-209.887;-209.048;-136.195;-136.195;-236.043;-157.685;-73.334;-255.033
700;-147.508;-108.097;-251.823;-306.712;-253.091;-255.829;-162.196;-203.367;-201.974;-130.654;-130.654;-230.072;-146.169;-68.017;-241.191
710;-140.452;-103.685;-243.518;-296.339;-240.244;-247.06;-156.137;-195.28;-195.28;-124.762;-124.762;-224.565;-135.726;-60.137;-224.952
720;-133.96;-100.134;-235.904;-285.134;-227.287;-238.96;-150.565;-187.781;-189.08;-119.638;-119.638;-219.212;-125.186;-50.969;-212.089
730;-102.841;-71.907;-208.805;-256.685;-193.673;-210.475;-134.167;-166.227;-173.952;-110.327;-110.327;-198.349;-90.814;-27.756;-191.537
740;-70.869;-44.427;-181.039;-227.099;-160.09;-181.365;-117.775;-144.518;-158.805;-101.468;-101.468;-177.08;-54.96;-3.798;-169.517
750;-47.927;-18.853;-153.14;-195.309;-125.214;-152.676;-100.786;-129.51;-145.599;-93.188;-93.188;-157.684;-20.862;16.229;-153.111
760;-33.534;-1.239;-126.41;-165.593;-92.818;-124.498;-86.322;-113.128;-132.405;-84.293;-84.293;-138.169;2.763;33.216;-136.695
770;-19.349;8.196;-99.351;-140.364;-65.927;-102.678;-71.716;-99.771;-117.647;-75.12;-75.12;-124.371;22.111;45.94;-119.456
780;-10.294;18.897;-80.492;-119.607;-44.73;-87.432;-61.75;-85.122;-102.899;-65.964;-65.964;-110.657;40.863;53.913;-100.625
790;-4.261;23.759;-68.761;-102.777;-27.614;-78.017;-51.843;-72.578;-90.197;-55.826;-55.826;-100.778;57.512;62.294;-79.964
800;0.428;26.006;-57.613;-85.855;-11.609;-67.73;-45.135;-58.152;-77.509;-46.545;-46.545;-90.904;72.677;68.38;-59.356
810;5.845;25.129;-45.914;-71.471;3.433;-60.47;-37.741;-44.509;-66.118;-35.605;-35.605;-80.585;86.058;75.996;-38.104
820;10.775;25.08;-37.017;-58.434;17.983;-55.568;-30.347;-30.419;-54.737;-24.598;-24.598;-71.888;99.846;83.067;-14.246
830;15.959;24.298;-29.65;-47.479;33.194;-51.741;-22.818;-16.95;-41.847;-12.25;-12.25;-62.228;112.232;89.402;11.45
840;20.965;24.159;-22.585;-36.583;46.854;-48.311;-16.812;-2.913;-27.12;1.161;1.161;-54.867;121.911;97.641;35.944
850;26.298;24.529;-14.995;-26.087;58.736;-44.385;-10.739;10.945;-13.273;13.954;13.954;-47.745;128.018;106.861;60.362
860;31.863;23.449;-8.115;-13.946;71.469;-40.366;-5.632;25.637;0.446;27.8;27.8;-40.693;134.316;116.077;83.937
870;37.73;24.22;-1.16;-1.82;82.87;-35.77;-0.58;40.26;12.85;41.29;41.29;-33.77;140.96;125.02;106.49
880;43.067;25.767;5.01;9.391;93.934;-31.926;4.268;55.629;25.242;54.724;54.724;-26.875;148.169;134.582;126.053
890;49.156;27.458;11.549;20.173;104.693;-28.092;8.954;70.796;36.824;67.444;67.444;-19.987;154.565;143.207;145.667
900;54.458;28.307;18.03;31.749;115.07;-21.938;13.96;85.834;48.275;80.153;80.153;-12.007;161.244;152.442;163.777
910;59.735;29.613;24.343;43.012;123.975;-15.376;18.908;100.88;59.591;92.678;92.678;-4.015;165.883;160.568;178.405
920;62.57;32.602;31.156;54.307;130.836;-8.53;23.855;114.634;71.739;104.427;104.427;4.669;170.139;167.975;189.886
930;65.141;36.339;39.229;64.591;137.443;-2.361;28.595;128.369;83.644;115.354;115.354;12.874;174.949;173.474;199.461
940;68.009;40.812;47.074;73.898;144.145;4.169;33.62;140.734;96.369;124.613;124.613;21.1;179.146;177.585;208.763
