timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.3;;21: frq7-.1;22: frq7-.2;;23: frq9+.1;24: frq9+.2;25: frq9+.3;26: frq10+.1;27: frq10+.2;28: frq10+.3
1230;149.955;187.147;132.236;-35.442;12.593;;14.087;43.979;;-175.019;-127.507;-93.725;57.493;15.666;9.241
1240;160.291;194.288;142.209;-37.774;7.416;;15.486;40.672;;-178.495;-131.085;-91.812;58.171;16.752;7.095
1250;169.37;198.147;152.961;-40.098;5.008;;16.891;35.072;;-180.804;-131.819;-88.433;58.401;15.574;2.298
1260;175.544;201.328;162.984;-42.544;-1.096;;18;29.112;;-181.92;-132.472;-85.984;57.92;14.168;-2.832
1270;181.935;200.96;171.453;-42.021;-6.745;;19.116;23.394;;-182.117;-131.877;-84.165;54.2;14.284;-8.648
1280;187.812;197.973;179.171;-41.819;-11.231;;20.281;19.718;;-180.716;-130.278;-81.462;49.833;15.386;-12.466
1290;193.16;194.486;186.643;-43.924;-15.701;;21.452;16.797;;-177.933;-123.243;-76.609;45.141;16.717;-15.484
1300;199.517;188.837;191.348;-46.016;-18.428;;23.316;14.397;;-176.428;-114.642;-71.75;40.972;19.703;-16.775
1310;205.471;184.757;195.294;-47.115;-21.135;;25.186;12.683;;-174.438;-104.325;-69.823;36.032;24.206;-16.905
1320;208.259;180.577;200.286;-47.042;-25.56;;27.182;13.373;;-174.462;-93.4;-71.158;34.448;28.784;-19.157
1330;211.115;176.55;205.478;-47.409;-29.325;;29.183;13.398;;-174.575;-82.432;-72.486;32.24;31.173;-23.01
1340;215.251;173.191;211.217;-48.196;-33.722;;30.964;11.937;;-174.783;-70.015;-74.809;29.697;31.303;-27.133
1350;220.383;169.669;216.103;-48.964;-38.534;;32.751;10.408;;-175.449;-57.193;-77.583;27.033;31.15;-28.098
1360;228.809;166.398;220.57;-50.373;-44.037;;34.062;8.717;;-173.409;-43.421;-80.348;24.711;31.636;-28.867
1370;231.966;163.241;226.044;-51.485;-49.352;;35.379;7.919;;-172.45;-31.638;-83.19;24.013;31.522;-29.711
1380;234.394;158.431;230.168;-52.754;-55.092;;34.302;5.683;;-168.702;-17.054;-85.818;20.869;33.642;-30.166
1390;237.002;154.446;234.285;-52.524;-60.263;;33.234;2.98;;-164.848;-3.083;-88.031;11.641;35.647;-27.941
1400;237.923;152.274;237.155;-52.275;-64.698;;31.973;0.201;;-160.939;9.929;-89.169;7.243;37.582;-21.255
1410;238.487;149.667;238.511;-53.276;-69.291;;30.719;-0.943;;-157.51;21.816;-89.887;2;36.55;-14.896
1420;239.661;146.701;237.276;-55.975;-74.898;;27.905;-1.045;;-151.457;33.621;-90.319;-1.433;36.074;-5.937
1430;239.529;144.784;236.616;-58.448;-79.303;;25.097;0.558;;-144.268;44.012;-88.639;-4.515;35.68;-5.342
1440;239.093;144.781;236.154;-59.944;-84.125;;22.493;2.36;;-136.215;54.931;-83.392;-7.35;34.926;-5.983
1450;238.252;145.75;232.087;-61.041;-89.097;;20.574;4.852;;-129.076;64.569;-77.973;-10.381;33.982;-5.442
1460;238.67;147.946;227.568;-60.926;-92.804;;18.659;8.985;;-120.766;74.321;-76.691;-12.621;33.552;-4.025
1470;236.847;144.484;219.946;-63.003;-97.542;;14.185;8.797;;-115.418;79.688;-73.993;-15.185;32.188;-5.604
1480;233.258;139.105;212.194;-64.928;-102.633;;9.71;7.679;;-110.792;83.494;-71.137;-16.23;31.051;-5.61
1490;228.633;133.897;205.408;-64.606;-107.237;;6.615;6.408;;-106.069;86.623;-69.712;-17.935;30.663;-2.801
1500;224.633;130.621;198.126;-63.862;-112.662;;3.52;7.012;;-100.636;89.646;-66.152;-20.797;29.952;3.008
1510;224.168;125.981;191.502;-62.171;-114.076;;2.219;11.977;;-97.661;91.348;-62.592;-22.81;29.159;8.614
1520;223.025;122.015;185.258;-61.941;-115.474;;0.857;16.581;;-96.432;91.654;-57.223;-21.92;27.313;11.857
1530;220.538;118.968;177.883;-61.469;-118.24;;-0.546;18.331;;-96.823;91.073;-52.655;-20.316;25.415;13.579
1540;216.203;116.101;170.781;-58.357;-120.895;;-2.039;19.334;;-97.542;88.412;-47.194;-20.581;23.366;15.277
1550;208.633;113.75;165.258;-55.701;-124.934;;-1.992;19.337;;-95.97;84.622;-41.941;-21.455;21.55;17.074
1560;200.072;108.938;158.217;-52.65;-127.812;;-1.972;18.96;;-91.582;81.701;-33.76;-20.448;18.164;16.157
1570;192.034;104.597;149.343;-49.364;-128.088;;-2.108;17.302;;-85.319;78.774;-24.51;-19.374;13.734;14.793
1580;181.75;99.963;137.188;-46.079;-128.337;;-2.243;16.978;;-79.781;76.75;-15.335;-18.819;11.23;15.77
