timepoints (min);46: wc-2-.2;47: wc-2-.3
740;-232.967;-194.002
750;-217.131;-180.504
760;-203.387;-168
770;-191.342;-157.105
780;-178.41;-147.534
790;-166.906;-137.962
800;-156.604;-129.396
810;-144.65;-121.688
820;-133.797;-114.584
830;-123.897;-108.152
840;-114.826;-102.303
850;-106.917;-96.964
860;-99.588;-90.866
870;-79.754;-72.456
880;-59.94;-54.049
890;-41.363;-36.489
900;-22.807;-18.932
910;-11.711;-8.698
920;-0.635;1.065
930;9.921;10.815
940;20.464;15.513
950;25.155;20.2
960;31.194;27.013
970;37.263;29.944
980;43.319;32.875
990;46.244;36.544
1000;49.61;40.223
1010;52.96;43.51
1020;56.294;46.097
1030;58.013;48.693
1040;59.153;50.819
1050;60.275;52.953
1060;59.581;55.379
1070;58.87;57.374
1080;60.621;59.378
1090;62.351;60.361
1100;64.9;61.346
1110;68.069;61.573
1120;71.48;60.074
1130;74.866;58.568
1140;79.55;57.937
1150;85.808;57.3
1160;92.047;55.734
1170;98.266;55.083
1180;104.707;54.428
1190;110.52;54.319
1200;116.322;54.207
1210;120.755;51.49
1220;125.178;49.383
1230;125.823;47.273
1240;126.465;43.921
1250;126.902;40.566
1260;125.216;38.768
1270;123.59;37.608
1280;121.958;36.445
1290;121.043;33.78
1300;119.562;31.115
1310;118.072;28.131
1320;116.574;25.889
1330;112.908;23.652
1340;109.584;22.82
1350;106.25;22.336
1360;102.267;21.212
1370;98.273;22.247
1380;94.288;23.281
1390;90.296;23.491
1400;84.578;23.693
1410;77.493;24.767
1420;70.572;27.177
1430;63.643;29.578
1440;56.866;31.411
1450;48.934;33.187
1460;40.989;33.436
1470;30.445;30.248
1480;23.301;27.109
1490;15.796;23.85
1500;8.388;20.804
1510;4.382;17.461
1520;0.377;12.477
1530;-2.29;7.446
1540;-4.956;4.603
1550;-5.775;1.491
1560;-6.739;0.139
1570;-7.863;-1.473
1580;-9.498;-3.086
1590;-10.794;-2.738
1600;-13.091;-2.652
1610;-15.512;-1.858
1620;-17.932;-1.749
1630;-20.367;-1.64
1640;-23.441;-1.33
1650;-26.516;-1.019
1660;-27.81;-0.549
1670;-29.103;-0.683
1680;-31.35;-0.817
1690;-33.597;-1.874
1700;-34.509;-2.932
1710;-35.428;-2.339
1720;-37.506;-3.28
1730;-39.902;-4.221
1740;-42.165;-4.903
1750;-43.869;-5.586
1760;-45.628;-5.683
1770;-47.386;-4.298
1780;-50.208;-2.913
1790;-50.91;-1.564
1800;-51.612;-0.215
1810;-52.39;-0.488
1820;-53.008;-0.441
1830;-52.171;-0.229
1840;-51.334;-1.763
1850;-49.462;-3.297
1860;-47.549;-4.982
1870;-45.956;-7.058
1880;-44.59;-9.065
1890;-42.709;-10.152
1900;-42.268;-11.239
1910;-41.709;-12.086
1920;-41.15;-11.372
1930;-38.687;-10.37
1940;-37.023;-8.008
1950;-35.36;-7.418
1960;-33.628;-6.828
1970;-30.735;-4.69
1980;-26.96;-2.545
1990;-23.185;-3.36
2000;-19.673;-4.196
2010;-16.161;-5.383
2020;-13.61;-7.469
2030;-10.823;-9.554
2040;-10.185;-11.583
2050;-11.466;-13.167
2060;-12.541;-14.75
2070;-13.615;-16.626
2080;-16.643;-18.782
2090;-19.65;-20.938
2100;-23.217;-24.237
2110;-26.914;-27.268
2120;-30.292;-29.974
2130;-35.87;-32.4
2140;-41.779;-36.215
2150;-46.393;-38.47
2160;-50.07;-40.726
2170;-53.748;-45.25
2180;-54.465;-49.774
2190;-54.051;-54.284
2200;-53.637;-55.435
2210;-52.586;-56.695
2220;-51.535;-52.383
2230;-50.93;-48.072
2240;-50.903;-34.021
2250;-50.877;-19.97
2260;-51.87;-5.774
2270;-51.903;5.523
2280;-54.297;16.819
2290;-56.49;24.279
2300;-57.018;31.458
2310;-57.589;38.272
2320;-58.16;42.846
2330;-57.131;47.865
2340;-56.006;51.183
2350;-54.32;55.742
2360;-52.742;58.199
2370;-51.164;60.372
2380;-46.861;62.19
2390;-42.93;64.448
2400;-38.999;65.146
2410;-33.839;67.968
2420;-28.706;71.43
2430;-25.694;73.857
2440;-22.523;76.621
2450;-19.524;77.913
2460;-17.423;80.086
2470;-15.323;76.706
2480;-12.422;73.065
2490;-9.432;62.223
2500;-6.441;51.499
2510;-3.457;38.803
2520;-0.472;29.462
2530;3.639;18.441
2540;7.659;11.065
2550;11.68;3.095
2560;15.749;-4.874
2570;19.618;-11.004
2580;22.327;-17.174
2590;24.926;-21.663
2600;27.621;-25.861
2610;29.996;-27.783
2620;32.392;-26.531
2630;33.068;-25.279
2640;34.199;-24.335
2650;35.33;-24.352
2660;33.461;-26.168
2670;31.757;-27.479
2680;29.49;-27.829
2690;27.268;-28.455
2700;25.046;-29.641
2710;21.703;-31.783
2720;18.354;-35.806
2730;13.686;-39.428
2740;10.743;-41.312
2750;7.553;-43.196
2760;4.483;-43.149
2770;1.654;-41.393
2780;-0.175;-37.957
2790;-3.986;-34.815
2800;-7.797;-31.59
2810;-11.368;-28.31
2820;-15.015;-24.87
2830;-19.17;-21.377
2840;-19.433;-17.313
2850;-19.697;-13.37
2860;-19.12;-10.039
2870;-18.771;-9.89
2880;-17.062;-9.534
2890;-16.761;-9.658
2900;-16.792;-9.036
2910;-15.142;-7.814
2920;-13.161;-7.112
2930;-11.139;-7.701
2940;-10.166;-8.29
2950;-9.288;-8.339
2960;-4.571;-9.189
2970;-0.123;-8.159
2980;3.946;-6.578
2990;8.152;-6.397
3000;12.357;-6.051
3010;15.708;-5.825
3020;19.265;-7.032
3030;23.332;-7.799
3040;28.435;-8.486
3050;33.537;-9.115
3060;37.923;-9.743
3070;42.419;-9.422
3080;47.006;-9.901
3090;47.141;-10.039
3100;47.276;-10.857
3110;46.261;-10.952
3120;45.28;-10.927
3130;43.892;-11.123
3140;44.068;-11.514
3150;44.243;-10.772
3160;44.97;-10.63
3170;45.697;-10.447
3180;46.975;-9.303
3190;49.814;-8.594
3200;52.708;-8.886
3210;53.177;-8.921
3220;53.436;-9.277
3230;53.757;-10.101
3240;51.399;-11.568
3250;48.909;-13.208
3260;48.29;-14.418
3270;46.621;-15.628
3280;45.097;-17.443
3290;43.298;-17.637
3300;41.499;-17.552
3310;39.826;-16.371
3320;37.873;-15.19
3330;36.285;-13.313
3340;36.978;-12.476
3350;37.905;-11.324
3360;38.914;-10.117
3370;38.634;-9.61
3380;38.182;-9.392
3390;37.93;-7.713
3400;37.822;-7.223
3410;36.876;-7.164
3420;36.646;-7.505
3430;36.532;-8.036
3440;32.513;-8.567
3450;28.494;-8.539
3460;24.116;-9.832
