timepoints (min);46: wc-2-.2;47: wc-2-.3
1020;-164.821;-127.871
1030;-154.135;-123.338
1040;-142.787;-115.88
1050;-132.898;-109.408
1060;-124.08;-103.746
1070;-116.265;-96.979
1080;-109.083;-90.989
1090;-102.637;-85.637
1100;-96.91;-80.831
1110;-91.589;-77.345
1120;-86.75;-74.191
1130;-82.417;-71.327
1140;-78.452;-68.485
1150;-61.781;-62.153
1160;-45.103;-55.81
1170;-28.404;-49.136
1180;-11.898;-42.498
1190;-5.424;-35.849
1200;0.99;-29.189
1210;7.413;-21.963
1220;10.525;-16.043
1230;13.644;-10.111
1240;16.581;-4.712
1250;19.77;0.702
1260;21.249;3.609
1270;22.862;6.37
1280;24.242;9.356
1290;24.35;10.19
1300;24.465;11.032
1310;24.529;12.356
1320;24.601;12.412
1330;24.52;12.478
1340;24.362;12.371
1350;24.412;12.277
1360;24.352;12.955
1370;24.439;12.804
1380;24.531;12.803
1390;24.109;12.531
1400;23.093;12.267
1410;22.055;12.242
1420;21.102;11.906
1430;20.355;11.578
1440;19.562;11.897
1450;18.774;12.043
1460;18.912;11.48
1470;19.257;10.927
1480;19.648;9.973
1490;20.085;9.467
1500;20.286;8.968
1510;20.451;7.985
1520;20.621;7.167
1530;19.916;6.353
1540;19.216;6.144
1550;18.457;5.773
1560;18.344;4.729
1570;18.236;3.692
1580;18.18;3.02
1590;18.289;2.438
1600;18.202;1.866
1610;18.12;1.355
1620;18.079;1.69
1630;17.522;2.03
1640;17.489;2.416
1650;17.415;2.926
1660;16.945;3.199
1670;16.398;3.475
1680;15.834;3.85
1690;15.274;3.587
1700;14.998;3.328
1710;13.806;2.933
1720;12.688;2.543
1730;11.852;2.677
1740;10.979;2.975
1750;7.196;1.899
1760;3.412;1.463
1770;-0.411;1.028
1780;-3.115;0.841
1790;-4.101;0.055
1800;-4.847;-0.731
1810;-6.233;-0.945
1820;-7.047;-0.931
1830;-7.861;-1.477
1840;-8.115;-1.623
1850;-8.368;-1.749
1860;-8.291;-1.28
1870;-8.694;-0.811
1880;-8.577;-1.168
1890;-8.225;-1.193
1900;-7.873;-1.218
1910;-6.881;-0.403
1920;-5.89;0.523
1930;-4.953;1.368
1940;-3.657;2.654
1950;-2.64;3.946
1960;-1.617;5.148
1970;-1.193;6.349
1980;-1.05;6.923
1990;-0.906;7.385
2000;-0.701;7.847
2010;-0.375;8.349
2020;-0.01;8.934
2030;0.17;9.359
2040;0.589;9.783
2050;0.768;11.255
2060;1.141;12.251
2070;1.479;13.247
2080;1.617;13.406
2090;1.034;13.088
2100;0.604;12.771
2110;0.374;11.734
2120;0.623;10.428
2130;0.632;9.961
2140;0.64;9.495
2150;0.968;9.897
2160;1.057;9.575
2170;1.172;9.254
2180;1.048;10.159
2190;0.564;10.61
2200;-0.03;11.061
2210;-0.625;10.392
2220;-0.819;9.454
2230;-1.014;9.116
2240;-1.077;8.778
2250;-0.901;7.655
2260;-0.844;6.534
2270;-0.87;5.412
2280;-0.777;4.411
2290;-0.923;3.52
2300;-1.069;1.789
2310;-1.001;0.618
2320;-1.334;-0.408
2330;-1.466;-1.004
2340;-1.502;-1.6
2350;-0.858;-1.779
2360;-0.414;-1.349
2370;0.017;-0.919
2380;0.254;-1.008
2390;0.571;-0.919
2400;0.568;-1.669
2410;0.607;-2.259
2420;0.445;-2.836
2430;0.524;-4.356
2440;0.52;-5.876
2450;0.516;-7.516
2460;0.312;-8.063
2470;0.308;-8.611
2480;0.097;-9.239
2490;-0.194;-9.701
2500;-0.725;-9.523
2510;-1.284;-9.345
2520;-1.843;-8.589
2530;-2.041;-7.739
2540;-2.24;-6.89
2550;-2.328;-6.114
2560;-2.337;-5.906
2570;-1.945;-5.698
2580;-1.56;-5.33
2590;-1.175;-4.637
2600;-1.23;-4.465
2610;-1.286;-4.292
2620;-1.286;-4.439
2630;-0.406;-4.037
2640;0.395;-3.636
2650;1.353;-4.455
2660;1.192;-5.331
2670;1.23;-6.207
2680;1.269;-5.243
2690;1.425;-4.134
2700;0.941;-2.905
2710;0.657;-1.676
2720;0.283;0.774
2730;1.069;3.159
2740;1.935;5.543
2750;2.808;7.686
2760;3.723;9.972
2770;4.477;11.619
2780;4.752;12.186
2790;5.15;12.85
2800;6.389;13.553
2810;7.548;14.257
2820;8.603;15.68
2830;9.327;16.854
2840;8.771;18.028
2850;7.975;20.041
2860;7.2;22.221
2870;6.875;24.56
2880;5.669;25.739
2890;4.505;26.919
2900;3.341;29.153
2910;3.287;31.388
2920;3.233;32.782
2930;3.145;32.247
2940;2.537;31.594
2950;2.41;31.542
2960;2.317;31.366
2970;2.305;29.803
2980;0.96;28.24
2990;-0.385;26.237
3000;-1.674;24.539
3010;-2.564;22.897
3020;-3.128;21.174
3030;-3.734;20.71
3040;-3.699;20.247
3050;-4.505;19.935
3060;-5.483;19.43
3070;-6.495;18.206
3080;-6.828;17.001
3090;-5.88;14.877
3100;-4.863;11.803
3110;-4.087;8.728
3120;-3.87;6.145
3130;-3.633;4.708
3140;-3.237;3.27
3150;-3.201;2.033
3160;-2.846;0.886
3170;-2.559;0.578
3180;-1.952;0.27
3190;-0.825;-1.778
3200;0.419;-4.337
3210;1.663;-6.895
3220;2.474;-8.534
3230;3.286;-10.379
3240;4.11;-11.785
3250;4.372;-13.07
3260;4.234;-14.597
3270;4.062;-16.044
3280;3.89;-17.491
3290;3.055;-19.378
3300;2.221;-21.382
3310;1.352;-23.386
3320;0.523;-24.35
3330;-0.938;-25.328
3340;-2.412;-25.372
3350;-3.927;-24.937
3360;-5.201;-24.501
3370;-6.386;-24.321
3380;-7.488;-24.142
3390;-8.95;-24.083
3400;-10.052;-24.23
3410;-11.292;-24.557
3420;-12.532;-24.884
3430;-12.172;-25.263
3440;-11.812;-23.923
3450;-11.273;-22.548
3460;-10.734;-22.092
3470;-9.194;-22.585
3480;-7.814;-23.057
3490;-6.433;-23.528
3500;-4.372;-22.647
3510;-4.305;-21.766
3520;-4.885;-20.815
3530;-5.466;-19.548
3540;-6.087;-17.16
3550;-5.898;-14.772
3560;-5.302;-12.026
3570;-4.746;-10.159
3580;-2.99;-8.291
3590;-1.234;-6.996
3600;0.754;-6.208
3610;2.743;-5.741
3620;3.745;-5.273
3630;4.746;-5.061
3640;5.901;-4.728
3650;7.2;-5.276
3660;9.499;-5.575
3670;11.799;-5.75
3680;12.474;-5.966
3690;12.93;-6.181
3700;13.225;-6.279
3710;13.692;-5.457
3720;13.617;-5.394
3730;13.541;-5.532
3740;12.545;-5.953
3750;11.652;-8.054
3760;12.505;-10.115
3770;13.357;-12.12
3780;14.21;-14.125
3790;14.931;-16.691
3800;14.732;-19.153
3810;14.534;-21.229
3820;14.309;-23.225
3830;12.953;-24.541
3840;11.597;-25.932
3850;9.561;-27.441
3860;7.594;-27.07
3870;6.684;-26.713
3880;5.774;-26.756
3890;5.334;-26.799
3900;4.894;-25.401
3910;3.357;-24.004
3920;1.821;-22.724
3930;0.121;-21.324
3940;-1.564;-20.163
3950;-3.09;-19.001
3960;-4.657;-17.93
3970;-6.743;-15.996
3980;-8.603;-14.062
3990;-9.542;-11.68
4000;-10.543;-9.263
4010;-10.665;-5.847
4020;-10.807;-2.43
4030;-10.894;1.441
4040;-10.981;4.897
4050;-11.868;8.152
4060;-12.63;11.407
4070;-13.415;14.607
4080;-12.4;17.007
4090;-11.385;19.407
