timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
600;-371.667;-242.313;-267.968;-279.595;-365.908;-377.91;-359.11;-295.571;-249.371;-237.116;-211.165;-248.349;-298.988;-373.521;-344.582
610;-350.666;-236.118;-253.212;-257.537;-343.844;-362.226;-349.546;-284.376;-243.361;-229.081;-204.392;-233.058;-276.4;-353.539;-338.4
620;-332.72;-229.467;-240.413;-239.493;-322.773;-346.093;-338.96;-275.12;-238.667;-222.147;-198.973;-220.213;-257.84;-335.893;-331.027
630;-316.266;-224.714;-229.398;-224.612;-303.799;-330.566;-329.901;-267.211;-234.664;-214.191;-194.036;-210.401;-242.895;-320.645;-321.796
640;-301.137;-222.843;-219.827;-210.943;-286.562;-316.092;-320.914;-259.948;-230.701;-207.191;-188.358;-201.895;-227.453;-304.354;-311.255
650;-287.333;-220.709;-210.085;-197.406;-271.162;-302.923;-312.393;-252.786;-225.688;-200.675;-183.35;-193.932;-212.316;-287.564;-299.923
660;-273.933;-218.438;-200.127;-184.943;-257.873;-291.514;-304.987;-245.963;-221.061;-194.881;-178.057;-186.915;-197.046;-272.539;-288.27
670;-260.325;-214.475;-189;-173.987;-246.525;-281.712;-297.6;-239.288;-215.488;-189.95;-172.463;-181.263;-181.563;-256.275;-276.888
680;-246.935;-211.203;-177.785;-164.104;-235.781;-273.069;-290.933;-233.062;-210.235;-185.573;-167.506;-176.656;-167.554;-240.123;-266.021
690;-234.816;-210.023;-171.246;-155.306;-226.041;-266.56;-284.428;-227.032;-205.749;-181.598;-163.478;-172.555;-153.891;-225.306;-256.171
700;-223.105;-208.865;-166.933;-145.951;-216.856;-261.59;-278.331;-221.443;-201.249;-176.707;-160.026;-168.15;-142.735;-211.269;-245.92
710;-212.315;-208.631;-162.72;-137.143;-208.458;-256.827;-272.44;-215.595;-198.155;-172.244;-158.03;-164.19;-134.738;-198.107;-235.673
720;-203.047;-207.461;-158.706;-128.856;-201.066;-252.028;-266.332;-210.334;-195.711;-169.205;-156.209;-159.052;-128.588;-187.391;-225.995
730;-172.893;-187.163;-135.597;-98.335;-169.225;-229.021;-244.649;-191.198;-181.994;-154.53;-144.168;-138.203;-95.974;-155.14;-199.132
740;-142.661;-166.385;-112.824;-67.982;-136.67;-205.66;-221.44;-172.073;-168.226;-139.02;-130.954;-117.337;-68.304;-129.89;-171.934
750;-112.536;-156.163;-98.14;-41.16;-104.423;-182.453;-202.988;-153.926;-160.575;-129.456;-122.168;-97.39;-46.546;-103.827;-152.44
760;-84.21;-153.071;-85.503;-20.524;-76.392;-160.271;-184.401;-135.776;-152.927;-119.174;-111.61;-77.424;-29.026;-82.586;-134.454
770;-63.969;-149.107;-75.078;-3.747;-56.289;-142.531;-172.773;-122.789;-146.756;-112.724;-103.902;-67.84;-13.896;-61.058;-118.709
780;-50.534;-146.141;-66.08;9.986;-42.341;-127.416;-161.127;-109.803;-140.59;-105.487;-95.393;-61.607;-1.12;-42.56;-104.672
790;-41.904;-142.941;-56.405;20.3;-31.389;-117.559;-153.05;-100.982;-134.002;-98.644;-89.168;-55.356;11.917;-24.168;-87.651
800;-32.486;-139.256;-46.508;29.272;-22.229;-110.981;-146.68;-92.158;-127.416;-91.802;-83.874;-51.269;22.424;-4.705;-70.819
810;-26.815;-134.139;-36.28;37.485;-13.189;-104.943;-138.643;-84.087;-121.632;-85.355;-77.106;-47.166;31.937;11.798;-54.98
820;-22.627;-128.909;-26.349;44.958;-6.244;-100.444;-131.672;-76.013;-115.855;-78.912;-71.149;-43.558;40.269;24.714;-39.575
830;-18.778;-123.148;-18.169;52.292;-1.1;-96.005;-124.097;-67.872;-109.617;-71.952;-64.478;-40.842;46.906;36.277;-24.927
840;-15.101;-116.791;-11.379;56.048;3.652;-90.539;-114.165;-59.855;-102.716;-64.434;-58.168;-38.115;52.702;48.503;-10.358
850;-11.051;-109.556;-5.466;57.317;7.964;-83.84;-105.188;-52.245;-96.098;-54.333;-52.002;-35.937;57.355;59.347;5.18
860;-8.155;-103.872;-0.174;57.6;12.057;-77.177;-95.242;-44.244;-88.576;-45.279;-45.846;-33.752;61.274;68.789;20.013
870;-5.49;-98.21;4.79;59.23;15.95;-71.71;-86.42;-36.35;-81.01;-36.4;-39.24;-30.11;65.37;79.55;33.79
880;-3.728;-91.246;9.756;61.604;19.874;-65.562;-76.965;-27.024;-71.938;-29.538;-31.93;-26.196;69.89;92.021;45.528
890;-2.45;-83.06;13.748;65.142;23.387;-58.885;-67.197;-17.991;-63.138;-22.684;-25.149;-22.27;72.618;102.954;55.688
900;-0.185;-74.25;16.256;68.777;27.157;-51.831;-57.436;-8.16;-53.069;-14.558;-17.118;-19.835;74.563;112.588;64.189
910;2.223;-63.828;18.368;72.343;31.85;-44.064;-45.727;1.561;-42.945;-6.445;-9.626;-17.397;75.663;122.254;70.598
920;3.943;-54.823;19.025;75.808;37.872;-35.912;-34.271;10.002;-31.712;4.198;-1.17;-14.364;75.937;129.55;76.693
930;5.436;-43.469;19.967;79.152;43.981;-28.353;-20.507;18.621;-20.313;15.103;7.95;-9.526;76.056;135.696;84.545
940;7.941;-29.52;24.53;83.048;51.002;-20.249;-6.633;28.578;-6.908;26.186;17.415;-4.699;74.782;140.963;93.77
950;9.786;-14.364;30.925;86.394;57.556;-10.656;8.141;38.521;6.475;35.811;28.106;-0.968;74.271;145.489;102.435
960;12.486;1.958;37.12;89.189;63.626;-1.588;22.895;48.413;21.686;45.273;40.128;2.754;75.553;149.523;110.614
970;16.965;17.607;43.604;92.478;69.324;7.865;36.745;58.298;36.878;55.516;52.515;5.5;77.851;153.505;118.34
980;22.974;31.889;50.161;97.316;74.595;17.72;50.844;67.863;52.12;66.054;65.206;8.926;81.596;156.92;124.134
990;29.193;43.965;56.644;102.494;79.243;28.545;63.36;77.425;67.341;75.849;76.016;12.341;82.753;159.86;128.158
1000;35.699;53.491;63.844;105.366;84.235;39.227;76.652;86.723;82.21;85.633;86.811;16.051;82.246;161.7;130.276
1010;41.626;62.739;70.417;106.174;89.211;49.513;88.515;95.128;96.583;94.489;95.911;19.749;82.724;164.115;130.198
1020;47.734;70.751;75.748;105.894;94.511;59.176;100.553;103.04;109.937;103.334;104.515;25.713;82.287;165.84;129.423
